日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2022-06-07,9.95,9.96,9.95,9.96,11541,0.0,0.0
2022-06-08,9.96,9.96,9.94,9.94,3816,-0.02,-0.2008
2022-06-09,9.9468,9.9468,9.9468,9.9468,216,0.0068,0.0684
2022-06-10,9.96,9.96,9.96,9.96,111,0.0132,0.1327
2022-06-13,9.94,9.97,9.94,9.97,87862,0.01,0.1004
2022-06-14,9.96,9.96,9.96,9.96,420,-0.01,-0.1003
2022-06-16,9.94,9.965,9.94,9.96,16307,0.0,0.0
2022-06-17,9.96,9.96,9.96,9.96,280,0.0,0.0
2022-06-21,9.92,9.92,9.92,9.92,311,-0.04,-0.4016
2022-06-22,9.92,9.92,9.92,9.92,20001,0.0,0.0
2022-06-23,9.95,9.97,9.95,9.97,12052,0.05,0.504
2022-06-24,9.96,9.96,9.96,9.96,5030,-0.01,-0.1
2022-06-27,9.96,9.96,9.94,9.96,1530,0.0,0.0
2022-06-28,9.94,9.97,9.94,9.97,10709,0.01,0.1004
2022-06-29,9.97,9.97,9.95,9.97,1835,0.0,0.0
2022-06-30,9.97,9.97,9.92,9.92,28025,-0.05,-0.5015
2022-07-01,9.92,9.92,9.92,9.92,71,0.0,0.0
2022-07-05,9.92,9.92,9.92,9.92,1,0.0,0.0
2022-07-07,9.96,9.97,9.96,9.96,25369,0.04,0.4032
2022-07-08,9.97,9.97,9.97,9.97,19809,0.01,0.1004
2022-07-11,9.96,9.97,9.96,9.97,10001,0.0,0.0
2022-07-12,9.97,9.97,9.97,9.97,900,0.0,0.0
2022-07-13,9.95,9.95,9.95,9.95,1253,-0.02,-0.2006
2022-07-14,9.95,9.95,9.95,9.95,77,0.0,0.0
2022-07-18,9.96,9.96,9.95,9.95,72567,0.0,0.0
2022-07-19,9.95,9.95,9.95,9.95,16,0.0,0.0
2022-07-21,9.97,9.97,9.9697,9.97,11511,0.02,0.201
2022-07-22,9.97,9.99,9.97,9.97,31371,0.0,0.0
2022-07-25,9.98,9.9865,9.98,9.9865,5200,0.0165,0.1655
2022-07-26,9.98,9.99,9.9799,9.99,10007,0.0035,0.035
2022-07-27,9.99,9.99,9.97,9.99,201662,0.0,0.0
2022-07-29,10.0,10.0,10.0,10.0,13375,0.01,0.1001
2022-08-01,10.0,10.0,10.0,10.0,2,0.0,0.0
2022-08-02,10.0,10.0,10.0,10.0,501,0.0,0.0
2022-08-03,9.99,9.99,9.99,9.99,327,-0.01,-0.1
2022-08-04,10.0,10.0,10.0,10.0,853,0.01,0.1001
2022-08-05,10.0,10.01,10.0,10.0,17298,0.0,0.0
2022-08-08,10.0,10.0,10.0,10.0,2,0.0,0.0
2022-08-11,10.0,10.0,10.0,10.0,8,0.0,0.0
2022-08-12,10.0,10.0,10.0,10.0,30,0.0,0.0
2022-08-15,10.0,10.0,10.0,10.0,11,0.0,0.0
2022-08-16,10.01,10.01,10.01,10.01,30045,0.01,0.1
2022-08-17,10.01,10.01,10.01,10.01,101,0.0,0.0
2022-08-19,10.0,10.0,10.0,10.0,7200,-0.01,-0.0999
2022-08-22,10.0,10.0,10.0,10.0,62,0.0,0.0
2022-08-23,10.12,10.12,10.12,10.12,1411,0.12,1.2
2022-08-24,10.12,10.12,10.12,10.12,4,0.0,0.0
2022-08-29,10.11,10.11,10.06,10.06,1224,-0.06,-0.5929
2022-08-30,10.115,10.115,10.03,10.03,150600,-0.03,-0.2982
