日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2008-09-18,9.265,10.525,6.905,6.905,5711285,-1.3953,-16.81
2008-09-19,8.135,9.02,7.91,8.645,2809237,1.74,25.2
2008-09-22,8.25,8.55,7.93,8.38,2528718,-0.2654,-3.07
2008-09-23,8.665,8.665,8.13,8.37,2173008,-0.0101,-0.12
2008-09-24,8.535,8.62,8.13,8.3,838597,-0.0703,-0.84
2008-09-25,8.285,8.375,7.76,8.125,2086320,-0.1751,-2.11
2008-09-26,7.85,8.185,7.835,8.1,1575047,-0.0252,-0.31
2008-09-29,7.87,7.93,6.795,7.295,2661085,-0.8052,-9.94
2008-09-30,7.35,7.46,6.98,7.125,3301301,-0.17,-2.33
2008-10-01,7.07,7.345,6.845,7.265,1656176,0.1397,1.96
2008-10-02,7.125,7.26,6.91,7.0,1872727,-0.2652,-3.65
2008-10-03,7.08,7.08,6.42,6.54,2696763,-0.4599,-6.57
2008-10-06,6.305,6.44,5.82,6.36,2298705,-0.1798,-2.75
2008-10-07,6.5,6.695,5.905,6.025,2580579,-0.3352,-5.27
2008-10-08,5.8,6.04,5.555,5.845,3489264,-0.1802,-2.99
2008-10-09,5.55,6.24,5.395,5.765,3242786,-0.0801,-1.37
2008-10-10,5.545,6.215,5.305,5.56,2964955,-0.2052,-3.56
2008-10-13,5.775,6.55,5.505,6.525,1754370,0.9652,17.36
2008-10-14,6.39,6.915,6.39,6.85,3288664,0.3249,4.98
2008-10-15,6.57,7.115,6.125,6.145,1515664,-0.7048,-10.29
2008-10-16,6.05,6.91,5.115,6.255,2209565,0.11,1.79
2008-10-17,6.01,6.605,5.5,6.435,1488905,0.1801,2.88
2008-10-20,6.455,6.805,6.305,6.805,1088067,0.37,5.75
2008-10-21,6.71,6.895,6.44,6.65,1358199,-0.1552,-2.28
2008-10-22,6.63,6.665,6.145,6.305,1481967,-0.3451,-5.19
2008-10-23,6.305,6.42,5.68,6.015,1599686,-0.29,-4.6
2008-10-24,5.605,5.74,5.01,5.135,2394550,-0.88,-14.63
2008-10-27,5.27,5.38,5.165,5.205,2326840,0.0698,1.36
2008-10-28,5.21,5.63,5.095,5.63,1230704,0.4252,8.17
2008-10-29,5.5,6.365,5.325,6.175,3415451,0.545,9.68
2008-10-30,6.35,6.565,6.16,6.565,1689906,0.3902,6.32
2008-10-31,6.5,7.18,6.5,6.82,3130666,0.2547,3.88
2008-11-03,6.6,6.935,6.55,6.755,2069826,-0.0648,-0.95
2008-11-04,6.92,7.315,6.665,7.025,3156409,0.2702,4.0
2008-11-05,6.965,7.12,6.77,6.865,2341957,-0.1602,-2.28
2008-11-06,6.86,6.86,6.045,6.045,1637730,-0.8196,-11.94
2008-11-07,6.26,7.35,6.26,7.045,5204069,0.9999,16.54
2008-11-10,7.335,7.5,6.94,7.035,1791329,-0.0099,-0.14
2008-11-11,6.94,6.96,6.305,6.805,1736592,-0.23,-3.27
2008-11-12,6.64,6.765,5.825,6.01,5171237,-0.7948,-11.68
2008-11-13,6.16,6.77,5.905,6.77,3103986,0.7602,12.65
2008-11-14,6.725,7.27,6.585,6.96,2481790,0.1902,2.81
2008-11-17,7.195,7.195,6.68,6.705,2755146,-0.2547,-3.66
2008-11-18,6.745,6.815,6.01,6.245,2595133,-0.46,-6.86
2008-11-19,6.38,6.625,6.14,6.175,2580773,-0.0699,-1.12
2008-11-20,6.025,6.43,5.825,5.955,3483076,-0.2198,-3.56
2008-11-21,6.065,6.435,5.65,6.425,3425987,0.4699,7.89
2008-11-24,6.86,6.86,6.28,6.815,2012312,0.39,6.07
2008-11-25,6.945,6.945,6.335,6.63,2197559,-0.1847,-2.71
2008-11-26,6.53,7.15,6.51,7.075,1124454,0.4449,6.71
2008-11-28,6.98,7.645,6.855,7.5,818859,0.4252,6.01
2008-12-01,7.14,7.235,6.62,6.62,1504609,-0.8797,-11.73
2008-12-02,6.59,7.01,6.51,6.85,1888065,0.2297,3.47
2008-12-03,6.675,7.0,6.6,6.93,1677247,0.0801,1.17
2008-12-04,6.755,6.985,6.22,6.41,2386388,-0.5197,-7.5
2008-12-05,6.45,6.905,6.225,6.895,2389362,0.4852,7.57
2008-12-08,7.125,7.575,7.06,7.48,3254638,0.5847,8.48
2008-12-09,7.625,7.625,6.79,7.01,4549231,-0.4697,-6.28
2008-12-10,6.995,7.3,6.73,6.875,4239053,-0.1353,-1.93
2008-12-11,6.785,6.885,6.44,6.48,3742007,-0.3953,-5.75
2008-12-12,6.375,6.765,6.375,6.535,2692560,0.0551,0.85
2008-12-15,6.64,6.73,6.345,6.475,1901451,-0.0601,-0.92
2008-12-16,6.54,6.726,6.395,6.57,3043015,0.0952,1.47
2008-12-17,6.52,6.785,6.405,6.73,5230972,0.1603,2.44
2008-12-18,6.875,7.025,6.69,6.95,4635538,0.2201,3.27
2008-12-19,7.045,7.265,6.56,7.03,7036431,0.0799,1.15
2008-12-22,7.07,7.23,6.685,6.83,1354132,-0.1996,-2.84
2008-12-23,6.685,6.955,6.64,6.81,811209,-0.0198,-0.29
2008-12-24,6.845,6.925,6.79,6.845,293586,0.0347,0.51
2008-12-26,6.925,6.925,6.735,6.845,571331,0.0,0.0
2008-12-29,6.905,6.95,6.65,6.78,966712,-0.065,-0.95
2008-12-30,6.755,6.925,6.755,6.915,1102695,0.1349,1.99
2008-12-31,6.875,7.115,6.805,7.08,1667468,0.1653,2.39
2009-01-02,7.065,7.39,7.035,7.325,1428940,0.245,3.46
2009-01-05,7.27,7.55,7.18,7.4,2036371,0.0747,1.02
2009-01-06,7.445,7.555,7.29,7.495,1776403,0.0947,1.28
2009-01-07,7.21,7.485,7.15,7.28,1221400,-0.2151,-2.87
2009-01-08,7.135,7.555,7.01,7.54,1924008,0.2599,3.57
2009-01-09,7.475,7.595,7.255,7.38,1412175,-0.1598,-2.12
2009-01-12,7.335,7.45,7.23,7.295,1648890,-0.0849,-1.15
2009-01-13,7.355,7.625,7.355,7.5,2219304,0.205,2.81
2009-01-14,7.385,7.5,7.175,7.375,1734612,-0.1253,-1.67
2009-01-15,7.27,7.525,7.02,7.36,1645280,-0.0147,-0.2
2009-01-16,7.5,7.695,7.105,7.38,2152797,0.0199,0.27
2009-01-20,7.35,7.35,6.82,6.835,1792554,-0.5446,-7.38
2009-01-21,7.0,7.295,7.0,7.195,1888590,0.3602,5.27
2009-01-22,7.13,7.465,7.1,7.305,1798538,0.1101,1.53
2009-01-23,7.18,7.44,7.18,7.35,1617180,0.0453,0.62
2009-01-26,7.43,7.455,7.14,7.285,2087456,-0.0647,-0.88
2009-01-27,7.375,7.495,7.2175,7.435,926479,0.1501,2.06
2009-01-28,7.39,7.56,7.39,7.48,1561869,0.0454,0.61
2009-01-29,7.43,7.445,7.165,7.2,913843,-0.2797,-3.74
2009-01-30,7.43,7.525,7.09,7.25,1503289,0.0497,0.69
2009-02-02,7.115,7.355,6.98,7.275,1091877,0.0247,0.34
2009-02-03,7.295,7.375,7.08,7.32,1106310,0.0451,0.62
2009-02-04,7.35,7.445,6.8425,6.875,3298629,-0.4451,-6.08
2009-02-05,6.79,6.87,6.64,6.765,2837203,-0.11,-1.6
2009-02-06,6.79,7.055,6.74,6.97,1765207,0.205,3.03
2009-02-09,6.92,7.065,6.85,7.025,1741344,0.0551,0.79
2009-02-10,6.935,7.0245,6.765,6.83,1330843,-0.1953,-2.78
2009-02-11,6.85,7.02,6.82,6.9,1201577,0.0697,1.02
2009-02-12,6.81,7.075,6.78,6.97,1757920,0.0697,1.01
2009-02-13,7.005,7.07,6.965,6.99,986007,0.0202,0.29
2009-02-17,6.775,6.935,6.605,6.745,1547543,-0.2454,-3.51
2009-02-18,6.78,6.85,6.515,6.535,1144627,-0.2098,-3.11
2009-02-19,6.64,6.695,6.53,6.56,1792217,0.0248,0.38
2009-02-20,6.49,6.505,6.23,6.34,1331448,-0.2198,-3.35
2009-02-23,6.345,6.535,6.325,6.355,1931829,0.0152,0.24
2009-02-24,6.28,6.73,6.28,6.63,3168369,0.2752,4.33
2009-02-25,7.365,7.66,7.175,7.465,6257557,0.8347,12.59
2009-02-26,7.61,7.75,7.375,7.38,2362542,-0.0851,-1.14
2009-02-27,7.35,7.7945,7.35,7.755,3173509,0.3749,5.08
2009-03-02,7.655,7.9,7.56,7.63,2525620,-0.1249,-1.61
2009-03-03,7.73,7.89,7.675,7.83,2717519,0.1999,2.62
2009-03-04,7.92,7.96,7.605,7.725,2412821,-0.1049,-1.34
2009-03-05,7.63,7.825,7.535,7.605,2430641,-0.1197,-1.55
2009-03-06,7.675,7.75,7.335,7.56,4023836,-0.0449,-0.59
2009-03-09,7.52,7.645,7.205,7.245,2003460,-0.3153,-4.17
2009-03-10,7.405,7.685,7.38,7.67,1836179,0.4253,5.87
2009-03-11,7.715,7.85,7.595,7.725,1412162,0.0552,0.72
2009-03-12,7.74,8.385,7.645,8.275,2769783,0.55,7.12
2009-03-13,8.315,8.495,8.15,8.46,2378675,0.1854,2.24
2009-03-16,8.535,8.56,8.3,8.33,1122831,-0.1303,-1.54
2009-03-17,8.315,8.4,8.185,8.385,1238752,0.055,0.66
2009-03-18,8.505,8.645,8.325,8.58,1584147,0.1954,2.33
2009-03-19,8.56,8.56,8.085,8.135,1983899,-0.4453,-5.19
2009-03-20,8.21,8.285,7.91,7.935,1264573,-0.2001,-2.46
2009-03-23,8.0,8.355,7.935,8.3,2787134,0.365,4.6
2009-03-24,8.17,8.31,8.04,8.1,1356505,-0.2,-2.41
2009-03-25,8.065,8.125,7.86,8.12,1924347,0.0202,0.25
2009-03-26,8.17,8.33,8.095,8.26,1680110,0.1397,1.72
2009-03-27,8.13,8.19,7.84,8.06,1424010,-0.1999,-2.42
2009-03-30,7.95,8.015,7.665,7.995,1679030,-0.0653,-0.81
2009-03-31,8.02,8.185,7.92,8.01,1545289,0.0152,0.19
2009-04-01,8.025,8.575,8.0,8.53,3055500,0.5199,6.49
2009-04-02,8.7,9.03,8.685,8.905,2516281,0.3753,4.4
2009-04-03,8.98,9.03,8.72,9.015,2825758,0.1104,1.24
2009-04-06,8.825,8.935,8.705,8.92,1565464,-0.0947,-1.05
2009-04-07,8.535,8.585,8.31,8.38,2881103,-0.5396,-6.05
2009-04-08,8.415,8.7,8.325,8.595,1702167,0.2154,2.57
2009-04-09,8.97,9.015,8.88,8.975,2401154,0.3799,4.42
2009-04-13,8.94,8.975,8.74,8.83,1640105,-0.1454,-1.62
2009-04-14,8.8,8.855,8.48,8.48,1906751,-0.3497,-3.96
