日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2014-03-27,24.85,24.85,24.75,24.8,399117,0.0,0.0
2014-03-28,24.77,24.84,24.77,24.8,313558,0.0,0.0
2014-03-31,24.84,24.95,24.84,24.89,445373,0.09,0.36
2014-04-01,24.92,25.01,24.91,24.98,447504,0.09,0.36
2014-04-02,24.97,24.99,24.9,24.94,269547,-0.04,-0.16
2014-04-03,24.92,25.0,24.91,24.94,391361,0.0,0.0
2014-04-04,25.01,25.04,24.98,25.04,526580,0.1,0.4
2014-04-07,25.03,25.03,24.98,24.98,157430,-0.06,-0.24
2014-04-08,24.98,25.02,24.97,24.99,184923,0.01,0.04
2014-04-09,25.0,25.05,24.99,25.05,222200,0.06,0.24
2014-04-10,25.07,25.11,24.99,25.0,366244,-0.05,-0.2
2014-04-11,25.01,25.06,25.0,25.01,152855,0.01,0.04
2014-04-14,25.06,25.09,25.02,25.09,137918,0.08,0.32
2014-04-15,25.09,25.13,25.05,25.08,238479,-0.01,-0.04
2014-04-16,25.09,25.1,25.05,25.06,214494,-0.02,-0.08
2014-04-17,25.07,25.13,25.0,25.0,1260000,-0.06,-0.24
2014-04-21,25.01,25.04,24.93,24.96,286985,-0.04,-0.16
2014-04-22,24.95,25.01,24.92,24.99,319174,0.03,0.12
2014-04-23,25.0,25.05,24.99,25.02,234400,0.03,0.12
2014-04-24,25.05,25.05,25.0,25.02,144630,0.0,0.0
2014-04-25,25.02,25.1,24.95,25.1,134690,0.08,0.32
2014-04-28,25.12,25.34,25.12,25.22,133279,0.12,0.48
2014-04-29,25.33,25.33,25.2,25.24,156396,0.02,0.08
2014-04-30,25.22,25.43,25.22,25.4,211401,0.16,0.63
2014-05-01,25.42,25.45,25.34,25.38,79896,-0.02,-0.08
2014-05-02,25.39,25.43,25.32,25.38,47392,0.0,0.0
2014-05-05,25.35,25.56,25.32,25.44,144225,0.06,0.24
2014-05-06,25.48,25.49,25.33,25.37,185559,-0.07,-0.28
2014-05-07,25.38,25.47,25.35,25.38,109162,0.01,0.04
2014-05-08,25.42,25.46,25.38,25.4,87123,0.02,0.08
2014-05-09,25.42,25.44,25.38,25.38,57790,-0.02,-0.08
2014-05-12,25.42,25.42,25.38,25.38,164872,0.0,0.0
2014-05-13,25.37,25.44,25.36,25.4,103773,0.02,0.08
2014-05-14,25.43,25.49,25.38,25.49,161601,0.09,0.35
2014-05-15,25.45,25.55,25.42,25.47,408497,-0.02,-0.08
2014-05-16,25.45,25.53,25.45,25.48,86403,0.01,0.04
2014-05-19,25.53,25.59,25.47,25.48,123997,0.0,0.0
2014-05-20,25.5,25.57,25.5,25.55,91712,0.07,0.27
2014-05-21,25.57,25.64,25.52,25.6,105415,0.05,0.2
2014-05-22,25.6,25.67,25.53,25.59,97380,-0.01,-0.04
2014-05-23,25.53,25.6,25.46,25.57,52115,-0.02,-0.08
2014-05-27,25.61,25.64,25.55,25.59,68527,0.02,0.08
2014-05-28,25.59,25.64,25.52,25.58,67030,-0.01,-0.04
2014-05-29,25.59,25.66,25.55,25.64,59188,0.06,0.23
2014-05-30,25.61,25.73,25.61,25.69,35370,0.05,0.2
2014-06-02,25.73,25.83,25.68,25.79,50363,0.1,0.39
2014-06-03,25.81,25.81,25.59,25.62,102685,-0.17,-0.64
2014-06-04,25.66,25.66,25.33,25.49,113253,-0.13,-0.52
2014-06-05,25.61,25.74,25.61,25.74,47135,0.07,0.27
2014-06-09,25.73,25.78,25.72,25.75,71298,0.01,0.04
2014-06-10,25.77,25.77,25.65,25.75,69554,0.0,0.0
2014-06-11,25.28,25.37,25.25,25.29,105837,0.03,0.11
2014-06-12,25.3,25.31,25.16,25.21,78141,-0.08,-0.32
2014-06-13,25.27,25.29,25.21,25.28,211526,0.07,0.28
2014-06-16,25.28,25.28,25.2,25.26,68297,-0.02,-0.08
2014-06-17,25.26,25.28,25.21,25.25,132467,-0.01,-0.04
2014-06-18,25.29,25.29,25.23,25.23,122336,-0.02,-0.08
2014-06-19,25.29,25.43,25.27,25.42,166462,0.19,0.75
2014-06-20,25.42,25.57,25.35,25.57,153871,0.15,0.59
2014-06-23,25.6,25.67,25.55,25.59,133241,0.02,0.08
2014-06-24,25.55,25.61,25.47,25.58,64509,-0.01,-0.04
2014-06-25,25.54,25.63,25.46,25.63,62500,0.13,0.51
2014-06-27,25.64,25.64,25.55,25.64,18413,0.01,0.04
2014-06-30,25.65,25.69,25.53,25.53,62377,-0.11,-0.43
2014-07-01,25.63,25.7,25.56,25.65,59288,0.12,0.47
2014-07-02,25.58,25.7,25.54,25.66,27042,0.01,0.04
2014-07-03,25.65,25.66,25.5,25.55,41383,-0.11,-0.43
2014-07-07,25.57,25.7,25.55,25.7,75654,0.15,0.59
2014-07-08,25.66,25.7,25.61,25.7,38871,0.0,0.0
2014-07-09,25.63,25.7,25.57,25.63,51752,-0.07,-0.27
2014-07-10,25.69,25.7,25.55,25.62,33398,-0.01,-0.04
2014-07-11,25.69,25.77,25.61,25.77,42539,0.15,0.59
2014-07-14,25.79,25.88,25.66,25.75,78227,-0.02,-0.08
2014-07-15,25.76,25.83,25.62,25.83,52777,0.08,0.31
2014-07-16,25.83,25.88,25.7,25.86,42078,0.03,0.12
2014-07-17,25.87,25.89,25.66,25.73,21678,-0.13,-0.5
2014-07-18,25.75,25.95,25.71,25.95,199631,0.22,0.86
2014-07-21,25.95,25.95,25.8,25.82,27141,-0.13,-0.5
2014-07-22,25.89,25.89,25.8,25.81,37590,-0.01,-0.04
2014-07-23,25.9,25.94,25.82,25.89,20497,0.08,0.29
2014-07-24,25.92,25.92,25.83,25.92,33141,0.04,0.14
2014-07-25,25.84,25.9,25.81,25.85,37451,-0.07,-0.27
2014-07-28,25.88,25.88,25.81,25.84,39943,-0.01,-0.04
2014-07-29,25.78,25.8,25.72,25.78,44901,-0.06,-0.23
2014-07-30,25.86,25.86,25.62,25.76,59598,-0.02,-0.08
2014-07-31,25.75,25.76,25.42,25.55,133769,-0.21,-0.82
2014-08-01,25.55,25.63,25.46,25.54,80954,-0.01,-0.04
2014-08-04,25.63,25.63,25.53,25.54,98020,0.0,0.0
2014-08-06,25.53,25.58,25.51,25.56,22363,-0.02,-0.08
2014-08-07,25.57,25.71,25.57,25.71,35263,0.15,0.59
2014-08-08,25.71,25.79,25.67,25.75,17887,0.04,0.16
2014-08-11,25.75,25.88,25.75,25.87,33676,0.12,0.48
2014-08-12,25.89,25.89,25.71,25.79,26562,-0.08,-0.32
2014-08-13,25.81,25.88,25.81,25.88,23082,0.09,0.35
2014-08-14,25.91,25.96,25.81,25.85,41297,-0.03,-0.12
2014-08-15,25.85,25.95,25.79,25.85,45913,0.0,0.0
2014-08-18,25.94,25.95,25.84,25.9,18855,0.05,0.19
2014-08-19,25.94,25.94,25.86,25.86,43694,-0.04,-0.15
2014-08-20,25.86,26.0,25.8,25.81,52514,-0.05,-0.19
2014-08-21,25.81,25.95,25.81,25.93,18868,0.12,0.46
2014-08-22,25.94,25.94,25.74,25.88,39179,-0.05,-0.19
2014-08-25,25.88,25.91,25.81,25.91,17954,0.03,0.1
2014-08-26,25.94,25.97,25.9,25.94,44614,0.03,0.13
2014-08-27,25.89,26.07,25.89,26.06,42658,0.12,0.46
2014-08-28,26.04,26.13,26.03,26.1,49344,0.04,0.15
2014-08-29,26.02,26.12,26.0,26.0,25446,-0.1,-0.38
2014-09-02,26.0,26.1,25.87,25.93,62120,-0.07,-0.27
2014-09-03,25.92,26.02,25.83,25.86,60241,-0.07,-0.27
2014-09-04,25.92,25.92,25.71,25.76,68143,-0.1,-0.39
2014-09-05,25.71,25.9,25.7,25.86,35492,0.1,0.39
2014-09-08,25.9,25.92,25.8,25.88,31337,0.02,0.06
2014-09-09,25.8,25.88,25.75,25.81,34941,-0.07,-0.26
2014-09-10,25.74,25.81,25.68,25.73,103762,-0.08,-0.31
2014-09-11,25.5,25.5,25.27,25.39,46201,0.12,0.48
2014-09-12,25.42,25.42,25.2,25.31,49359,-0.08,-0.32
2014-09-15,25.43,25.48,25.32,25.45,43001,0.14,0.53
2014-09-16,25.5,25.69,25.35,25.62,139839,0.18,0.69
2014-09-17,25.6,25.68,25.54,25.58,41557,-0.04,-0.16
2014-09-18,25.68,25.68,25.58,25.67,74071,0.09,0.35
2014-09-19,25.7,25.74,25.63,25.72,37375,0.05,0.19
2014-09-22,25.62,25.7,25.57,25.61,8878,-0.11,-0.43
2014-09-23,25.62,25.68,25.57,25.66,39977,0.05,0.2
2014-09-24,25.65,25.68,25.53,25.67,39351,0.01,0.02
2014-09-25,25.68,25.69,25.54,25.65,72968,-0.02,-0.06
2014-09-26,25.61,25.72,25.52,25.72,70361,0.07,0.27
2014-09-29,25.67,25.87,25.66,25.83,55285,0.11,0.43
2014-09-30,25.78,26.17,25.75,26.05,62089,0.22,0.85
2014-10-01,26.0,26.05,25.88,26.02,107608,-0.03,-0.12
2014-10-02,26.0,26.15,25.76,26.11,177829,0.09,0.35
2014-10-03,26.22,26.22,26.0,26.17,69921,0.06,0.23
2014-10-06,26.18,26.27,26.1,26.26,60086,0.09,0.34
2014-10-07,26.22,26.28,26.1,26.28,53545,0.02,0.08
2014-10-08,26.18,26.48,26.18,26.4,29687,0.12,0.45
2014-10-09,26.39,26.71,26.25,26.31,59260,-0.09,-0.33
2014-10-10,26.45,26.45,26.17,26.18,14338,-0.13,-0.49
2014-10-13,26.2,26.28,26.15,26.15,7411,-0.03,-0.11
2014-10-14,26.16,26.38,26.1,26.19,27261,0.04,0.15
2014-10-15,25.88,26.19,25.87,26.07,21334,-0.12,-0.46
2014-10-16,26.03,26.12,26.02,26.06,16670,-0.02,-0.06
2014-10-17,26.1,26.23,25.97,26.1,41514,0.05,0.17
2014-10-20,26.05,26.23,26.05,26.23,29707,0.13,0.5
2014-10-21,26.23,26.3,26.18,26.18,15334,-0.05,-0.19
2014-10-22,26.37,26.37,26.21,26.21,14850,-0.13,-0.47
2014-10-24,26.28,26.37,26.19,26.3,12191,0.09,0.34
2014-10-27,26.32,26.34,26.17,26.33,16595,0.03,0.1
2014-10-28,26.21,26.32,26.17,26.3,26625,-0.03,-0.1
2014-10-29,26.3,26.31,26.19,26.25,26917,-0.05,-0.19
2014-10-30,26.15,26.5,26.15,26.42,55063,0.17,0.65
2014-10-31,26.34,26.71,26.34,26.71,61104,0.29,1.1
2014-11-03,26.65,26.78,26.61,26.72,30717,0.01,0.04
2014-11-04,26.66,26.92,26.65,26.92,43775,0.2,0.75
2014-11-05,26.61,26.75,26.61,26.69,46742,-0.23,-0.85
2014-11-06,26.74,26.74,26.5,26.57,27271,-0.12,-0.45
2014-11-07,26.51,26.65,26.5,26.55,33592,-0.02,-0.08
2014-11-10,26.65,26.69,26.55,26.61,22831,0.06,0.23
2014-11-11,26.6,26.74,26.44,26.5,44117,-0.11,-0.41
2014-11-12,26.56,26.56,26.35,26.5,70947,0.0,0.0
2014-11-13,26.56,26.77,26.51,26.6,61935,0.1,0.38
2014-11-14,26.65,26.65,26.44,26.5,34121,-0.1,-0.38
2014-11-17,26.57,26.67,26.48,26.61,90136,0.11,0.42
2014-11-18,26.59,26.6,26.36,26.47,51058,-0.14,-0.53
2014-11-19,26.54,26.54,26.38,26.4,54111,-0.07,-0.26
2014-11-20,26.41,26.56,26.32,26.45,665578,0.05,0.19
2014-11-21,26.52,26.56,26.43,26.5,25485,0.05,0.19
2014-11-24,26.55,26.6,26.53,26.59,13871,0.09,0.34
2014-11-26,26.72,26.77,26.58,26.77,26258,0.07,0.26
2014-11-28,26.77,26.77,26.68,26.69,9179,-0.08,-0.3
2014-12-01,26.77,26.77,26.55,26.55,39521,-0.14,-0.52
2014-12-02,26.61,26.81,26.55,26.81,34267,0.26,0.98
2014-12-03,26.81,26.85,26.74,26.76,43600,-0.05,-0.19
2014-12-04,26.83,26.83,26.69,26.74,64566,-0.02,-0.07
2014-12-05,26.75,26.84,26.7,26.82,18527,0.08,0.3
2014-12-08,26.84,27.06,26.8,26.93,43183,0.11,0.41
