日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-11-22,10.45,10.45,9.92,10.01,1078686,0.0,0.0
2021-11-23,10.14,10.15,10.0,10.12,253063,0.11,1.0989
2021-11-24,10.12,10.21,10.07,10.15,156937,0.03,0.3
2021-11-26,10.15,10.15,10.0,10.01,430909,-0.14,-1.38
2021-11-29,10.1,10.1,10.01,10.05,155361,0.04,0.4
2021-11-30,10.0,10.04,10.0,10.03,173653,-0.02,-0.2
2021-12-01,10.01,10.05,10.0,10.01,383777,-0.02,-0.2
2021-12-02,10.01,10.013,9.89,9.92,927243,-0.09,-0.9
2021-12-03,9.93,9.978,9.76,9.83,548114,-0.09,-0.91
2021-12-06,9.83,9.95,9.81,9.95,48615,0.12,1.2208
2021-12-07,10.0,10.0,9.8818,9.93,70260,-0.02,-0.201
2021-12-08,9.9,9.96,9.9,9.94,49034,0.01,0.1007
2021-12-09,9.9,9.9833,9.9,9.94,34497,0.0,0.0
2021-12-10,9.94,9.96,9.9049,9.922,88741,-0.018,-0.1811
2021-12-13,9.9,9.9399,9.89,9.9,89660,-0.022,-0.22
2021-12-14,9.89,9.92,9.88,9.9,113586,0.0,0.0
2021-12-15,9.89,9.8994,9.86,9.88,84770,-0.02,-0.2
2021-12-16,9.86,9.88,9.84,9.84,143077,-0.04,-0.4049
2021-12-17,9.84,9.87,9.84,9.86,74773,0.02,0.2033
2021-12-20,9.82,9.8505,9.82,9.83,120565,-0.03,-0.3043
2021-12-21,9.83,9.855,9.83,9.83,7324,0.0,0.0
2021-12-22,9.835,9.84,9.8,9.84,13904,0.01,0.1017
2021-12-23,9.805,9.8481,9.805,9.81,6151,-0.03,-0.3049
2021-12-27,9.84,9.84,9.8,9.83,84621,0.02,0.2039
2021-12-28,9.83,9.84,9.82,9.82,4817,-0.01,-0.1017
2021-12-29,9.8101,9.8282,9.81,9.81,99563,-0.01,-0.1018
2021-12-30,9.8,9.8458,9.8,9.82,2879,0.01,0.1019
2021-12-31,9.8,9.84,9.8,9.8186,14040,-0.0014,-0.0143
2022-01-03,9.85,9.86,9.82,9.86,19870,0.0414,0.4216
2022-01-04,9.835,9.86,9.82,9.83,8510,-0.03,-0.3043
2022-01-05,9.81,9.85,9.81,9.85,32634,0.02,0.2035
2022-01-06,9.85,9.86,9.8334,9.85,31835,0.0,0.0
2022-01-07,9.85,9.86,9.82,9.82,259940,-0.03,-0.3046
2022-01-10,9.82,9.8454,9.81,9.82,6526,0.0,0.0
2022-01-11,9.82,9.83,9.8,9.81,58602,-0.01,-0.1018
2022-01-12,9.81,9.855,9.81,9.82,141916,0.01,0.1019
2022-01-13,9.8282,9.83,9.81,9.81,13136,-0.01,-0.1018
2022-01-14,9.81,9.81,9.81,9.81,313,0.0,0.0
2022-01-18,9.8,9.82,9.8,9.81,7260,0.0,0.0
2022-01-19,9.83,9.83,9.79,9.8017,63866,-0.0083,-0.0846
