日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2022-02-11,4.3,4.35,2.83,3.0,2922976,-2.5,-45.45
2022-02-14,3.3,3.64,2.66,2.67,2387973,-0.33,-11.0
2022-02-15,2.6,2.65,2.43,2.5,593492,-0.17,-6.37
2022-02-16,2.62,2.6877,2.36,2.42,1194499,-0.08,-3.2
2022-02-17,2.36,2.38,2.01,2.08,786225,-0.34,-14.0496
2022-02-18,2.11,3.5,1.925,1.99,5353086,-0.09,-4.33
2022-02-22,1.9,1.97,1.8,1.84,350838,-0.15,-7.5377
2022-02-23,1.84,1.89,1.6591,1.71,263294,-0.13,-7.0652
2022-02-24,1.51,1.67,1.41,1.6,387665,-0.11,-6.43
2022-02-25,1.61,1.69,1.52,1.55,135271,-0.05,-3.13
2022-02-28,1.48,1.62,1.4701,1.62,213059,0.07,4.52
2022-03-01,1.635,1.635,1.51,1.52,181628,-0.1,-6.17
2022-03-02,1.51,1.57,1.5,1.54,114860,0.02,1.32
2022-03-03,1.56,1.56,1.43,1.45,110142,-0.09,-5.84
2022-03-04,1.4,1.45,1.37,1.45,80164,0.0,0.0
2022-03-07,1.43,1.4533,1.26,1.3,165784,-0.15,-10.34
2022-03-08,1.26,1.3,1.18,1.2,580353,-0.1,-7.69
2022-03-09,2.35,3.65,1.86,2.49,105778908,1.29,107.5
2022-03-10,2.17,2.5,1.99,2.39,8444084,-0.1,-4.02
2022-03-11,2.3,2.96,2.2701,2.72,5155632,0.33,13.81
2022-03-14,2.72,3.35,2.5138,2.85,7924996,0.13,4.78
2022-03-15,2.85,3.1,2.6,2.69,1845431,-0.16,-5.61
2022-03-16,2.59,2.6285,2.08,2.19,1111774,-0.5,-18.59
2022-03-17,2.1,2.36,2.1,2.15,529804,-0.04,-1.83
2022-03-18,2.1,2.18,1.93,1.97,750983,-0.18,-8.37
2022-03-21,1.95,2.04,1.7701,1.94,574671,-0.03,-1.52
2022-03-22,1.93,1.95,1.851,1.94,219097,0.0,0.0
2022-03-23,1.88,2.19,1.88,2.12,549320,0.18,9.28
2022-03-24,2.08,2.48,2.06,2.43,538024,0.31,14.62
2022-03-25,2.41,2.73,2.3,2.67,462162,0.24,9.88
2022-03-28,2.67,2.69,2.3,2.3,607255,-0.37,-13.86
2022-03-29,2.33,2.63,2.33,2.58,5459585,0.28,12.17
2022-03-30,4.71,5.49,4.1,4.14,128077179,1.56,60.47
2022-03-31,3.86,4.5,3.65,4.36,5990866,0.22,5.31
2022-04-01,4.28,4.75,4.01,4.24,4006985,-0.12,-2.75
2022-04-04,4.18,4.28,3.5,3.67,1102055,-0.57,-13.44
2022-04-05,3.6,3.8,3.1712,3.21,1130678,-0.46,-12.53
2022-04-06,3.21,3.38,2.88,2.98,722704,-0.23,-7.17
2022-04-07,2.92,3.19,2.86,2.96,705346,-0.02,-0.67
2022-04-08,2.97,3.03,2.83,2.86,356928,-0.1,-3.38
2022-04-11,2.87,3.04,2.78,2.78,277303,-0.08,-2.8
2022-04-12,2.8,2.9,2.57,2.64,243661,-0.14,-5.04
2022-04-13,2.79,2.86,2.58,2.61,159406,-0.03,-1.14
2022-04-14,2.72,2.72,2.42,2.45,234310,-0.16,-6.13
2022-04-18,2.44,2.53,2.22,2.26,301373,-0.19,-7.76
2022-04-19,2.3,2.38,2.25,2.28,186353,0.02,0.88
2022-04-20,2.44,2.44,2.33,2.37,146424,0.09,3.95
2022-04-21,2.37,2.4,2.24,2.26,111047,-0.11,-4.64
2022-04-22,2.26,2.37,2.2,2.21,110879,-0.05,-2.2124
2022-04-25,2.24,2.3,2.18,2.26,62269,0.05,2.26
2022-04-26,2.26,2.3,2.18,2.2,79720,-0.06,-2.65
2022-04-27,2.16,2.59,2.15,2.53,355011,0.33,15.0
2022-04-28,2.68,2.68,2.4,2.48,83386,-0.05,-1.98
2022-04-29,2.6,2.6,2.18,2.24,157288,-0.24,-9.68
2022-05-02,2.21,2.3683,2.21,2.26,54254,0.02,0.89
2022-05-03,2.26,2.59,2.26,2.52,268535,0.26,11.5
2022-05-04,2.53,2.79,2.5,2.585,355644,0.065,2.58
2022-05-05,2.56,2.633,2.3495,2.41,153366,-0.175,-6.77
2022-05-06,2.35,2.48,2.25,2.3,130877,-0.11,-4.56
2022-05-09,2.25,2.38,2.25,2.25,137101,-0.05,-2.17
2022-05-10,2.25,2.33,1.98,2.1,263882,-0.15,-6.67
2022-05-11,2.13,2.15,2.03,2.08,75877,-0.02,-0.95
2022-05-12,2.04,2.49,2.01,2.45,257758,0.37,17.7885
2022-05-13,2.05,2.3,1.91,2.0,492155,-0.45,-18.3673
2022-05-16,1.98,2.0376,1.8099,1.93,147099,-0.07,-3.5
2022-05-17,1.85,1.89,1.54,1.78,184557,-0.15,-7.77
2022-05-18,1.93,1.93,1.69,1.69,76646,-0.09,-5.06
2022-05-19,1.816,1.816,1.61,1.69,50647,0.0,0.0
2022-05-20,1.72,1.74,1.6,1.61,57811,-0.08,-4.7337
2022-05-23,1.66,1.68,1.53,1.68,54410,0.07,4.35
2022-05-24,1.63,1.65,1.54,1.57,137333,-0.11,-6.55
2022-05-25,1.58,1.71,1.56,1.58,32231,0.01,0.6369
2022-05-26,1.55,1.66,1.55,1.64,14987,0.06,3.8
2022-05-27,1.55,1.62,1.55,1.62,75871,-0.02,-1.22
2022-05-31,1.595,1.87,1.59,1.75,97780,0.13,8.02
2022-06-01,1.76,1.93,1.76,1.81,131348,0.06,3.43
2022-06-02,1.76,1.83,1.6,1.7,201108,-0.11,-6.08
2022-06-03,1.82,1.85,1.7,1.83,93663,0.13,7.65
2022-06-06,1.82,1.85,1.72,1.79,79096,-0.04,-2.19
2022-06-07,1.79,1.79,1.58,1.62,166708,-0.17,-9.5
2022-06-08,1.6132,1.6588,1.57,1.6,64146,-0.02,-1.23
2022-06-09,1.6,1.6869,1.51,1.6199,72220,0.02,1.25
2022-06-10,1.53,1.66,1.4601,1.59,163943,-0.0299,-1.8458
2022-06-13,1.5,1.5911,1.43,1.46,116418,-0.13,-8.18
2022-06-14,1.51,1.515,1.38,1.41,100289,-0.05,-3.4247
2022-06-15,1.42,1.4572,1.33,1.4,37829,-0.01,-0.7092
2022-06-16,1.31,1.4,1.295,1.35,36992,-0.05,-3.57
2022-06-17,1.39,1.4173,1.2938,1.38,61478,0.03,2.22
2022-06-21,1.36,1.4399,1.35,1.35,69311,-0.03,-2.17
2022-06-22,1.46,1.46,1.24,1.26,126436,-0.09,-6.67
2022-06-23,1.32,1.3294,1.26,1.28,39261,0.02,1.59
2022-06-24,1.31,1.37,1.3,1.33,63903,0.05,3.9063
2022-06-27,1.3,1.3512,1.28,1.29,69716,-0.04,-3.01
2022-06-28,1.27,1.32,1.26,1.27,35337,-0.02,-1.55
2022-06-29,1.25,1.25,1.16,1.21,43472,-0.06,-4.72
2022-06-30,1.22,1.3,1.2019,1.28,47855,0.07,5.79
2022-07-01,1.3099,1.31,1.2201,1.28,30261,0.0,0.0
2022-07-05,1.18,1.33,1.18,1.33,51257,0.05,3.91
2022-07-06,1.36,1.36,1.2873,1.31,28999,-0.02,-1.5
2022-07-07,1.33,1.4399,1.315,1.37,54667,0.06,4.5802
2022-07-08,1.34,1.4258,1.34,1.36,19407,-0.01,-0.7299
2022-07-11,1.35,1.43,1.33,1.33,13949,-0.03,-2.21
2022-07-12,1.42,1.44,1.3422,1.43,113605,0.1,7.52
