日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2004-02-19,4.275,4.99,4.025,4.7,2605336,0.0,0.0
2004-02-20,4.77,4.785,4.27,4.5,633713,-0.2002,-4.26
2004-02-23,4.625,4.625,4.02,4.3,122708,-0.1998,-4.44
2004-02-24,4.1925,4.5,4.11,4.275,64813,-0.0249,-0.58
2004-02-25,4.25,4.3745,4.25,4.3,66501,0.0248,0.58
2004-02-26,4.3675,4.5,4.25,4.4,62439,0.1002,2.33
2004-02-27,4.5,4.575,4.12,4.2,53775,-0.2002,-4.55
2004-03-01,4.255,4.255,4.075,4.105,69344,-0.0949,-2.26
2004-03-02,4.15,4.2,3.955,4.1,46642,-0.0049,-0.12
2004-03-03,4.0995,4.1,4.0,4.075,98682,0.0,0.0
2004-03-04,4.055,4.5,3.955,4.425,27440,0.3251,7.93
2004-03-05,4.15,4.6,3.94,4.12,23990,-0.3049,-6.89
2004-03-08,4.12,4.15,3.95,4.1,10967,-0.0202,-0.49
2004-03-09,4.14,4.14,3.865,4.0,11700,-0.1,-2.44
2004-03-10,4.055,4.2095,4.0,4.075,53600,0.0752,1.88
2004-03-11,4.095,4.135,3.94,4.0,21383,-0.075,-1.84
2004-03-12,3.9,4.1,3.9,4.025,15759,0.0252,0.63
2004-03-15,4.075,4.075,3.9005,4.025,6753,0.0,0.0
2004-03-16,3.975,3.975,3.88,3.88,10912,-0.1449,-3.6
2004-03-17,4.025,4.025,3.875,3.995,7200,0.1149,2.96
2004-03-18,3.9,4.0,3.76,3.9205,13852,-0.0751,-1.88
2004-03-19,3.895,4.0,3.755,3.775,11450,-0.145,-3.7
2004-03-22,3.775,3.865,3.68,3.69,34790,-0.0849,-2.25
2004-03-23,3.75,3.7645,3.685,3.705,4729,0.0151,0.41
2004-03-24,3.7,3.7,3.56,3.6,19885,-0.1048,-2.83
2004-03-25,3.55,3.7,3.55,3.6,5919,0.0,0.0
2004-03-26,3.576,3.785,3.575,3.695,35300,0.1806,5.14
2004-03-29,3.585,3.845,3.585,3.815,10940,0.0299,0.79
2004-03-30,3.86,3.865,3.775,3.85,3910,0.0351,0.92
2004-03-31,4.2,4.2,3.74,3.79,112396,-0.0601,-1.56
2004-04-01,3.75,3.79,3.73,3.74,9964,-0.05,-1.32
2004-04-02,3.94,3.94,3.68,3.735,23191,-0.0049,-0.13
2004-04-05,3.94,3.94,3.8,3.87,16300,0.1348,3.61
2004-04-06,3.7,3.85,3.65,3.8,26260,-0.07,-1.81
2004-04-07,3.66,3.75,3.455,3.48,35280,-0.32,-8.42
2004-04-08,3.74,3.75,3.25,3.345,46919,-0.135,-3.88
2004-04-12,3.6,3.6,3.3,3.6,28490,0.2549,7.62
2004-04-13,3.5745,3.575,3.325,3.44,9680,-0.0239,-0.69
2004-04-14,3.315,3.595,3.315,3.565,202600,-0.01,-0.28
2004-04-15,3.105,3.59,3.105,3.575,8502,0.01,0.28
2004-04-16,3.575,3.645,3.575,3.575,15612,0.0,0.0
2004-04-19,3.375,3.625,3.375,3.5,27992,-0.0751,-2.1
2004-04-20,3.475,3.55,3.35,3.375,34660,-0.1249,-3.57
2004-04-21,3.38,3.46,3.005,3.165,59985,-0.2099,-6.22
2004-04-22,3.34,3.575,3.075,3.335,15525,0.17,5.37
2004-04-23,3.4,3.575,3.225,3.225,11240,-0.1101,-3.3
2004-04-26,3.4995,3.4995,3.25,3.28,17425,0.0551,1.71
2004-04-27,3.4945,3.4945,3.25,3.36,1510,0.08,2.44
2004-04-28,3.2555,3.354,3.25,3.25,1500,-0.0049,-0.15
2004-04-29,3.26,3.44,3.25,3.25,9612,-0.105,-3.13
2004-04-30,3.2555,3.5,3.2555,3.49,53140,0.2399,7.38
2004-05-03,3.305,3.5,3.249,3.25,32497,-0.2401,-6.88
2004-05-04,3.375,3.375,3.2,3.25,11900,0.0,0.0
2004-05-05,3.13,3.25,3.13,3.235,7800,-0.0149,-0.46
2004-05-06,3.275,3.375,3.15,3.3195,19600,0.0851,2.63
2004-05-07,3.375,3.375,3.14,3.155,11131,-0.165,-4.97
2004-05-10,3.3445,3.3445,3.1,3.125,20234,-0.03,-0.95
2004-05-11,3.25,3.25,3.1,3.25,48045,0.125,4.0
2004-05-12,3.2,3.775,3.08,3.775,24800,0.5249,16.15
2004-05-13,3.65,3.85,3.3005,3.49,1900,-0.285,-7.55
2004-05-14,3.36,3.995,3.36,3.975,29146,0.4851,13.9
2004-05-17,3.9,4.025,3.795,4.0,26200,0.025,0.63
2004-05-18,4.0,4.125,3.9755,4.055,6683,0.0548,1.37
2004-05-19,4.0,4.0,3.75,3.75,1634,-0.3049,-7.52
2004-05-20,3.9995,4.0,3.995,3.9995,2002,0.2501,6.67
2004-05-21,3.8555,4.375,3.795,4.375,22410,0.3752,9.38
2004-05-24,4.15,4.46,4.15,4.345,45969,-0.0302,-0.69
2004-05-25,4.445,4.46,3.8,4.375,19517,0.03,0.69
2004-05-26,4.45,4.5,4.375,4.5,10929,0.1251,2.86
2004-05-27,4.485,4.555,4.325,4.525,12321,0.0252,0.56
2004-05-28,4.45,4.65,4.4355,4.65,6260,0.1249,2.76
2004-06-01,4.65,4.675,4.6,4.61,44363,-0.04,-0.86
2004-06-02,4.615,4.67,4.435,4.635,13190,0.0249,0.54
2004-06-03,4.625,4.63,4.5,4.5,7936,-0.1349,-2.91
2004-06-04,4.575,4.625,4.51,4.51,20525,0.0099,0.22
2004-06-07,4.52,4.575,4.265,4.5,21500,-0.0099,-0.22
2004-06-08,4.495,4.5,4.395,4.395,17292,-0.1048,-2.33
2004-06-09,4.5,4.57,4.465,4.465,38238,0.0699,1.59
2004-06-10,4.115,4.495,4.115,4.45,17540,-0.0152,-0.34
2004-06-14,4.5,4.5,4.375,4.48,26580,0.0298,0.67
2004-06-15,4.465,4.52,4.34,4.52,29299,0.0399,0.89
2004-06-16,4.465,4.534,4.275,4.38,36058,-0.1401,-3.1
2004-06-17,4.515,4.52,4.3,4.425,79161,0.0451,1.03
2004-06-18,4.505,4.505,4.225,4.37,45009,-0.0549,-1.24
2004-06-21,4.22,4.506,4.22,4.445,53433,0.0752,1.72
2004-06-22,4.445,4.5,4.3305,4.35,138980,-0.0951,-2.14
2004-06-23,4.385,4.48,4.28,4.48,95096,0.1301,2.99
2004-06-24,4.47,4.485,4.345,4.41,26844,-0.0699,-1.56
2004-06-25,4.38,4.46,4.07,4.07,271028,-0.34,-7.71
2004-06-28,4.075,4.145,3.735,3.79,20846,-0.28,-6.88
2004-06-29,3.865,4.0,3.515,3.515,17752,-0.2752,-7.26
2004-06-30,3.54,3.58,3.295,3.33,24163,-0.1849,-5.26
2004-07-01,3.39,3.435,3.255,3.255,16240,-0.0749,-2.25
2004-07-02,3.25,3.31,3.19,3.29,11988,0.0352,1.08
2004-07-06,3.345,3.345,3.17,3.215,11352,-0.075,-2.28
2004-07-07,3.185,3.275,3.145,3.15,6233,-0.0649,-2.02
2004-07-08,3.125,3.125,2.77,2.78,19302,-0.3701,-11.75
2004-07-09,2.775,2.885,2.75,2.755,13507,-0.025,-0.9
2004-07-12,2.765,3.255,2.645,3.115,10334,0.3601,13.07
2004-07-13,2.87,2.965,2.755,2.965,9418,-0.1502,-4.82
2004-07-14,2.845,3.23,2.75,2.755,11417,0.2261,8.94
2004-07-15,2.865,2.985,2.86,2.865,10288,-0.365,-11.3
2004-07-16,2.86,2.985,2.75,2.75,8748,-0.1149,-4.01
2004-07-19,2.755,2.925,2.735,2.925,14440,0.1749,6.36
2004-07-20,3.0,3.0,2.65,2.75,4241,-0.1749,-5.98
2004-07-21,2.84,2.98,2.61,2.61,10010,-0.14,-5.09
2004-07-22,2.64,2.64,2.45,2.45,17295,-0.16,-6.13
2004-07-23,2.6,2.62,2.265,2.295,11764,-0.1551,-6.33
2004-07-26,2.465,2.465,2.01,2.09,13861,-0.2049,-8.93
2004-07-27,2.01,2.325,2.01,2.325,161166,0.2349,11.24
2004-07-28,2.5,2.61,2.495,2.5,22522,0.1751,7.53
2004-07-29,2.495,2.595,2.495,2.59,1696,0.09,3.6
2004-07-30,2.59,2.645,2.51,2.51,3126,-0.08,-3.09
2004-08-02,2.48,2.65,2.48,2.5,2900,-0.01,-0.4
2004-08-03,2.5,2.5,2.175,2.25,8124,-0.25,-10.0
2004-08-04,2.09,2.46,2.09,2.26,5101,0.0099,0.44
2004-08-05,2.22,2.47,2.205,2.25,8160,-0.0099,-0.44
2004-08-06,2.13,2.275,2.13,2.255,5598,0.005,0.22
2004-08-09,2.2,2.55,2.2,2.44,9554,0.1849,8.2
2004-08-10,2.445,3.0,2.395,3.0,26605,0.56,22.95
2004-08-11,3.06,3.355,2.955,3.15,20343,0.15,5.0
2004-08-12,3.36,3.36,3.05,3.2195,16856,0.0699,2.22
2004-08-13,3.3345,3.3345,3.17,3.245,8789,0.0251,0.78
2004-08-16,3.345,3.415,3.085,3.125,20833,-0.1201,-3.7
2004-08-17,3.06,3.12,2.89,3.0,29361,-0.125,-4.0
2004-08-18,2.62,2.9,2.58,2.715,23037,-0.285,-9.5
2004-08-19,2.58,2.715,2.58,2.605,20300,-0.11,-4.05
2004-08-20,2.555,2.735,2.555,2.675,34190,0.0701,2.69
2004-08-23,2.6105,2.7545,2.55,2.55,49903,0.074,2.99
2004-08-24,2.6,2.6,2.405,2.56,105743,-0.1951,-7.08
2004-08-25,2.59,2.59,2.395,2.54,42670,-0.02,-0.78
2004-08-26,2.3905,2.4505,2.25,2.29,54918,-0.084,-3.54
2004-08-27,2.355,2.375,2.105,2.125,41516,-0.3251,-13.27
2004-08-30,2.185,2.285,2.185,2.2,11192,0.075,3.53
2004-08-31,2.26,2.295,2.2,2.295,6400,0.095,4.32
2004-09-01,2.295,2.6,2.245,2.39,11907,0.095,4.14
2004-09-02,2.46,2.54,2.35,2.4255,92410,0.0349,1.46
2004-09-03,2.585,2.6,2.455,2.475,7700,0.05,2.06
2004-09-07,2.455,2.545,2.265,2.305,44364,-0.17,-6.87
2004-09-08,2.3005,2.35,2.26,2.3,65350,0.044,1.95
2004-09-09,2.2995,2.4005,2.295,2.4,104478,0.0501,2.13
2004-09-10,2.4,2.5,2.335,2.45,42524,0.0499,2.08
2004-09-13,2.5,2.695,2.5,2.605,87096,0.1551,6.33
2004-09-14,2.785,2.785,2.5505,2.6,16024,-0.0049,-0.19
2004-09-15,2.5655,2.675,2.54,2.625,15524,0.0735,2.88
2004-09-16,2.705,2.75,2.5755,2.695,14837,0.0201,0.75
2004-09-17,2.75,2.845,2.64,2.775,130619,0.08,2.97
2004-09-20,2.82,2.915,2.745,2.855,18586,0.0799,2.88
2004-09-21,2.925,2.975,2.87,2.975,13431,0.1199,4.2
2004-09-22,2.975,3.225,2.825,3.225,38854,0.2499,8.4
2004-09-23,2.685,3.0,2.685,2.945,43371,-0.2799,-8.68
2004-09-24,2.8405,2.94,2.8405,2.935,400,-0.01,-0.34
2004-09-27,2.855,2.95,2.64,2.825,8280,-0.1101,-3.75
2004-09-28,2.905,2.915,2.75,2.87,42122,0.0449,1.59
2004-09-29,2.85,2.85,2.7855,2.79,5269,-0.0801,-2.79
2004-09-30,2.62,2.84,2.545,2.72,115517,-0.07,-2.51
2004-10-01,2.94,2.94,2.645,2.75,269361,0.0299,1.1
2004-10-04,2.6975,3.1,2.6975,2.95,89204,0.1999,7.27
2004-10-05,2.92,3.0,2.815,2.945,58675,-0.005,-0.17
2004-10-06,3.0,3.195,2.995,3.13,167521,0.1849,6.28
2004-10-07,3.115,3.125,2.985,3.025,24967,-0.1048,-3.35
2004-10-08,3.0775,3.0775,2.9,2.975,10465,-0.0499,-1.65
2004-10-11,2.9,3.135,2.9,2.93,22516,-0.0449,-1.51
2004-10-12,2.995,2.995,2.69,2.76,13210,-0.1699,-5.8
2004-10-13,2.925,2.975,2.715,2.76,15243,0.0,0.0
2004-10-14,3.115,3.115,2.6355,2.655,8961,-0.1049,-3.8
2004-10-15,2.63,2.76,2.575,2.76,3031,0.1049,3.95
2004-10-18,2.64,2.81,2.64,2.8,21138,0.04,1.45
2004-10-19,2.835,2.84,2.63,2.63,4783,-0.17,-6.07
2004-10-20,2.63,2.765,2.63,2.735,1124,0.1049,3.99
2004-10-21,2.725,2.745,2.68,2.685,8124,-0.0501,-1.83
2004-10-22,2.595,2.705,2.55,2.55,10620,-0.1351,-5.03
2004-10-25,2.61,2.69,2.55,2.675,2562,0.125,4.9
2004-10-26,2.505,2.655,2.505,2.575,7323,-0.1,-3.74
2004-10-27,2.63,2.755,2.575,2.635,26958,0.06,2.33
2004-10-28,2.69,2.87,2.6,2.625,14544,-0.01,-0.38
2004-10-29,2.695,2.695,2.575,2.59,10338,-0.0349,-1.33
2004-11-01,2.65,2.836,2.6005,2.61,20911,0.0199,0.77
2004-11-02,2.78,2.78,2.58,2.655,16213,0.0449,1.72
2004-11-03,2.7425,2.865,2.7,2.785,29711,0.1301,4.9
2004-11-04,2.865,2.945,2.745,2.83,12151,0.0451,1.62
2004-11-05,2.825,2.905,2.75,2.84,12090,0.0099,0.35
2004-11-08,2.8,2.92,2.785,2.825,44014,-0.0151,-0.53
2004-11-09,2.925,2.925,2.77,2.82,42445,-0.0051,-0.18
2004-11-10,2.865,3.01,2.85,2.995,46758,0.1751,6.21
2004-11-11,3.035,3.26,3.03,3.15,60602,0.1551,5.18
2004-11-12,3.145,3.155,3.06,3.06,7100,-0.0901,-2.86
2004-11-15,3.325,3.325,2.98,3.07,26655,0.0101,0.33
2004-11-16,3.14,3.14,2.815,2.95,7972,-0.12,-3.91
2004-11-17,3.05,3.05,2.89,3.05,9103,0.1,3.39
2004-11-18,2.965,3.08,2.93,3.08,39535,0.0299,0.98
2004-11-19,3.035,3.25,2.95,3.16,38377,0.0801,2.6
2004-11-22,3.245,3.285,2.945,3.05,10918,-0.11,-3.48
2004-11-23,3.275,3.295,2.975,3.17,15028,0.1199,3.93
2004-11-24,3.05,3.205,3.04,3.095,282012,-0.0751,-2.37
2004-11-26,3.025,3.125,3.025,3.075,2800,-0.0201,-0.65
2004-11-29,3.34,3.34,3.005,3.15,10956,0.075,2.44
2004-11-30,3.065,3.54,3.065,3.535,67094,0.3849,12.22
2004-12-01,3.56,3.595,3.27,3.325,18054,-0.21,-5.94
2004-12-02,3.46,3.55,3.31,3.45,13055,0.125,3.76
2004-12-03,3.445,3.5,3.245,3.245,13720,-0.2049,-5.94
2004-12-06,3.13,3.475,3.125,3.255,29933,0.0101,0.31
2004-12-07,3.16,3.415,3.145,3.25,69831,-0.0049,-0.15
2004-12-08,3.05,3.9545,2.375,3.65,95957,0.4001,12.31
2004-12-09,4.165,4.4,3.62,4.0,150841,0.35,9.59
2004-12-10,4.0,4.085,3.855,3.97,38704,-0.03,-0.75
