日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-01-03,0.74,0.78,0.74,0.78,20925,0.04,5.41
1995-01-04,0.78,0.78,0.74,0.74,2475,-0.04,-5.13
1995-01-05,0.78,0.78,0.74,0.74,42975,0.0,0.0
1995-01-06,0.74,0.8867,0.74,0.8867,1621350,0.1467,19.82
1995-01-09,0.9267,1.1133,0.9267,1.0733,993825,0.1866,21.05
1995-01-10,1.1133,1.1133,1.0,1.0,123300,-0.0733,-6.83
1995-01-11,1.0,1.04,0.9667,1.04,74475,0.04,4.0
1995-01-12,1.0,1.04,1.0,1.04,37350,0.0,0.0
1995-01-13,1.0733,1.1467,1.0733,1.1133,70425,0.0733,7.05
1995-01-16,1.1533,1.2933,1.1133,1.1467,256275,0.0333,2.99
1995-01-17,1.1533,1.22,1.1467,1.1867,137025,0.04,3.49
1995-01-18,1.22,1.22,1.1467,1.1867,87750,0.0,0.0
1995-01-19,1.22,1.22,1.1867,1.1867,59400,0.0,0.0
1995-01-20,1.1867,1.22,1.1867,1.1867,16425,0.0,0.0
1995-01-23,1.1533,1.1867,1.1133,1.1867,15525,0.0,0.0
1995-01-24,1.1533,1.1867,1.1133,1.1133,36675,-0.0733,-6.18
1995-01-25,1.1133,1.1133,1.0,1.0733,61650,-0.04,-3.59
1995-01-26,1.1133,1.1133,1.0733,1.0733,1800,0.0,0.0
1995-01-27,1.1133,1.1467,1.0733,1.1467,18000,0.0733,6.83
1995-01-30,1.1867,1.22,1.1467,1.1867,20250,0.04,3.49
1995-01-31,1.22,1.22,1.1867,1.22,43200,0.0333,2.81
1995-02-01,1.1867,1.22,1.1467,1.1867,42975,-0.0333,-2.73
1995-02-02,1.1533,1.1867,1.1467,1.1867,15975,0.0,0.0
1995-02-03,1.1533,1.1867,1.1133,1.1867,30825,0.0,0.0
1995-02-06,1.1867,1.1867,1.1133,1.1467,11925,-0.04,-3.37
1995-02-07,1.1133,1.1133,1.0733,1.1133,24300,-0.0334,-2.91
1995-02-08,1.1467,1.1467,1.1133,1.1467,35775,0.0333,2.99
1995-02-09,1.1133,1.1467,1.1133,1.1133,9000,-0.0334,-2.91
1995-02-10,1.1133,1.1467,1.1133,1.1133,21600,0.0,0.0
1995-02-13,1.0733,1.1133,1.0733,1.1133,60750,0.0,0.0
1995-02-14,1.0733,1.1133,1.0733,1.1133,27450,0.0,0.0
1995-02-15,1.1133,1.1133,1.0733,1.0733,26775,-0.04,-3.59
1995-02-16,1.1133,1.1133,1.1133,1.1133,27225,0.04,3.73
1995-02-17,1.1467,1.1467,1.1467,1.1467,31950,0.0333,2.99
1995-02-21,1.1133,1.1467,1.1133,1.1467,11025,0.0,0.0
1995-02-22,1.1467,1.1467,1.1133,1.1467,20025,0.0,0.0
1995-02-23,1.1133,1.1867,1.1133,1.1867,23175,0.04,3.49
1995-02-24,1.1867,1.1867,1.1467,1.1867,84825,0.0,0.0
1995-02-27,1.1533,1.26,1.1467,1.1467,54225,-0.04,-3.37
1995-02-28,1.1867,1.22,1.1467,1.1467,22950,0.0,0.0
1995-03-01,1.1133,1.1133,1.0733,1.1133,22950,-0.0334,-2.91
1995-03-02,1.1133,1.1467,1.04,1.1133,38250,0.0,0.0
1995-03-03,1.1133,1.1133,1.0,1.04,59175,-0.0734,-6.59
1995-03-06,1.04,1.04,1.0,1.04,20925,0.0,0.0
1995-03-08,1.04,1.04,1.04,1.04,7200,0.0,0.0
1995-03-09,1.0,1.0,1.0,1.0,1575,-0.04,-3.85
1995-03-10,1.04,1.04,1.0,1.0,25200,0.0,0.0
1995-03-13,1.0,1.0,1.0,1.0,7875,0.0,0.0
1995-03-14,0.9667,1.1467,0.9667,1.1133,170100,0.1133,11.33
1995-03-15,1.1533,1.1867,1.1467,1.1467,70650,0.0333,2.99
1995-03-16,1.1467,1.1467,1.1467,1.1467,2925,0.0,0.0
1995-03-17,1.1533,1.1867,1.1467,1.1467,53550,0.0,0.0
1995-03-20,1.1867,1.1867,1.1867,1.1867,25200,0.04,3.49
1995-03-21,1.1867,1.1867,1.1467,1.1467,36225,-0.04,-3.37
1995-03-22,1.1133,1.1133,1.0867,1.1133,13050,-0.0334,-2.91
1995-03-23,1.1133,1.1467,1.1133,1.1133,24975,0.0,0.0
1995-03-24,1.1467,1.1467,1.1133,1.1467,8550,0.0333,2.99
1995-03-27,1.1133,1.1133,1.1133,1.1133,15300,-0.0334,-2.91
1995-03-28,1.1467,1.1467,1.1133,1.1467,25425,0.0333,2.99
1995-03-29,1.1467,1.1467,1.1133,1.1467,14625,0.0,0.0
1995-03-30,1.1533,1.22,1.1467,1.1867,65925,0.04,3.49
