日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-11-28,1.501,1.5067,1.501,1.501,52200500,0.0,0.0
1995-11-29,1.501,1.5067,1.501,1.501,7285500,0.0,0.0
1995-11-30,1.501,1.5067,1.501,1.501,12252500,0.0,0.0
1995-12-01,1.4497,1.4554,1.4154,1.4326,8163000,-0.0684,-4.56
1995-12-04,1.4097,1.4154,1.3926,1.4097,2451250,-0.0228,-1.59
1995-12-05,1.404,1.4326,1.404,1.4326,4798750,0.0228,1.62
1995-12-06,1.4554,1.4554,1.4383,1.444,2346250,0.0115,0.8
1995-12-07,1.4554,1.4554,1.444,1.444,628000,0.0,0.0
1995-12-08,1.444,1.4554,1.444,1.4554,634250,0.0114,0.79
1995-12-11,1.4497,1.4725,1.4497,1.4725,2501250,0.0172,1.18
1995-12-12,1.4725,1.4839,1.4668,1.4668,1245000,-0.0057,-0.39
1995-12-13,1.4725,1.4782,1.4725,1.4725,2426750,0.0057,0.39
1995-12-14,1.501,1.5125,1.4896,1.4896,2607500,0.0171,1.16
1995-12-15,1.5067,1.5182,1.501,1.5125,3391750,0.0228,1.53
1995-12-18,1.5182,1.5182,1.4953,1.501,2215000,-0.0113,-0.75
1995-12-19,1.5067,1.5353,1.5067,1.5296,2769250,0.0285,1.9
1995-12-20,1.5809,1.5809,1.5524,1.5524,3508750,0.0228,1.49
1995-12-21,1.5524,1.5867,1.5467,1.5695,1658000,0.0171,1.1
1995-12-22,1.5695,1.5695,1.5581,1.5581,1381750,-0.0115,-0.73
1995-12-26,1.5638,1.5752,1.5638,1.5638,261750,0.0058,0.37
1995-12-27,1.5638,1.5695,1.5581,1.5581,653750,-0.0056,-0.36
1995-12-28,1.5581,1.5695,1.5467,1.5695,834250,0.0114,0.73
1995-12-29,1.5695,1.5695,1.5581,1.5638,429250,-0.0057,-0.36
1996-01-02,1.5924,1.5981,1.5867,1.5924,1843000,0.0285,1.82
1996-01-03,1.6095,1.6095,1.5924,1.5981,1266750,0.0057,0.36
1996-01-04,1.5924,1.5924,1.5638,1.5695,2414250,-0.0286,-1.79
1996-01-05,1.5695,1.5809,1.5638,1.5752,713750,0.0057,0.36
1996-01-08,1.5867,1.6038,1.5867,1.5924,1498000,0.0172,1.09
1996-01-09,1.638,1.638,1.6209,1.6209,3074250,0.0285,1.79
1996-01-10,1.6209,1.6266,1.5981,1.5981,1031250,-0.0229,-1.41
1996-01-11,1.6209,1.6266,1.6152,1.6152,697500,0.0171,1.07
1996-01-12,1.6152,1.6266,1.6152,1.6209,458750,0.0057,0.35
1996-01-15,1.6038,1.6038,1.5638,1.5695,521250,-0.0514,-3.17
1996-01-16,1.5867,1.6209,1.5867,1.6209,1160000,0.0513,3.27
1996-01-17,1.6209,1.6209,1.6038,1.6095,385000,-0.0113,-0.7
1996-01-18,1.6323,1.6437,1.6266,1.6437,955000,0.0343,2.13
1996-01-19,1.6723,1.6894,1.6608,1.6837,2157500,0.0399,2.43
1996-01-22,1.6723,1.6723,1.6437,1.6494,293750,-0.0342,-2.03
1996-01-23,1.6437,1.6494,1.638,1.6437,218750,-0.0058,-0.35
1996-01-24,1.6551,1.6608,1.6551,1.6608,628000,0.0171,1.04
1996-01-25,1.6551,1.6551,1.6494,1.6551,341750,-0.0056,-0.34
1996-01-26,1.6152,1.6494,1.6152,1.6494,735500,-0.0056,-0.34
1996-01-29,1.6494,1.6608,1.6494,1.6608,595000,0.0114,0.69
1996-01-30,1.6666,1.6723,1.6666,1.6666,1023000,0.0056,0.34
1996-01-31,1.6608,1.7008,1.6494,1.7008,1451250,0.0342,2.05
1996-02-01,1.7065,1.7293,1.7008,1.7236,590500,0.0228,1.34
1996-02-02,1.7179,1.7293,1.7179,1.7179,587500,-0.0057,-0.33
1996-02-05,1.7122,1.7236,1.7065,1.7236,1355500,0.0057,0.33
1996-02-06,1.7293,1.7579,1.7293,1.7522,1274250,0.0286,1.66
1996-02-07,1.7407,1.7465,1.7293,1.7407,856250,-0.0114,-0.65
1996-02-08,1.7407,1.7522,1.7407,1.7465,161750,0.0057,0.33
1996-02-09,1.7465,1.7636,1.7465,1.7522,854250,0.0058,0.33
1996-02-12,1.735,1.735,1.7122,1.7179,219250,-0.0342,-1.95
1996-02-13,1.7407,1.7693,1.735,1.7465,721750,0.0285,1.66
1996-02-14,1.7065,1.7065,1.678,1.7008,560500,-0.0456,-2.61
1996-02-15,1.678,1.678,1.6551,1.6666,753000,-0.0342,-2.01
