日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-11-08,10.71,10.71,9.6928,9.7,4270,0.0,0.0
2021-11-09,9.7206,9.75,9.7,9.74,8183,0.04,0.4124
2021-11-10,9.74,9.74,9.74,9.74,3,0.0,0.0
2021-11-11,9.74,9.74,9.74,9.74,6,0.0,0.0
2021-11-15,9.7316,9.7316,9.7316,9.7316,500,-0.0084,-0.0862
2021-11-16,9.73,9.77,9.73,9.77,5604,0.038,0.39
2021-11-17,9.75,9.78,9.75,9.78,116300,0.01,0.1024
2021-11-18,9.78,10.02,9.78,9.82,63266,0.04,0.409
2021-11-19,9.82,9.82,9.81,9.81,17185,-0.01,-0.1018
2021-11-23,9.86,9.86,9.81,9.81,24140,0.0,0.0
2021-11-24,9.81,9.81,9.81,9.81,1,0.0,0.0
2021-11-26,9.79,9.79,9.79,9.79,98853,-0.02,-0.2
2021-11-29,9.83,9.83,9.78,9.78,1236,-0.01,-0.1
2021-11-30,9.82,9.82,9.77,9.77,744,-0.01,-0.1022
2021-12-01,9.77,9.77,9.77,9.77,1,0.0,0.0
2021-12-02,9.82,9.83,9.76,9.79,21070,0.02,0.2047
2021-12-06,9.79,9.79,9.77,9.77,223735,-0.02,-0.2043
2021-12-07,9.77,9.78,9.77,9.78,173464,0.01,0.1024
2021-12-08,9.75,9.75,9.74,9.75,173671,-0.03,-0.3067
2021-12-09,9.73,10.08,9.71,9.79,126691,0.04,0.4103
2021-12-10,9.78,9.78,9.74,9.74,275,-0.05,-0.5107
2021-12-14,9.74,9.74,9.74,9.74,2437,0.0,0.0
2021-12-16,9.81,9.81,9.68,9.69,3700,-0.05,-0.5133
2021-12-17,9.7,9.85,9.7,9.85,5769,0.16,1.6512
2021-12-22,9.85,9.85,9.85,9.85,50,0.0,0.0
2021-12-23,9.75,9.77,9.75,9.76,2290,-0.09,-0.9137
2021-12-27,9.72,9.75,9.72,9.75,393,-0.01,-0.1025
2021-12-28,9.74,9.75,9.74,9.75,100656,0.0,0.0
2021-12-29,9.74,9.75,9.74,9.7401,2525,-0.0099,-0.1015
2021-12-30,9.77,9.77,9.77,9.77,200,0.0299,0.307
2021-12-31,9.77,9.78,9.74,9.78,4734,0.01,0.1
2022-01-03,9.74,9.74,9.74,9.74,627,-0.04,-0.409
2022-01-05,9.75,9.76,9.75,9.76,800,0.02,0.2053
2022-01-06,9.75,9.76,9.75,9.76,10374,0.0,0.0
2022-01-07,9.95,9.96,9.76,9.76,1674,0.0,0.0
2022-01-10,9.72,9.75,9.72,9.75,5089,-0.01,-0.1025
2022-01-11,9.77,9.77,9.76,9.76,504,0.01,0.1026
2022-01-12,9.83,9.84,9.72,9.76,23600,0.0,0.0
2022-01-13,10.02,10.02,9.73,9.76,25862,0.0,0.0
2022-01-21,9.75,9.75,9.72,9.72,3475,-0.04,-0.4098
2022-01-24,9.85,9.85,9.85,9.85,151,0.13,1.3374
2022-01-25,9.8,9.8,9.72,9.72,1205,-0.13,-1.3198
2022-01-26,9.72,9.72,9.72,9.72,1001,0.0,0.0
2022-01-27,9.72,9.72,9.72,9.72,325,0.0,0.0
2022-01-31,9.78,9.78,9.78,9.78,246,0.06,0.6173
2022-02-02,9.785,9.785,9.77,9.77,1443,-0.01,-0.1022
2022-02-03,9.78,9.78,9.78,9.78,100,0.01,0.1024
2022-02-07,9.79,9.79,9.78,9.78,931,0.0,0.0
2022-02-08,9.78,9.78,9.78,9.78,8,0.0,0.0
2022-02-09,9.78,9.78,9.78,9.78,60,0.0,0.0
2022-02-10,9.75,9.76,9.75,9.76,3459,-0.02,-0.2045
2022-02-11,9.76,9.81,9.76,9.81,311,0.05,0.5123
2022-02-14,9.76,9.76,9.72,9.76,24673,-0.05,-0.5097
2022-02-15,9.75,9.755,9.75,9.755,1460,-0.005,-0.0512
2022-02-16,9.75,9.76,9.75,9.75,12286,-0.005,-0.0513
2022-02-17,9.84,9.84,9.75,9.76,759893,0.01,0.1026
2022-02-18,9.76,9.76,9.76,9.76,60,0.0,0.0
2022-02-22,9.82,9.82,9.82,9.82,177,0.06,0.6148
2022-02-24,9.7999,9.7999,9.7999,9.7999,100,-0.0201,-0.2047
2022-03-01,9.775,9.79,9.75,9.77,205053,-0.0299,-0.3051
2022-03-02,9.77,9.77,9.77,9.77,22,0.0,0.0
2022-03-08,9.85,9.87,9.82,9.82,691945,0.05,0.51
2022-03-09,9.84,9.86,9.82,9.85,2624070,0.03,0.31
2022-03-10,9.85,9.85,9.82,9.85,186507,0.0,0.0
2022-03-11,9.85,9.86,9.845,9.86,36166,0.01,0.1
2022-03-14,9.86,9.86,9.86,9.86,119,0.0,0.0
2022-03-15,9.86,9.86,9.86,9.86,25,0.0,0.0
2022-03-16,9.86,9.86,9.83,9.86,77699,0.0,0.0
2022-03-18,9.86,9.86,9.86,9.86,593,0.0,0.0
2022-03-21,9.9793,9.9793,9.8441,9.8441,1027,-0.0159,-0.1613
2022-03-22,9.905,9.905,9.87,9.87,410,0.0259,0.2631
2022-03-24,9.83,10.0,9.83,10.0,1833,0.13,1.3171
2022-03-25,9.84,9.84,9.84,9.84,553,-0.16,-1.6
2022-03-28,9.83,9.835,9.83,9.835,11108,-0.005,-0.0508
2022-03-29,9.84,9.84,9.83,9.83,1138,-0.005,-0.05
2022-03-30,9.83,9.84,9.83,9.83,16156,0.0,0.0
2022-03-31,9.83,9.85,9.83,9.84,118688,0.01,0.1017
2022-04-01,9.84,9.84,9.84,9.84,7328,0.0,0.0
2022-04-04,9.87,9.87,9.87,9.87,259,0.03,0.3049
2022-04-05,9.87,9.87,9.87,9.87,11,0.0,0.0
2022-04-06,9.83,9.8442,9.83,9.8442,1328,-0.0258,-0.2614
2022-04-07,9.8442,9.8442,9.8442,9.8442,7,0.0,0.0
2022-04-12,9.8442,9.8442,9.8442,9.8442,15,0.0,0.0
2022-04-13,9.8442,9.8442,9.8442,9.8442,6,0.0,0.0
