日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2018-04-26,415.2,476.0,394.4,464.0,991842,50.01,12.08
2018-04-27,415.2,466.0,394.4,456.0,356517,-7.9805,-1.72
2018-04-30,415.2,494.8,394.4,490.8,89728,34.7933,7.63
2018-05-01,415.2,542.0,394.4,530.4,386409,39.607,8.07
2018-05-02,415.2,556.396,394.4,538.0,242341,7.5849,1.43
2018-05-03,415.2,548.0,394.4,541.2,113408,3.1744,0.59
2018-05-04,415.2,523.2,394.4,522.4,131790,-18.7789,-3.47
2018-05-07,415.2,539.1,394.4,536.4,82454,14.0003,2.68
2018-05-08,415.2,553.6,394.4,551.2,97408,14.8045,2.76
2018-05-09,415.2,592.2,394.4,590.4,155938,39.191,7.11
2018-05-10,415.2,598.0,394.4,595.2,119832,4.7824,0.81
2018-05-11,415.2,589.6,394.4,588.2,65528,-7.0236,-1.18
2018-05-14,415.2,623.6,394.4,623.6,70011,33.1815,5.62
2018-05-15,415.2,635.6,394.4,634.4,69552,10.7885,1.73
2018-05-16,415.2,628.396,394.4,628.396,111036,-6.027,-0.95
2018-05-17,415.2,647.6,394.4,639.6,55183,17.1788,2.76
2018-05-18,415.2,633.844,625.6,625.6,34115,-22.019,-3.4
2018-05-21,415.2,594.4,394.4,591.6,107591,-33.9684,-5.43
2018-05-22,415.2,574.0,568.4,568.4,55184,-23.1903,-3.92
2018-05-23,415.2,602.8,394.4,586.8,201071,18.4157,3.24
2018-05-24,415.2,600.8,394.4,600.8,104496,14.0239,2.39
2018-05-25,415.2,595.6,394.4,588.4,32498,-12.376,-2.06
2018-05-29,415.2,578.8,394.4,566.0,39137,-22.4188,-3.81
2018-05-30,415.2,574.4,394.4,564.4,43215,-1.5848,-0.28
2018-05-31,415.2,607.2,394.4,596.4,112881,32.0014,5.67
2018-06-01,415.2,602.0,394.4,600.0,44113,3.5785,0.6
2018-06-04,607.2,608.0,564.4,586.0,61776,-13.9795,-2.33
2018-06-05,590.4,607.6,580.8,601.6,58715,15.5879,2.66
2018-06-06,600.8,675.2,600.8,658.8,197016,57.2111,9.51
2018-06-07,666.0,715.2,644.0,678.0,97633,19.1719,2.91
2018-06-08,676.0,731.2,527.2,697.6,354735,19.5944,2.89
2018-06-11,704.8,780.0,702.44,761.6,355210,63.9724,9.17
2018-06-12,764.0,860.0,748.0,823.6,294279,61.9947,8.14
2018-06-13,809.2,870.4,800.0,812.4,451927,-11.201,-1.36
2018-06-14,807.2,902.8,780.04,860.4,329727,48.0121,5.91
2018-06-15,876.0,984.0,867.12,930.8,711005,70.3822,8.18
2018-06-18,932.0,932.4,817.6,834.0,297532,-96.8036,-10.4
2018-06-19,824.4,825.6,748.04,768.0,319363,-65.9668,-7.91
2018-06-20,768.0,798.4,730.04,756.4,216924,-11.5968,-1.51
2018-06-21,760.0,770.76,720.0,752.4,242066,-4.009,-0.53
2018-06-22,758.0,788.0,704.6,771.2,2045945,18.8098,2.5
2018-06-25,736.4,768.0,695.4,754.0,226345,-17.1977,-2.23
2018-06-26,800.0,816.0,720.4,786.8,297859,32.799,4.35
2018-06-27,771.2,791.58,732.8,742.8,288008,-43.9811,-5.59
2018-06-28,742.8,768.0,720.8,733.2,264983,-9.5819,-1.29
2018-06-29,780.0,780.0,680.0,682.8,249450,-50.3687,-6.87
2018-07-02,684.8,711.6,646.4,662.4,162443,-20.4162,-2.99
2018-07-03,728.4,728.4,684.4,694.4,67948,31.9942,4.83
2018-07-05,714.8,759.0,696.0,751.2,70053,56.8018,8.18
2018-07-06,736.0,773.6,728.4,760.4,96391,9.1651,1.22
2018-07-09,767.2,791.12,764.0,783.2,83813,22.8117,3.0
2018-07-10,782.0,790.8,768.188,780.8,28085,-2.428,-0.31
2018-07-11,780.0,783.196,749.2,753.6,41229,-27.1708,-3.48
2018-07-12,758.0,787.6,751.048,785.2,42010,31.5768,4.19
2018-07-13,783.6,784.0,740.4,754.4,57812,-30.779,-3.92
2018-07-16,756.8,756.8,701.2,714.4,41904,-39.9823,-5.3
2018-07-17,715.2,715.2,690.0,704.8,35928,-9.5726,-1.34
2018-07-18,703.6,705.2,690.0,696.4,27592,-8.387,-1.19
2018-07-19,696.0,696.4,684.4,691.6,30089,-4.8052,-0.69
2018-07-20,682.0,682.0,645.2,649.2,72483,-42.3948,-6.13
2018-07-23,651.2,662.8,644.0,646.8,59763,-2.402,-0.37
2018-07-24,651.6,652.0,627.8,630.8,95209,-15.9754,-2.47
2018-07-25,613.2,672.0,598.8,657.2,51645,26.4293,4.19
2018-07-26,652.0,677.772,641.7,666.8,32431,9.5952,1.46
2018-07-27,668.0,668.0,601.2,630.4,49598,-36.4077,-5.46
2018-07-30,630.0,630.0,600.8,605.6,49403,-24.7737,-3.93
2018-07-31,610.0,610.0,592.0,606.8,65117,1.2112,0.2
2018-08-01,607.2,607.2,575.6,583.2,36286,-23.6047,-3.89
2018-08-02,580.8,589.6,558.0,560.4,64728,-22.8032,-3.91
2018-08-03,564.0,568.2,534.04,546.8,30327,-13.6182,-2.43
2018-08-06,549.2,552.0,534.0,536.0,88813,-10.8272,-1.98
2018-08-07,540.0,544.0,520.0,526.0,42834,-10.0236,-1.87
2018-08-08,563.2,580.0,510.4,568.4,70986,42.3959,8.06
2018-08-09,561.6,581.6,542.4,577.2,84163,8.81,1.55
2018-08-10,570.8,606.0,570.0,600.0,35503,22.7994,3.95
2018-08-13,604.4,630.8,594.4,621.2,33086,21.1807,3.53
2018-08-14,626.4,637.6,599.2,604.8,86294,-16.3997,-2.64
2018-08-15,610.0,610.0,551.6,572.4,35603,-32.4183,-5.36
2018-08-16,577.2,577.2,543.2,551.2,30791,-21.178,-3.7
2018-08-17,548.0,549.4,456.8,478.0,161985,-73.1993,-13.28
2018-08-20,438.4,525.6,425.8,500.8,183909,22.8006,4.77
2018-08-21,500.8,540.4,481.6,526.8,155431,25.9919,5.19
2018-08-22,520.4,558.0,507.2,534.0,148025,7.2169,1.37
2018-08-23,537.2,577.58,518.4,569.2,94473,35.1912,6.59
2018-08-24,568.0,611.98,564.4,602.4,38774,33.1852,5.83
2018-08-27,602.8,697.6,600.9,690.0,84700,87.5904,14.54
2018-08-28,690.0,739.596,672.8,703.2,86867,13.1794,1.91
2018-08-29,700.4,729.996,680.0,686.8,66853,-16.3842,-2.33
2018-08-30,688.4,739.2,688.4,719.6,45449,32.8277,4.78
2018-08-31,721.6,740.0,672.8,732.8,46870,13.1692,1.83
2018-09-04,730.0,730.0,684.4,689.2,67705,-43.6017,-5.95
2018-09-05,692.4,695.776,681.2,686.4,21646,-2.8258,-0.41
2018-09-06,699.6,699.6,664.8,682.8,41364,-3.5691,-0.52
