日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1997-01-02,23.6383,23.6383,23.0581,23.2413,263900,-0.4308,-1.82
1997-01-03,23.3635,23.9132,23.2108,23.9132,744500,0.6739,2.9
1997-01-06,24.0659,24.1575,23.9437,24.0964,268600,0.1865,0.78
1997-01-07,24.0048,24.5851,23.8827,24.5851,337900,0.4891,2.03
1997-01-08,24.921,24.921,24.4629,24.5851,504700,0.0,0.0
1997-01-09,24.5851,24.7683,24.1881,24.5546,522900,-0.0295,-0.12
1997-01-10,24.1881,24.86,24.1881,24.86,376600,0.3021,1.23
1997-01-13,24.86,25.0737,24.6767,24.8905,389300,0.0298,0.12
1997-01-14,24.8294,24.921,24.6156,24.7378,363300,-0.1568,-0.63
1997-01-15,24.524,24.7378,24.3102,24.3102,303200,-0.4204,-1.7
1997-01-16,24.4019,24.7073,24.3408,24.5851,289700,0.2747,1.13
1997-01-17,24.6156,24.8905,24.3713,24.524,478500,-0.0689,-0.28
1997-01-20,24.4935,24.5851,24.3713,24.4629,391000,-0.0589,-0.24
1997-01-21,24.4324,24.8905,24.3713,24.6767,454900,0.2153,0.88
1997-01-22,24.4324,24.5851,24.3408,24.4324,355500,-0.2443,-0.99
1997-01-23,24.4935,24.6767,23.8827,23.9132,349400,-0.5179,-2.12
1997-01-24,23.73,23.8827,23.4246,23.4246,481300,-0.4878,-2.04
1997-01-27,23.4856,24.1575,23.4551,23.8827,328200,0.4591,1.96
1997-01-28,24.3102,24.3713,23.6994,23.73,282900,-0.1553,-0.65
1997-01-29,23.6383,24.0659,23.6383,24.0354,227700,0.3038,1.28
1997-01-30,24.0964,24.6767,24.0659,24.5546,337500,0.5286,2.2
1997-01-31,24.6156,24.7073,24.0659,24.0659,210500,-0.4886,-1.99
1997-02-03,24.0659,24.5546,23.9132,24.524,643500,0.4502,1.87
1997-02-04,24.4629,24.7683,24.4629,24.6767,384100,0.1569,0.64
1997-02-05,24.7073,25.0432,24.3102,24.3713,370300,-0.3035,-1.23
1997-02-06,24.2492,24.6462,24.1575,24.6462,258300,0.273,1.12
1997-02-07,24.7989,25.1654,24.7073,25.1654,449400,0.5176,2.1
1997-02-10,25.1348,25.3791,24.86,24.86,202900,-0.3019,-1.2
1997-02-11,24.9516,25.0127,24.5546,24.921,211400,0.0597,0.24
1997-02-12,24.921,25.4097,24.921,25.4097,265800,0.4885,1.96
1997-02-13,25.4097,25.5319,25.2264,25.3486,311600,-0.0584,-0.23
1997-02-14,25.5319,25.5319,25.1654,25.1959,297100,-0.1572,-0.62
1997-02-18,25.3181,25.7151,25.1348,25.7151,164500,0.519,2.06
1997-02-19,25.6021,25.6328,25.0803,25.2951,285900,-0.5505,-2.13
1997-02-20,25.4793,25.5407,24.7733,25.0496,275500,-0.2454,-0.97
1997-02-21,25.0189,25.111,24.8347,24.9268,219600,-0.1177,-0.47
1997-02-24,25.0189,25.2031,24.9268,24.9882,374500,0.0299,0.12
1997-02-25,24.9575,25.1417,24.9268,25.0189,196900,0.0,0.0
1997-02-26,24.9882,25.0496,24.7119,24.8961,406200,-0.0699,-0.28
1997-02-27,24.804,24.8961,24.5584,24.5584,395200,-0.3336,-1.34
1997-02-28,24.4049,24.5584,24.3128,24.3128,274000,-0.2456,-1.0
1997-03-03,24.19,24.5584,24.1593,24.4049,179900,0.0875,0.36
1997-03-04,24.4663,24.6505,24.2514,24.2514,452000,-0.1464,-0.6
1997-03-05,24.2514,25.0803,24.2514,24.9575,325400,0.7081,2.92
1997-03-06,25.0189,25.0189,24.7426,24.9575,214800,0.0,0.0
1997-03-07,24.9575,25.2951,24.6505,24.7426,255200,-0.2171,-0.87
1997-03-10,24.7426,25.2338,24.5584,25.2338,252400,0.4899,1.98
1997-03-11,12.6169,12.6783,12.2792,12.4327,439600,-0.1868,-1.48
1997-03-12,12.4941,12.5248,12.3099,12.4327,417900,0.0,0.0
1997-03-13,12.4327,12.4327,12.1564,12.2485,426500,-0.1815,-1.46
1997-03-14,12.3099,12.402,12.1257,12.1257,435400,-0.1225,-1.0
