日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2018-10-12,14.35,14.9499,13.755,14.0,913249,0.0,0.0
2018-10-15,14.0,14.1795,14.0,14.0,47242,0.0,0.0
2018-10-16,13.82,14.2019,13.82,14.0,29594,0.0,0.0
2018-10-17,14.0,14.15,13.9,14.0,11303,0.0,0.0
2018-10-18,14.0,14.0,13.03,13.92,59215,-0.08,-0.57
2018-10-19,13.95,14.435,13.8,14.0,117236,0.08,0.57
2018-10-22,13.99,14.53,13.99,14.31,13797,0.31,2.21
2018-10-23,13.29,13.96,9.21,13.85,39172,-0.46,-3.21
2018-10-24,13.93,14.0,13.92,13.99,23070,0.14,1.01
2018-10-25,14.08,14.97,13.01,14.97,153343,0.98,7.01
2018-10-26,13.86,15.37,13.86,14.85,8777,-0.12,-0.8
2018-10-29,15.01,15.01,14.26,14.47,5134,-0.38,-2.56
2018-10-30,14.48,14.64,13.655,14.32,12666,-0.15,-1.04
2018-10-31,14.32,14.91,13.88,14.0,14380,-0.32,-2.23
2018-11-01,14.23,15.05,11.75,14.98,11790,0.98,7.0
2018-11-02,14.97,15.4,13.47,15.035,6273,0.055,0.37
2018-11-05,15.39,16.34,12.83,16.34,3077,1.305,8.68
2018-11-06,15.11,18.5,15.11,16.98,34212,0.64,3.92
2018-11-07,16.96,19.27,16.96,17.1,48766,0.12,0.71
2018-11-08,16.9,18.0,16.35,16.99,66752,-0.11,-0.64
2018-11-09,16.77,16.9899,15.07,16.5,8392,-0.49,-2.88
2018-11-12,16.48,16.48,14.185,15.6,13463,-0.9,-5.45
2018-11-13,15.39,16.36,14.09,15.55,10849,-0.05,-0.32
2018-11-14,15.54,16.31,14.24,15.89,6847,0.34,2.19
2018-11-15,12.6,16.19,12.6,15.85,48060,-0.04,-0.25
2018-11-16,14.32,18.29,13.5,16.9,78013,1.05,6.62
2018-11-19,16.89,16.89,14.88,14.88,34125,-2.02,-11.95
2018-11-20,14.81,14.85,14.02,14.5,19520,-0.38,-2.55
2018-11-21,14.12,16.0,14.12,14.6,20643,0.1,0.69
2018-11-23,14.58,19.69,14.58,19.44,18661,4.84,33.15
2018-11-26,19.37,19.37,16.5,16.67,39597,-2.77,-14.25
2018-11-27,16.64,17.0,15.95,16.47,19746,-0.2,-1.2
2018-11-28,16.17,16.17,14.91,15.58,17495,-0.89,-5.4
2018-11-29,15.59,16.0,14.9,14.9,28999,-0.68,-4.36
2018-11-30,14.75,17.3,14.75,16.4,36715,1.5,10.07
2018-12-03,16.73,17.5,15.62,16.2,30739,-0.2,-1.22
2018-12-04,16.29,16.4,15.25,15.9,40483,-0.3,-1.85
2018-12-06,15.55,16.4,13.92,14.41,21651,-1.49,-9.37
2018-12-07,14.41,15.41,12.51,15.28,41944,0.87,6.04
2018-12-10,15.08,15.25,12.76,14.08,18960,-1.2,-7.85
2018-12-11,14.34,15.5,13.605,14.39,13859,0.31,2.2
2018-12-12,14.41,14.41,13.03,13.3,11241,-1.09,-7.57
2018-12-13,13.93,13.93,11.4,12.37,20457,-0.93,-6.99
2018-12-14,12.0,13.2,11.26,12.0,24134,-0.37,-2.99
2018-12-17,11.88,12.15,10.2,10.75,34504,-1.25,-10.42
2018-12-18,11.0,12.09,11.0,11.04,49343,0.29,2.7
2018-12-19,11.04,12.045,9.62,9.89,55687,-1.15,-10.42
2018-12-20,9.99,10.04,5.84,6.32,134091,-3.57,-36.1
2018-12-21,6.41,8.4,5.5,7.75,550952,1.43,22.63
2018-12-24,7.59,9.4,7.17,9.0,19668,1.25,16.13
2018-12-26,8.96,9.5,7.92,8.46,73901,-0.54,-6.0
2018-12-27,8.35,8.38,6.064,7.62,67741,-0.84,-9.93
2018-12-28,7.63,8.24,7.49,7.81,8283,0.19,2.49
2018-12-31,9.99,9.99,8.0,8.16,41978,0.35,4.48
2019-01-02,8.16,8.255,7.07,7.43,165836,-0.73,-8.95
2019-01-03,7.42,7.42,7.0,7.06,36478,-0.37,-4.98
2019-01-04,7.95,8.74,7.25,8.065,76949,1.005,14.24
2019-01-07,8.07,10.5,7.93,10.12,44826,2.055,25.48
2019-01-08,10.33,11.9,10.0,10.9,24812,0.78,7.71
2019-01-09,10.89,11.03,10.0,10.48,20279,-0.42,-3.85
2019-01-10,10.52,11.26,10.46,10.48,4951,0.0,0.0
2019-01-11,10.47,10.88,10.26,10.57,31634,0.09,0.86
2019-01-14,10.58,10.96,9.94,10.19,16689,-0.38,-3.6
2019-01-15,10.2,11.628,9.9,10.57,76144,0.38,3.73
2019-01-16,11.09,11.09,9.99,10.57,28964,0.0,0.0
2019-01-17,10.48,11.73,10.1,11.28,24584,0.71,6.72
2019-01-18,11.35,12.75,10.625,12.02,33612,0.74,6.56
2019-01-22,12.11,13.316,11.0,11.53,116439,-0.49,-4.08
2019-01-23,11.52,11.52,10.15,10.61,10539,-0.92,-7.98
2019-01-24,10.73,11.5001,9.91,10.91,25184,0.3,2.83
2019-01-25,10.9,11.17,9.34,9.87,19832,-1.04,-9.53
2019-01-28,9.68,9.7995,8.7,8.82,24982,-1.05,-10.64
2019-01-29,8.81,9.0175,8.66,8.66,7132,-0.16,-1.81
2019-01-30,8.65,8.84,8.05,8.25,11554,-0.41,-4.73
2019-01-31,8.6,8.79,8.0,8.79,52508,0.54,6.55
