日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2015-04-16,31.0,35.74,28.22,30.0,19763334,14.0,87.5
2015-04-17,29.77,30.3,26.51,27.58,3965469,-2.42,-8.07
2015-04-20,28.77,28.9,24.87,24.9,3076216,-2.68,-9.72
2015-04-21,24.97,26.04,24.56,25.75,2185407,0.85,3.41
2015-04-22,26.0,26.24,24.95,25.12,1442915,-0.63,-2.45
2015-04-23,24.93,25.74,24.08,25.62,1299238,0.5,1.99
2015-04-24,25.55,25.7,25.0,25.58,532833,-0.04,-0.16
2015-04-27,25.7,26.47,25.21,25.9,731504,0.32,1.25
2015-04-28,25.75,25.9,24.18,24.49,954977,-1.41,-5.44
2015-04-29,24.49,24.968,22.32,22.42,1674691,-2.07,-8.45
2015-04-30,22.66,23.179,21.82,22.24,1221650,-0.18,-0.8
2015-05-01,22.25,23.0,21.27,21.75,687379,-0.49,-2.2
2015-05-04,21.75,23.285,21.75,23.24,648635,1.49,6.85
2015-05-05,23.22,24.32,21.9,24.15,1065845,0.91,3.92
2015-05-06,24.15,25.419,23.032,23.4,1290653,-0.75,-3.11
2015-05-07,23.4,24.42,22.715,23.69,616890,0.29,1.24
2015-05-08,23.93,24.1,22.5,22.71,784007,-0.98,-4.14
2015-05-11,20.71,21.49,20.02,20.85,2115351,-1.86,-8.19
2015-05-12,21.23,21.45,20.36,20.57,1140278,-0.28,-1.34
2015-05-13,20.5,20.78,19.5,19.83,1536009,-0.74,-3.6
2015-05-14,19.83,20.75,19.615,20.6,1044166,0.77,3.88
2015-05-15,20.56,20.819,19.51,20.05,1177791,-0.55,-2.67
2015-05-18,19.51,20.75,19.15,20.56,1211067,0.51,2.54
2015-05-19,20.56,21.31,19.66,21.0,2015138,0.44,2.14
2015-05-20,16.9,17.32,15.7,17.2,11105196,-3.8,-18.1
2015-05-21,17.37,17.69,16.91,17.51,2319080,0.31,1.8
2015-05-22,17.82,18.15,17.0,17.17,2012076,-0.34,-1.94
2015-05-26,16.59,17.3,16.18,17.09,1798475,-0.08,-0.47
2015-05-27,17.02,17.63,16.85,17.06,878589,-0.03,-0.18
2015-05-28,16.95,17.1,16.72,17.04,489191,-0.02,-0.12
2015-05-29,17.0,17.1,16.5,16.76,940363,-0.28,-1.64
2015-06-01,16.76,16.77,16.0,16.05,858370,-0.71,-4.24
2015-06-02,15.98,16.1,15.73,15.86,763034,-0.19,-1.18
2015-06-03,15.7,15.874,14.96,15.32,1432977,-0.54,-3.4
2015-06-04,15.25,15.63,15.0,15.07,807976,-0.25,-1.63
2015-06-05,15.15,15.279,14.64,15.03,712415,-0.04,-0.27
2015-06-08,14.95,15.13,14.68,14.86,503307,-0.17,-1.13
2015-06-09,15.11,16.25,15.01,15.99,2273800,1.13,7.6
2015-06-10,16.05,18.42,16.01,16.78,3384287,0.79,4.94
2015-06-11,17.08,17.683,16.75,16.86,1418064,0.08,0.48
2015-06-12,16.75,17.14,16.32,16.64,747291,-0.22,-1.3
2015-06-15,16.2,17.1,16.14,16.32,1088417,-0.32,-1.92
2015-06-16,16.51,16.89,16.2,16.29,767566,-0.03,-0.18
2015-06-17,16.3,16.49,15.65,15.77,1427871,-0.52,-3.19
2015-06-18,15.77,15.87,14.9,15.33,1386563,-0.44,-2.79
2015-06-19,15.26,15.39,14.3,14.31,2590318,-1.02,-6.65
2015-06-22,14.38,14.72,13.78,14.42,1537430,0.11,0.77
2015-06-23,14.45,14.8,14.13,14.34,916859,-0.08,-0.55
2015-06-24,14.33,14.59,14.17,14.39,842452,0.05,0.35
2015-06-25,14.43,14.96,14.2,14.9,874884,0.51,3.54
2015-06-26,14.28,14.57,13.95,14.25,4215946,-0.65,-4.36
2015-06-29,14.0,14.31,13.91,14.23,1251403,-0.02,-0.14
2015-06-30,14.3,14.423,13.95,14.05,1509222,-0.18,-1.26
2015-07-01,14.13,14.48,13.96,14.01,1764880,-0.04,-0.28
