日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2022-05-10,10.35,10.8622,8.15,8.66,380811,-2.66,-23.5
2022-05-11,8.49,11.625,8.2,9.37,2449009,0.71,8.2
2022-05-12,8.44,8.44,6.06,6.44,822212,-2.93,-31.27
2022-05-13,6.5,6.77,6.015,6.35,481011,-0.09,-1.3975
2022-05-16,6.53,7.7,5.685,7.63,1005514,1.28,20.1575
2022-05-17,7.71,10.18,7.7,8.53,1089120,0.9,11.8
2022-05-18,8.4,9.1,6.92,7.09,356207,-1.44,-16.88
2022-05-19,6.96,8.56,6.89,8.35,483022,1.26,17.77
2022-05-20,9.98,11.84,8.14,8.87,2958762,0.52,6.2275
2022-05-23,10.25,10.25,8.36,9.09,308506,0.22,2.48
2022-05-24,8.67,10.15,8.36,9.7,780231,0.61,6.71
2022-05-25,9.58,10.75,9.04,9.05,376983,-0.65,-6.701
2022-05-26,9.16,10.18,9.09,9.43,356490,0.38,4.2
2022-05-27,9.56,10.27,9.2,9.33,224709,-0.1,-1.06
2022-05-31,9.38,9.94,8.61,8.71,209550,-0.62,-6.65
2022-06-01,8.56,10.15,8.56,10.1,206585,1.39,15.96
2022-06-02,10.11,10.24,9.28,9.8,130803,-0.3,-2.97
2022-06-03,9.75,10.09,9.5,9.96,56878,0.16,1.63
2022-06-06,10.08,10.199,7.45,7.58,489121,-2.38,-23.9
2022-06-07,7.71,9.485,7.45,8.43,1003041,0.85,11.21
2022-06-08,8.02,8.79,8.02,8.19,118894,-0.24,-2.85
2022-06-09,8.05,8.2338,7.83,7.94,102936,-0.25,-3.05
2022-06-10,8.53,8.53,7.59,7.67,83773,-0.27,-3.4005
2022-06-13,7.5,8.0,7.31,7.91,163491,0.24,3.13
2022-06-14,8.25,8.375,7.83,7.89,88906,-0.02,-0.2528
2022-06-15,7.9,7.99,7.27,7.34,48438,-0.55,-6.97
2022-06-16,7.06,7.99,7.0,7.41,188023,0.07,0.95
2022-06-17,7.49,7.6596,7.13,7.44,44741,0.03,0.4
2022-06-21,7.31,7.5,7.21,7.31,83285,-0.13,-1.7473
2022-06-22,7.22,7.3327,6.51,6.56,178520,-0.75,-10.26
2022-06-23,6.51,6.73,6.0,6.18,139294,-0.38,-5.79
2022-06-24,6.18,7.0,6.11,6.34,111979,0.16,2.589
2022-06-27,6.58,6.7,5.88,5.88,72006,-0.46,-7.26
2022-06-28,5.98,6.0,5.31,5.45,276281,-0.43,-7.31
2022-06-29,5.49,6.25,5.3,5.95,95565,0.5,9.1743
2022-06-30,5.87,6.35,5.65,6.2,58952,0.25,4.2
2022-07-01,6.25,6.73,6.25,6.6,46057,0.4,6.45
2022-07-05,6.52,7.13,6.23,6.39,88445,-0.21,-3.18
2022-07-06,6.13,6.34,6.13,6.2,9629,-0.19,-2.97
2022-07-07,6.2,6.64,5.84,6.11,56070,-0.09,-1.4516
2022-07-08,6.58,6.61,6.05,6.22,26880,0.11,1.8003
2022-07-11,6.12,6.17,5.74,5.87,13415,-0.35,-5.63
2022-07-12,5.76,6.3837,5.76,6.35,30680,0.48,8.18
2022-07-13,6.4,6.55,6.1616,6.28,23150,-0.07,-1.1
2022-07-14,6.19,6.9787,6.19,6.68,108943,0.4,6.3694
2022-07-15,6.99,6.99,6.553,6.71,53448,0.03,0.4491
2022-07-18,6.7,6.75,6.4,6.68,23753,-0.03,-0.4471
2022-07-19,6.74,7.0,6.0,6.45,207290,-0.23,-3.44
2022-07-20,6.67,7.2,6.3727,6.94,55578,0.49,7.6
2022-07-21,6.96,7.8248,6.3301,7.19,233389,0.25,3.6023
2022-07-22,7.23,9.0,6.8,8.31,430569,1.12,15.58
2022-07-25,9.65,10.48,8.23,8.23,257903,-0.08,-0.96
2022-07-26,8.05,8.34,7.85,8.19,144134,-0.04,-0.49
2022-07-27,9.41,9.62,8.62,8.67,211558,0.48,5.86
2022-07-28,8.69,9.44,8.48,8.5,161572,-0.17,-1.96
2022-07-29,8.67,9.1,7.66,7.69,94486,-0.81,-9.53
2022-08-01,7.69,8.46,7.69,8.25,98712,0.56,7.28
2022-08-02,8.01,8.4,7.69,7.69,70583,-0.56,-6.79
2022-08-03,7.67,7.78,7.25,7.62,47504,-0.07,-0.91
2022-08-04,7.59,8.3399,7.0,7.15,45874,-0.47,-6.17
2022-08-05,7.06,7.7,7.06,7.56,28064,0.41,5.73
2022-08-08,7.5,8.0,7.31,7.59,27084,0.03,0.3968
2022-08-09,7.79,7.79,7.14,7.14,29983,-0.45,-5.9289
2022-08-10,7.2,7.47,7.01,7.23,46634,0.09,1.26
2022-08-11,7.63,7.8,7.265,7.39,70055,0.16,2.21
2022-08-12,7.43,8.28,7.38,7.74,58696,0.35,4.74
2022-08-15,7.55,7.73,6.89,7.33,38391,-0.41,-5.3
2022-08-16,7.29,7.45,6.871,7.02,72125,-0.31,-4.2292
2022-08-17,6.99,7.29,6.84,7.01,55128,-0.01,-0.14
2022-08-18,7.04,7.42,7.03,7.14,32061,0.13,1.85
2022-08-19,7.16,7.3916,7.0038,7.38,116843,0.24,3.36
2022-08-22,7.35,8.07,7.05,7.97,164855,0.59,7.99
2022-08-23,7.95,8.2,7.1,7.1,68855,-0.87,-10.92
2022-08-24,7.09,7.4839,6.8,6.8,60929,-0.3,-4.2254
2022-08-25,6.8,7.19,6.75,6.97,34654,0.17,2.5
2022-08-26,7.15,7.2888,6.8,6.89,17994,-0.08,-1.1478
2022-08-29,6.93,6.95,6.75,6.81,14537,-0.08,-1.16
2022-08-30,6.75,6.7501,6.2,6.21,58857,-0.6,-8.8106
2022-08-31,6.23,6.7,6.23,6.68,20364,0.47,7.57
2022-09-01,6.43,6.73,6.41,6.41,14780,-0.27,-4.0419
2022-09-02,6.26,6.38,6.1,6.28,12480,-0.13,-2.0281
2022-09-06,6.16,7.02,6.03,6.03,14253,-0.25,-3.98
2022-09-07,6.03,6.3423,6.0,6.16,33499,0.13,2.16
2022-09-08,7.38,7.49,6.65,7.39,185509,1.23,19.97
2022-09-09,8.1,8.66,7.59,7.71,220964,0.32,4.33
2022-09-12,8.47,8.51,8.01,8.15,174999,0.44,5.71
2022-09-13,8.15,8.8899,7.82,8.7,140739,0.55,6.75
2022-09-14,9.0,9.99,8.72,9.61,219548,0.91,10.46
2022-09-15,9.96,11.0,9.84,10.63,171175,1.02,10.61
2022-09-16,10.21,12.0,10.07,11.1,324879,0.47,4.42
2022-09-19,10.5,12.0,10.5,11.23,234811,0.13,1.1712
2022-09-20,10.99,12.3,10.9237,11.73,161136,0.5,4.45
2022-09-21,12.35,12.7,11.73,12.38,242402,0.65,5.54
2022-09-22,12.31,13.34,12.1,12.3,269291,-0.08,-0.65
2022-09-23,11.98,12.25,11.61,11.78,131341,-0.52,-4.23
2022-09-26,11.9,12.37,11.6215,12.29,87174,0.51,4.33
2022-09-27,12.44,12.4999,9.9,10.02,209254,-2.27,-18.4703
2022-09-28,10.39,11.28,10.0812,11.02,78354,1.0,9.98
2022-09-29,11.0,11.0,9.76,9.94,53246,-1.08,-9.8
2022-09-30,9.8,10.4944,9.01,9.24,129596,-0.7,-7.04
2022-10-03,9.17,9.17,7.83,7.89,141107,-1.35,-14.61
2022-10-04,7.86,8.4288,7.7346,8.19,69975,0.3,3.8
