日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2010-06-01,4.2169,4.2466,3.7863,4.1873,520500,-0.1038,-2.42
2010-06-02,10.638,11.1295,9.786,10.2385,3494422,0.2692,2.7
2010-06-03,10.2668,10.3517,9.7436,9.7789,1937636,-0.4597,-4.49
2010-06-04,9.7719,9.8143,9.3405,9.7082,1646002,-0.0704,-0.72
2010-06-07,9.7577,9.8567,9.5315,9.5951,1138553,-0.1136,-1.17
2010-06-08,9.6163,9.7224,9.3688,9.5527,1763458,-0.0422,-0.44
2010-06-09,9.6163,9.6517,9.1496,9.185,1753435,-0.3678,-3.85
2010-06-10,9.1213,9.2628,8.5062,8.7042,3345484,-0.4804,-5.23
2010-06-11,8.6759,9.3688,8.591,9.2698,1745141,0.5658,6.5
2010-06-14,9.4254,9.6729,9.3052,9.4254,1590309,0.1557,1.68
2010-06-15,9.4183,9.6163,9.284,9.3405,1302021,-0.0848,-0.9
2010-06-16,9.2203,9.5527,9.0294,9.489,1247409,0.1485,1.59
2010-06-17,9.6092,9.6092,9.383,9.5385,677463,0.0493,0.52
2010-06-18,9.5527,9.687,9.4325,9.5315,1572326,-0.0067,-0.07
2010-06-21,9.6163,9.6304,9.39,9.3971,1053518,-0.1344,-1.41
2010-06-22,9.3335,9.6304,9.1708,9.4961,874909,0.0987,1.05
2010-06-23,9.284,9.6163,9.0931,9.4678,1170689,-0.0285,-0.3
2010-06-24,9.3335,9.5032,9.2486,9.3759,1104479,-0.0918,-0.97
2010-06-25,9.383,9.6941,9.1991,9.6658,8749809,0.2897,3.09
2010-06-28,9.6161,9.6161,9.3462,9.5025,1097207,-0.2058,-2.12
2010-06-29,9.4598,9.4598,8.9698,9.0053,999428,-0.497,-5.23
2010-06-30,8.9556,9.332,8.9556,9.0053,1168686,0.0,0.0
2010-07-01,8.9698,9.0195,8.4514,8.984,1007026,-0.0216,-0.24
2010-07-02,9.0621,9.332,8.8065,9.2184,977119,0.2345,2.61
2010-07-06,9.3817,9.5806,9.2184,9.2752,1363890,0.0572,0.62
2010-07-07,9.3178,9.6587,9.3178,9.6374,936925,0.3626,3.91
2010-07-08,9.822,9.822,9.474,9.6445,743776,0.0067,0.07
2010-07-09,9.6161,9.8718,9.5522,9.8576,431871,0.2131,2.21
2010-07-12,9.7865,9.8433,9.6587,9.8291,361867,-0.0286,-0.29
2010-07-13,9.9357,10.1913,9.8789,10.1132,1034909,0.2841,2.89
2010-07-14,10.0564,10.0564,9.5025,9.6658,921588,-0.447,-4.42
2010-07-15,9.7794,9.7794,9.055,9.5877,894263,-0.0783,-0.81
2010-07-16,9.5167,9.5593,9.0621,9.1047,978891,-0.4832,-5.04
2010-07-19,9.0905,9.2752,8.778,9.2539,763954,0.1493,1.64
2010-07-20,9.1616,9.6516,8.8136,9.6516,1203626,0.3979,4.3
2010-07-21,9.7368,9.9641,9.3462,9.6445,920522,-0.0068,-0.07
2010-07-22,9.7936,10.3476,9.7865,10.3192,1118166,0.6751,7.0
2010-07-23,10.3121,10.5535,10.1487,10.5038,639841,0.1847,1.79
2010-07-26,10.5038,10.653,10.4399,10.5749,613741,0.0714,0.68
2010-07-27,10.6246,10.7382,10.5606,10.6104,462237,0.036,0.34
2010-07-28,10.6104,10.653,10.4754,10.5251,465119,-0.0849,-0.8
2010-07-29,10.582,10.653,10.4754,10.5251,628061,0.0,0.0
2010-07-30,10.3973,10.7595,10.1842,10.4754,411780,-0.0495,-0.47
2010-08-02,10.7453,10.7453,10.4399,10.5677,642549,0.0922,0.88
2010-08-03,10.653,10.7027,10.5464,10.5749,688395,0.0074,0.07
2010-08-04,10.653,10.6814,10.5749,10.6104,605473,0.036,0.34
2010-08-05,10.5038,10.6388,10.4328,10.5322,543185,-0.0785,-0.74
2010-08-06,10.4115,10.6459,10.305,10.5464,485030,0.0137,0.13
2010-08-09,10.582,10.7595,10.5677,10.7098,751194,0.1635,1.55
2010-08-10,10.6033,10.6033,10.1629,10.2482,450194,-0.4616,-4.31
2010-08-11,9.9854,9.9854,9.4669,9.6871,782976,-0.5605,-5.47
2010-08-12,9.4882,9.7297,9.4243,9.6587,698691,-0.0281,-0.29
2010-08-13,9.6019,9.8291,9.4953,9.6374,400007,-0.0212,-0.22
2010-08-16,9.5593,9.9925,9.4882,9.9641,533909,0.3267,3.39
2010-08-17,10.0564,10.2127,10.0131,10.0777,562002,0.1136,1.14
2010-08-18,10.0848,10.1054,9.925,10.0564,911679,-0.0212,-0.21
2010-08-19,10.0138,10.0493,9.8078,9.9144,699798,-0.1418,-1.41
2010-08-20,9.8931,10.0209,9.7155,9.9712,653289,0.0565,0.57
2010-08-23,9.9783,10.1913,9.8504,9.8647,329724,-0.1067,-1.07
2010-08-24,9.7226,9.9492,9.6303,9.7297,364159,-0.1351,-1.37
2010-08-25,9.5806,10.1203,9.364,10.0848,390830,0.3551,3.65
2010-08-26,10.17,10.17,9.6942,9.7013,382035,-0.3832,-3.8
2010-08-27,9.7865,10.2624,9.7013,10.2482,568563,0.5471,5.64
2010-08-30,10.1771,10.5038,10.1629,10.3547,387228,0.1066,1.04
2010-08-31,10.3689,10.6246,10.2411,10.5322,513594,0.1771,1.71
2010-09-01,10.6601,11.072,10.5464,11.0436,735064,0.5118,4.86
2010-09-02,11.0791,11.2922,10.9442,11.1217,666387,0.0784,0.71
2010-09-03,11.2993,11.3277,10.9584,11.0365,740299,-0.0856,-0.77
2010-09-07,11.0081,11.0081,10.4115,10.4399,785020,-0.5971,-5.41
2010-09-08,10.4115,10.518,10.3405,10.447,611164,0.0073,0.07
2010-09-09,10.5606,10.7027,10.3334,10.3831,466710,-0.0637,-0.61
2010-09-10,10.3831,10.582,10.1629,10.2766,523180,-0.107,-1.03
2010-09-13,10.4044,10.6885,10.3902,10.653,808020,0.3761,3.66
2010-09-14,10.6743,10.7453,10.447,10.5109,950670,-0.1417,-1.33
2010-09-15,10.5038,10.7027,10.3476,10.6956,591876,0.185,1.76
2010-09-16,10.653,10.7382,10.3618,10.4967,718989,-0.1989,-1.86
