日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-01-03,2.3385,2.3593,2.3385,2.3593,9000,0.0208,0.89
1995-01-04,2.3593,2.3593,2.3177,2.3177,28800,-0.0415,-1.76
1995-01-05,2.3177,2.3385,2.2727,2.2727,75800,-0.045,-1.94
1995-01-06,2.297,2.3593,2.297,2.3593,16600,0.0866,3.81
1995-01-09,2.3836,2.3836,2.3593,2.3836,20400,0.0243,1.03
1995-01-10,2.3593,2.3593,2.3177,2.3385,13200,-0.045,-1.89
1995-01-11,2.3385,2.3593,2.3385,2.3385,18000,0.0,0.0
1995-01-12,2.3385,2.3385,2.3177,2.3385,118600,0.0,0.0
1995-01-13,2.3628,2.4251,2.3593,2.4251,168200,0.0865,3.7
1995-01-16,2.4251,2.4251,2.4251,2.4251,15400,0.0,0.0
1995-01-17,2.4251,2.4459,2.4044,2.4251,44600,0.0,0.0
1995-01-18,2.4044,2.4251,2.3836,2.4044,14200,-0.0209,-0.86
1995-01-19,2.3836,2.3836,2.3593,2.3836,20600,-0.0207,-0.86
1995-01-20,2.3836,2.3836,2.3593,2.3593,8200,-0.0243,-1.02
1995-01-23,2.3385,2.3593,2.3385,2.3593,6800,0.0,0.0
1995-01-24,2.3593,2.3593,2.3385,2.3385,15000,-0.0208,-0.88
1995-01-25,2.3593,2.3593,2.3593,2.3593,9200,0.0208,0.89
1995-01-26,2.3836,2.3836,2.3593,2.3593,27400,0.0,0.0
1995-01-27,2.3628,2.3836,2.3593,2.3836,18600,0.0243,1.03
1995-01-30,2.3836,2.3836,2.3593,2.3836,22200,0.0,0.0
1995-01-31,2.3836,2.3836,2.3593,2.3593,18000,-0.0243,-1.02
1995-02-01,2.3628,2.3836,2.3593,2.3836,1600,0.0243,1.03
1995-02-02,2.4044,2.4044,2.3836,2.3836,6800,0.0,0.0
1995-02-03,2.3836,2.3836,2.3177,2.3177,27800,-0.0658,-2.76
1995-02-06,2.3385,2.3836,2.3385,2.3385,5800,0.0209,0.9
1995-02-07,2.3385,2.3836,2.3385,2.3836,6600,0.0451,1.93
1995-02-08,2.3385,2.3836,2.3385,2.3593,14600,-0.0243,-1.02
1995-02-09,2.3836,2.3836,2.3385,2.3836,9600,0.0243,1.03
1995-02-10,2.3836,2.3836,2.3836,2.3836,8800,0.0,0.0
1995-02-13,2.3628,2.3836,2.3593,2.3593,11000,-0.0243,-1.02
1995-02-14,2.3836,2.3836,2.3593,2.3836,28000,0.0243,1.03
1995-02-15,2.3836,2.4251,2.3836,2.4251,105200,0.0415,1.74
1995-02-16,2.4251,2.4459,2.4251,2.4251,21200,0.0,0.0
1995-02-17,2.4251,2.4459,2.4251,2.4459,11400,0.0209,0.86
1995-02-21,2.4494,2.4702,2.4459,2.4459,15600,0.0,0.0
1995-02-22,2.4702,2.491,2.4702,2.4702,5800,0.0242,0.99
1995-02-23,2.4494,2.491,2.4459,2.491,25000,0.0208,0.84
1995-02-24,2.5118,2.5118,2.491,2.491,18000,0.0,0.0
1995-02-27,2.5118,2.5118,2.491,2.5118,12600,0.0207,0.83
