日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2011-03-23,2.7069,2.8886,2.7069,2.7476,39496,,
2011-03-24,2.7801,2.8208,2.753,2.7937,50567,0.0895,3.31
2011-03-25,2.8043,2.8208,2.8034,2.8072,3800,0.0137,0.49
2011-03-28,2.8235,2.8235,2.7798,2.7798,6812,-0.0272,-0.97
2011-03-29,2.8072,2.8072,2.753,2.7801,6843,0.0,0.0
2011-03-30,2.7937,2.9157,2.7828,2.9157,26163,0.1357,4.88
2011-03-31,2.9157,2.9157,2.8778,2.9157,3313,0.0,0.0
2011-04-01,2.9564,2.9835,2.9564,2.9835,2175,0.0679,2.33
2011-04-04,3.0107,3.0513,2.8886,3.0324,33057,0.0489,1.64
2011-04-05,3.0296,3.0378,2.8645,3.0296,14200,-0.0027,-0.09
2011-04-06,3.0513,3.0513,3.0296,3.0486,13643,0.0191,0.63
2011-04-07,3.0758,3.1162,3.0324,3.092,29245,0.0433,1.42
2011-04-08,3.1056,3.1409,3.1056,3.1354,9707,0.0433,1.4
2011-04-11,3.1463,3.469,3.1463,3.4189,20940,0.2846,9.08
2011-04-12,3.4473,3.469,3.3904,3.4256,32262,0.0055,0.16
2011-04-13,3.4473,3.4555,3.3117,3.4501,24841,0.0243,0.71
2011-04-14,3.4392,3.4528,3.4175,3.4528,25300,0.0028,0.08
2011-04-15,3.4555,3.5124,3.3714,3.3714,153842,-0.0815,-2.36
2011-04-18,3.3416,3.3741,3.1246,3.2656,37513,-0.1059,-3.14
2011-04-19,3.2927,3.4324,3.2927,3.3795,19768,0.114,3.49
2011-04-20,3.469,3.488,3.3795,3.4256,19561,0.046,1.36
2011-04-21,3.4419,3.4935,3.4365,3.4935,15616,0.0678,1.98
2011-04-25,3.526,3.583,3.526,3.526,29850,0.0325,0.93
2011-04-26,3.5287,3.5694,3.5287,3.5368,17665,0.0109,0.31
2011-04-27,3.5368,3.7945,3.526,3.5775,70608,0.0407,1.15
2011-04-28,3.5667,3.5748,3.5124,3.5124,7559,-0.0651,-1.82
2011-04-29,3.5151,3.5151,3.3961,3.4419,8890,-0.0706,-2.01
2011-05-02,3.4202,3.4202,3.3953,3.4121,10384,-0.0299,-0.87
2011-05-03,3.4256,3.4256,3.3904,3.4148,11300,0.0027,0.08
2011-05-04,3.4148,3.4392,3.3904,3.4392,11761,0.0242,0.71
2011-05-05,3.4175,3.4935,3.4175,3.488,22405,0.0488,1.42
2011-05-06,3.4972,3.4972,3.4636,3.4636,9587,-0.0244,-0.7
2011-05-09,3.4365,3.4555,3.3931,3.4121,4050,-0.0516,-1.49
2011-05-10,3.4121,3.4582,3.4121,3.4582,15140,0.0461,1.35
2011-05-11,3.4582,3.4935,3.4237,3.4745,6715,0.0163,0.47
2011-05-12,3.4935,3.5179,3.469,3.4989,43545,0.0243,0.7
2011-05-13,3.4935,3.5151,3.4446,3.4935,9618,-0.0056,-0.16
2011-05-16,3.5124,3.5124,3.4501,3.5124,7256,0.0189,0.54
2011-05-17,3.4853,3.5124,3.4853,3.5097,8250,-0.0028,-0.08
2011-05-18,3.4935,3.5314,3.4853,3.5314,20200,0.0218,0.62
2011-05-19,3.5124,3.5938,3.5016,3.583,18635,0.0516,1.46
2011-05-20,3.5124,3.6481,3.4829,3.5179,57475,-0.0652,-1.82
2011-05-23,3.5396,3.5694,3.5179,3.5694,10369,0.0514,1.46
2011-05-24,3.5802,3.5802,3.5748,3.5802,1605,0.0107,0.3
2011-05-25,3.5664,3.6209,3.5558,3.6019,13467,0.0218,0.61
2011-05-26,3.5206,3.6209,3.5124,3.6209,15712,0.0191,0.53
2011-05-27,4.8114,4.8623,4.8114,4.8514,12457,0.0,0.0
2011-05-31,4.8514,4.9567,4.8368,4.9531,21170,0.1019,2.1
2011-06-01,4.9713,4.9713,4.9106,4.9604,8017,0.0074,0.15
2011-06-02,4.9967,4.9967,4.9422,4.9749,22917,0.0144,0.29
2011-06-03,4.924,4.9858,4.9059,4.9313,33488,-0.0438,-0.88
