日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-12-23,9.75,9.95,9.75,9.9,12686,0.0,0.0
2021-12-27,10.42,10.42,9.68,9.7432,5368,-0.1568,-1.5838
2021-12-28,10.215,10.215,9.82,9.82,250303,0.0768,0.7882
2021-12-29,9.73,9.73,9.73,9.73,145,-0.09,-0.9165
2021-12-30,9.85,9.87,9.85,9.87,713,0.14,1.4388
2021-12-31,9.87,9.87,9.87,9.87,391,0.0,0.0
2022-01-03,9.83,9.85,9.83,9.835,5257,-0.035,-0.3546
2022-01-04,9.83,9.87,9.83,9.87,51277,0.035,0.3559
2022-01-05,9.87,9.87,9.87,9.87,2104,0.0,0.0
2022-01-06,9.87,9.87,9.87,9.87,1,0.0,0.0
2022-01-07,9.9,9.9,9.89,9.9,1669,0.03,0.304
2022-01-10,9.89,9.89,9.87,9.89,35243,-0.01,-0.101
2022-01-11,9.89,9.9,9.89,9.9,20909,0.01,0.1
2022-01-12,9.9,9.9,9.9,9.9,49,0.0,0.0
2022-01-13,9.9,9.9,9.87,9.87,72417,-0.03,-0.303
2022-01-14,9.87,9.87,9.87,9.87,12000,0.0,0.0
2022-01-18,9.87,9.87,9.87,9.87,9902,0.0,0.0
2022-01-19,9.87,9.8741,9.87,9.87,702,0.0,0.0
2022-01-20,9.87,9.885,9.87,9.87,94057,0.0,0.0
2022-01-21,9.85,9.88,9.83,9.85,132503,-0.02,-0.2026
2022-01-24,9.85,9.85,9.83,9.83,1402,-0.02,-0.203
2022-01-25,9.84,9.84,9.84,9.84,75100,0.01,0.1017
2022-01-26,9.85,9.85,9.84,9.84,77343,0.0,0.0
2022-01-27,9.86,9.865,9.83,9.835,108857,-0.005,-0.0508
2022-01-28,9.83,9.845,9.83,9.83,53289,-0.005,-0.0508
2022-01-31,9.83,9.83,9.83,9.83,32,0.0,0.0
2022-02-01,9.88,9.88,9.83,9.85,12478,0.02,0.2035
2022-02-02,9.91,9.91,9.88,9.9,7323,0.05,0.5076
2022-02-03,9.86,9.86,9.84,9.86,1575,-0.04,-0.404
2022-02-04,9.855,9.88,9.855,9.86,114451,0.0,0.0
2022-02-07,9.86,9.86,9.86,9.86,364,0.0,0.0
2022-02-08,9.86,9.86,9.86,9.86,5,0.0,0.0
2022-02-09,9.86,9.86,9.86,9.86,28770,0.0,0.0
2022-02-10,9.9,9.9,9.88,9.88,2900,0.02,0.2028
2022-02-11,9.88,9.88,9.88,9.88,30,0.0,0.0
2022-02-14,9.88,9.88,9.88,9.88,10,0.0,0.0
2022-02-15,9.88,9.88,9.88,9.88,2,0.0,0.0
