日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-01-09,0.8093,0.8541,0.8078,0.8541,2700,0.0462,5.72
1995-01-16,0.8454,0.8454,0.8454,0.8454,1350,-0.0087,-1.02
1995-02-03,0.8367,0.8396,0.8353,0.8396,42525,-0.0057,-0.68
1995-02-06,0.8136,0.8136,0.8136,0.8136,675,-0.026,-3.1
1995-02-08,0.8309,0.8353,0.8295,0.8295,4725,0.0159,1.95
1995-02-10,0.8136,0.8136,0.8136,0.8136,1350,-0.0159,-1.92
1995-02-17,0.8353,0.8353,0.8353,0.8353,675,0.0216,2.66
1995-02-22,0.8252,0.8569,0.8237,0.8569,4725,0.0217,2.6
1995-02-24,0.8468,0.8671,0.8454,0.8671,18225,0.0101,1.18
1995-02-27,0.8237,0.8237,0.8237,0.8237,4725,-0.0434,-5.0
1995-03-01,0.8685,0.8772,0.8569,0.8569,17550,0.0333,4.04
1995-03-17,0.9205,0.9205,0.9205,0.9205,3375,0.0636,7.42
1995-03-20,0.9205,0.9205,0.9205,0.9205,3375,0.0,0.0
1995-03-21,0.9364,0.9364,0.8772,0.8772,6750,-0.0434,-4.71
1995-03-23,0.9104,0.9104,0.9104,0.9104,2700,0.0332,3.79
1995-03-27,0.9104,0.9104,0.9104,0.9104,3375,0.0,0.0
1995-03-31,0.948,0.9523,0.9422,0.9422,9450,0.0318,3.49
1995-04-11,0.922,0.9306,0.9205,0.9306,6750,-0.0116,-1.23
1995-04-12,0.9205,0.9205,0.9205,0.9205,1350,-0.0101,-1.09
1995-04-13,0.9205,0.9205,0.9104,0.9104,1350,-0.0101,-1.1
1995-04-19,0.9205,0.9205,0.9205,0.9205,1350,0.0101,1.11
1995-04-28,0.9119,0.9176,0.9104,0.9176,3375,-0.0029,-0.31
1995-05-02,0.8989,0.8989,0.8989,0.8989,675,-0.0188,-2.05
1995-05-03,0.9003,0.9205,0.8989,0.9104,20925,0.0116,1.29
1995-05-09,0.8989,0.8989,0.8989,0.8989,675,-0.0116,-1.27
1995-05-10,0.9205,0.9205,0.9205,0.9205,3375,0.0217,2.41
1995-05-16,0.9119,0.9205,0.9104,0.9205,3375,0.0,0.0
1995-05-19,0.9003,0.9205,0.8989,0.9205,54675,0.0,0.0
1995-05-23,0.9639,0.9639,0.9639,0.9639,675,0.0434,4.71
1995-05-24,0.8989,0.8989,0.8989,0.8989,2025,-0.0651,-6.75
1995-05-26,0.9003,0.9639,0.8989,0.9639,10125,0.065,7.23
1995-05-30,0.9639,0.9639,0.9205,0.9639,675,0.0,0.0
1995-06-05,0.9422,0.9422,0.9422,0.9422,1350,-0.0217,-2.25
1995-06-06,0.9422,0.9422,0.9422,0.9422,1350,0.0,0.0
1995-06-16,0.9046,0.9046,0.9046,0.9046,675,-0.0376,-3.99
1995-06-30,0.9061,0.9639,0.9046,0.9639,22950,0.0593,6.55
1995-07-10,0.9309,0.9844,0.9294,0.9844,3375,-0.0059,-0.6
1995-07-11,0.9844,0.9844,0.9844,0.9844,2025,0.0,0.0
1995-07-17,0.9294,0.9294,0.9294,0.9294,675,-0.0549,-5.58
1995-07-18,0.9413,0.9844,0.9398,0.9844,6750,0.0549,5.91
1995-07-26,0.9517,0.9517,0.9517,0.9517,6750,-0.0327,-3.32
1995-07-27,0.9398,0.9398,0.9398,0.9398,675,-0.0119,-1.25
1995-08-04,0.9561,0.9561,0.9561,0.9561,2025,0.0164,1.74
1995-08-21,0.9398,0.9398,0.9398,0.9398,675,-0.0164,-1.71
1995-08-28,0.9458,0.9458,0.9458,0.9458,4725,0.0059,0.63
1995-09-06,0.9784,0.9784,0.9784,0.9784,1350,0.0326,3.45
1995-09-08,0.9784,0.9784,0.9784,0.9784,3375,0.0,0.0
1995-09-11,0.9458,0.9458,0.9458,0.9458,2025,-0.0327,-3.34
1995-09-12,0.9458,0.9458,0.9458,0.9458,675,0.0,0.0
1995-09-13,0.9621,0.9621,0.9458,0.9458,16200,0.0,0.0
1995-09-14,1.0066,1.0066,1.0066,1.0066,2025,0.0609,6.44
1995-09-25,0.974,0.974,0.974,0.974,3375,-0.0326,-3.24
1995-09-26,0.9903,0.9903,0.974,0.974,15525,0.0,0.0
1995-09-27,0.974,0.974,0.974,0.974,2700,0.0,0.0
1995-09-28,1.0111,1.0111,1.0111,1.0111,2025,0.0371,3.81
1995-10-12,0.9532,0.9903,0.9517,0.9903,3375,-0.0208,-2.06
1995-10-16,0.9532,0.968,0.9517,0.9517,21600,-0.0386,-3.9
1995-10-17,0.9517,0.9517,0.9517,0.9517,1350,0.0,0.0
1995-10-19,0.9517,0.9517,0.9517,0.9517,1350,0.0,0.0
1995-10-23,0.9532,0.9621,0.9517,0.9621,7425,0.0104,1.09
1995-10-27,0.9636,0.968,0.9621,0.968,16875,0.006,0.62
1995-10-31,0.9532,1.0066,0.9517,1.0066,4725,0.0386,3.99
1995-11-07,0.9532,0.968,0.9517,0.968,2025,-0.0386,-3.83
1995-11-16,0.9517,0.9517,0.9517,0.9517,2025,-0.0164,-1.69
1995-11-22,0.968,0.968,0.968,0.968,2025,0.0164,1.72
1995-12-07,0.9517,0.9517,0.9517,0.9517,6750,-0.0164,-1.69
1995-12-12,0.9576,0.9591,0.9561,0.9591,20250,0.0074,0.78
1995-12-22,1.0111,1.0111,1.0111,1.0111,675,0.052,5.42
1995-12-26,1.0111,1.0111,0.968,0.968,1350,-0.0431,-4.26
1996-01-03,1.0225,1.0225,1.0225,1.0225,16875,-0.0063,-0.61
1996-01-04,1.0178,1.0225,1.0162,1.0225,20250,0.0,0.0
1996-01-05,1.0115,1.0115,1.0115,1.0115,675,-0.011,-1.08
1996-01-16,1.0162,1.0162,1.0162,1.0162,2700,0.0048,0.47
1996-01-19,1.0162,1.0162,1.0162,1.0162,3375,0.0,0.0
1996-01-22,1.0209,1.0746,1.0193,1.0746,3375,0.0584,5.75
1996-01-26,1.0525,1.0525,1.0525,1.0525,3375,-0.0221,-2.06
1996-01-29,1.0746,1.0746,1.0746,1.0746,2700,0.0221,2.1
1996-02-02,1.0178,1.0351,1.0162,1.0351,2700,-0.0394,-3.67
1996-02-06,1.0257,1.0257,1.0257,1.0257,450,-0.0094,-0.91
1996-02-12,1.0525,1.0525,1.0525,1.0525,900,0.0269,2.62
1996-02-13,1.0872,1.0872,1.0872,1.0872,900,0.0347,3.3
1996-02-14,1.0525,1.0698,1.0525,1.0698,5850,-0.0174,-1.6
1996-02-21,1.0525,1.0525,1.0525,1.0525,6300,-0.0173,-1.62
1996-02-26,1.0162,1.0162,1.0162,1.0162,900,-0.0363,-3.45
1996-02-27,1.0257,1.0257,1.0257,1.0257,900,0.0095,0.93
1996-03-01,1.0351,1.0525,1.0351,1.0525,15750,0.0269,2.62
1996-03-05,1.0493,1.0541,1.0478,1.0525,18000,0.0,0.0
1996-03-07,1.0951,1.0951,1.0951,1.0951,450,0.0426,4.05
1996-03-12,1.0951,1.0951,1.0351,1.0351,4500,-0.06,-5.48
1996-03-14,1.0351,1.0351,1.0351,1.0351,1800,0.0,0.0
1996-03-21,1.0698,1.0698,1.0698,1.0698,450,0.0347,3.35
1996-03-28,1.1046,1.1046,1.0525,1.0698,5850,0.0,0.0
1996-04-03,1.0698,1.0698,1.0698,1.0698,450,0.0,0.0
1996-04-09,1.0698,1.1046,1.0698,1.1046,1800,0.0347,3.24
1996-04-23,1.0604,1.0604,1.0604,1.0604,450,-0.0442,-4.0
1996-04-26,1.0762,1.0762,1.0698,1.0698,9000,0.0094,0.89
1996-04-29,1.062,1.0667,1.0604,1.0667,20250,-0.0031,-0.29
1996-04-30,1.0777,1.0777,1.0777,1.0777,13950,0.0111,1.04
1996-05-01,1.0793,1.0872,1.0777,1.0872,18000,0.0095,0.88
1996-05-06,1.0872,1.0872,1.0872,1.0872,2250,0.0,0.0
1996-05-08,1.1487,1.1487,1.1487,1.1487,900,0.0615,5.66
1996-05-14,1.0777,1.0777,1.0777,1.0777,450,-0.071,-6.18
1996-05-17,1.0777,1.0777,1.0777,1.0777,450,0.0,0.0
1996-05-20,1.0777,1.0777,1.0777,1.0777,4500,0.0,0.0
1996-05-23,1.0777,1.0777,1.0777,1.0777,4050,0.0,0.0
1996-05-28,1.0825,1.0825,1.0777,1.0777,35550,0.0,0.0
1996-05-30,1.1219,1.1219,1.1046,1.1046,10350,0.0268,2.49
1996-06-04,1.0777,1.0777,1.0777,1.0777,450,-0.0268,-2.43
1996-06-07,1.0793,1.0951,1.0777,1.0951,2700,0.0174,1.61
1996-06-11,1.1219,1.1219,1.1046,1.1046,2700,0.0094,0.86
1996-06-12,1.1393,1.1393,1.1393,1.1393,13500,0.0347,3.14
1996-06-17,1.1677,1.2276,1.1661,1.2276,6750,0.0884,7.76
1996-06-18,1.1661,1.1661,1.1661,1.1661,3150,-0.0615,-5.01
1996-06-21,1.2324,1.2324,1.1661,1.1661,900,0.0,0.0
1996-06-25,1.1661,1.1661,1.1661,1.1661,1800,0.0,0.0
1996-06-26,1.2276,1.2276,1.2276,1.2276,450,0.0616,5.28
1996-06-28,1.2529,1.2529,1.2529,1.2529,4500,0.0253,2.06
1996-07-03,1.2852,1.2852,1.2852,1.2852,4950,0.0,0.0
1996-07-05,1.2852,1.2852,1.2852,1.2852,2250,0.0,0.0
1996-07-15,1.2059,1.2318,1.2043,1.2318,10800,-0.0535,-4.16
1996-07-16,1.2059,1.214,1.2043,1.214,9450,-0.0179,-1.45
1996-07-18,1.2043,1.2043,1.2043,1.2043,4500,-0.0097,-0.8
1996-07-22,1.2772,1.2772,1.1962,1.1962,2250,-0.0081,-0.67
1996-07-25,1.2043,1.2043,1.2043,1.2043,2250,0.0081,0.68
1996-07-29,1.2043,1.2043,1.1962,1.1962,11250,-0.0081,-0.67
1996-07-30,1.2237,1.2852,1.214,1.214,11700,0.0178,1.49
1996-08-05,1.2772,1.2772,1.2772,1.2772,900,0.0631,5.2
1996-08-06,1.1962,1.1962,1.1962,1.1962,450,-0.081,-6.34
1996-08-14,1.1962,1.1962,1.1962,1.1962,4500,0.0,0.0
1996-08-20,1.2059,1.2237,1.2043,1.2237,2250,0.0275,2.3
1996-08-26,1.2043,1.2043,1.2043,1.2043,2250,-0.0195,-1.59
1996-08-27,1.2237,1.2237,1.2237,1.2237,4500,0.0194,1.61
1996-08-28,1.2156,1.2189,1.214,1.2189,5400,-0.0049,-0.4
1996-08-29,1.2059,1.2237,1.2043,1.2237,8550,0.0049,0.4
1996-09-04,1.2043,1.2043,1.2043,1.2043,900,-0.0195,-1.59
1996-09-13,1.2772,1.2772,1.2772,1.2772,450,0.0729,6.05
1996-09-19,1.2674,1.2674,1.2318,1.2318,6300,-0.0453,-3.55
1996-09-25,1.2043,1.2043,1.2043,1.2043,450,-0.0275,-2.23
1996-09-26,1.2415,1.2772,1.2415,1.2772,900,0.0729,6.05
1996-10-02,1.2059,1.2593,1.2043,1.2593,3600,-0.0178,-1.39
1996-10-03,1.2593,1.2593,1.2318,1.2318,4500,-0.0276,-2.19
1996-10-04,1.2772,1.2772,1.2415,1.2415,8100,0.0097,0.79
1996-10-07,1.2043,1.2043,1.2043,1.2043,6750,-0.0372,-3.0
1996-10-11,1.2043,1.2043,1.2043,1.2043,1350,0.0,0.0
1996-10-22,1.2448,1.2448,1.2448,1.2448,4950,0.0405,3.36
1996-10-24,1.2043,1.2043,1.2043,1.2043,1800,-0.0405,-3.25
1996-10-29,1.2043,1.2043,1.2043,1.2043,4050,0.0,0.0
1996-10-30,1.2593,1.2593,1.2593,1.2593,900,0.055,4.57
1996-11-04,1.295,1.295,1.295,1.295,9000,0.0356,2.83
1996-11-05,1.295,1.295,1.295,1.295,900,0.0,0.0
1996-11-12,1.295,1.295,1.295,1.295,2250,0.0,0.0
1996-11-20,1.2043,1.2043,1.2043,1.2043,1350,-0.0906,-7.0
1996-11-21,1.2059,1.2415,1.2043,1.2318,49500,0.0275,2.28
1996-11-22,1.2415,1.2415,1.2237,1.2237,4500,-0.0081,-0.66
1996-11-25,1.2043,1.2043,1.2043,1.2043,450,-0.0195,-1.59
1996-11-27,1.295,1.295,1.295,1.295,450,0.0907,7.53
1996-12-02,1.2059,1.295,1.2043,1.295,2250,0.0,0.0
1996-12-03,1.295,1.295,1.295,1.295,900,0.0,0.0
1996-12-09,1.2593,1.2674,1.2593,1.2674,26550,-0.0275,-2.12
1996-12-12,1.295,1.295,1.295,1.295,450,0.0275,2.17
1996-12-13,1.2593,1.2593,1.2593,1.2593,450,-0.0356,-2.75
1996-12-16,1.2043,1.2043,1.2043,1.2043,900,-0.055,-4.37
1996-12-23,1.295,1.295,1.295,1.295,900,0.0907,7.53
1996-12-27,1.2043,1.2043,1.2043,1.2043,450,-0.0906,-7.0
1996-12-31,1.2421,1.2421,1.2421,1.2421,1800,0.0,0.0
1997-01-03,5.5929,5.5929,5.5929,5.5929,300,0.0,0.0
1997-01-06,5.6764,5.6764,5.6764,5.6764,400,0.0899,1.61
1997-01-07,5.6764,5.6764,5.6764,5.6764,100,0.0,0.0
1997-01-08,5.7599,5.8434,5.7599,5.8434,5000,0.1652,2.91
1997-01-09,5.8434,5.9686,5.7182,5.8434,6200,0.0,0.0
1997-01-10,6.0103,6.0103,6.0103,6.0103,1500,0.1654,2.83
1997-01-20,1.3356,1.3356,1.3356,1.3356,6750,0.0,0.0
1997-01-22,5.9269,6.0938,5.9269,6.0938,600,0.0824,1.37
1997-01-23,1.354,1.354,1.354,1.354,2700,0.0,0.0
1997-01-24,1.354,1.354,1.354,1.354,2700,0.0,0.0
1997-01-28,5.9269,5.9269,5.9269,5.9269,300,-0.1651,-2.71
1997-01-29,1.3173,1.3173,1.3173,1.3173,1350,0.0,0.0
1997-01-30,5.9269,5.9269,5.9269,5.9269,300,0.0,0.0
1997-01-31,6.3025,6.3025,6.219,6.219,1100,0.2928,4.94
1997-02-04,1.3824,1.3824,1.3824,1.3824,4950,0.0,0.0
1997-02-05,1.3824,1.3824,1.3824,1.3824,4950,0.0,0.0
1997-02-07,1.3824,1.3824,1.3824,1.3824,4950,0.0,0.0
1997-02-10,1.3824,1.3824,1.3824,1.3824,4950,0.0,0.0
1997-02-12,6.3442,6.3442,6.0103,6.1773,5500,-0.0448,-0.72
1997-02-14,6.0103,6.0103,6.0103,6.0103,100,-0.1655,-2.68
1997-02-18,6.0521,6.1773,6.0521,6.1773,200,0.1653,2.75
1997-02-19,6.0521,6.1773,6.0521,6.1773,200,0.0,0.0
1997-02-20,6.0521,6.0521,6.0521,6.0521,100,-0.1204,-1.95
1997-02-21,6.3442,6.5529,6.219,6.5529,1800,0.4961,8.19
1997-02-26,6.5529,6.5529,6.5529,6.5529,1300,0.0,0.0
1997-02-27,6.4695,6.8451,6.4695,6.8451,500,0.2929,4.47
1997-02-28,6.9286,6.9286,6.9286,6.9286,400,0.0828,1.21
1997-03-04,6.8451,7.1373,6.8451,7.1373,500,0.2106,3.04
1997-03-05,7.0955,7.0955,7.0955,7.0955,100,-0.045,-0.63
1997-03-06,7.179,7.179,7.179,7.179,200,0.09,1.27
1997-03-07,6.9286,6.9286,6.9286,6.9286,200,-0.2558,-3.56
1997-03-12,7.179,7.179,6.8451,6.8451,1400,-0.0824,-1.19
1997-03-14,6.8451,6.8451,6.8451,6.8451,100,0.0,0.0
1997-03-17,7.0955,7.0955,7.0955,7.0955,200,0.2479,3.62
1997-03-19,6.8451,6.8451,6.8451,6.8451,200,-0.2483,-3.5
1997-03-21,7.0121,7.1269,6.8451,7.1269,3700,0.2853,4.17
1997-03-24,7.0955,7.0955,7.0955,7.0955,300,-0.0378,-0.53
1997-03-27,6.8451,6.8868,6.8451,6.8868,800,-0.2028,-2.86
1997-04-07,6.8451,6.8451,6.8451,6.8451,200,-0.0448,-0.65
1997-04-15,7.2207,7.2207,7.2207,7.2207,200,0.3758,5.49
1997-04-16,7.2207,7.2207,7.085,7.0955,700,-0.1279,-1.77
1997-04-21,1.576,1.576,1.576,1.576,450,0.0,0.0
1997-05-07,6.9703,6.9703,6.9703,6.9703,300,-0.1198,-1.69
1997-05-09,6.9286,7.0955,6.9286,7.0955,700,0.12,1.72
1997-05-12,7.0538,7.0538,7.0538,7.0538,200,-0.0376,-0.53
1997-05-15,6.9286,6.9286,6.9286,6.9286,100,-0.1277,-1.81
1997-05-16,7.0538,7.0641,7.0538,7.0641,1600,0.1351,1.95
1997-05-23,6.9703,7.179,6.9703,7.179,500,0.12,1.7
1997-05-28,6.9703,6.9703,6.9703,6.9703,1300,-0.2104,-2.93
1997-05-29,7.0538,7.0538,7.0121,7.0121,1700,0.0377,0.54
1997-05-30,6.9703,6.9703,6.9703,6.9703,100,-0.0378,-0.54
1997-06-06,6.9703,6.9703,6.9703,6.9703,100,,
1997-06-10,6.9703,6.9703,6.9703,6.9703,400,0.0,0.0
1997-06-11,6.9703,7.0538,6.9703,7.0538,1000,0.083,1.19
1997-06-17,7.0538,7.179,7.0538,7.0538,3700,0.0,0.0
1997-06-18,7.1999,7.1999,7.1373,7.1373,2700,0.0825,1.17
1997-06-19,7.179,7.179,7.179,7.179,200,0.0449,0.63
1997-06-20,7.1373,7.2625,7.1373,7.179,1600,0.0,0.0
1997-06-25,7.179,7.179,7.179,7.179,1000,0.0,0.0
1997-07-08,7.3534,7.3534,7.3534,7.3534,100,0.0,0.0
1997-07-09,7.5672,7.5672,7.5672,7.5672,500,0.2075,2.82
1997-07-10,7.3534,7.3534,7.3534,7.3534,400,-0.2079,-2.75
1997-07-18,7.5672,7.6527,7.5672,7.6099,3000,0.2538,3.45
1997-07-29,7.7596,7.7596,7.6954,7.6954,29200,0.0845,1.11
1997-07-30,7.6099,7.6099,7.6099,7.6099,800,-0.0846,-1.1
1997-08-22,7.7809,8.0375,7.6954,8.0375,4000,0.4233,5.56
1997-08-26,7.6954,8.0375,7.6954,7.6954,1100,-0.3382,-4.21
1997-09-10,8.2085,8.2085,8.2085,8.2085,200,0.5154,6.7
1997-09-11,8.2085,8.2085,8.2085,8.2085,500,0.0,0.0
1997-09-12,8.2085,8.2085,8.2085,8.2085,400,0.0,0.0
1997-09-17,7.9092,7.9092,7.9092,7.9092,400,-0.3005,-3.66
1997-09-23,1.758,1.758,1.758,1.758,450,0.0,0.0
1997-09-25,8.1657,8.1657,8.0375,8.0375,1400,0.1235,1.56
1997-09-30,8.0375,8.0375,8.0375,8.0375,100,0.0,0.0
1997-10-01,8.294,8.294,8.294,8.294,1000,0.2618,3.26
1997-10-06,8.465,8.7429,8.465,8.7429,2600,0.4464,5.38
1997-10-07,8.7429,8.7429,8.5932,8.7215,2100,-0.0227,-0.26
1997-10-08,9.0635,9.0635,9.0635,9.0635,900,0.3461,3.97
1997-10-09,9.0635,9.0635,9.0635,9.0635,100,0.0,0.0
1997-10-14,9.5765,9.5765,9.0208,9.0208,300,-0.0462,-0.51
1997-10-16,9.32,10.1751,9.32,9.7476,2300,0.7312,8.11
1997-10-17,9.5765,9.5765,9.5765,9.5765,500,-0.1775,-1.82
1997-10-23,9.7476,9.7476,9.7476,9.7476,1600,0.1771,1.85
1997-10-27,9.8331,9.8331,9.8331,9.8331,1000,0.0848,0.87
1997-10-28,9.8331,9.8331,9.8331,9.8331,600,0.0,0.0
1997-10-29,9.4483,9.4483,9.4483,9.4483,200,-0.3845,-3.91
1997-11-03,9.491,10.0041,9.491,10.0041,600,0.5538,5.86
1997-11-05,9.491,9.7476,9.491,9.7476,1600,-0.254,-2.54
1997-11-06,9.7048,9.7048,9.7048,9.7048,800,-0.0458,-0.47
1997-11-07,9.6193,9.9186,9.6193,9.9186,1300,0.2154,2.22
