日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1997-07-23,7.8205,7.8608,7.392,7.392,182500,-0.2122,-2.79
1997-07-24,7.3384,7.3384,7.1642,7.1777,75900,-0.2121,-2.87
1997-07-25,7.2045,7.2313,7.1375,7.2313,38800,0.0517,0.72
1997-07-28,7.2313,7.2313,6.9099,7.0839,108700,-0.1475,-2.04
1997-07-29,7.0974,7.1107,7.0706,7.0706,173400,-0.0128,-0.18
1997-07-30,7.0839,7.3116,7.0438,7.3116,215200,0.2438,3.45
1997-07-31,7.2981,7.3116,7.2981,7.3116,80100,0.0,0.0
1997-08-01,7.3384,7.3384,7.1777,7.3116,81300,0.0,0.0
1997-08-04,7.2714,7.3384,7.2581,7.3384,104700,0.0256,0.35
1997-08-05,7.3116,7.3116,7.2045,7.2446,246900,-0.0962,-1.31
1997-08-06,7.3357,7.3765,7.3357,7.3628,159600,0.0257,0.35
1997-08-07,7.3628,7.5392,7.3223,7.3765,196900,0.0133,0.18
1997-08-08,7.3765,7.4442,7.3223,7.4036,246500,0.0324,0.44
1997-08-11,7.4036,7.4307,7.4036,7.4171,16900,0.0133,0.18
1997-08-12,7.4171,7.4171,7.3086,7.3223,79000,-0.0979,-1.32
1997-08-13,7.3223,7.5121,7.3223,7.4579,170600,0.1369,1.87
1997-08-14,7.4579,7.5121,7.4307,7.4442,82500,-0.0127,-0.17
1997-08-15,7.4171,7.485,7.4171,7.4713,61300,0.0261,0.35
1997-08-18,7.4713,7.5798,7.4713,7.5663,94600,0.0978,1.31
1997-08-19,7.5663,7.7425,7.5663,7.6883,188800,0.1173,1.55
1997-08-20,7.6748,7.6883,7.5392,7.5527,111200,-0.1369,-1.78
1997-08-21,7.5527,7.634,7.5255,7.6069,261400,0.0589,0.78
1997-08-22,7.5935,7.6069,7.5527,7.5798,47000,-0.0259,-0.34
1997-08-25,7.5527,7.6748,7.5255,7.5935,104300,0.0129,0.17
1997-08-26,7.6069,7.6206,7.5527,7.5798,72000,-0.0129,-0.17
1997-08-27,7.5798,7.6477,7.5527,7.6477,99000,0.0652,0.86
1997-08-28,7.6206,7.7425,7.6206,7.6611,114000,0.013,0.17
1997-08-29,7.634,7.7019,7.634,7.6477,25600,-0.013,-0.17
1997-09-02,7.6611,7.7019,7.6206,7.6748,78300,0.026,0.34
1997-09-03,7.7019,7.9052,7.7019,7.8781,125400,0.2019,2.63
1997-09-04,7.8918,7.8918,7.7019,7.7154,304100,-0.1631,-2.07
1997-09-05,7.7154,7.7154,7.4984,7.5935,78400,-0.1172,-1.52
1997-09-08,7.6069,7.7019,7.5935,7.5935,230500,0.0,0.0
1997-09-09,7.5935,7.634,7.5663,7.6206,145100,,
1997-09-10,7.6069,7.6069,7.4984,7.5255,112400,-0.0714,-0.94
1997-09-11,7.4984,7.5392,7.2951,7.2951,27500,-0.2279,-3.03
1997-09-12,7.3223,7.4713,7.2951,7.4713,223200,0.1758,2.41
1997-09-15,7.4442,7.4713,7.3899,7.3899,70900,-0.0845,-1.13
1997-09-16,7.3899,7.4579,7.3899,7.4442,93400,0.0583,0.79
1997-09-17,7.4442,7.4984,7.268,7.3765,186000,-0.0715,-0.96
1997-09-18,7.3765,7.3765,7.3086,7.3223,20500,-0.0524,-0.71
1997-09-19,6.6172,6.7527,6.5629,6.6848,933900,-0.6378,-8.71
1997-09-22,6.6172,6.6848,6.5492,6.6035,344600,-0.0782,-1.17
1997-09-23,6.59,6.6172,6.3731,6.5087,185900,-0.0978,-1.48
1997-09-24,6.5087,6.5221,6.4002,6.4679,183000,-0.039,-0.6
1997-09-25,6.4544,6.59,6.4408,6.59,61600,0.1235,1.91
1997-09-26,6.5629,6.6035,6.5358,6.6035,64000,0.0132,0.2
