日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-06-05,33.1,35.0,31.5,33.54,12214912,10.54,45.83
2020-06-08,33.0,37.33,32.65,35.15,1942553,1.61,4.8
2020-06-09,35.6,37.29,33.73,35.51,1174752,0.36,1.02
2020-06-10,36.1,36.99,34.35,35.45,684599,-0.06,-0.17
2020-06-11,32.45,33.3,30.0,31.75,1258894,-3.7,-10.44
2020-06-12,33.11,35.08,31.23,34.75,2241104,3.0,9.45
2020-06-15,34.0,36.5,33.39,35.52,359720,0.77,2.22
2020-06-16,36.0,36.245,34.5,35.0,366267,-0.52,-1.46
2020-06-17,35.04,36.5,34.7,36.37,415105,1.37,3.91
2020-06-18,36.38,39.99,35.7,39.53,824149,3.16,8.69
2020-06-19,40.0,42.33,38.0335,41.75,1435652,2.22,5.62
2020-06-22,41.14,44.26,40.01,40.51,779053,-1.24,-2.97
2020-06-23,41.2,42.99,40.27,40.5,435012,-0.01,-0.02
2020-06-24,39.56,40.1902,37.0,37.52,638290,-2.98,-7.36
2020-06-25,37.15,37.61,35.35,36.03,533958,-1.49,-3.97
2020-06-26,36.2,37.72,36.2,37.2,437285,1.17,3.25
2020-06-29,36.84,37.2098,34.7701,35.93,442673,-1.27,-3.41
2020-06-30,36.8,37.75,34.81,35.5,544014,-0.43,-1.2
2020-07-01,35.79,35.99,33.18,34.0,808286,-1.5,-4.23
2020-07-02,34.78,36.75,34.65,36.17,545258,2.17,6.38
2020-07-06,36.7,40.4,36.35,39.39,624912,3.22,8.9
2020-07-07,38.56,45.9699,38.0003,42.49,1809657,3.1,7.87
2020-07-08,45.89,47.95,43.25,44.75,2269500,2.26,5.32
2020-07-09,45.27,46.35,41.1001,44.83,1070528,0.08,0.18
2020-07-10,42.16,45.75,41.68,44.88,885057,0.05,0.11
2020-07-13,45.33,45.375,37.36,39.04,1259461,-5.84,-13.01
2020-07-14,36.82,37.97,35.52,37.76,985925,-1.28,-3.28
2020-07-15,39.46,41.45,37.706,39.98,874534,2.22,5.88
2020-07-16,38.3,40.6,38.07,39.42,324908,-0.56,-1.4
2020-07-17,39.87,39.87,38.28,38.9,254690,-0.52,-1.32
2020-07-20,38.85,38.8629,37.1407,38.05,356609,-0.85,-2.19
2020-07-21,38.24,38.6876,36.45,37.13,631292,-0.92,-2.42
2020-07-22,37.0,37.11,35.03,35.8,647581,-1.33,-3.58
2020-07-23,35.98,36.325,35.0,36.0,399681,0.2,0.56
2020-07-24,35.17,36.25,34.74,35.4,460863,-0.6,-1.67
2020-07-27,35.85,37.15,34.24,36.53,271668,1.13,3.19
2020-07-28,36.31,38.76,36.04,36.74,257731,0.21,0.57
2020-07-29,37.0,38.5,36.36,38.5,187064,1.76,4.79
2020-07-30,37.11,39.0,37.06,37.58,189160,-0.92,-2.39
2020-07-31,37.52,38.3,36.17,38.3,300122,0.72,1.92
2020-08-03,38.26,40.3999,38.1,39.6,656644,1.3,3.39
2020-08-04,39.22,40.0,38.06,39.3,466035,-0.3,-0.76
2020-08-05,40.3,40.3,38.63,39.41,638092,0.11,0.28
2020-08-06,41.75,44.64,40.51,43.64,1530675,4.23,10.73
2020-08-07,44.06,45.5,42.205,44.32,607265,0.68,1.56
2020-08-10,44.6,47.24,44.34,46.23,758770,1.91,4.31
2020-08-11,46.0,47.4299,44.7,45.38,644544,-0.85,-1.84
2020-08-12,45.83,49.1399,45.694,47.06,519305,1.68,3.7
2020-08-13,47.11,50.125,46.24,48.89,428068,1.83,3.89
2020-08-14,48.99,52.38,48.99,49.89,530880,1.0,2.05
2020-08-17,50.54,51.5,49.34,49.54,305403,-0.35,-0.7
2020-08-18,49.55,50.71,47.51,47.96,467197,-1.58,-3.19
2020-08-19,48.88,51.78,48.3566,49.9,449412,1.94,4.05
2020-08-20,49.9,51.0,48.1,48.24,302676,-1.66,-3.33
2020-08-21,48.69,50.59,47.22,50.17,575385,1.93,4.0
2020-08-24,51.0,51.9,47.8,50.34,498628,0.17,0.34
2020-08-25,50.32,53.44,50.0,52.72,456255,2.38,4.73
2020-08-26,53.5,56.2,51.74,51.93,436666,-0.79,-1.5
2020-08-27,51.9,53.0131,50.69,51.26,202008,-0.67,-1.29
2020-08-28,51.05,52.75,49.0,51.34,484056,0.08,0.16
2020-08-31,51.5,51.99,50.22,50.37,282701,-0.97,-1.89
2020-09-01,50.77,51.85,50.26,51.02,274319,0.65,1.29
2020-09-02,51.47,52.0,50.3019,51.27,279163,0.25,0.49
2020-09-03,50.5,50.78,48.36,49.32,653091,-1.95,-3.8
2020-09-04,48.77,49.8,45.14,49.53,543054,0.21,0.43
2020-09-08,48.4,51.29,46.9,49.58,462446,0.05,0.1
2020-09-09,46.7,49.72,45.0,48.95,897040,-0.63,-1.27
2020-09-10,49.44,53.5,49.0,50.02,708116,1.07,2.19
2020-09-11,48.56,48.6,45.0,46.3,5157248,-3.72,-7.44
2020-09-14,46.05,46.76,45.15,45.41,1366766,-0.89,-1.92
2020-09-15,45.86,46.74,44.7,46.5,1212871,1.09,2.4
2020-09-16,46.97,47.53,46.075,46.99,1001023,0.49,1.05
2020-09-17,45.98,46.49,43.8,44.57,1022080,-2.42,-5.15
2020-09-18,44.58,45.66,43.29,44.38,1371103,-0.19,-0.43
2020-09-21,43.8,46.52,43.35,45.36,894681,0.98,2.21
2020-09-22,45.87,47.505,45.87,46.54,1037006,1.18,2.6
2020-09-23,46.82,47.58,45.93,46.64,317967,0.1,0.21
2020-09-24,45.95,46.69,43.46,44.5,732637,-2.14,-4.59
2020-09-25,44.45,46.8,44.193,45.38,972815,0.88,1.98
2020-09-28,45.89,46.89,45.1,45.59,316413,0.21,0.46
2020-09-29,45.55,47.8,45.55,47.24,563837,1.65,3.62
2020-09-30,47.61,49.1,47.115,48.36,786229,1.12,2.37
2020-10-01,49.55,50.5,48.37,49.69,1662420,1.33,2.75
2020-10-02,48.35,52.44,48.0,51.55,954387,1.86,3.74
2020-10-05,51.76,53.3,51.1001,52.21,725619,0.66,1.28
2020-10-06,52.74,55.3,52.63,53.7,842839,1.49,2.85
2020-10-07,54.01,56.1999,53.01,53.45,727291,-0.25,-0.47
2020-10-08,54.54,55.05,52.514,53.46,712833,0.01,0.02
2020-10-09,54.27,56.09,53.56,55.71,742244,2.25,4.21
2020-10-12,57.6,62.59,57.55,60.05,1618896,4.34,7.79
2020-10-13,60.51,62.27,57.67,58.2,1248639,-1.85,-3.08
2020-10-14,60.14,60.8,54.39,57.0,1585793,-1.2,-2.06
2020-10-15,54.97,58.75,54.31,58.44,535807,1.44,2.53
2020-10-16,59.21,60.65,58.26,59.4,548105,0.96,1.64
2020-10-19,59.29,59.72,56.77,57.76,510827,-1.64,-2.76
2020-10-20,58.48,60.22,57.83,59.22,444296,1.46,2.53
2020-10-21,58.65,59.8,54.81,56.81,567762,-2.41,-4.07
2020-10-22,57.23,57.585,55.17,56.06,346953,-0.75,-1.32
2020-10-23,56.07,56.4,54.0762,55.98,301494,-0.08,-0.14
2020-10-26,55.49,55.9251,51.63,53.25,437442,-2.73,-4.88
2020-10-27,53.5,55.93,53.5,55.77,450332,2.52,4.73
2020-10-28,53.95,54.425,51.27,52.23,680943,-3.54,-6.35
2020-10-29,53.42,54.39,50.77,52.77,749617,0.54,1.03
2020-10-30,52.19,52.19,47.06,50.91,1117015,-1.86,-3.52
2020-11-02,51.66,51.79,47.36,47.82,654214,-3.09,-6.07
2020-11-03,48.01,50.86,47.05,50.3,419391,2.48,5.19
2020-11-04,50.97,54.47,50.06,54.01,1073107,3.71,7.38
2020-11-05,54.59,58.61,53.0737,56.75,1202103,2.74,5.07
2020-11-06,56.12,56.37,51.56,54.5,911761,-2.25,-3.96
2020-11-09,58.0,64.35,57.0908,62.75,1999464,8.25,15.14
2020-11-10,62.0,62.345,57.02,60.0,1129407,-2.75,-4.38
2020-11-11,61.0,61.8,58.01,58.83,699969,-1.17,-1.95
2020-11-12,58.62,60.33,57.51,57.89,297712,-0.94,-1.6
