日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2008-12-29,7.9405,8.2517,7.5444,8.2517,5834566,,
2008-12-30,8.3366,8.3932,8.0914,8.3366,6575376,0.3145,3.92
2008-12-31,8.3271,8.6195,8.0254,8.5723,7538631,0.2278,2.73
2009-01-02,8.5535,9.2419,8.3366,9.1382,6499951,0.5754,6.72
2009-01-05,8.9967,9.1948,8.8553,8.959,11049072,-0.1847,-2.02
2009-01-06,8.8647,9.4305,8.8647,9.2891,8381838,0.3262,3.64
2009-01-07,9.025,9.1099,8.4875,8.5346,13143257,-0.7492,-8.07
2009-01-08,8.478,8.5346,8.1291,8.412,13664147,-0.1194,-1.4
2009-01-09,8.5535,8.6101,8.1102,8.2328,9882314,-0.1843,-2.19
2009-01-12,8.2706,8.2706,7.8839,7.9688,9489884,-0.2609,-3.17
2009-01-13,8.1291,8.3743,7.9971,8.1951,17272569,0.2279,2.86
2009-01-14,7.9782,8.082,7.4878,7.6482,21311005,-0.5536,-6.75
2009-01-15,7.6104,7.7142,7.2521,7.5727,25224920,-0.0757,-0.99
2009-01-16,7.7236,7.7236,7.2143,7.5633,63884693,0.0,0.0
2009-01-20,7.3652,7.4501,6.7334,6.7428,26388298,-0.8249,-10.9
2009-01-21,6.9692,7.2521,6.7428,7.2521,19544000,0.5104,7.57
2009-01-22,6.375,7.054,6.375,6.7805,28269011,-0.4784,-6.59
2009-01-23,6.4882,6.7805,6.4316,6.5542,20131456,-0.2174,-3.21
2009-01-26,6.3656,6.8371,6.309,6.5259,22799229,-0.0328,-0.5
2009-01-27,6.5919,6.6391,6.2524,6.3467,17419023,-0.1848,-2.83
2009-01-28,6.79,7.1766,6.6297,7.1106,17679245,0.7709,12.16
2009-01-29,6.8183,6.9409,6.375,6.4128,20339438,-0.6944,-9.77
2009-01-30,6.4316,6.4599,5.9507,6.0261,24241105,-0.3908,-6.09
2009-02-02,5.7809,6.3656,5.7432,6.2807,26484358,0.2497,4.14
2009-02-03,6.1298,6.441,6.1298,6.4033,21080573,0.1305,2.08
2009-02-04,6.309,6.5542,6.1487,6.2336,25407926,-0.1736,-2.71
2009-02-05,6.1581,6.5636,6.0638,6.5448,30090485,0.3146,5.05
2009-02-06,6.3845,6.79,6.3562,6.5825,30041860,0.0327,0.5
2009-02-09,6.5731,6.6768,6.1968,6.3939,21248450,-0.1849,-2.81
2009-02-10,6.2902,6.4128,5.9224,5.9978,29076710,-0.4019,-6.28
2009-02-11,6.0261,6.2807,5.9035,6.1015,21226015,0.1085,1.81
2009-02-12,5.7998,6.1676,5.7998,6.1676,19645811,0.0653,1.07
2009-02-13,6.1298,6.243,5.9978,6.1298,15917258,-0.0327,-0.53
2009-02-17,5.6677,5.9601,5.6489,5.7715,21515341,-0.358,-5.84
2009-02-18,5.762,5.8941,5.6489,5.7715,20155652,0.0,0.0
2009-02-19,5.7998,5.9318,5.63,5.6772,25951923,-0.0976,-1.69
2009-02-20,5.5451,5.7998,5.5357,5.696,33367956,0.0216,0.38
2009-02-23,5.696,5.8941,5.4131,5.4508,27335109,-0.2497,-4.38
2009-02-24,5.5074,5.8375,5.366,5.7715,36595909,0.3257,5.98
2009-02-25,5.7432,5.8846,5.4886,5.7149,20824751,-0.0653,-1.13
2009-02-26,5.9507,5.9507,5.3754,5.4414,25730547,-0.2714,-4.75
2009-02-27,5.2151,5.4225,5.2151,5.2434,27772838,-0.1952,-3.59
2009-03-02,5.1491,5.2245,4.9699,4.9793,23571215,-0.2604,-4.97
2009-03-03,5.2245,5.2339,4.8944,5.0359,25210293,0.0543,1.09
2009-03-04,5.0642,5.4225,4.9887,5.3377,21041085,0.3036,6.03
2009-03-05,5.1113,5.3188,5.017,5.0453,30088698,-0.2931,-5.49
2009-03-06,5.1113,5.1868,4.8473,5.0076,23499011,-0.0434,-0.86
2009-03-09,4.8944,4.9699,4.6681,4.7058,23026858,-0.3041,-6.07
