日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1997-01-02,6.9521,7.0912,6.9521,7.0216,7400,,
1997-01-06,7.0216,7.1607,7.0216,7.0216,3600,,
1997-01-08,7.0216,7.1259,7.0216,7.1259,7000,,
1997-01-13,6.8826,6.8826,6.8826,6.8826,200,,
1997-01-15,6.8826,7.6473,6.8826,7.6473,14400,,
1997-01-16,7.6473,7.6473,7.5778,7.5778,2200,,
1997-01-17,7.9949,7.9949,7.5083,7.543,8100,,
1997-01-20,7.5083,7.5083,7.5083,7.5083,100,,
1997-01-22,7.5083,7.5083,7.5083,7.5083,100,,
1997-01-23,7.5083,7.5083,7.5083,7.5083,1700,,
1997-01-24,7.3692,7.3692,7.3692,7.3692,2000,,
1997-01-28,7.2997,7.2997,7.2997,7.2997,300,,
1997-01-29,6.9869,7.1607,6.9869,7.1607,67900,,
1997-01-30,7.4388,7.4388,7.0912,7.2997,3000,,
1997-02-04,7.0912,7.2997,7.0912,7.0912,5600,,
1997-02-05,7.0216,7.0216,7.0216,7.0216,2000,,
1997-02-12,6.674,6.8826,6.674,6.8826,12300,,
1997-02-14,6.8826,6.8826,6.8826,6.8826,400,,
1997-02-19,6.8998,6.9521,6.8998,6.9521,36500,,
1997-02-20,6.8826,6.8826,6.8826,6.8826,100,,
1997-02-25,6.9521,6.9521,6.9521,6.9521,600,,
1997-02-26,6.9521,6.9521,6.9521,6.9521,1100,,
1997-02-27,6.8131,6.8131,6.8131,6.8131,2400,,
1997-02-28,6.8131,6.8131,6.8131,6.8131,100,,
1997-03-03,6.8478,6.9174,6.8131,6.9174,22000,,
1997-03-06,6.8826,6.9174,6.8826,6.9174,10000,,
1997-03-07,6.8131,6.8131,6.8131,6.8131,700,,
1997-03-11,7.2302,7.2302,7.2302,7.2302,400,,
1997-03-14,6.8131,6.8131,6.8131,6.8131,700,,
1997-03-18,6.8131,6.8131,6.8131,6.8131,1700,,
1997-03-19,6.8131,6.8131,6.8131,6.8131,1800,,
1997-03-20,6.8478,6.8478,6.8478,6.8478,1500,,
1997-03-31,6.8131,6.9869,6.8131,6.9869,2900,,
1997-04-02,6.8131,6.8131,6.8131,6.8131,100,,
1997-04-04,6.8131,6.8478,6.8131,6.8478,8000,,
1997-04-07,6.8131,6.8131,6.8131,6.8131,100,,
1997-04-15,6.8826,6.8826,6.8826,6.8826,100,,
1997-04-18,6.8131,6.8131,6.8131,6.8131,100,,
1997-04-22,7.2302,7.2302,7.2302,7.2302,200,,
1997-04-24,7.0912,7.0912,6.9521,6.9521,1200,,
1997-04-25,6.9521,6.9521,6.9521,6.9521,400,,
1997-04-30,6.9521,6.9521,6.9521,6.9521,100,,
1997-05-01,7.1607,7.2302,7.1607,7.2302,2100,,
1997-05-08,6.9521,6.9521,6.9521,6.9521,500,,
1997-05-20,6.9521,6.9521,6.9521,6.9521,100,,
1997-05-22,7.0216,7.0216,7.0216,7.0216,1000,,
1997-05-28,6.9869,7.0564,6.9869,7.0564,6000,,
1997-06-05,6.9521,6.9521,6.9521,6.9521,900,,
1997-06-10,6.9521,7.0912,6.9174,6.9174,6500,,
1997-06-11,7.2302,7.2302,6.8826,6.9174,8600,,
1997-06-12,7.2302,7.2997,7.2302,7.2997,3000,,
1997-06-13,7.3692,7.3692,7.2997,7.3345,14600,,
1997-06-18,7.3692,7.5083,7.3692,7.5083,1200,,
