日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2022-09-08,3.45,3.54,1.95,2.12,582301,-0.23,-9.79
2022-09-09,2.02,2.29,2.02,2.23,142711,0.11,5.19
2022-09-12,2.19,2.23,2.07,2.11,57993,-0.12,-5.38
2022-09-13,2.1,2.79,1.95,2.07,1766997,-0.04,-1.9
2022-09-14,2.03,2.068,1.8,1.98,228636,-0.09,-4.35
2022-09-15,1.87,1.98,1.87,1.95,72974,-0.03,-1.52
2022-09-16,1.93,2.1,1.84,2.06,104496,0.11,5.64
2022-09-19,2.0,2.06,1.85,1.94,68775,-0.12,-5.8252
2022-09-20,1.96,1.97,1.85,1.94,29353,0.0,0.0
2022-09-21,1.99,1.99,1.8,1.84,46061,-0.1,-5.15
2022-09-22,1.88,1.93,1.8001,1.82,36604,-0.02,-1.09
2022-09-23,1.88,1.91,1.8,1.87,70914,0.05,2.75
2022-09-26,1.81,1.9,1.81,1.8535,19795,-0.017,-0.91
2022-09-27,1.9,1.9,1.7,1.72,44713,-0.1335,-7.2026
2022-09-28,1.67,1.9527,1.67,1.93,94979,0.21,12.21
2022-09-29,1.87,1.9,1.71,1.72,31247,-0.21,-10.88
2022-09-30,1.82,1.89,1.75,1.79,43340,0.07,4.07
2022-10-03,1.75,1.9199,1.75,1.87,39023,0.08,4.47
2022-10-04,2.05,2.12,1.9,2.04,127356,0.17,9.09
2022-10-05,2.08,2.095,1.92,2.05,53680,0.01,0.49
2022-10-06,2.09,2.1462,1.94,1.97,64140,-0.08,-3.9
2022-10-07,2.06,2.0652,1.86,1.95,18441,-0.02,-1.02
2022-10-10,1.9,1.9399,1.85,1.85,27723,-0.1,-5.13
2022-10-11,1.8,1.8944,1.77,1.81,16276,-0.04,-2.16
2022-10-12,1.72,1.765,1.71,1.72,25631,-0.09,-4.97
2022-10-13,1.7138,1.77,1.7101,1.73,4643,0.01,0.58
2022-10-14,1.75,1.8273,1.71,1.71,42890,-0.02,-1.1561
2022-10-17,1.73,1.81,1.7004,1.81,55032,0.1,5.85
2022-10-18,1.8501,1.9201,1.77,1.77,39342,-0.04,-2.21
2022-10-19,1.79,1.7973,1.72,1.76,15727,-0.01,-0.565
2022-10-20,1.77,1.85,1.75,1.81,20353,0.05,2.84
2022-10-21,1.8673,1.869,1.8,1.85,23143,0.04,2.21
2022-10-24,1.9,2.05,1.8681,2.04,112362,0.19,10.27
2022-10-25,2.07,2.1499,1.9801,2.078,67252,0.038,1.86
2022-10-26,2.08,2.1099,2.01,2.04,53730,-0.038,-1.83
2022-10-27,2.04,2.0467,1.9,1.9,20067,-0.14,-6.86
2022-10-28,1.98,1.98,1.83,1.92,22210,0.02,1.05
2022-10-31,1.85,1.93,1.85,1.9,43567,-0.02,-1.04
2022-11-01,1.89,1.95,1.75,1.95,51713,0.05,2.63
2022-11-02,1.95,2.13,1.82,1.83,36356,-0.12,-6.1538
2022-11-03,1.86,1.86,1.79,1.79,21616,-0.04,-2.19
2022-11-04,1.79,1.82,1.71,1.74,20395,-0.05,-2.7933
2022-11-07,1.7,1.78,1.7,1.76,29499,0.02,1.15
2022-11-08,1.73,1.785,1.73,1.73,13784,-0.03,-1.7
2022-11-09,1.73,1.73,1.72,1.73,12042,0.0,0.0
2022-11-10,1.73,1.78,1.71,1.77,18372,0.04,2.31
2022-11-11,1.71,1.904,1.71,1.88,41350,0.11,6.21
2022-11-14,1.93,2.0399,1.88,2.0,33705,0.12,6.38
2022-11-15,1.99,2.0899,1.9756,2.08,48189,0.08,4.0
2022-11-16,2.12,2.64,2.05,2.23,369620,0.15,7.21
2022-11-17,2.31,2.31,2.09,2.13,47915,-0.1,-4.48
2022-11-18,2.08,2.2489,1.97,1.97,28618,-0.16,-7.51
2022-11-21,1.92,1.97,1.87,1.87,18370,-0.1,-5.0761
2022-11-22,1.98,2.02,1.88,1.97,27126,0.1,5.35
2022-11-23,1.94,2.01,1.78,1.81,77633,-0.16,-8.12
2022-11-25,1.77,1.94,1.77,1.94,5033,0.13,7.18
2022-11-28,1.85,1.9594,1.8,1.82,11374,-0.12,-6.19
2022-11-29,1.96,1.99,1.8167,1.95,19024,0.13,7.14
2022-11-30,1.93,1.9899,1.8901,1.9001,22569,-0.05,-2.56
2022-12-01,1.83,1.95,1.83,1.89,25151,-0.0101,-0.5316
2022-12-02,1.8498,1.89,1.81,1.84,14802,-0.05,-2.65
2022-12-05,1.83,1.9,1.8,1.8,25733,-0.04,-2.17
2022-12-06,1.835,1.835,1.655,1.66,32465,-0.14,-7.78
2022-12-07,1.71,1.71,1.6,1.6,23563,-0.06,-3.61
2022-12-08,1.6,1.65,1.5,1.57,20248,-0.03,-1.875
2022-12-09,1.57,1.6,1.5563,1.57,11855,0.0,0.0
2022-12-12,1.52,1.6,1.31,1.38,81745,-0.19,-12.1019
2022-12-13,1.35,1.51,1.35,1.48,16450,0.1,7.25
2022-12-14,1.41,1.465,1.41,1.46,8715,-0.02,-1.35
2022-12-15,1.48,1.48,1.4,1.43,10418,-0.03,-2.05
2022-12-16,1.43,1.5299,1.4001,1.47,15657,0.04,2.7972
2022-12-19,1.42,1.4299,1.35,1.37,13164,-0.1,-6.8027
2022-12-20,1.35,1.47,1.35,1.46,22790,0.09,6.5693
2022-12-21,1.45,1.4999,1.3608,1.45,20654,-0.01,-0.6849
2022-12-22,1.38,1.43,1.37,1.37,13735,-0.08,-5.5172
2022-12-23,1.35,1.4299,1.35,1.38,12025,0.01,0.73
2022-12-27,1.35,1.36,1.31,1.33,15379,-0.05,-3.62
2022-12-28,1.3,1.382,1.3,1.37,26973,0.04,3.01
2022-12-29,1.37,1.47,1.33,1.47,58630,0.1,7.3
2022-12-30,1.39,1.5,1.39,1.5,26983,0.03,2.04
2023-01-03,1.45,1.98,1.4188,1.79,348412,0.29,19.33
2023-01-04,1.76,1.86,1.6,1.62,109710,-0.17,-9.5
2023-01-05,1.67,1.6799,1.6,1.655,30235,0.035,2.16
2023-01-06,1.6102,1.69,1.6,1.69,52516,0.035,2.11
2023-01-09,1.69,1.7899,1.6701,1.7101,53703,0.02,1.18
2023-01-10,1.79,1.79,1.65,1.7101,11544,0.0,0.0
2023-01-11,1.7,2.0,1.64,1.84,1356615,0.13,7.6
2023-01-12,1.89,1.89,1.7,1.75,107951,-0.09,-4.89
2023-01-13,1.7,1.8,1.65,1.7205,115458,-0.03,-1.71
2023-01-17,1.76,1.9981,1.76,1.99,195044,0.27,15.69
2023-01-18,2.0,2.14,1.765,1.86,229533,-0.13,-6.53
2023-01-19,1.8701,2.24,1.87,2.22,349345,0.36,19.35
2023-01-20,2.22,2.58,2.1407,2.26,203236,0.04,1.8
2023-01-23,2.23,2.3895,2.22,2.32,52656,0.06,2.65
2023-01-24,2.33,2.4,2.3002,2.4,27271,0.08,3.45
2023-01-25,2.4,2.49,2.4,2.46,35634,0.06,2.5
2023-01-26,2.5,2.54,2.43,2.48,21643,0.02,0.81
2023-01-27,2.4801,2.53,2.45,2.5,22082,0.02,0.81
2023-01-30,2.49,2.49,2.18,2.3099,39561,-0.19,-7.6
2023-01-31,2.3,2.35,2.25,2.35,22673,0.04,1.73
2023-02-01,2.3001,2.47,2.3,2.41,9795,0.06,2.55
2023-02-02,2.44,2.51,2.39,2.4,41627,-0.01,-0.41
2023-02-03,2.31,2.49,2.31,2.41,17687,0.01,0.42
2023-02-06,2.35,2.477,2.3416,2.43,8768,0.02,0.8299
2023-02-07,2.42,2.44,2.25,2.36,17558,-0.07,-2.88
2023-02-08,2.37,2.37,2.021,2.1082,21307,-0.2518,-10.6695
2023-02-09,2.1,2.1,1.955,1.97,16087,-0.138,-6.55
2023-02-10,2.0,2.0401,1.9601,1.995,6522,0.025,1.27
2023-02-13,2.0,2.0,1.83,1.85,17383,-0.145,-7.27
2023-02-14,1.85,1.91,1.7661,1.83,16907,-0.02,-1.08
2023-02-15,1.89,1.89,1.8,1.8885,5427,0.0585,3.1967
2023-02-16,1.9,1.9921,1.86,1.86,19256,-0.028,-1.48
2023-02-17,1.8899,1.97,1.857,1.97,2034,0.11,5.91
2023-02-21,1.95,1.95,1.83,1.83,8060,-0.14,-7.11
2023-02-22,1.83,2.04,1.8,1.86,22415,0.03,1.64
2023-02-23,1.81,1.928,1.81,1.9,3302,0.04,2.15
2023-02-24,1.9,1.9088,1.71,1.78,14300,-0.12,-6.32
