日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2012-07-10,4.4011,4.4268,4.2508,4.298,1052280,0.0,0.0
2012-07-11,4.3366,4.3366,4.2508,4.2933,153625,-0.0043,-0.1
2012-07-12,4.2937,4.3581,4.2722,4.3281,88900,0.0343,0.8
2012-07-13,4.3233,4.3796,4.2851,4.3624,47700,0.0342,0.79
2012-07-16,4.3023,4.3324,4.298,4.3238,54605,-0.0388,-0.89
2012-07-17,4.3324,4.3324,4.2937,4.3109,72957,-0.013,-0.3
2012-07-18,4.298,4.3023,4.2937,4.3023,78621,-0.0086,-0.2
2012-07-19,4.3023,4.3324,4.2993,4.3324,70483,0.0301,0.7
2012-07-20,4.3577,4.3581,4.2937,4.2937,52050,-0.0386,-0.89
2012-07-23,4.2937,4.3624,4.2937,4.3624,66740,0.0687,1.6
2012-07-24,4.3581,4.3624,4.3366,4.3581,19500,-0.0044,-0.1
2012-07-25,4.3624,4.3624,4.3366,4.3366,51736,-0.0214,-0.49
2012-07-26,4.3581,4.3667,4.3534,4.3538,83413,0.0173,0.4
2012-07-27,4.3538,4.3538,4.3366,4.3452,41025,-0.0087,-0.2
2012-07-30,4.3362,4.3452,4.3195,4.3324,27729,-0.013,-0.3
2012-07-31,4.3152,4.3452,4.3152,4.3199,46200,-0.013,-0.3
2012-08-01,4.3238,4.3796,4.3195,4.3796,92987,0.06,1.39
2012-08-02,4.3581,4.4011,4.3581,4.3925,69168,0.0127,0.29
2012-08-03,4.4139,4.4139,4.4092,4.4096,20500,0.0171,0.39
2012-08-06,4.4139,4.4139,4.3796,4.4011,11333,-0.0084,-0.19
2012-08-07,4.4182,4.4182,4.3796,4.3839,21990,-0.0172,-0.39
2012-08-08,4.3796,4.4139,4.3731,4.4135,50646,0.0302,0.69
2012-08-09,4.3839,4.4225,4.3796,4.3839,38885,-0.03,-0.68
2012-08-10,4.3796,4.444,4.3796,4.4225,25196,0.0386,0.88
2012-08-13,4.4225,4.444,4.4225,4.4397,3378,0.0172,0.39
2012-08-14,4.444,4.444,4.4225,4.4397,6000,0.0,0.0
2012-08-15,4.444,4.444,4.4225,4.4397,6336,0.0,0.0
2012-08-16,4.3899,4.4397,4.3899,4.4397,5500,0.0,0.0
2012-08-17,4.4397,4.4397,4.4268,4.4397,1000,0.0,0.0
2012-08-20,4.4397,4.4397,4.4397,4.4397,500,0.0,0.0
2012-08-21,4.4354,4.4998,4.4225,4.4998,34299,0.0599,1.35
2012-08-22,4.5509,4.6239,4.5385,4.5771,19970,0.0774,1.72
2012-08-23,4.6114,4.6114,4.4998,4.4998,3411,-0.0774,-1.69
2012-08-24,4.5084,4.5599,4.5084,4.5595,5500,0.0603,1.34
2012-08-27,4.5599,4.5599,4.4826,4.5213,27705,-0.0388,-0.85
2012-08-28,4.5599,4.5943,4.5513,4.5513,20932,0.0298,0.66
2012-08-29,4.5513,4.5513,4.5299,4.5299,1100,-0.0214,-0.47
2012-08-30,4.5857,4.5943,4.5299,4.5943,8550,0.0643,1.42
2012-08-31,4.5943,4.6458,4.5814,4.5814,11687,-0.0129,-0.28
2012-09-03,4.5814,4.5814,4.5814,4.5814,0,0.0,0.0
2012-09-04,4.5213,4.5814,4.5213,4.5814,14232,0.0,0.0
2012-09-05,4.5685,4.6072,4.5608,4.6072,44984,0.0257,0.56
2012-09-06,4.5857,4.5986,4.5814,4.5986,8856,-0.0088,-0.19
2012-09-07,4.5513,4.6029,4.5513,4.5943,800,-0.0041,-0.09
2012-09-10,4.59,4.5943,4.547,4.5943,27138,0.0,0.0
2012-09-11,4.5728,4.5943,4.5728,4.5943,9000,0.0,0.0
2012-09-12,4.5943,4.5986,4.5943,4.5943,11100,0.0,0.0
2012-09-13,4.5943,4.5943,4.5771,4.59,19958,-0.0041,-0.09
2012-09-14,4.6072,4.6072,4.5857,4.5986,20500,0.0087,0.19
2012-09-17,4.5513,4.6286,4.5513,4.5814,4900,-0.017,-0.37
2012-09-18,4.5213,4.6286,4.5213,4.6286,5650,0.0472,1.03
2012-09-19,4.6072,4.6072,4.5986,4.6072,800,-0.0213,-0.46
2012-09-20,4.6029,4.6501,4.6029,4.6501,6000,0.0428,0.93
2012-09-21,4.6372,4.6801,4.6072,4.6072,17011,-0.0428,-0.92
2012-09-24,4.6329,4.6801,4.6243,4.6801,15402,0.0728,1.58
2012-09-25,4.6372,4.663,4.62,4.663,9350,-0.0173,-0.37
2012-09-26,4.62,4.62,4.62,4.62,782,-0.0429,-0.92
2012-09-27,4.62,4.62,4.62,4.62,0,0.0,0.0
2012-09-28,4.62,4.62,4.62,4.62,0,0.0,0.0
2012-10-01,4.62,4.62,4.5814,4.5814,6800,-0.0388,-0.84
2012-10-02,4.5943,4.5943,4.5943,4.5943,700,0.0128,0.28
2012-10-03,4.62,4.62,4.62,4.62,100,0.0257,0.56
2012-10-04,4.5986,4.62,4.5943,4.6114,3800,-0.0088,-0.19
2012-10-05,4.6286,4.6329,4.62,4.62,9111,0.0088,0.19
2012-10-08,4.6286,4.6329,4.6286,4.6329,2300,0.0129,0.28
2012-10-09,4.6157,4.6157,4.6157,4.6157,900,-0.0171,-0.37
2012-10-10,4.6157,4.62,4.6153,4.6157,3850,0.0,0.0
2012-10-11,4.6329,4.6329,4.6157,4.6157,1200,0.0,0.0
2012-10-12,4.6243,4.6243,4.6157,4.6243,4800,0.0088,0.19
2012-10-15,4.6157,4.6587,4.6157,4.6587,12563,0.0342,0.74
2012-10-16,4.6372,4.6587,4.6286,4.6587,11032,0.0,0.0
2012-10-17,4.6544,4.6973,4.6544,4.6973,10788,0.0387,0.83
2012-10-18,4.6973,4.6973,4.6973,4.6973,0,0.0,0.0
2012-10-19,4.6973,4.6973,4.6973,4.6973,0,0.0,0.0
2012-10-22,4.6801,4.6801,4.6801,4.6801,300,-0.0174,-0.37
2012-10-23,4.6372,4.6372,4.6372,4.6372,800,-0.0431,-0.92
2012-10-24,4.6789,4.6917,4.6789,4.6917,1000,0.0556,1.2
2012-10-25,4.6973,4.7832,4.6801,4.7832,19560,0.0901,1.92
2012-10-26,4.7446,4.7463,4.6587,4.7231,3800,-0.0603,-1.26
2012-10-29,4.7231,4.7231,4.7231,4.7231,0,0.0,0.0
2012-10-30,4.7231,4.7231,4.7231,4.7231,0,0.0,0.0
2012-10-31,4.766,5.0451,4.766,5.0022,65162,0.2791,5.91
2012-11-01,5.0451,5.1525,5.0451,5.1525,21341,0.1501,3.0
2012-11-02,5.1525,5.1525,5.1095,5.1525,14563,0.0,0.0
2012-11-05,5.1267,5.1525,5.1267,5.1482,3234,-0.0041,-0.08
2012-11-06,5.1482,5.1525,5.1224,5.1224,5389,-0.0257,-0.5
2012-11-07,5.1224,5.1224,5.1224,5.1224,200,0.0,0.0
2012-11-08,5.1207,5.1224,5.1181,5.1224,2200,0.0,0.0
2012-11-09,5.1224,5.1224,5.1224,5.1224,0,0.0,0.0
2012-11-12,5.0752,5.1482,5.0236,5.1482,3258,0.0256,0.5
2012-11-13,5.1052,5.1525,5.1052,5.1525,18503,0.0041,0.08
2012-11-14,5.1525,5.1525,5.1525,5.1525,600,0.0,0.0
2012-11-15,5.1525,5.1525,5.1095,5.1095,3490,-0.0428,-0.83
2012-11-16,5.1525,5.2383,5.1482,5.152,26800,0.0429,0.84
2012-11-19,5.1525,5.2555,5.1439,5.2426,7000,0.0902,1.75
2012-11-20,5.2555,5.3586,5.2551,5.3586,10120,0.1159,2.21
2012-11-21,5.3543,5.5771,5.3543,5.4015,27894,0.0429,0.8
2012-11-22,5.4015,5.4015,5.4015,5.4015,0,0.0,0.0
2012-11-23,5.4788,5.5732,5.4788,5.5604,2600,0.1588,2.94
2012-11-26,5.4058,5.5689,5.4058,5.5689,2600,0.0083,0.15
2012-11-27,5.496,5.5689,5.496,5.5689,4000,0.0,0.0
2012-11-28,5.3929,5.5518,5.3929,5.5518,1100,-0.0173,-0.31
2012-11-29,5.5561,5.8613,5.5561,5.5818,13592,0.03,0.54
2012-11-30,5.6076,5.6205,5.6072,5.62,3052,0.0385,0.69
2012-12-03,5.6119,5.6119,5.5818,5.6076,4904,-0.0129,-0.23
2012-12-04,5.5861,5.6119,5.5818,5.5904,7843,-0.0174,-0.31
2012-12-05,5.6119,5.62,5.6119,5.6119,2848,0.0212,0.38
2012-12-06,5.6162,5.7149,5.5805,5.7106,15904,0.0988,1.76
2012-12-07,5.6205,5.6205,5.599,5.599,3450,-0.1114,-1.95
2012-12-10,5.599,5.599,5.599,5.599,200,0.0,0.0
2012-12-11,5.4273,5.5818,5.4273,5.5604,3900,-0.0386,-0.69
2012-12-12,5.4831,5.5561,5.4745,5.5518,2300,-0.0083,-0.15
2012-12-13,5.5861,5.5904,5.5389,5.5775,3200,0.0255,0.46
2012-12-14,5.5904,5.5904,5.5732,5.5818,15400,0.0045,0.08
2012-12-17,5.5604,5.5904,5.5604,5.5818,5110,0.0,0.0
2012-12-18,5.5904,5.5904,5.5732,5.5732,5107,-0.0084,-0.15
2012-12-19,5.5775,5.5775,5.5732,5.5775,2000,0.0045,0.08
2012-12-20,5.5775,5.5775,5.5775,5.5775,0,0.0,0.0
2012-12-21,5.5131,5.5728,5.4406,5.5728,5400,-0.0045,-0.08
2012-12-24,5.5604,5.5775,5.5561,5.5561,1200,-0.0173,-0.31
2012-12-25,5.5561,5.5561,5.5561,5.5561,0,0.0,0.0
2012-12-26,5.5561,5.5561,5.5561,5.5561,0,0.0,0.0
2012-12-27,5.5561,5.5561,5.5561,5.5561,0,0.0,0.0
2012-12-28,5.4831,5.5818,5.4831,5.5689,8900,0.0128,0.23
2012-12-31,5.3714,5.5689,5.3714,5.5689,4116,0.0,0.0
2013-01-01,5.5689,5.5689,5.5689,5.5689,0,0.0,0.0
2013-01-02,5.5689,5.5818,5.5647,5.5818,29182,0.0128,0.23
2013-01-03,5.5775,5.5818,5.5002,5.5818,39587,0.0,0.0
2013-01-04,5.5475,5.5947,5.5002,5.5389,14040,-0.043,-0.77
2013-01-07,5.5518,5.6205,5.5518,5.6076,17044,0.0687,1.24
2013-01-08,5.6033,5.7063,5.5775,5.6634,12515,0.0561,1.0
2013-01-09,5.6634,5.7021,5.66,5.6634,1278,0.0,0.0
2013-01-10,5.5818,5.7021,5.5818,5.7021,3800,0.0385,0.68
2013-01-11,5.6956,5.6956,5.6119,5.6119,325,-0.0901,-1.58
2013-01-14,5.6076,5.6634,5.6076,5.6634,1510,0.0516,0.92
2013-01-15,5.6591,5.7536,5.6591,5.7493,3530,0.0861,1.52
2013-01-16,5.672,5.9167,5.672,5.8566,2400,0.1075,1.87
2013-01-17,5.891,5.9683,5.891,5.8996,1619,0.0428,0.73
2013-01-18,5.964,6.0155,5.9425,6.0112,10600,0.1115,1.89
2013-01-21,6.0112,6.0112,6.0112,6.0112,0,0.0,0.0
2013-01-22,6.0241,6.0971,6.0198,6.0971,5116,0.086,1.43
2013-01-23,6.1185,6.1314,6.0584,6.0584,8620,-0.0384,-0.63
2013-01-24,6.1014,6.2212,6.1014,6.21,2037,0.1503,2.48
2013-01-25,6.2259,6.2302,6.1228,6.14,6275,-0.0689,-1.11
2013-01-28,6.0284,6.0284,6.0112,6.0112,2100,-0.1289,-2.1
2013-01-29,6.0155,6.0477,5.9897,6.0327,13709,0.0216,0.36
2013-01-30,6.0112,6.0327,5.9897,6.0327,3600,0.0,0.0
2013-01-31,6.0327,6.1744,6.0112,6.1185,7906,0.0857,1.42
2013-02-01,6.2044,6.4148,6.1658,6.4105,7778,0.2919,4.77
2013-02-04,6.4019,6.4148,6.2001,6.2667,5900,-0.1416,-2.21
2013-02-05,6.2946,6.2989,6.2688,6.2731,2800,0.0044,0.07
2013-02-06,6.2302,6.4492,6.2302,6.4492,3800,0.1763,2.81
2013-02-07,6.5007,6.5479,6.5007,6.5436,2000,0.0942,1.46
2013-02-08,6.4406,6.4406,6.4406,6.4406,2000,-0.1027,-1.57
2013-02-11,6.526,6.6467,6.2817,6.6467,4300,0.2061,3.2
2013-02-12,6.389,6.5479,6.389,6.535,4749,-0.1117,-1.68
