日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-10-30,9.25,10.66,8.9,10.14,21134738,1.18,13.17
2020-11-02,11.14,12.45,10.86,11.31,35660864,1.17,11.54
2020-11-03,11.98,12.3,11.4,11.65,12194261,0.34,3.01
2020-11-04,11.86,11.9,10.66,10.92,10477584,-0.73,-6.27
2020-11-05,11.2,11.23,10.7,11.01,5684708,0.09,0.82
2020-11-06,10.9,10.93,10.34,10.86,5203939,-0.15,-1.36
2020-11-09,11.73,14.73,11.05,14.34,38674085,3.48,32.04
2020-11-10,14.41,15.5,13.01,13.88,17413428,-0.46,-3.21
2020-11-11,14.38,14.53,13.8,14.0,6667785,0.12,0.86
2020-11-12,14.45,15.66,14.01,15.01,20991278,1.01,7.21
2020-11-13,16.91,18.15,15.87,17.44,34415239,2.43,16.19
2020-11-16,18.28,18.28,16.35,17.1,16757750,-0.34,-1.95
2020-11-17,16.9,17.18,15.67,16.43,14026606,-0.67,-3.92
2020-11-18,16.54,17.49,16.3,17.01,11366863,0.58,3.53
2020-11-19,16.97,17.3,16.6002,17.0,9868658,-0.01,-0.06
2020-11-20,16.74,16.7899,16.0,16.3,11890649,-0.7,-4.12
2020-11-23,16.66,16.66,15.33,15.97,16476012,-0.33,-2.02
2020-11-24,16.32,16.98,15.62,15.97,10670825,0.0,0.0
2020-11-25,17.29,21.95,16.81,21.61,62903161,5.64,35.32
2020-11-27,21.0,23.625,19.28,20.68,28119154,-0.93,-4.3
2020-11-30,21.36,21.365,17.97,19.38,14004661,-1.3,-6.29
2020-12-01,19.96,20.0839,18.0,18.17,12135052,-1.21,-6.24
2020-12-02,16.68,17.75,16.0,17.3,14499102,-0.87,-4.79
2020-12-03,17.78,18.2299,17.14,17.3,6958899,0.0,0.0
2020-12-04,17.38,17.45,16.66,17.15,7482163,-0.15,-0.87
2020-12-07,17.84,18.14,16.88,17.3,10974684,0.15,0.87
2020-12-08,17.69,17.72,17.111,17.21,9403966,-0.09,-0.52
2020-12-09,17.36,17.65,16.5,16.83,10157298,-0.38,-2.21
2020-12-10,15.28,15.82,14.93,15.03,23764977,-1.8,-10.7
2020-12-11,15.06,15.3,14.32,14.67,15507256,-0.36,-2.3952
2020-12-14,15.0,16.0,14.84,15.59,16049300,0.92,6.27
