日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2019-11-19,25.4148,25.4148,25.29,25.3,12204,-1.3147,-4.94
2019-11-20,25.32,25.34,25.3,25.3,6262,0.0,0.0
2019-11-21,25.3,25.32,25.3,25.32,2450,0.02,0.08
2019-11-22,25.32,25.32,25.3,25.3149,5918,-0.0051,-0.02
2019-11-25,25.32,25.32,25.3,25.32,10277,0.0051,0.02
2019-11-26,25.32,25.3356,25.3,25.3,17423,-0.02,-0.08
2019-11-27,25.375,25.375,25.375,25.375,100,0.075,0.3
2019-12-02,25.33,25.39,25.3117,25.3117,21457,-0.0633,-0.25
2019-12-03,25.33,25.34,25.33,25.332,4697,0.0203,0.08
2019-12-04,25.3,25.3,25.3,25.3,102,-0.032,-0.13
2019-12-05,25.31,25.679,25.31,25.679,1116,0.379,1.5
2019-12-06,25.32,25.3943,25.32,25.3943,1871,-0.2847,-1.11
2019-12-09,25.3408,25.36,25.3408,25.352,1498,-0.0423,-0.17
2019-12-11,25.34,25.3779,25.34,25.3779,1206,0.0259,0.1
2019-12-12,25.34,25.3711,25.34,25.3659,5375,-0.012,-0.05
2019-12-13,25.34,25.3725,25.34,25.3612,1035,-0.0047,-0.02
2019-12-16,25.364,25.37,25.35,25.35,10124,-0.0112,-0.04
2019-12-17,25.2,25.2,24.98,24.98,14785,0.005,0.02
2019-12-18,24.9904,25.0,24.98,25.0,498,0.02,0.08
2019-12-19,24.98,25.02,24.98,24.997,9478,-0.003,-0.01
2019-12-20,25.0,25.0,24.98,24.98,5614,-0.017,-0.07
2019-12-23,25.0,25.0,24.99,25.0,2416,0.02,0.08
