日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1997-11-21,8.0,8.25,7.5,7.625,1418500,0.0,0.0
1997-11-24,7.75,7.75,7.5625,7.6875,214700,0.0603,0.79
1997-11-25,7.625,7.75,7.594,7.6875,186500,0.0,0.0
1997-11-26,7.75,8.0,7.625,8.0,12300,0.3099,4.03
1997-11-28,8.0,8.0,7.875,7.9685,6200,-0.0304,-0.38
1997-12-01,7.875,7.875,7.5,7.531,94100,-0.44,-5.52
1997-12-02,7.5,7.6875,7.4375,7.531,95000,0.0,0.0
1997-12-03,7.5935,7.625,7.4375,7.4375,19400,-0.0903,-1.2
1997-12-04,7.5,7.625,7.4375,7.5625,35700,0.1198,1.61
1997-12-05,7.4375,7.6875,7.4375,7.656,324200,0.0997,1.32
1997-12-08,7.6875,7.75,7.625,7.75,14200,0.0896,1.17
1997-12-09,7.625,7.75,7.5625,7.656,13100,-0.0899,-1.16
1997-12-10,7.5,7.6875,7.5,7.625,16300,-0.0299,-0.39
1997-12-11,7.5,7.6875,7.5,7.625,22800,0.0,0.0
1997-12-12,7.625,7.625,7.5,7.5,216200,,
1997-12-15,7.625,7.625,7.5,7.5625,33300,-0.0702,-0.92
1997-12-16,7.5,7.5625,7.5,7.5,94400,-0.0597,-0.79
1997-12-17,7.5625,7.625,7.5,7.5625,9600,0.06,0.8
1997-12-18,7.5,7.625,7.5,7.5,29100,-0.0597,-0.79
1997-12-19,7.531,7.75,7.5,7.5625,29000,0.06,0.8
1997-12-22,7.8125,7.875,7.6875,7.8125,8600,0.2503,3.31
1997-12-23,8.0,8.875,7.9685,8.5935,136500,0.7805,9.99
1997-12-24,8.7185,8.7185,8.5,8.5,15700,-0.0902,-1.05
1997-12-29,8.5,9.0,8.5,8.875,36600,0.3797,4.47
1997-12-30,9.0625,9.875,9.0,9.3125,39200,0.4299,4.84
1997-12-31,9.375,9.4375,9.3125,9.4375,53200,0.1303,1.4
1998-01-02,9.25,9.25,9.0625,9.25,8300,-0.1897,-2.01
1998-01-05,9.0625,9.3125,9.0,9.0625,11300,-0.1897,-2.05
1998-01-06,9.0625,9.25,8.8125,8.8125,94200,-0.2501,-2.76
1998-01-07,8.6875,8.75,8.375,8.4375,30000,-0.3699,-4.2
1998-01-08,8.4375,8.75,8.4375,8.75,9200,0.3098,3.67
1998-01-09,8.75,8.75,8.1875,8.3125,146700,-0.2447,-2.86
1998-01-12,8.031,8.125,7.781,7.8125,3600,-0.6904,-8.12
1998-01-13,7.781,7.781,7.781,7.781,400,-0.0297,-0.38
1998-01-14,8.0625,8.0625,7.781,7.781,1300,,
1998-01-15,7.781,8.0625,7.75,8.0625,26500,0.2802,3.6
1998-01-16,8.0625,8.125,7.9375,8.125,32700,0.0701,0.87
1998-01-20,8.125,8.8125,8.125,8.8125,12000,0.6799,8.36
1998-01-21,9.0,10.0625,9.0,9.906,89800,1.0999,12.49
1998-01-22,9.875,9.875,9.25,9.5,14800,-0.4103,-4.14
1998-01-23,9.5935,9.5935,9.25,9.25,5100,-0.2498,-2.63
1998-01-26,9.125,9.125,9.125,9.125,1900,-0.1202,-1.3
1998-01-27,9.75,9.75,8.75,8.9375,15200,-0.1898,-2.08
1998-01-28,8.9685,8.9685,8.875,8.875,8300,-0.0599,-0.67
1998-01-29,8.781,8.781,8.5,8.625,55200,-0.2503,-2.82
1998-01-30,8.8125,9.0,8.75,8.9375,3000,0.3097,3.59
1998-02-02,8.875,9.125,8.6875,8.8125,13200,-0.1297,-1.45
1998-02-03,8.8125,8.8435,8.75,8.75,4200,-0.0599,-0.68
1998-02-04,8.8125,8.9685,8.5625,8.9685,14400,0.2196,2.51
1998-02-05,8.875,9.0625,8.875,9.0,2200,0.0296,0.33
1998-02-06,9.0,9.125,9.0,9.125,3100,0.1295,1.44
1998-02-09,9.156,9.156,9.156,9.156,1500,0.0301,0.33
1998-02-10,9.0625,9.25,9.0625,9.1875,3800,0.0302,0.33
1998-02-11,9.1875,9.5625,9.1875,9.5625,12100,0.3704,4.03
1998-02-12,9.25,9.5,9.25,9.5,1800,-0.0602,-0.63
1998-02-13,9.3125,9.875,9.3125,9.375,4000,-0.1196,-1.26
1998-02-17,9.625,9.625,9.25,9.25,2900,-0.1304,-1.39
1998-02-18,9.25,9.9375,9.25,9.75,19200,0.5004,5.41
1998-02-19,10.0,10.5,9.7185,9.7185,20100,-0.0302,-0.31
1998-02-20,10.25,10.25,9.6875,9.6875,45300,-0.0301,-0.31
1998-02-23,9.75,9.75,9.75,9.75,700,0.0601,0.62
1998-02-24,9.6875,9.6875,9.625,9.625,6200,-0.1199,-1.23
1998-02-25,9.875,10.1875,9.75,10.0,77400,0.3698,3.84
1998-02-26,10.0,10.0,9.875,9.875,1600,-0.1199,-1.2
1998-02-27,9.875,9.875,9.875,9.875,8300,0.0,0.0
1998-03-02,9.8125,9.8125,9.75,9.75,4300,-0.1304,-1.32
1998-03-03,9.75,9.75,9.0,9.3125,14200,-0.4398,-4.51
1998-03-04,9.031,9.4375,9.031,9.4375,69000,0.1303,1.4
1998-03-05,9.4375,11.25,9.25,10.5,81200,1.0601,11.23
1998-03-06,10.875,10.875,10.25,10.5,4200,0.0,0.0
1998-03-09,10.5,10.5,9.875,9.875,1000,-0.6192,-5.9
1998-03-10,10.25,10.25,9.875,10.0,1400,0.1196,1.21
1998-03-11,9.875,10.0,9.875,10.0,1000,0.0,0.0
1998-03-12,9.75,10.125,9.75,9.75,2000,-0.25,-2.5
1998-03-13,9.75,9.75,9.5,9.5,2900,-0.2496,-2.56
1998-03-16,9.8125,9.875,9.531,9.531,7300,0.0304,0.32
1998-03-17,9.875,9.875,9.25,9.5,7500,-0.0295,-0.31
1998-03-18,9.75,9.75,9.625,9.625,48200,0.1301,1.37
1998-03-19,9.875,9.875,9.875,9.875,1500,0.2502,2.6
1998-03-20,9.6875,9.9375,9.6875,9.9375,2700,0.0603,0.61
1998-03-23,11.0625,11.25,10.5,10.75,19100,0.8101,8.15
1998-03-24,11.1875,11.1875,10.5,10.5,8200,-0.2505,-2.33
1998-03-25,10.5,11.1875,10.5,11.1875,6800,0.6897,6.57
1998-03-26,11.0625,11.625,10.875,10.875,13800,-0.3098,-2.77
1998-03-27,10.9375,11.0,10.3125,10.5,32100,-0.3797,-3.49
1998-03-30,10.75,10.75,10.75,10.75,700,0.2499,2.38
1998-03-31,10.0,10.75,9.75,10.375,20300,-0.3696,-3.44
1998-04-01,9.9375,10.0625,9.9375,9.9685,1400,-0.4099,-3.95
1998-04-02,10.375,10.375,10.0,10.0,3600,,
1998-04-03,10.0,10.0,10.0,10.0,1100,0.0299,0.3
1998-04-06,10.375,10.375,10.0,10.0,6900,0.0,0.0
1998-04-07,10.25,10.625,10.25,10.5625,6000,0.5601,5.6
1998-04-08,10.875,10.875,10.5,10.5,1600,-0.0602,-0.57
1998-04-09,10.75,10.75,10.75,10.75,400,0.2499,2.38
1998-04-13,11.0,11.0,10.5,10.875,5000,0.13,1.21
1998-04-14,10.5,10.75,10.5,10.75,1200,-0.1295,-1.19
1998-04-15,10.5,10.5,10.5,10.5,100,-0.2505,-2.33
1998-04-16,10.5,10.5,10.5,10.5,500,0.0,0.0
1998-04-17,10.5,11.125,10.5,10.625,13600,0.1301,1.24
1998-04-20,11.0,11.0,10.75,10.75,2800,0.1201,1.13
1998-04-21,11.0,11.125,11.0,11.0,3300,0.2505,2.33
1998-04-22,11.0625,11.0625,10.875,10.875,800,-0.1198,-1.09
1998-04-23,10.875,11.125,10.6875,10.906,14800,0.0305,0.28
1998-04-24,10.75,10.875,10.5,10.875,6200,-0.0294,-0.27
1998-04-27,10.5,10.875,10.25,10.875,500,0.0,0.0
1998-04-28,11.75,13.625,11.25,12.625,32200,1.7489,16.08
1998-04-29,13.5625,14.75,12.875,13.25,46900,0.6201,4.91
1998-04-30,13.125,13.125,12.5625,12.9375,11100,-0.31,-2.34
1998-05-01,13.0,13.125,12.75,13.125,9000,0.1901,1.47
1998-05-04,12.875,13.0,12.75,12.75,900,-0.3794,-2.89
1998-05-05,13.0,13.0,12.8125,12.8125,3600,0.0599,0.47
1998-05-06,12.75,14.0,12.75,14.0,16300,1.19,9.29
1998-05-07,14.25,14.25,13.8125,14.0,17500,0.0,0.0
1998-05-08,14.0,16.5,14.0,15.75,44000,1.75,12.5
1998-05-11,16.625,17.0625,15.4375,15.875,25200,0.1307,0.83
