日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2015-07-31,12.4585,12.8501,12.0136,12.4585,20500918,-0.8904,-6.67
2015-08-03,12.4585,12.5475,11.3017,11.8712,6316741,-0.5868,-4.71
2015-08-04,11.7911,12.1471,11.5864,12.1026,2390684,0.2315,1.95
2015-08-05,12.1026,12.4229,12.0225,12.156,2023787,0.0533,0.44
2015-08-06,12.0136,12.3873,9.8422,10.0291,5204252,-2.1274,-17.5
2015-08-07,9.8333,10.8923,9.7265,10.3228,2704286,0.2938,2.93
2015-08-10,10.4919,10.9493,10.2338,10.4919,1200359,0.1693,1.64
2015-08-11,10.3762,10.5097,9.0235,9.335,3219405,-1.1573,-11.03
2015-08-12,9.2549,9.8511,7.8489,9.5753,4629681,0.2399,2.57
2015-08-13,9.5219,10.1804,9.4329,9.5308,659747,-0.044,-0.46
2015-08-14,9.5041,9.6643,8.9167,9.3973,958387,-0.1334,-1.4
2015-08-17,9.5575,9.6465,9.1837,9.424,1558046,0.0263,0.28
2015-08-18,9.4952,9.5041,9.0947,9.2282,1558598,-0.196,-2.08
2015-08-19,9.2282,9.3083,8.7299,8.8989,1852692,-0.3295,-3.57
2015-08-20,8.7121,8.89,8.4709,8.6142,1423116,-0.2848,-3.2
2015-08-21,8.3917,9.5664,8.1514,8.4896,1369481,-0.1249,-1.45
2015-08-24,7.4484,8.7477,7.3505,8.4184,1804024,-0.0713,-0.84
2015-08-25,8.1514,8.5074,7.0035,7.1548,1124906,-1.2636,-15.01
2015-08-26,7.4128,7.7866,7.137,7.6442,1005201,0.4894,6.84
2015-08-27,7.4662,8.4718,7.3416,8.2048,1727616,0.5603,7.33
2015-08-28,8.1603,8.9523,8.0891,8.6676,1013554,0.4628,5.64
2015-08-31,9.1214,9.2069,8.4068,8.6676,709715,0.0,0.0
2015-09-01,8.721,9.2095,8.1781,8.2671,579120,-0.4004,-4.62
2015-09-02,8.4006,9.0404,7.9112,8.4718,1042794,0.205,2.48
2015-09-03,8.3472,9.1481,8.2849,9.0947,1038105,0.6227,7.35
2015-09-04,9.0769,9.1837,8.6765,8.8011,401427,-0.2938,-3.23
2015-09-08,8.6765,9.3154,8.018,8.1336,829228,-0.6671,-7.58
2015-09-09,8.1069,8.3472,8.0269,8.1959,332234,0.0626,0.77
2015-09-10,8.098,8.284,7.7688,7.84,737625,-0.3557,-4.34
2015-09-11,7.7154,7.9913,7.3728,7.6086,568825,-0.2313,-2.95
2015-09-14,8.4896,8.6284,7.5641,7.6798,576574,0.0715,0.94
2015-09-15,7.7955,7.9201,7.4929,7.5463,727083,-0.1336,-1.74
2015-09-16,7.6353,8.3116,7.5641,8.1247,1237961,0.5788,7.67
2015-09-17,8.1603,8.2493,7.7243,7.9557,523428,-0.169,-2.08
2015-09-18,7.8845,8.5875,7.8845,8.0357,2643548,0.0803,1.01
2015-09-21,7.6709,8.2048,7.5997,7.7154,843962,-0.3206,-3.99
2015-09-22,7.6531,7.751,7.217,7.3594,812611,-0.3557,-4.61
