日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2016-05-26,22.5,22.99,21.68,21.91,5699987,0.91,4.33
2016-05-27,21.48,22.5,21.48,22.5,149519,0.59,2.69
2016-05-31,22.69,22.89,22.48,22.81,323256,0.31,1.38
2016-06-01,23.0,23.75,22.61,23.11,216352,0.3,1.32
2016-06-02,23.2,23.2,22.68,22.85,133064,-0.26,-1.13
2016-06-03,22.85,22.85,22.31,22.75,163976,-0.1,-0.44
2016-06-06,22.8,23.0,22.542,22.98,164396,0.23,1.01
2016-06-07,22.88,23.1,22.67,22.91,117087,-0.07,-0.3
2016-06-08,22.75,22.85,22.27,22.62,161035,-0.29,-1.27
2016-06-09,22.56,22.75,22.471,22.62,106772,0.0,0.0
2016-06-10,22.21,22.68,22.17,22.32,171676,-0.3,-1.33
2016-06-13,22.44,22.45,21.551,22.07,323415,-0.25,-1.12
2016-06-14,21.83,22.09,21.65,22.06,75574,-0.01,-0.05
2016-06-15,22.08,22.08,21.76,21.79,34651,-0.27,-1.22
2016-06-16,21.63,21.63,21.03,21.05,92944,-0.74,-3.4
2016-06-17,21.0,21.0,20.3,21.0,141400,-0.05,-0.24
2016-06-20,21.28,22.29,21.0,21.98,403607,0.98,4.67
2016-06-21,22.1,22.66,21.9,22.11,213536,0.13,0.59
2016-06-22,22.01,22.91,21.92,22.17,179693,0.06,0.27
2016-06-23,22.05,22.75,22.045,22.43,94073,0.26,1.17
2016-06-24,21.76,22.2,21.44,21.53,721885,-0.9,-4.01
2016-06-27,21.14,21.735,19.28,20.0,246144,-1.53,-7.11
2016-06-28,20.02,20.63,20.02,20.34,240996,0.34,1.7
2016-06-29,20.36,21.85,20.36,21.54,270404,1.2,5.9
2016-06-30,21.85,22.27,20.91,22.25,214033,0.71,3.3
2016-07-01,22.15,22.49,21.6,21.92,108817,-0.33,-1.48
2016-07-05,21.75,22.22,21.09,22.03,53148,0.11,0.5
2016-07-06,21.86,22.284,21.5,22.1,50824,0.07,0.32
2016-07-07,22.2,22.26,21.98,22.23,44265,0.13,0.59
2016-07-08,22.38,23.72,22.212,23.4,73106,1.17,5.26
2016-07-11,23.5,24.455,23.5,24.14,180825,0.74,3.16
2016-07-12,24.75,25.74,24.32,24.64,240636,0.5,2.07
2016-07-13,25.01,25.3,24.4,25.04,204306,0.4,1.62
2016-07-14,25.28,25.28,24.1,24.21,80170,-0.83,-3.31
2016-07-15,24.26,24.77,24.04,24.5,58229,0.29,1.2
2016-07-18,24.54,25.64,24.54,25.15,148477,0.65,2.65
2016-07-19,25.12,25.57,24.99,25.46,125027,0.31,1.23
2016-07-20,25.62,26.23,25.23,25.51,122791,0.05,0.2
2016-07-21,25.59,26.12,25.1,25.97,62883,0.46,1.8
2016-07-22,25.95,26.42,25.75,26.28,96008,0.31,1.19
2016-07-25,26.15,26.26,25.26,25.42,80201,-0.86,-3.27
2016-07-26,25.36,25.759,24.55,24.81,135471,-0.61,-2.4
2016-07-27,24.86,25.2,24.41,24.74,116085,-0.07,-0.28
2016-07-28,24.59,25.51,24.59,25.43,48759,0.69,2.79
2016-07-29,25.28,25.495,24.96,25.25,56487,-0.18,-0.71
2016-08-01,25.19,25.19,24.24,24.43,107302,-0.82,-3.25
2016-08-02,24.57,24.725,23.345,23.43,138693,-1.0,-4.09
2016-08-03,23.53,24.44,23.53,24.0,148748,0.57,2.43
2016-08-04,23.89,24.54,23.615,23.78,44279,-0.22,-0.92
2016-08-05,23.9,23.96,23.62,23.7,67294,-0.08,-0.34
2016-08-08,23.63,24.7,23.625,24.0,69396,0.3,1.27
2016-08-09,24.04,24.27,23.814,23.94,76945,-0.06,-0.25
2016-08-10,23.82,24.31,23.38,23.7,48002,-0.24,-1.0
2016-08-11,23.71,23.93,23.44,23.78,47353,0.08,0.34
2016-08-12,23.57,24.2,23.57,23.86,177303,0.08,0.34
2016-08-15,23.72,24.48,23.38,23.46,123882,-0.4,-1.68
2016-08-16,23.5,23.66,23.11,23.16,52278,-0.3,-1.28
2016-08-17,22.99,23.1,22.0,22.31,152011,-0.85,-3.67
2016-08-18,22.38,22.73,22.38,22.69,27761,0.38,1.7
2016-08-19,22.57,23.8,22.57,23.74,94874,1.05,4.63
2016-08-22,23.74,24.18,23.23,24.04,116386,0.3,1.26
2016-08-23,24.23,24.29,22.96,24.05,85727,0.01,0.04
2016-08-24,23.99,24.06,23.74,24.0,47156,-0.05,-0.21
2016-08-25,23.83,24.235,23.64,24.09,126844,0.09,0.38
2016-08-26,24.05,24.47,23.52,24.11,71224,0.02,0.08
2016-08-29,24.1,24.85,23.78,24.17,317130,0.06,0.25
2016-08-30,24.3,25.24,23.869,24.95,56058,0.78,3.23
2016-08-31,24.99,24.99,23.57,24.47,99421,-0.48,-1.92
2016-09-01,24.54,24.87,23.96,24.46,63140,-0.01,-0.04
2016-09-02,24.53,24.85,24.43,24.65,70136,0.19,0.78
2016-09-06,24.81,25.24,24.45,24.71,110829,0.06,0.24
2016-09-07,24.72,25.25,23.97,24.76,128188,0.05,0.2
2016-09-08,24.6,25.07,24.23,24.49,135043,-0.27,-1.09
2016-09-09,24.29,24.385,22.12,22.33,370138,-2.16,-8.82
2016-09-12,22.25,22.825,21.7,22.45,263924,0.12,0.54
2016-09-13,21.95,23.16,20.23,21.42,595868,-1.03,-4.59
2016-09-14,21.82,22.0,20.87,21.6,284482,0.18,0.84
2016-09-15,21.72,22.57,21.6,22.46,349990,0.86,3.98
2016-09-16,22.4,22.72,21.83,22.39,748813,-0.07,-0.31
2016-09-19,22.44,22.79,21.96,22.32,131616,-0.07,-0.31
2016-09-20,22.36,22.47,21.79,21.93,199388,-0.39,-1.75
2016-09-21,22.13,22.5,21.62,22.03,142085,0.1,0.46
2016-09-22,22.13,22.88,22.0,22.74,190929,0.71,3.22
2016-09-23,22.59,23.19,22.41,22.87,132636,0.13,0.57
2016-09-26,22.51,22.69,22.22,22.32,87753,-0.55,-2.4
2016-09-27,22.13,22.41,21.99,22.28,148055,-0.04,-0.18
2016-09-28,22.15,22.92,22.11,22.74,242921,0.46,2.06
2016-09-29,22.78,22.91,22.4,22.44,176721,-0.3,-1.32
