日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2009-09-08,24.75,24.92,24.75,24.89,8977,0.69,2.85
2009-09-09,25.27,25.45,25.15,25.22,52444,0.33,1.33
2009-09-10,25.31,25.85,25.29,25.83,6823,0.61,2.42
2009-09-11,25.76,25.86,25.35,25.51,28476,-0.32,-1.24
2009-09-14,25.19,25.5,25.19,25.41,11198,-0.1,-0.39
2009-09-15,25.58,26.0,25.32,25.92,17324,0.51,2.01
2009-09-16,25.99,26.33,25.82,26.33,36516,0.41,1.58
2009-09-17,26.05,26.25,25.55,25.74,24579,-0.59,-2.24
2009-09-18,25.9,25.96,25.67,25.89,9458,0.15,0.58
2009-09-21,25.23,26.65,24.89,25.41,13330,-0.48,-1.85
2009-09-22,25.82,25.98,25.8,25.83,13912,0.42,1.65
2009-09-23,25.95,26.09,25.63,25.86,7014,0.03,0.12
2009-09-24,25.82,25.82,24.77,24.89,19818,-0.97,-3.75
2009-09-25,24.88,25.19,24.8,24.95,5145,0.06,0.24
2009-09-28,25.09,25.45,25.09,25.19,3018,0.24,0.96
2009-09-29,25.74,25.74,24.93,25.14,24222,-0.05,-0.2
2009-09-30,25.39,25.47,25.0,25.24,12963,0.1,0.4
2009-10-01,25.01,27.13,24.5,24.5,22480,-0.74,-2.93
2009-10-02,24.23,24.56,24.06,24.21,11523,-0.29,-1.18
2009-10-05,24.38,24.75,24.32,24.64,17258,0.43,1.78
2009-10-06,25.15,25.57,25.11,25.24,21873,0.6,2.44
2009-10-07,25.32,25.66,25.05,25.33,12774,0.09,0.36
2009-10-08,25.62,25.7,25.32,25.69,14903,0.36,1.42
2009-10-09,25.61,26.99,25.3,25.47,11713,-0.22,-0.86
2009-10-12,25.92,25.97,25.72,25.79,15708,0.32,1.26
2009-10-13,25.89,25.98,25.64,25.84,13534,0.05,0.19
2009-10-14,26.35,26.79,26.23,26.54,39729,0.7,2.71
2009-10-15,26.5,27.0,26.39,26.88,67370,0.34,1.28
2009-10-16,26.75,26.92,26.57,26.92,10277,0.04,0.15
2009-10-19,27.08,27.54,26.97,27.33,26034,0.41,1.52
2009-10-20,27.4,27.44,26.91,27.1,36015,-0.23,-0.84
2009-10-21,27.09,27.52,27.01,27.01,16564,-0.09,-0.33
2009-10-22,27.03,27.25,26.81,27.07,28879,0.06,0.22
2009-10-23,27.1,27.12,26.57,26.7,17380,-0.37,-1.37
2009-10-26,26.91,27.12,25.73,25.88,29825,-0.82,-3.07
2009-10-27,26.3,26.59,26.1,26.15,10952,0.27,1.04
2009-10-28,25.88,25.88,25.0,25.0,37741,-1.15,-4.4
2009-10-29,25.35,25.9,25.35,25.77,45225,0.77,3.08
2009-10-30,26.11,26.11,24.9,25.12,7885,-0.65,-2.52
2009-11-02,25.17,25.7,24.67,25.11,16175,-0.01,-0.04
2009-11-03,24.7,25.25,24.7,25.24,9813,0.13,0.52
2009-11-04,25.42,25.84,25.34,25.34,14932,0.1,0.4
2009-11-05,25.82,26.09,25.67,25.91,17176,0.57,2.25
2009-11-06,25.78,26.1,25.7,25.85,11943,-0.06,-0.23
2009-11-09,26.36,26.75,26.36,26.73,13073,0.88,3.4
2009-11-10,26.48,26.69,26.35,26.64,8940,-0.09,-0.34
