日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-08-28,22.0,23.45,20.0,21.0,1853345,-1.0,-4.55
2020-08-31,22.75,22.75,19.7,19.75,1158825,-1.25,-5.95
2020-09-01,18.3,18.5,15.62,17.35,1699625,-2.4,-12.15
2020-09-02,18.75,19.0,17.51,17.6,449654,0.25,1.44
2020-09-03,17.0,17.0316,14.0,14.43,913957,-3.17,-18.01
2020-09-04,14.35,15.72,12.11,13.63,789301,-0.8,-5.54
2020-09-08,13.26,14.4,13.0,13.75,745514,0.12,0.88
2020-09-09,14.75,15.71,14.2,15.58,806970,1.83,13.31
2020-09-10,15.36,17.95,15.36,15.98,1069489,0.4,2.57
2020-09-11,16.17,16.97,15.8,15.83,463737,-0.15,-0.94
2020-09-14,16.05,16.1392,14.21,14.53,498744,-1.3,-8.21
2020-09-15,14.76,15.2,14.3,14.46,442228,-0.07,-0.48
2020-09-16,14.61,14.6999,13.2,13.38,797099,-1.08,-7.47
2020-09-17,13.0,13.9,13.0,13.82,345785,0.44,3.29
2020-09-18,14.57,14.67,13.95,14.05,590855,0.23,1.66
2020-09-21,13.87,13.87,12.85,13.14,494579,-0.91,-6.48
2020-09-22,13.36,13.48,12.78,12.895,287314,-0.245,-1.86
2020-09-23,12.95,13.0,9.99,11.5,1660613,-1.395,-10.82
2020-09-24,10.6,11.37,10.27,11.09,423281,-0.41,-3.57
2020-09-25,11.4,12.12,11.16,11.18,430510,0.09,0.81
2020-09-28,11.7,11.81,10.85,10.87,521956,-0.31,-2.77
2020-09-29,11.13,11.4571,10.5,10.505,525530,-0.365,-3.36
2020-09-30,10.69,12.0,10.69,11.99,926509,1.485,14.14
2020-10-01,12.19,13.33,12.15,13.0,1037428,1.01,8.42
2020-10-02,12.0,12.96,11.8,12.31,457628,-0.69,-5.31
2020-10-05,12.6,13.2,12.35,12.96,423837,0.65,5.28
2020-10-06,13.15,13.75,12.2501,12.5,493699,-0.46,-3.55
2020-10-07,12.6,13.0,12.11,12.89,450051,0.39,3.12
2020-10-08,13.22,13.25,12.52,12.78,198314,-0.11,-0.85
2020-10-09,13.0,13.5,12.89,13.38,415684,0.6,4.69
2020-10-12,13.45,13.74,12.5,12.61,459159,-0.77,-5.75
2020-10-13,12.94,12.99,12.21,12.38,245809,-0.23,-1.82
2020-10-14,12.16,12.3152,11.62,11.86,461060,-0.52,-4.2
2020-10-15,11.5,11.5,11.07,11.48,253738,-0.38,-3.2
2020-10-16,11.45,11.7,11.05,11.18,175783,-0.3,-2.61
2020-10-19,11.2,11.3,10.6943,10.92,197897,-0.26,-2.33
2020-10-20,10.92,10.92,10.5,10.62,240923,-0.3,-2.75
2020-10-21,10.29,10.4,9.89,10.0,419218,-0.62,-5.84
2020-10-22,9.5,9.95,8.8,9.71,687221,-0.29,-2.9
2020-10-23,9.95,10.34,9.71,9.84,274328,0.13,1.34
2020-10-26,9.93,9.99,8.95,9.32,257523,-0.52,-5.28
2020-10-27,9.27,9.45,9.09,9.15,180328,-0.17,-1.82
