日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2015-10-29,9.75,9.76,9.5,9.5,12600,9.5,0.0
2015-10-30,9.47,9.47,9.45,9.45,2400,-0.05,-0.53
2015-11-17,9.73,9.75,9.73,9.73,1300,0.3,3.17
2015-11-30,9.82,9.82,9.82,9.82,100,0.07,0.72
2015-12-15,9.6,9.6,9.6,9.6,100000,-0.22,-2.24
2015-12-18,9.68,9.85,9.48,9.74,44058,0.14,1.46
2015-12-21,9.65,9.85,9.6,9.78,71435,0.04,0.41
2015-12-22,9.66,10.19,9.58,9.84,116002,0.06,0.61
2015-12-23,9.54,9.54,9.54,9.54,100000,,
2015-12-31,10.0,10.0,9.9,9.9,700,0.36,3.77
2016-01-04,9.62,9.79,9.56,9.66,10700,-0.24,-2.42
2016-01-14,9.56,9.56,9.56,9.56,757142,-0.1,-1.04
2016-01-15,9.56,9.7,9.56,9.56,21200,0.0,0.0
2016-01-22,9.71,9.71,9.71,9.71,5000,0.15,1.57
2016-01-25,9.7,10.0,9.7,9.7,1329,0.29,2.99
2016-01-28,9.82,9.82,9.82,9.82,1000,-0.18,-1.8
2016-03-07,10.0,10.0,10.0,10.0,500,0.18,1.83
2016-03-08,9.82,9.82,9.61,9.62,2700,-0.38,-3.8
2016-03-09,9.82,9.82,9.82,9.82,5000,0.2,2.08
2016-04-01,9.68,9.68,9.68,9.68,130658,-0.14,-1.43
2016-04-04,9.85,9.85,9.85,9.85,1000,0.17,1.76
2016-04-08,9.6,9.8,9.6,9.65,3300,-0.2,-2.03
2016-04-13,9.65,9.68,9.65,9.68,200,0.03,0.31
2016-04-14,9.53,9.85,9.51,9.77,6300,0.09,0.93
2016-04-15,9.55,9.84,9.55,9.58,4600,-0.19,-1.95
2016-04-18,9.63,9.75,9.51,9.51,16000,-0.07,-0.73
2016-04-20,9.64,9.65,9.51,9.6,4611,0.09,0.95
2016-04-25,9.83,9.85,9.77,9.85,1100,0.25,2.6
2016-04-28,9.7,9.7,9.6,9.6,726,-0.25,-2.54
2016-04-29,9.84,9.84,9.84,9.84,100,0.24,2.5
2016-05-05,9.81,9.86,9.81,9.86,200,0.02,0.2
2016-05-10,9.61,9.61,9.61,9.61,200,-0.25,-2.54
2016-05-11,9.79,9.86,9.55,9.63,3800,0.02,0.21
2016-05-13,9.705,9.705,9.705,9.705,200,0.08,0.78
2016-05-16,9.7,9.7,9.541,9.541,1100,-0.16,-1.7
2016-05-17,9.86,9.86,9.58,9.67,2600,0.13,1.36
2016-05-24,9.85,9.85,9.8,9.8,400,0.13,1.34
2016-07-18,9.74,9.74,9.74,9.74,100000,-0.06,-0.61
2016-07-19,9.66,9.66,9.65,9.65,798,-0.09,-0.92
2016-07-25,9.8,9.8,9.8,9.8,300,,
2016-08-10,9.757,9.8,9.757,9.8,8000,0.0,0.0
2016-08-11,9.8,9.8,9.8,9.8,2200,0.0,0.0
2016-08-16,9.792,9.792,9.792,9.792,1100,-0.01,-0.08
2016-08-17,9.82,9.82,9.82,9.82,2800,0.03,0.28
2016-08-23,9.82,9.82,9.82,9.82,700,0.0,0.0
2016-08-26,9.7,9.7,9.7,9.7,210,-0.12,-1.22
2016-08-31,9.82,9.82,9.82,9.82,100,0.12,1.24
2016-09-01,9.813,9.82,9.813,9.82,1400,0.0,0.0
2016-09-06,9.75,9.75,9.75,9.75,154,-0.07,-0.71
2016-09-09,9.82,10.0,9.82,10.0,1400,0.25,2.56
2016-09-20,9.85,9.85,9.85,9.85,2900,-0.15,-1.5
2016-09-21,9.82,9.82,9.82,9.82,316,-0.03,-0.3
2016-09-26,9.8,9.8,9.8,9.8,237,-0.02,-0.2
2016-09-29,9.82,9.91,9.82,9.88,8962,0.08,0.82
2016-10-03,9.64,9.64,9.64,9.64,193,-0.24,-2.43
2016-10-04,9.82,9.83,9.82,9.83,1620,0.19,1.97
2016-10-05,9.79,9.79,9.75,9.75,404,-0.08,-0.81
2016-10-06,9.78,9.78,9.46,9.46,318,-0.29,-2.97
2016-10-07,9.78,9.79,9.78,9.79,420,0.33,3.49
2016-10-14,9.8,9.8,9.8,9.8,948,0.01,0.1
2016-10-17,9.81,9.81,9.8,9.8,622,0.0,0.0
2016-10-18,9.8,9.8,9.8,9.8,488,0.0,0.0
2016-10-19,9.8,9.8,9.8,9.8,482,0.0,0.0
2016-10-20,9.8,9.8,9.8,9.8,224,0.0,0.0
2016-10-31,9.9,9.9,9.9,9.9,500,0.1,1.02
2016-11-15,9.9,9.9,9.88,9.9,3473,0.0,0.0
2016-11-16,9.8,9.86,9.8,9.86,65968,-0.04,-0.4
2016-11-17,9.9,9.94,9.9,9.93,3500,0.07,0.71
2016-11-18,9.85,9.85,9.85,9.85,200,-0.08,-0.81
2016-11-22,9.8,9.8,9.8,9.8,150,-0.05,-0.51
2016-11-25,9.8,9.8,9.8,9.8,688,0.0,0.0
2016-11-28,9.8,9.8,9.8,9.8,470,0.0,0.0
2016-12-02,9.8,9.8,9.8,9.8,422,0.0,0.0
2016-12-21,9.85,9.85,9.85,9.85,800,0.05,0.51
2016-12-22,9.85,9.85,9.85,9.85,759,0.0,0.0
2016-12-27,9.95,9.95,9.95,9.85,2,0.1,1.02
2016-12-30,9.95,9.95,9.86,9.94,384,0.09,0.91
2017-01-06,9.948,10.5,9.9,9.9,29932,-0.04,-0.4
2017-01-10,9.91,9.91,9.91,9.91,574500,0.01,0.1
2017-01-12,10.05,10.1,10.01,10.04,388256,0.13,1.31
2017-01-13,10.05,10.08,10.05,10.08,10700,0.04,0.4
2017-01-17,10.05,10.08,10.01,10.01,3894,-0.07,-0.69
2017-01-18,10.01,10.01,9.96,9.96,2532,-0.05,-0.5
2017-01-19,10.0,10.03,10.0,10.03,2800,0.07,0.7
2017-01-20,10.09,10.1,9.855,10.1,5891,0.07,0.7
2017-01-23,10.08,10.1,10.05,10.1,115955,0.0,0.0
2017-01-24,10.1,10.1,10.0,10.05,994,-0.05,-0.5
2017-01-26,9.87,10.1,9.87,10.1,13778,0.05,0.5
2017-01-27,10.1,10.1,10.1,10.1,100,0.0,0.0
2017-01-30,10.05,10.09,9.84,10.09,698,-0.01,-0.1
2017-02-09,10.1,10.1,10.1,10.1,2031,0.01,0.1
2017-02-13,10.01,10.1,10.01,10.1,266,0.0,0.0
2017-02-14,10.01,10.1,10.01,10.1,4241,0.0,0.0
2017-02-15,10.01,10.01,10.01,10.01,112,-0.09,-0.89
2017-02-22,10.01,10.01,10.01,10.01,207,0.0,0.0
2017-02-23,10.01,10.01,9.91,9.95,16738,-0.06,-0.6
2017-02-24,9.91,10.05,9.91,9.94,5700,-0.01,-0.1
2017-03-02,9.97,9.97,9.96,9.96,75292,0.02,0.2
2017-03-03,9.911,9.911,9.911,9.911,100,-0.05,-0.49
2017-03-06,10.095,10.095,10.095,10.095,100,0.18,1.86
2017-03-07,9.98,10.0,9.98,10.0,5542,-0.1,-0.94
2017-03-08,9.981,10.0,9.95,10.0,61884,0.0,0.0
2017-03-15,9.95,9.95,9.95,9.95,60000,,
2017-03-16,10.087,10.087,10.087,10.087,1084,0.14,1.37
2017-03-23,10.08,10.08,10.08,10.08,999,-0.01,-0.07
2017-03-24,10.0,10.07,10.0,10.02,3646,-0.06,-0.6
2017-03-27,10.02,10.02,9.98,9.98,11020,-0.04,-0.4
2017-03-28,10.04,10.04,10.0,10.0,600,0.02,0.2
2017-03-29,10.0,10.0,10.0,10.0,501,0.0,0.0
2017-03-30,10.03,10.03,10.03,10.03,2500,0.03,0.3
2017-03-31,10.02,10.02,9.97,10.0,8200,-0.03,-0.3
2017-04-03,10.05,10.05,10.05,10.05,100,0.05,0.5
2017-04-05,9.98,10.0,9.95,10.0,250500,-0.05,-0.5
2017-04-10,9.95,9.95,9.95,9.95,5100,-0.05,-0.5
2017-04-11,9.95,9.95,9.95,9.95,100,0.0,0.0
2017-04-12,9.96,9.96,9.94,9.94,800,-0.01,-0.1
2017-04-17,9.95,9.95,9.95,9.95,100,,
2017-04-18,9.95,9.95,9.95,9.95,1800,0.0,0.0
2017-04-27,9.975,9.975,9.975,9.975,250,0.03,0.25
2017-05-02,9.95,9.95,9.95,9.95,29600,-0.03,-0.25
2017-05-11,9.94,9.95,9.94,9.95,473,0.0,0.0
2017-05-18,9.96,9.96,9.93,9.945,990,-0.01,-0.05
2017-05-23,9.93,9.93,9.93,9.93,5000,-0.02,-0.15
2017-06-15,9.94,9.94,9.94,9.94,8090,0.01,0.1
2017-06-16,9.98,9.98,9.98,9.98,202,0.04,0.4
2017-06-19,9.96,9.96,9.96,9.96,500,-0.02,-0.2
2017-06-20,9.95,9.95,9.95,9.95,100,-0.01,-0.1
2017-06-22,9.95,9.954,9.95,9.954,700,0.0,0.04
2017-06-23,9.96,9.96,9.95,9.95,5660,0.0,-0.04
2017-06-27,9.96,9.96,9.95,9.95,300,0.0,0.0
2017-06-29,9.97,9.97,9.97,9.95,66,0.02,0.2
2017-07-05,9.93,9.93,9.93,9.93,3794,-0.02,-0.2
2017-07-06,9.98,9.99,9.98,9.99,300,0.06,0.6
2017-07-20,9.99,9.99,9.99,9.99,2003,0.0,0.0
2017-07-21,9.98,9.98,9.98,9.98,1,,
2017-07-25,9.96,9.96,9.96,9.96,101,,
2017-07-27,10.1,10.1,10.044,10.05,3057047,0.09,0.9
2017-07-28,10.05,10.06,10.02,10.02,94888,-0.03,-0.3
2017-07-31,10.05,10.05,10.025,10.04,12844,0.02,0.2
2017-08-01,10.05,10.05,10.0,10.03,193924,-0.01,-0.1
2017-08-02,10.02,10.02,10.01,10.01,521,-0.02,-0.2
2017-08-03,10.02,10.02,10.01,10.02,2441,0.01,0.1
2017-08-04,10.002,10.002,10.002,10.02,161,,
2017-08-07,10.0,10.05,9.98,10.03,1285,0.01,0.1
2017-08-08,9.49,10.1,9.49,10.1,163351,0.07,0.7
2017-08-09,10.05,10.05,10.05,10.075,35,-0.05,-0.5
2017-08-10,10.1,10.1,10.06,10.09,55340,-0.01,-0.1
2017-08-11,10.1,10.1,10.09,10.09,5116,0.0,0.0
2017-08-14,10.1,10.1,10.09,10.09,5329,0.0,0.0
