日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-08-24,9.65,9.9,9.65,9.8,112575,0.0,0.0
2021-08-25,9.76,9.76,9.62,9.72,10620,-0.08,-0.8163
2021-08-26,9.705,9.72,9.69,9.7,17773,-0.02,-0.21
2021-08-27,9.66,9.69,9.66,9.67,23859,-0.03,-0.3093
2021-08-30,9.68,9.73,9.66,9.68,19790,0.01,0.1034
2021-08-31,9.675,9.77,9.675,9.7,29041,0.02,0.2066
2021-09-01,9.69,9.7,9.68,9.7,60390,0.0,0.0
2021-09-02,9.7,9.76,9.66,9.69,138040,-0.01,-0.1031
2021-09-03,9.7,9.72,9.68,9.7,1601270,0.01,0.1
2021-09-07,9.7,9.76,9.67,9.67,552558,-0.03,-0.3093
2021-09-08,9.67,9.72,9.67,9.69,40086,0.02,0.2068
2021-09-09,9.7,9.76,9.69,9.72,280914,0.03,0.3096
2021-09-10,9.71,9.73,9.71,9.73,57638,0.01,0.1029
2021-09-13,9.73,9.75,9.72,9.75,2279,0.02,0.2055
2021-09-14,9.73,9.73,9.72,9.72,18609,-0.03,-0.3077
2021-09-15,9.739,9.77,9.72,9.75,17357,0.03,0.3086
2021-09-16,9.79,9.79,9.74,9.75,176402,0.0,0.0
2021-09-17,9.78,9.78,9.75,9.77,131106,0.02,0.21
2021-09-20,9.73,9.78,9.72,9.75,20055,-0.02,-0.2047
2021-09-21,9.75,9.77,9.75,9.76,81668,0.01,0.1026
2021-09-22,9.8,9.8,9.76,9.77,26266,0.01,0.1025
2021-09-23,9.8,9.8,9.75,9.78,223531,0.01,0.1
2021-09-24,9.76,9.76,9.76,9.76,115,-0.02,-0.2045
2021-09-27,9.77,9.79,9.77,9.79,335537,0.03,0.3074
2021-09-28,9.77,9.77,9.77,9.77,373,-0.02,-0.2043
2021-09-29,9.77,9.78,9.76,9.76,600276,-0.01,-0.1024
2021-09-30,9.79,9.79,9.76,9.77,3319,0.01,0.1025
2021-10-01,9.78,9.79,9.77,9.79,11622,0.02,0.2047
2021-10-04,9.79,9.79,9.76,9.76,57673,-0.03,-0.3064
2021-10-05,9.76,9.78,9.76,9.765,10317,0.005,0.0512
2021-10-07,9.79,9.79,9.775,9.79,9289,0.025,0.256
2021-10-08,9.82,9.82,9.73,9.74,117966,-0.05,-0.5107
2021-10-11,9.82,9.82,9.746,9.76,8393,0.02,0.2053
2021-10-12,9.8,9.8,9.75,9.77,9308,0.01,0.1025
2021-10-13,9.76,9.78,9.76,9.78,11673,0.01,0.1024
2021-10-14,9.775,9.78,9.77,9.77,3412,-0.01,-0.1022
2021-10-15,9.83,9.83,9.76,9.77,13429,0.0,0.0
2021-10-18,9.76,9.83,9.76,9.83,20497,0.06,0.6141
2021-10-19,9.8097,9.8097,9.78,9.79,1251,-0.04,-0.4069
2021-10-20,9.78,9.8,9.78,9.8,22871,0.01,0.1021
2021-10-21,9.77,9.78,9.77,9.78,5480,-0.02,-0.2041
2021-10-22,9.8,9.8,9.77,9.79,35103,0.01,0.1022
2021-10-25,9.78,9.8,9.78,9.78,23517,-0.01,-0.1021
2021-10-26,9.81,9.82,9.805,9.82,12523,0.04,0.409
2021-10-27,9.79,9.81,9.79,9.81,600,-0.01,-0.1018
2021-10-28,9.81,9.81,9.81,9.81,46,0.0,0.0
2021-10-29,9.79,9.85,9.79,9.85,6645,0.04,0.4077
2021-11-01,9.85,9.85,9.79,9.81,1937,-0.04,-0.4061
2021-11-02,9.8,9.8,9.79,9.8,3272,-0.01,-0.1019
2021-11-03,9.8,9.82,9.8,9.81,1674,0.01,0.102
2021-11-04,9.8,9.82,9.8,9.82,2236,0.01,0.1019
2021-11-05,9.81,9.81,9.81,9.81,179,-0.01,-0.1018
2021-11-08,9.8,9.81,9.8,9.8,22373,-0.01,-0.1019
2021-11-09,9.8,9.8,9.795,9.8,9911,0.0,0.0
2021-11-10,9.8,9.81,9.8,9.81,1667,0.01,0.1
2021-11-11,9.8,9.8,9.79,9.79,11398,-0.02,-0.2039
2021-11-12,9.8,9.81,9.799,9.81,21985,0.02,0.2043
2021-11-15,9.81,9.81,9.81,9.81,50,0.0,0.0
2021-11-16,9.8099,9.81,9.8099,9.81,14002,0.0,0.0
2021-11-17,9.8,9.81,9.8,9.81,1563,0.0,0.0
2021-11-18,9.81,9.82,9.81,9.82,883,0.01,0.1019
2021-11-19,9.8,9.82,9.8,9.82,426,0.0,0.0
2021-11-22,9.84,9.84,9.825,9.83,170914,0.01,0.1
2021-11-23,9.8,9.84,9.8,9.84,5922,0.01,0.1017
2021-11-24,9.84,9.84,9.84,9.84,28,0.0,0.0
2021-11-26,9.8,9.8,9.8,9.8,121,-0.04,-0.41
2021-11-29,9.86,9.86,9.86,9.86,228,0.06,0.6122
2021-11-30,9.86,9.86,9.86,9.86,69,0.0,0.0
2021-12-01,9.8,9.8,9.8,9.8,11337,-0.06,-0.6085
2021-12-02,9.8,9.82,9.8,9.82,1408,0.02,0.2
2021-12-03,9.82,9.82,9.82,9.82,24,0.0,0.0
2021-12-06,9.82,9.82,9.82,9.82,44,0.0,0.0
2021-12-07,9.81,9.81,9.7892,9.81,2147,-0.01,-0.1018
2021-12-08,9.81,9.81,9.8,9.81,1691,0.0,0.0
2021-12-09,9.81,9.81,9.81,9.81,2242,0.0,0.0
2021-12-10,9.81,9.81,9.805,9.81,105818,0.0,0.0
2021-12-13,9.8,9.85,9.79,9.85,136116,0.04,0.4077
2021-12-14,9.8,9.815,9.8,9.81,8810,-0.04,-0.41
2021-12-16,9.7958,9.81,9.7958,9.81,989,0.0,0.0
2021-12-17,9.8,9.81,9.8,9.81,4971,0.0,0.0
2021-12-20,9.79,9.79,9.79,9.79,123,-0.02,-0.2039
2021-12-21,9.78,9.78,9.78,9.78,5296,-0.01,-0.1021
2021-12-22,9.78,9.79,9.78,9.78,4759,0.0,0.0
2021-12-23,9.77,9.79,9.77,9.78,8112,0.0,0.0
2021-12-28,9.78,9.78,9.78,9.78,219,0.0,0.0
2021-12-30,9.78,9.79,9.78,9.79,1227,0.01,0.1022
2021-12-31,9.78,9.8,9.78,9.8,13506,0.01,0.1021
2022-01-03,9.81,9.83,9.8,9.81,27758,0.01,0.102
2022-01-04,9.81,9.83,9.81,9.81,5404,0.0,0.0
2022-01-05,9.8,9.82,9.8,9.82,53753,0.01,0.1019
2022-01-06,9.8,9.81,9.79,9.79,62531,-0.03,-0.3055
2022-01-07,9.81,9.83,9.8,9.83,1434,0.04,0.4086
2022-01-10,9.83,9.83,9.83,9.83,1,0.0,0.0
2022-01-11,9.79,9.8,9.79,9.79,4446,-0.04,-0.4069
2022-01-12,9.79,9.79,9.79,9.79,13,0.0,0.0
2022-01-13,9.79,9.79,9.79,9.79,70,0.0,0.0
2022-01-14,9.78,9.79,9.78,9.79,4757,0.0,0.0
2022-01-18,9.79,9.79,9.79,9.79,100,0.0,0.0
2022-01-19,9.8001,9.8001,9.8001,9.8001,484,0.0101,0.1032
2022-01-20,9.81,9.81,9.79,9.79,180035,-0.0101,-0.1031
2022-01-21,9.79,9.79,9.78,9.78,8493,-0.01,-0.1021
2022-01-24,9.77,9.78,9.77,9.78,1855,0.0,0.0
2022-01-25,9.78,9.79,9.77,9.77,12398,-0.01,-0.1022
2022-01-26,9.77,9.8,9.77,9.8,21357,0.03,0.3071
2022-01-27,9.79,9.8,9.79,9.79,25361,-0.01,-0.102
2022-01-28,9.78,9.78,9.78,9.78,215,-0.01,-0.1021
2022-01-31,9.79,9.79,9.79,9.79,18249,0.01,0.1022
2022-02-01,9.8,9.8,9.79,9.79,6459,0.0,0.0
2022-02-02,9.8,9.8,9.8,9.8,102712,0.01,0.1021
2022-02-04,9.8,9.8,9.8,9.8,20,0.0,0.0
2022-02-07,9.81,9.81,9.8,9.8,1960,0.0,0.0
2022-02-08,9.802,9.81,9.8,9.81,1673,0.01,0.102
2022-02-09,9.8192,9.8192,9.81,9.81,1116,0.0,0.0
2022-02-10,9.81,9.81,9.81,9.81,109,0.0,0.0
2022-02-11,9.84,9.84,9.83,9.83,50011,0.02,0.2039
2022-02-14,9.82,9.83,9.81,9.82,8655,-0.01,-0.1017
2022-02-15,9.82,9.82,9.82,9.82,387,0.0,0.0
2022-02-16,9.81,9.83,9.79,9.81,81892,-0.01,-0.1018
2022-02-17,9.8,9.81,9.8,9.81,35332,0.0,0.0
2022-02-18,9.81,9.81,9.81,9.81,5,0.0,0.0
2022-02-22,9.81,9.82,9.81,9.82,2628,0.01,0.1019
2022-02-23,9.82,9.82,9.82,9.82,1118,0.0,0.0
2022-02-24,9.83,9.835,9.81,9.8101,4067,-0.0099,-0.1008
2022-02-25,9.825,9.83,9.82,9.83,4932,0.0199,0.2029
2022-02-28,9.905,9.905,9.82,9.83,16978,0.0,0.0
2022-03-02,9.83,9.83,9.825,9.83,5939,0.0,0.0
2022-03-03,9.83,9.83,9.83,9.83,1220,0.0,0.0
2022-03-04,9.83,9.83,9.83,9.83,6,0.0,0.0
2022-03-07,9.84,9.84,9.82,9.84,52675,0.01,0.1
2022-03-08,9.84,9.855,9.835,9.84,15318,0.0,0.0
2022-03-09,9.84,9.84,9.83,9.84,13468,0.0,0.0
2022-03-10,9.84,9.84,9.83,9.84,10956,0.0,0.0
2022-03-11,9.835,9.84,9.83,9.84,13571,0.0,0.0
2022-03-14,9.84,9.84,9.84,9.84,1104,0.0,0.0
2022-03-15,9.8301,9.84,9.8301,9.84,1531,0.0,0.0
2022-03-16,9.84,9.84,9.84,9.84,917,0.0,0.0
2022-03-17,9.84,9.84,9.84,9.84,102,0.0,0.0
2022-03-18,9.85,9.85,9.84,9.85,3547,0.01,0.1
2022-03-22,9.85,9.85,9.85,9.85,21,0.0,0.0
2022-03-23,9.85,9.85,9.85,9.85,20,0.0,0.0
2022-03-25,9.84,9.85,9.84,9.85,55749,0.0,0.0
2022-03-28,9.85,9.865,9.85,9.86,2992,0.01,0.1015
2022-03-29,9.86,9.86,9.86,9.86,165,0.0,0.0
2022-03-30,9.86,9.86,9.84,9.84,4864,-0.02,-0.2028
2022-03-31,9.84,9.84,9.84,9.84,41,0.0,0.0
2022-04-01,9.85,9.85,9.845,9.8475,11160,0.008,0.08
2022-04-04,9.855,9.855,9.855,9.855,2612,0.0075,0.0762
2022-04-05,9.85,9.85,9.85,9.85,4812,-0.005,-0.0507
2022-04-06,9.85,9.86,9.85,9.855,30441,0.005,0.0508
2022-04-07,9.86,9.86,9.86,9.86,1599,0.005,0.0507
2022-04-08,9.87,9.87,9.87,9.87,3751,0.01,0.1014
2022-04-12,9.89,9.89,9.87,9.88,57090,0.01,0.1013
2022-04-13,9.88,9.88,9.88,9.88,9350,0.0,0.0
2022-04-14,9.89,9.89,9.88,9.88,1947,0.0,0.0
2022-04-18,9.8739,9.88,9.8739,9.8769,2477,-0.0031,-0.0314
2022-04-19,9.8769,9.8769,9.8769,9.8769,40,0.0,0.0
2022-04-20,9.88,9.8892,9.87,9.88,140861,0.003,0.03
2022-04-21,9.88,9.88,9.88,9.88,86,0.0,0.0
2022-04-22,9.88,9.88,9.88,9.88,574,0.0,0.0
2022-04-25,9.89,9.89,9.89,9.89,620,0.01,0.1012
2022-04-26,9.88,9.88,9.88,9.88,851,-0.01,-0.1011
2022-04-27,9.88,9.88,9.88,9.88,146,0.0,0.0
2022-04-28,9.88,9.88,9.88,9.88,209,0.0,0.0
2022-04-29,9.88,9.89,9.88,9.89,24441,0.01,0.1012
2022-05-02,9.88,9.88,9.88,9.88,310,-0.01,-0.1011
2022-05-04,9.88,9.88,9.88,9.88,589,0.0,0.0
2022-05-05,9.88,9.88,9.88,9.88,6762,0.0,0.0
2022-05-06,9.87,9.87,9.87,9.87,786,-0.01,-0.1012
2022-05-09,9.87,9.87,9.87,9.87,15,0.0,0.0
2022-05-10,9.88,9.88,9.88,9.88,57250,0.01,0.1013
2022-05-11,9.87,9.87,9.87,9.87,2914,-0.01,-0.1012
2022-05-12,9.87,9.87,9.87,9.87,80,0.0,0.0
2022-05-13,9.89,9.9,9.89,9.9,850,0.03,0.304
2022-05-16,9.9,9.9,9.9,9.9,9,0.0,0.0
2022-05-17,9.9,9.9,9.9,9.9,30,0.0,0.0
2022-05-19,9.9,9.91,9.9,9.91,1824,0.01,0.101
2022-05-20,9.91,9.91,9.91,9.91,9,0.0,0.0
2022-05-24,9.91,9.91,9.91,9.91,15,0.0,0.0
2022-05-25,9.87,9.88,9.87,9.88,3012,-0.03,-0.3027
2022-05-26,9.88,9.88,9.88,9.88,10,0.0,0.0
2022-05-27,9.89,9.89,9.89,9.89,160391,0.01,0.1012
2022-05-31,9.89,9.89,9.89,9.89,1730,0.0,0.0
2022-06-02,9.89,9.89,9.89,9.89,45,0.0,0.0
