日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2018-05-29,25.31,25.68,25.31,25.6001,2390,0.2593,1.02
2018-05-30,25.45,26.1,25.31,25.416,5330,-0.1841,-0.72
2018-05-31,25.4116,25.48,25.3,25.31,9406,-0.106,-0.42
2018-06-01,25.3186,25.3907,25.3,25.3907,6401,0.0807,0.32
2018-06-04,25.21,25.53,25.21,25.52,12650,0.1293,0.51
2018-06-05,25.44,25.44,25.3548,25.3973,461,-0.1227,-0.48
2018-06-06,25.3141,25.39,25.2701,25.33,2373,-0.0673,-0.26
2018-06-07,25.31,25.3499,25.3,25.32,1801,-0.01,-0.04
2018-06-08,25.3426,25.3426,25.3426,25.3426,350,0.0226,0.09
2018-06-11,25.33,25.38,25.3299,25.33,4485,-0.0126,-0.05
2018-06-12,25.3517,25.38,25.29,25.31,8311,-0.02,-0.08
2018-06-13,25.3328,25.36,25.31,25.36,1716,0.05,0.2
2018-06-14,25.26,25.3129,25.1559,25.1559,4604,-0.0218,-0.09
2018-06-18,25.2724,25.2724,25.207,25.2152,2130,0.0593,0.24
2018-06-21,25.3,25.3,25.1801,25.24,370,0.0248,0.1
2018-06-22,25.2246,25.2246,25.18,25.222,1600,-0.018,-0.07
2018-06-25,25.2798,25.2798,25.2798,25.2798,400,0.0578,0.23
2018-06-26,25.22,25.2699,25.18,25.2234,2537,-0.0564,-0.22
2018-06-27,25.22,25.244,25.2,25.22,1603,-0.0034,-0.01
2018-06-28,25.29,25.29,25.2502,25.29,1480,0.07,0.28
2018-06-29,25.266,25.2899,25.25,25.2899,1820,-0.0001,0.0
2018-07-02,25.19,25.2484,25.19,25.2,1899,-0.0899,-0.36
2018-07-03,25.2536,25.2536,25.2536,25.2536,100,0.0536,0.21
2018-07-05,25.2244,25.3,25.2244,25.2948,1371,0.0412,0.16
2018-07-09,25.29,25.384,25.29,25.36,7503,0.0652,0.26
2018-07-10,25.3599,25.4483,25.3499,25.3964,3044,0.0364,0.14
2018-07-11,25.37,25.48,25.3439,25.406,5910,0.0096,0.04
2018-07-12,25.4448,25.48,25.4001,25.4299,3779,0.0239,0.09
2018-07-13,25.37,25.39,25.25,25.33,3817,0.0824,0.33
2018-07-16,25.365,25.3725,25.33,25.3725,2310,0.0425,0.17
2018-07-17,25.41,25.4776,25.25,25.4776,2650,0.1051,0.41
2018-07-18,25.3867,25.3867,25.3,25.32,2085,-0.1576,-0.62
2018-07-19,25.17,25.38,25.17,25.3076,3600,-0.0124,-0.05
2018-07-20,25.35,25.35,25.252,25.252,1357,-0.0556,-0.22
2018-07-23,25.33,25.33,25.2793,25.2793,670,0.0273,0.11
2018-07-24,25.28,25.29,25.117,25.117,933,-0.1623,-0.64
2018-07-25,25.33,25.33,25.27,25.2787,3177,0.1617,0.64
2018-07-26,25.48,25.48,25.12,25.2,5722,-0.0787,-0.31
2018-07-27,25.1951,25.246,25.19,25.19,2731,-0.01,-0.04
2018-07-30,25.23,25.251,25.18,25.2301,7514,0.0401,0.16
2018-07-31,25.2406,25.27,25.1863,25.22,8531,-0.0101,-0.04
2018-08-01,25.25,25.47,25.2472,25.47,2145,0.25,0.99
2018-08-02,25.3,25.3,25.2543,25.2543,1519,-0.2157,-0.85
2018-08-03,25.2798,25.3774,25.2798,25.3201,6255,0.0658,0.26
2018-08-06,25.23,25.3399,25.2,25.24,11845,-0.0801,-0.32
2018-08-07,25.2918,25.3,25.2407,25.3,3785,0.06,0.24
2018-08-08,25.3832,25.4036,25.35,25.386,5415,0.086,0.34
2018-08-09,25.47,25.48,25.3,25.3973,1982,0.0113,0.04
2018-08-10,25.3999,25.3999,25.3666,25.3869,1500,-0.0104,-0.04
2018-08-13,25.4,25.47,25.2833,25.37,22147,-0.0169,-0.07
2018-08-14,25.2136,25.2136,25.2003,25.2003,682,0.0126,0.05
2018-08-15,25.1,25.4799,25.02,25.265,25167,0.0647,0.26
2018-08-16,25.02,25.2901,25.02,25.2,10658,-0.065,-0.26
2018-08-17,25.45,25.45,25.3397,25.3397,1341,0.1397,0.55
2018-08-20,25.35,25.35,25.15,25.17,11871,-0.1697,-0.67
2018-08-21,25.18,25.251,25.18,25.19,2632,0.02,0.08
2018-08-22,25.2,25.269,25.1,25.15,11622,-0.04,-0.16
2018-08-23,25.24,25.25,25.18,25.19,4218,0.04,0.16
2018-08-24,25.19,25.19,25.16,25.16,1020,-0.03,-0.12
2018-08-27,25.16,25.217,25.1527,25.217,2594,0.057,0.23
2018-08-28,25.19,25.19,25.11,25.1244,1260,-0.0926,-0.37
2018-08-29,25.2216,25.25,25.12,25.15,2724,0.0256,0.1
2018-08-30,25.13,25.21,25.13,25.21,1239,0.06,0.24
2018-08-31,25.1746,25.2839,25.17,25.2839,3457,0.0739,0.29
2018-09-04,25.25,25.3225,25.17,25.17,4886,-0.1139,-0.45
2018-09-06,25.26,25.26,25.216,25.25,1346,0.08,0.32
2018-09-07,25.255,25.3,25.25,25.285,2964,0.035,0.14
2018-09-10,25.2743,25.28,25.2604,25.28,690,-0.005,-0.02
2018-09-11,25.28,25.41,25.28,25.3637,4623,0.0837,0.33
2018-09-12,25.39,25.5,25.32,25.4565,3550,0.0928,0.37
2018-09-13,25.34,25.4673,25.34,25.46,7904,0.0035,0.01
2018-09-14,25.25,25.35,25.2,25.2001,8257,-0.0776,-0.31
2018-09-17,25.21,25.27,25.2,25.25,5833,0.0499,0.2
2018-09-18,25.34,25.47,25.21,25.3,11054,0.05,0.2
2018-09-19,25.211,25.43,25.211,25.42,1559,0.12,0.47
2018-09-20,25.3355,25.3355,25.3355,25.3355,100,-0.0845,-0.33
2018-09-21,25.26,25.3863,25.25,25.34,1700,0.0045,0.02
2018-09-24,25.306,25.306,25.3,25.3,1365,-0.04,-0.16
2018-09-25,25.3,25.3,25.25,25.26,5784,-0.04,-0.16
2018-09-26,25.3,25.3,25.26,25.26,2888,0.0,0.0
2018-09-27,25.26,25.3,25.25,25.26,5476,0.0,0.0
2018-09-28,25.3,25.4064,25.25,25.26,6839,0.0,0.0
2018-10-01,25.2839,25.3509,25.26,25.3509,2073,0.0909,0.36
2018-10-02,25.28,25.4355,25.26,25.4355,2344,0.0846,0.33
2018-10-03,25.44,25.44,25.26,25.27,5208,-0.1655,-0.65
2018-10-04,25.3244,25.3244,25.26,25.28,1915,0.01,0.04
2018-10-05,25.345,25.345,25.26,25.26,473,-0.02,-0.08
2018-10-08,25.3037,25.3037,25.28,25.28,1276,0.02,0.08
2018-10-09,25.32,25.346,25.28,25.346,2078,0.066,0.26
2018-10-10,25.37,25.38,25.26,25.295,10163,-0.051,-0.2
2018-10-11,25.3,25.39,25.285,25.314,6803,0.019,0.08
2018-10-12,25.15,25.3099,25.15,25.2596,5317,0.1279,0.51
2018-10-15,25.1443,25.27,25.1443,25.27,2520,0.0104,0.04
2018-10-16,25.2312,25.38,25.2312,25.2401,4577,-0.0299,-0.12
2018-10-17,25.24,25.24,25.13,25.13,2955,-0.1101,-0.44
2018-10-18,25.174,25.2,25.11,25.13,2371,0.0,0.0
2018-10-19,25.2,25.2081,25.2,25.2081,635,0.0781,0.31
2018-10-22,25.224,25.3662,25.11,25.15,8723,-0.0581,-0.23
2018-10-23,25.15,25.2758,25.07,25.2229,5446,0.0729,0.29
2018-10-24,25.3,25.3,25.15,25.15,4114,-0.0729,-0.29
2018-10-25,25.3182,25.3182,25.15,25.15,1485,0.0,0.0
