日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1996-07-19,1258.6532,1258.6532,1189.9033,1189.9033,2000,-68.7209,-5.46
1996-07-22,1189.9033,1189.9033,1126.4418,1126.4418,18500,-63.4196,-5.33
1996-07-23,1057.6918,1057.6918,1057.6918,1057.6918,0,-68.7105,-6.1
1996-07-24,1057.6918,1057.6918,1025.961,1057.6918,2300,0.0,0.0
1996-07-25,1057.6918,1057.6918,925.4803,957.2111,18000,-100.4807,-9.5
1996-07-26,994.2303,994.2303,994.2303,994.2303,500,37.0431,3.87
1996-07-30,994.2303,994.2303,925.4803,925.4803,6200,-68.6977,-6.91
1996-07-31,925.4803,994.2303,925.4803,994.2303,8700,68.7623,7.43
1996-08-01,957.2111,994.2303,893.7496,893.7496,38500,-100.5207,-10.11
1996-08-02,957.2111,957.2111,957.2111,957.2111,700,63.4566,7.1
1996-08-05,957.2111,994.2303,909.6149,994.2303,37600,37.0431,3.87
1996-08-06,994.2303,994.2303,957.2111,994.2303,8300,0.0,0.0
1996-08-07,957.2111,957.2111,957.2111,957.2111,1000,-36.9841,-3.72
1996-08-08,925.4803,994.2303,925.4803,957.2111,5100,0.0,0.0
1996-08-09,862.0188,862.0188,862.0188,862.0188,1000,-95.1418,-9.94
1996-08-12,994.2303,994.2303,893.7496,893.7496,21100,31.7226,3.68
1996-08-13,893.7496,1025.961,893.7496,994.2303,22400,100.4598,11.24
1996-08-14,1057.6918,1221.634,1057.6918,1158.1725,18800,163.9477,16.49
1996-08-15,1290.384,1486.057,1290.384,1422.5955,47600,264.4131,22.83
1996-08-16,1454.3262,1750.4799,1390.8647,1750.4799,266400,327.9038,23.05
1996-08-19,1919.7106,2279.3258,1850.9606,2279.3258,793500,528.826,30.21
1996-08-20,2115.3836,2712.9795,2051.9221,2083.6528,742200,-195.5561,-8.58
1996-08-21,2147.1144,2147.1144,1819.2299,1919.7106,273800,-163.987,-7.87
1996-08-22,1882.6914,2014.9029,1819.2299,1819.2299,166800,-100.3965,-5.23
1996-08-23,1850.9606,1919.7106,1787.4991,1850.9606,142400,31.6559,1.74
1996-08-26,1819.2299,1850.9606,1819.2299,1850.9606,127200,0.0,0.0
1996-08-27,1850.9606,1882.6914,1750.4799,1882.6914,108800,31.6528,1.71
1996-08-28,1882.6914,2083.6528,1882.6914,2051.9221,214900,169.252,8.99
1996-08-29,2051.9221,2147.1144,1983.1721,2083.6528,168300,31.8037,1.55
1996-08-30,2147.1144,2147.1144,1951.4414,2115.3836,32800,31.6724,1.52
1996-09-03,1983.1721,2083.6528,1919.7106,2014.9029,59400,-100.4807,-4.75
1996-09-04,2051.9221,2051.9221,1750.4799,1835.0953,112000,-179.7217,-8.92
1996-09-05,1850.9606,1850.9606,1718.7492,1850.9606,85800,15.7825,0.86
1996-09-06,1850.9606,1850.9606,1718.7492,1850.9606,253100,0.0,0.0
1996-09-09,1850.9606,1919.7106,1819.2299,1919.7106,62400,68.6735,3.71
1996-09-10,1919.7106,1919.7106,1718.7492,1819.2299,201800,-100.3965,-5.23
1996-09-11,1819.2299,1850.9606,1687.0184,1787.4991,216200,-31.6533,-1.74
1996-09-12,1819.2299,1919.7106,1718.7492,1787.4991,179500,0.0,0.0
1996-09-13,1787.4991,1819.2299,1750.4799,1787.4991,63600,0.0,0.0
1996-09-16,1819.2299,1898.5568,1787.4991,1898.5568,226700,111.0069,6.21
1996-09-17,1898.5568,1983.1721,1718.7492,1803.3645,215000,-95.1138,-5.01
1996-09-18,1819.2299,1850.9606,1718.7492,1850.9606,165100,47.6085,2.64
1996-09-19,1835.0953,1835.0953,1787.4991,1819.2299,69700,-31.65,-1.71
1996-09-20,1835.0953,1835.0953,1787.4991,1819.2299,37800,0.0,0.0
1996-09-23,1819.2299,1835.0953,1819.2299,1835.0953,3000,15.8276,0.87
1996-09-24,1835.0953,1835.0953,1718.7492,1835.0953,56300,0.0,0.0
1996-09-25,1835.0953,1835.0953,1787.4991,1787.4991,38600,-47.5272,-2.59
1996-09-26,1803.3645,1882.6914,1787.4991,1882.6914,161100,95.2696,5.33
1996-09-27,1819.2299,1866.826,1718.7492,1803.3645,246500,-79.2584,-4.21
1996-09-30,1835.0953,1835.0953,1787.4991,1803.3645,254100,0.0,0.0
1996-10-01,1819.2299,1819.2299,1787.4991,1787.4991,61700,-15.8696,-0.88
1996-10-02,1787.4991,1819.2299,1787.4991,1787.4991,252100,0.0,0.0
1996-10-03,1787.4991,1819.2299,1787.4991,1787.4991,209400,0.0,0.0
1996-10-04,1787.4991,1819.2299,1718.7492,1787.4991,625500,0.0,0.0
1996-10-07,1787.4991,1835.0953,1787.4991,1819.2299,404100,31.816,1.78
1996-10-08,1850.9606,2147.1144,1835.0953,2115.3836,521200,296.1683,16.28
1996-10-09,2115.3836,2247.5951,2051.9221,2184.1336,353600,68.75,3.25
1996-10-10,2247.5951,2411.5373,2147.1144,2395.6719,374700,211.6333,9.69
1996-10-11,2395.6719,2543.7488,2263.4605,2480.2873,322100,84.5689,3.53
1996-10-14,2448.5565,2480.2873,2279.3258,2316.345,210300,-163.9473,-6.61
1996-10-15,2316.345,2348.0758,2014.9029,2014.9029,240900,-301.3437,-13.01
1996-10-16,2115.3836,2247.5951,1983.1721,2215.8643,67100,200.8927,9.97
