日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2019-03-07,9.79,9.79,9.79,9.79,11600,0.0,0.0
2019-03-11,9.79,9.79,9.79,9.79,19500,0.0,0.0
2019-03-12,9.79,9.85,9.79,9.85,105803,0.06,0.61
2019-03-13,9.79,9.79,9.79,9.79,53900,-0.06,-0.61
2019-03-26,9.79,9.83,9.79,9.81,45600,0.02,0.2
2019-03-27,9.7992,9.7992,9.79,9.79,34989,-0.02,-0.2
2019-03-29,9.85,9.8525,9.818,9.82,36229,0.03,0.31
2019-04-01,9.59,9.82,9.59,9.82,191056,0.0,0.0
2019-04-02,9.8,9.83,9.8,9.8,12073,-0.02,-0.2
2019-04-03,9.8,9.81,9.8,9.81,23400,0.01,0.1
2019-04-04,9.8,9.84,9.79,9.79,385984,-0.02,-0.2
2019-04-05,9.78,9.83,9.78,9.8,17157,0.01,0.1
2019-04-10,9.8,9.805,9.795,9.8,43211,0.0,0.0
2019-04-11,9.8,9.8,9.79,9.8,60563,0.0,0.0
2019-04-12,9.83,9.835,9.83,9.83,235664,0.03,0.31
2019-04-15,9.83,9.84,9.83,9.84,138811,0.01,0.1
2019-04-16,9.88,9.925,9.84,9.84,3496,0.0,0.0
2019-04-17,9.88,10.24,9.84,10.05,74226,0.21,2.13
2019-04-22,10.0,10.0,9.9,9.965,12702,-0.085,-0.85
2019-04-24,9.88,9.88,9.88,9.88,100,-0.085,-0.85
2019-04-25,9.88,9.88,9.88,9.88,12100,0.0,0.0
2019-04-29,9.91,9.91,9.9,9.9,4000,0.02,0.2
2019-05-17,9.87,9.87,9.87,9.87,400,-0.03,-0.3
2019-05-28,9.88,9.89,9.88,9.89,11688,0.02,0.2
2019-06-06,9.87,9.87,9.87,9.87,1400,-0.02,-0.2
2019-06-07,9.9,9.9,9.9,9.9,4500,0.03,0.3
2019-06-10,10.07,10.07,9.9998,9.9998,552,0.0998,1.01
2019-06-13,10.22,10.22,10.11,10.14,702,0.1402,1.4
2019-06-18,10.1,10.1,10.1,10.1,100,-0.04,-0.39
2019-06-27,10.2337,10.2337,9.9294,10.1875,1611,0.0875,0.87
2019-07-02,9.89,9.89,9.89,9.89,5100,-0.2975,-2.92
2019-07-05,10.02,10.02,10.02,10.02,439,0.13,1.31
2019-07-09,10.29,10.29,10.25,10.25,368,0.23,2.3
2019-07-10,10.29,10.29,10.29,10.29,1448,0.04,0.39
2019-07-11,10.0,10.1,10.0,10.09,201800,-0.2,-1.94
2019-07-12,10.1,10.1,10.03,10.054,5964,-0.036,-0.36
2019-07-15,10.0001,10.035,10.0001,10.035,910,-0.019,-0.19
2019-07-16,10.05,10.05,10.05,10.05,15990,0.015,0.15
2019-07-18,10.05,10.05,10.05,10.05,417296,0.0,0.0
2019-07-19,10.0,10.08,10.0,10.08,300,0.03,0.3
2019-07-22,10.0,10.08,10.0,10.08,42454,0.0,0.0
2019-07-23,10.05,10.05,10.05,10.05,25005,-0.03,-0.3
2019-07-25,10.06,10.06,10.03,10.03,4459,-0.02,-0.2
2019-07-26,10.03,10.06,10.02,10.06,4104,0.03,0.3
