日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2015-11-02,7.1654,7.2514,6.6252,6.9264,40866212,-0.1098,-1.56
2015-11-03,6.7256,7.0315,6.5392,6.8642,40190910,-0.0623,-0.9
2015-11-04,6.8786,6.9359,6.5057,6.5296,31523556,-0.3343,-4.87
2015-11-05,6.5201,6.6396,6.2715,6.348,22189959,-0.1815,-2.78
2015-11-06,6.3002,6.9216,6.2858,6.8834,30049954,0.5352,8.43
2015-11-09,6.8164,6.9216,6.7543,6.7878,17528088,-0.0957,-1.39
2015-11-10,6.7543,6.9025,6.6969,6.8881,14777765,0.1005,1.48
2015-11-11,6.7878,6.8403,6.7352,6.7447,11009387,-0.1433,-2.08
2015-11-12,6.6013,6.6061,6.4962,6.5487,20370966,-0.1963,-2.91
2015-11-13,6.5057,6.5774,6.2858,6.4006,14924493,-0.148,-2.26
2015-11-16,6.391,6.5057,6.2811,6.3958,13781675,-0.0045,-0.07
2015-11-17,6.3958,6.4484,6.2715,6.3193,12420759,-0.0768,-1.2
2015-11-18,6.4436,6.5631,6.305,6.5201,13020475,0.2009,3.18
2015-11-19,6.4675,6.6396,6.4627,6.587,13171491,0.0672,1.03
2015-11-20,6.587,6.9933,6.5392,6.7925,18558036,0.2055,3.12
2015-11-23,6.7734,6.7925,6.4866,6.6204,14890095,-0.1718,-2.53
2015-11-24,6.4914,6.7065,6.4531,6.544,24110878,-0.0768,-1.16
2015-11-25,6.6491,7.1032,6.6157,6.7495,22676794,0.2055,3.14
2015-11-27,6.7495,6.9981,6.7161,6.8595,5637631,0.11,1.63
2015-11-30,6.8021,7.1702,6.7782,7.1032,29103299,0.2435,3.55
2015-12-01,7.1128,7.5908,7.0985,7.4617,25105852,0.3587,5.05
2015-12-02,7.347,7.4283,7.108,7.1463,12681065,-0.3156,-4.23
2015-12-03,7.1702,7.3327,6.9694,6.9885,18905240,-0.1579,-2.21
2015-12-04,6.8786,7.3136,6.8069,7.2753,12001085,0.2865,4.1
2015-12-07,7.1962,7.4264,7.1578,7.4121,9545632,0.1368,1.88
2015-12-08,7.2393,7.3353,7.0139,7.2777,11617601,-0.1342,-1.81
2015-12-09,7.1914,7.3833,7.0426,7.1242,14261925,-0.1536,-2.11
2015-12-10,7.0954,7.105,6.9707,7.0618,11350207,-0.0627,-0.88
2015-12-11,7.1914,7.3881,6.7836,6.8028,10615751,-0.2592,-3.67
2015-12-14,6.8603,6.9563,6.678,6.9275,11527694,0.1245,1.83
2015-12-15,6.9611,7.1866,6.9515,6.9851,12888739,0.0575,0.83
2015-12-16,7.0139,7.105,6.9803,7.0522,4408648,0.0671,0.96
2015-12-17,7.0091,7.0618,6.822,6.8651,7624654,-0.1869,-2.65
2015-12-18,6.846,6.9035,6.7164,6.7932,19307582,-0.0721,-1.05
2015-12-21,6.774,6.9083,6.6541,6.726,9863253,-0.0673,-0.99
2015-12-22,6.7356,6.7836,6.678,6.7452,7292476,0.0195,0.29
