日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-09-09,9.99,10.01,9.99,10.01,200,0.26,2.67
2020-09-14,9.9,9.9,9.8,9.85,9302,-0.16,-1.6
2020-09-15,9.86,9.86,9.84,9.85,75415,0.0,0.0
2020-09-16,9.85,9.8816,9.85,9.85,31160,0.0,0.0
2020-09-17,9.95,9.95,9.8,9.85,16550,0.0,0.0
2020-09-18,9.85,9.9,9.8,9.85,104498,0.0,0.0
2020-09-21,9.84,9.85,9.84,9.85,133406,0.0,0.0
2020-09-23,9.85,9.85,9.85,9.85,5000,0.0,0.0
2020-09-24,9.83,9.86,9.82,9.82,105100,-0.03,-0.3
2020-09-25,9.82,9.83,9.66,9.82,503424,0.0,0.0
2020-09-28,9.87,9.94,9.78,9.85,92912,0.03,0.31
2020-09-29,9.752,9.95,9.75,9.87,2100,0.02,0.2
2020-09-30,9.8,9.84,9.8,9.84,1050,-0.03,-0.3
2020-10-01,9.88,9.88,9.81,9.85,6294,0.01,0.1
2020-10-02,9.805,9.89,9.8,9.84,8976,-0.01,-0.1
2020-10-05,9.815,9.82,9.75,9.78,69407,-0.06,-0.61
2020-10-06,9.75,9.76,9.6988,9.75,191089,-0.03,-0.31
2020-10-07,9.71,9.75,9.7,9.75,246838,0.0,0.0
2020-10-08,9.73,9.75,9.71,9.75,3830,0.0,0.0
2020-10-09,9.73,9.8,9.65,9.8,2306,0.05,0.51
2020-10-13,9.76,9.76,9.75,9.75,400,-0.05,-0.51
2020-10-14,9.76,9.77,9.76,9.76,497,0.01,0.1
2020-10-15,9.6,9.67,9.6,9.67,500,-0.09,-0.92
2020-10-16,9.73,9.7799,9.68,9.7,1162,0.03,0.31
2020-10-19,9.67,9.7,9.67,9.7,769,0.0,0.0
2020-10-20,9.72,9.725,9.67,9.67,738,-0.03,-0.31
2020-10-21,9.67,9.71,9.67,9.69,1695,0.02,0.21
2020-10-22,9.8092,9.8092,9.67,9.72,2371,0.03,0.31
2020-10-23,9.7537,9.7537,9.67,9.71,5112,-0.01,-0.1
2020-10-26,9.66,9.69,9.64,9.65,135708,-0.06,-0.62
2020-10-27,9.65,9.665,9.62,9.65,91716,0.0,0.0
2020-10-28,9.63,9.6679,9.63,9.6497,1090,-0.0003,0.0
2020-10-29,9.61,9.61,9.6,9.6,23515,-0.0497,-0.52
2020-10-30,9.6,9.7,9.57,9.7,255537,0.1,1.04
2020-11-02,9.75,9.75,9.63,9.64,101440,-0.06,-0.62
2020-11-04,9.73,9.74,9.73,9.74,1100,0.1,1.04
2020-11-05,9.75,9.75,9.75,9.75,101801,0.01,0.1
2020-11-09,9.8,9.8,9.75,9.8,2935,0.05,0.51
2020-11-10,9.75,9.75,9.73,9.73,200,-0.07,-0.71
2020-11-11,9.8,9.8,9.7,9.7,1404,-0.03,-0.31
2020-11-13,9.68,9.68,9.68,9.68,100,-0.02,-0.2062
