日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-11-06,2.2048,2.2792,2.1812,2.242,1473800,0.0118,0.53
1995-11-07,2.2537,2.2537,2.1812,2.2048,1330000,-0.0372,-1.66
1995-11-08,2.1558,2.2302,2.1558,2.1812,333800,-0.0236,-1.07
1995-11-09,2.1812,2.2537,2.1812,2.2302,225400,0.0491,2.25
1995-11-10,2.1812,2.2537,2.1322,2.1322,420000,-0.0979,-4.39
1995-11-13,2.2048,2.2048,2.1322,2.1812,193000,0.049,2.3
1995-11-14,2.1322,2.2048,2.1322,2.1322,414400,-0.0491,-2.25
1995-11-15,2.1322,2.2302,2.1322,2.1734,338400,0.0412,1.93
1995-11-16,2.2302,2.2302,2.1322,2.2048,249000,0.0313,1.44
1995-11-17,2.1322,2.2302,2.1322,2.1558,114000,-0.0489,-2.22
1995-11-20,2.1558,2.2302,2.1558,2.1558,105600,0.0,0.0
1995-11-21,2.2302,2.2302,2.1558,2.1558,137200,0.0,0.0
1995-11-22,2.1558,2.2302,2.1558,2.1558,266400,0.0,0.0
1995-11-24,2.2302,2.2302,2.1812,2.2224,21800,0.0666,3.09
1995-11-27,2.1812,2.3282,2.1812,2.2537,216400,0.0313,1.41
1995-11-28,2.2792,2.3027,2.2537,2.3027,41600,0.0489,2.17
1995-11-29,2.2537,2.5242,2.2537,2.4987,611800,0.196,8.51
1995-11-30,2.5242,2.5477,2.4497,2.4752,343800,-0.0235,-0.94
1995-12-01,2.4752,2.5242,2.4497,2.4752,253800,0.0,0.0
1995-12-04,2.4987,2.4987,2.3772,2.389,156400,-0.0861,-3.48
1995-12-05,2.4262,2.4262,2.3772,2.4262,199400,0.0373,1.56
1995-12-06,2.4262,2.4497,2.3772,2.438,66000,0.0116,0.48
1995-12-07,2.3772,2.4497,2.3772,2.3772,192000,-0.0607,-2.49
1995-12-08,2.4497,2.4497,2.3772,2.4007,288400,0.0235,0.99
1995-12-11,2.4007,2.4497,2.3772,2.4007,138600,0.0,0.0
1995-12-12,2.4497,2.4497,2.3517,2.3772,519000,-0.0235,-0.98
1995-12-13,2.3517,2.3772,2.3027,2.3282,406200,-0.049,-2.06
1995-12-14,2.2792,2.3282,2.2537,2.2792,81400,-0.0489,-2.1
1995-12-15,2.2302,2.2792,2.2302,2.2792,123000,0.0,0.0
1995-12-18,2.2302,2.2792,2.2302,2.2302,29600,-0.049,-2.15
1995-12-19,2.2792,2.291,2.2302,2.2792,164800,0.0491,2.2
1995-12-20,2.2537,2.3282,2.2537,2.3282,187800,0.049,2.15
