日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2018-06-27,5.55,6.5,4.65,5.1,2028657,0.1,2.0
2018-06-28,5.5,5.5,4.91,4.91,344601,-0.19,-3.73
2018-06-29,4.95,5.25,4.9,5.05,417738,0.14,2.85
2018-07-02,5.05,5.19,4.91,4.97,263033,-0.08,-1.58
2018-07-03,5.05,5.69,4.9,4.99,846155,0.02,0.4
2018-07-05,5.1,5.1,4.86,5.0,145114,0.01,0.2
2018-07-06,5.03,5.03,4.681,4.7,211574,-0.3,-6.0
2018-07-09,4.75,4.79,4.25,4.43,255203,-0.27,-5.74
2018-07-10,4.53,4.9851,4.15,4.81,497430,0.38,8.58
2018-07-11,4.89,4.99,4.5,4.8,423707,-0.01,-0.21
2018-07-12,4.83,5.129,4.74,4.92,432737,0.12,2.5
2018-07-13,5.0,5.1,4.851,4.87,252650,-0.12,-2.4
2018-07-16,4.91,5.13,4.6774,4.85,552441,-0.02,-0.41
2018-07-17,4.89,5.05,4.8,4.83,255952,-0.02,-0.41
2018-07-18,4.83,4.83,4.56,4.8,176972,-0.03,-0.62
2018-07-19,4.8,4.9,4.65,4.65,331512,-0.15,-3.13
2018-07-20,4.71,4.7754,4.6,4.61,107217,-0.04,-0.86
2018-07-23,4.6,4.6759,4.121,4.17,182598,-0.44,-9.54
2018-07-24,4.1,4.1599,3.7,3.75,256992,-0.42,-10.07
2018-07-25,3.73,3.82,3.08,3.23,342914,-0.52,-13.87
2018-07-26,3.25,3.38,2.5829,3.36,450844,0.13,4.02
2018-07-27,3.34,3.722,3.2,3.42,474212,0.06,1.79
2018-07-30,3.45,3.61,3.25,3.32,392981,-0.1,-2.92
2018-07-31,4.1,4.17,3.51,3.58,2169122,0.26,7.83
2018-08-01,3.53,3.6501,3.1794,3.6,173793,0.02,0.56
2018-08-02,3.62,3.62,3.41,3.47,48544,-0.13,-3.61
2018-08-03,3.45,3.5152,3.3,3.35,67382,-0.12,-3.46
2018-08-06,3.33,3.3456,2.94,3.15,110325,-0.2,-5.97
2018-08-07,3.14,3.399,3.06,3.26,101962,0.11,3.49
2018-08-08,3.25,3.2835,3.02,3.0763,86699,-0.1837,-5.63
2018-08-09,3.04,3.18,3.0245,3.06,26334,-0.0163,-0.53
2018-08-10,3.04,3.12,2.97,2.98,87048,-0.08,-2.61
2018-08-13,2.97,2.99,2.5,2.77,233734,-0.21,-7.05
2018-08-14,3.38,4.1,2.95,3.01,8187265,0.24,8.66
2018-08-15,3.0,3.0,2.71,2.85,376277,-0.16,-5.32
2018-08-16,2.9,2.98,2.8,2.95,185049,0.1,3.51
2018-08-17,2.98,3.05,2.85,2.93,62472,-0.02,-0.68
2018-08-20,2.91,3.24,2.91,3.21,173375,0.28,9.56
2018-08-21,3.2,3.3,3.15,3.24,95648,0.03,0.93
2018-08-22,3.27,3.59,3.2496,3.49,141301,0.25,7.72
2018-08-23,3.51,3.67,3.51,3.65,95586,0.16,4.58
2018-08-24,3.65,3.65,3.21,3.27,119136,-0.38,-10.41
2018-08-27,3.39,3.45,3.27,3.41,58117,0.14,4.28
2018-08-28,3.44,3.442,3.25,3.35,66192,-0.06,-1.76
2018-08-29,3.33,3.33,3.11,3.25,68693,-0.1,-2.99
2018-08-30,3.2,3.2808,3.14,3.14,24439,-0.11,-3.38
2018-08-31,3.16,3.24,3.14,3.17,44784,0.03,0.96
2018-09-04,3.22,3.3044,3.2,3.29,26810,0.12,3.79
2018-09-05,3.3,3.34,2.851,3.01,77265,-0.28,-8.51
2018-09-06,3.01,3.12,2.91,2.95,33044,-0.06,-1.99
2018-09-07,2.95,3.084,2.95,3.06,55023,0.11,3.73
2018-09-10,3.08,3.1,2.78,2.94,207584,-0.12,-3.92
2018-09-11,2.92,3.03,2.7,2.77,77882,-0.17,-5.78
2018-09-12,2.75,2.762,2.58,2.6,73682,-0.17,-6.14
2018-09-13,2.63,2.75,2.2886,2.57,183637,-0.03,-1.15
2018-09-14,2.72,3.1819,2.5,2.8399,409157,0.2699,10.5
2018-09-17,2.78,2.95,2.65,2.83,116618,-0.0099,-0.35
2018-09-18,2.86,3.25,2.86,3.1,223957,0.27,9.54
2018-09-19,3.15,3.3299,3.0,3.03,161406,-0.07,-2.26
2018-09-20,3.05,3.43,3.05,3.26,146523,0.23,7.59
2018-09-21,3.27,3.3122,2.8,2.85,193665,-0.41,-12.58
2018-09-24,2.86,2.86,2.625,2.63,135788,-0.22,-7.72
2018-09-25,2.66,2.816,2.6,2.63,73801,0.0,0.0
2018-09-26,2.66,2.7799,2.6,2.63,36608,0.0,0.0
2018-09-27,2.61,2.7444,2.5276,2.63,66895,0.0,0.0
2018-09-28,2.62,2.7399,2.55,2.55,42511,-0.08,-3.04
2018-10-01,2.58,2.75,2.58,2.75,102600,0.2,7.84
2018-10-02,2.74,2.8,2.55,2.6,154088,-0.15,-5.45
2018-10-03,2.6,2.74,2.59,2.67,49840,0.07,2.69
2018-10-04,2.67,2.7835,2.65,2.7,28003,0.03,1.12
2018-10-05,2.68,2.75,2.59,2.6,44743,-0.1,-3.7
2018-10-08,2.51,2.5572,2.0152,2.24,165286,-0.36,-13.85
2018-10-09,2.25,2.57,2.211,2.46,145506,0.22,9.82
2018-10-10,2.47,2.53,2.3919,2.4,33411,-0.06,-2.44
2018-10-11,2.36,2.43,2.07,2.26,55720,-0.14,-5.83
2018-10-12,2.31,2.36,2.23,2.3,66383,0.04,1.77
2018-10-15,2.3,2.3499,1.9525,1.99,230088,-0.31,-13.48
2018-10-16,2.0,2.13,1.99,2.03,183147,0.04,2.01
2018-10-17,2.03,2.12,2.02,2.05,136079,0.02,0.99
2018-10-18,2.0663,2.2887,2.0401,2.1,182032,0.05,2.44
2018-10-19,2.13,2.37,2.13,2.25,119476,0.15,7.14
2018-10-22,2.34,2.49,2.3065,2.34,78349,0.09,4.0
2018-10-23,2.27,2.37,2.25,2.3,60969,-0.04,-1.71
2018-10-24,2.29,2.4,2.17,2.21,85200,-0.09,-3.91
2018-10-25,2.23,2.33,2.01,2.14,76773,-0.07,-3.17
2018-10-26,2.17,2.2391,2.17,2.23,1666,0.09,4.21
2018-10-29,2.23,2.32,2.222,2.29,51752,0.06,2.69
2018-10-30,2.25,2.32,2.07,2.29,77623,0.0,0.0
2018-10-31,2.16,2.16,1.9666,2.06,89555,-0.23,-10.04
2018-11-01,2.06,2.14,1.9,2.14,92804,0.08,3.88
2018-11-02,2.15,2.19,2.07,2.07,40933,-0.07,-3.27
2018-11-05,2.08,2.29,2.0701,2.24,58317,0.17,8.21
2018-11-06,2.25,2.45,2.1811,2.37,71874,0.13,5.8
2018-11-07,2.45,2.65,2.36,2.58,113782,0.21,8.86
2018-11-08,2.56,2.72,2.46,2.54,130997,-0.04,-1.55
2018-11-09,2.56,2.56,1.99,2.15,267718,-0.39,-15.35
2018-11-12,2.12,2.1989,2.07,2.1,51741,-0.05,-2.33
2018-11-13,2.11,2.15,2.01,2.04,57409,-0.06,-2.86
2018-11-14,2.08,2.13,2.03,2.13,68220,0.09,4.41
2018-11-15,2.13,2.13,1.91,1.99,99105,-0.14,-6.57
2018-11-16,1.96,2.0541,1.96,2.01,54160,0.02,1.01
2018-11-19,2.03,2.03,1.8,1.82,85340,-0.19,-9.45
2018-11-20,1.81,1.825,1.61,1.77,170875,-0.05,-2.75
2018-11-21,1.8,1.95,1.79,1.9,50984,0.13,7.34
2018-11-23,1.9,1.91,1.85,1.91,13779,0.01,0.53
2018-11-26,1.91,1.91,1.7,1.82,45970,-0.09,-4.71
2018-11-27,1.78,1.82,1.7,1.79,79261,-0.03,-1.65
2018-11-28,1.79,1.85,1.75,1.8,38059,0.01,0.56
2018-11-29,1.8,1.8,1.7,1.7,39174,-0.1,-5.56
2018-11-30,1.7,1.75,1.7,1.7,42744,0.0,0.0
2018-12-03,1.7,1.75,1.62,1.62,84321,-0.08,-4.71
2018-12-04,1.65,1.74,1.5377,1.68,86075,0.06,3.7
2018-12-06,1.63,1.8499,1.63,1.7,44663,0.02,1.19
2018-12-07,1.72,1.802,1.62,1.802,90688,0.102,6.0
2018-12-10,1.75,2.2,1.75,2.14,383704,0.338,18.76
2018-12-11,2.2,2.31,2.12,2.13,147829,-0.01,-0.47
2018-12-12,2.17,2.38,2.15,2.24,111323,0.11,5.16
2018-12-13,2.3,2.3,1.97,2.13,64709,-0.11,-4.91
2018-12-14,2.15,2.2825,2.01,2.12,27506,-0.01,-0.47
2018-12-17,2.16,2.58,2.16,2.34,317402,0.22,10.38
2018-12-18,2.35,3.025,2.35,2.83,526198,0.49,20.94
2018-12-19,2.93,3.1,2.599,2.66,302182,-0.17,-6.01
2018-12-20,2.61,2.89,2.61,2.76,205238,0.1,3.76
2018-12-21,2.71,2.75,2.64,2.69,98562,-0.07,-2.54
2018-12-24,2.65,2.7,2.52,2.56,43604,-0.13,-4.83
2018-12-26,2.65,2.655,2.15,2.36,232045,-0.2,-7.81
2018-12-27,2.44,2.4522,2.25,2.31,34243,-0.05,-2.12
2018-12-28,2.34,2.36,2.19,2.22,56779,-0.09,-3.9
2018-12-31,2.33,2.4899,2.17,2.39,133861,0.17,7.66
2019-01-02,2.38,2.7,2.38,2.52,65192,0.13,5.44
2019-01-03,2.53,2.8,2.45,2.75,46535,0.23,9.13
2019-01-04,2.8,3.27,2.7,3.15,356129,0.4,14.55
2019-01-07,3.3,3.55,3.15,3.35,336253,0.2,6.35
2019-01-08,3.32,3.35,3.06,3.2,115184,-0.15,-4.48
2019-01-09,3.24,3.65,3.1001,3.58,381032,0.38,11.88
2019-01-10,3.52,3.5879,3.38,3.48,72666,-0.1,-2.79
2019-01-11,3.47,4.4032,3.47,4.15,2555774,0.67,19.25
2019-01-14,4.1,4.64,4.02,4.15,1035768,0.0,0.0
2019-01-15,4.15,4.5,4.06,4.3,304276,0.15,3.61
2019-01-16,4.36,4.36,3.8,3.87,367842,-0.43,-10.0
2019-01-17,3.84,4.28,3.84,4.13,284714,0.26,6.72
2019-01-18,4.19,4.27,3.92,4.0,135293,-0.13,-3.15
2019-01-22,3.94,4.0,3.58,3.62,195077,-0.38,-9.5
2019-01-23,3.66,4.0567,3.38,3.7,135859,0.08,2.21
2019-01-24,3.66,3.73,3.49,3.54,54210,-0.16,-4.32
2019-01-25,3.58,4.64,3.45,4.56,439969,1.02,28.81
2019-01-28,4.47,4.47,3.9601,4.02,345011,-0.54,-11.84
2019-01-29,4.03,4.99,4.03,4.45,1903121,0.43,10.7
2019-01-30,4.39,4.7,4.15,4.52,435099,0.07,1.57
2019-01-31,4.55,4.68,4.35,4.43,374674,-0.09,-1.99
2019-02-01,4.4,4.62,4.15,4.32,468027,-0.11,-2.48
2019-02-04,4.3,4.37,3.55,3.82,562531,-0.5,-11.57
2019-02-05,3.82,4.06,3.82,4.02,181358,0.2,5.24
2019-02-06,4.02,4.19,3.8,3.94,169401,-0.08,-1.99
2019-02-07,4.7,4.87,4.0,4.13,2859331,0.19,4.82
2019-02-08,4.1,4.2196,3.8,3.91,393581,-0.22,-5.33
2019-02-11,3.96,4.05,3.87,3.89,146699,-0.02,-0.51
2019-02-12,3.95,4.0,3.65,3.74,256807,-0.15,-3.86
2019-02-13,3.78,4.21,3.69,4.03,294634,0.29,7.75
2019-02-14,4.05,4.34,3.9103,4.26,303508,0.23,5.71
2019-02-15,4.25,4.3042,4.06,4.23,273036,-0.03,-0.7
2019-02-19,4.25,4.37,4.0,4.06,220767,-0.17,-4.02
2019-02-20,4.05,4.12,3.9002,4.0,175321,-0.06,-1.48
2019-02-21,4.07,4.5,4.05,4.38,905916,0.38,9.5
2019-02-22,4.47,5.21,4.466,4.99,2085433,0.61,13.93
2019-02-25,5.25,5.6,5.1,5.34,1678206,0.35,7.01
2019-02-26,5.34,6.0754,5.25,5.84,1360379,0.5,9.36
2019-02-27,5.9,6.0,5.3,5.37,672067,-0.47,-8.05
2019-02-28,5.38,5.8,5.38,5.69,464024,0.32,5.96
2019-03-01,5.74,5.74,4.86,5.16,1034016,-0.53,-9.31
2019-03-04,5.17,5.5,4.58,5.5,727444,0.34,6.59
2019-03-05,5.67,5.87,5.35,5.82,722050,0.32,5.82
2019-03-06,5.87,5.87,5.23,5.33,550920,-0.49,-8.42
2019-03-07,5.31,5.65,5.0,5.32,472236,-0.01,-0.19
2019-03-08,5.25,5.4,5.04,5.21,344503,-0.11,-2.07
2019-03-11,5.21,5.9,5.1795,5.53,814806,0.32,6.14
2019-03-12,5.58,7.24,5.5388,7.1,3566190,1.57,28.39
2019-03-13,7.02,7.65,6.6,6.99,2413032,-0.11,-1.55
2019-03-14,6.87,7.15,6.21,6.57,1115846,-0.42,-6.01
2019-03-15,6.6,7.98,6.59,7.52,1489570,0.95,14.46
2019-03-18,7.7,8.03,6.6,6.91,1487858,-0.61,-8.11
2019-03-19,6.94,7.05,6.16,6.76,1252879,-0.15,-2.17
2019-03-20,6.8,7.53,6.72,7.2,628143,0.44,6.51
2019-03-21,7.19,7.5,6.8407,7.06,592204,-0.14,-1.94
2019-03-22,7.04,7.2145,6.56,6.61,629286,-0.45,-6.37
2019-03-25,6.63,6.8522,6.31,6.63,391652,0.02,0.3
2019-03-26,6.73,7.85,6.4,7.38,2223506,0.75,11.31
2019-03-27,7.21,7.3,6.3,6.48,1334151,-0.9,-12.2
2019-03-28,6.57,6.67,5.9,6.11,1574329,-0.37,-5.71
2019-03-29,5.91,6.45,4.81,5.03,2639000,-1.08,-17.68
2019-04-01,5.03,5.4,4.7033,4.93,910467,-0.1,-1.99
2019-04-02,4.89,5.35,4.6,5.2,1040455,0.27,5.48
2019-04-03,5.2,5.61,5.1255,5.34,710999,0.14,2.69
2019-04-04,5.34,5.57,5.15,5.37,390837,0.03,0.56
2019-04-05,5.37,5.64,5.15,5.19,342730,-0.18,-3.35
2019-04-08,5.21,5.235,4.75,5.12,450636,-0.07,-1.35
2019-04-09,5.11,5.1958,4.8,4.87,247178,-0.25,-4.88
2019-04-10,4.87,5.2,4.87,4.97,276301,0.1,2.05
2019-04-11,4.94,5.19,4.91,5.01,263181,0.04,0.8
2019-04-12,5.03,5.15,4.469,4.77,340730,-0.24,-4.79
2019-04-15,4.82,4.8999,4.4,4.5,388785,-0.27,-5.66
2019-04-16,4.47,4.86,4.41,4.86,314722,0.36,8.0
2019-04-17,4.86,4.9616,4.5688,4.94,171924,0.08,1.65
2019-04-18,5.0,5.118,4.77,5.05,211512,0.11,2.23
2019-04-22,5.0,5.18,4.82,5.18,205092,0.13,2.57
2019-04-23,5.2,5.4,5.01,5.34,275232,0.16,3.09
2019-04-24,5.4,5.69,5.345,5.6,444963,0.26,4.87
2019-04-25,5.64,5.64,5.31,5.53,229182,-0.07,-1.25
2019-04-26,5.62,5.66,5.46,5.61,411604,0.08,1.45
2019-04-29,5.65,5.83,5.39,5.55,281039,-0.06,-1.07
2019-04-30,5.55,5.69,5.21,5.56,336070,0.01,0.18
2019-05-01,5.55,5.8078,5.42,5.73,376198,0.17,3.06
2019-05-02,5.68,5.83,5.24,5.42,298016,-0.31,-5.41
2019-05-03,5.5,5.57,5.34,5.35,112105,-0.07,-1.29
