日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-07-19,9.7,9.99,8.1,8.26,1238691,-2.07,-20.04
2021-07-20,8.49,8.5,7.46,7.505,2620792,-0.755,-9.14
2021-07-21,7.8009,8.12,7.51,7.76,1339693,0.255,3.3977
2021-07-22,8.2,8.2,7.6,7.7,801955,-0.06,-0.77
2021-07-23,7.94,7.94,7.24,7.28,921477,-0.42,-5.45
2021-07-26,7.59,8.35,7.35,8.1,2080880,0.82,11.26
2021-07-27,8.35,8.35,7.24,7.26,920043,-0.84,-10.37
2021-07-28,7.3,7.44,7.0,7.06,1074174,-0.2,-2.75
2021-07-29,7.29,7.29,6.5,6.77,1437016,-0.29,-4.11
2021-07-30,6.7194,6.86,6.55,6.73,753092,-0.04,-0.59
2021-08-02,6.8,6.88,6.73,6.78,1181996,0.05,0.74
2021-08-03,6.8,6.8399,6.36,6.51,923934,-0.27,-3.98
2021-08-04,6.53,6.5599,6.024,6.06,912090,-0.45,-6.91
2021-08-05,6.18,6.73,6.08,6.55,1074449,0.49,8.09
2021-08-06,6.61,7.15,6.36,7.05,970442,0.5,7.63
2021-08-09,7.26,8.3,7.23,8.1,1610733,1.05,14.89
2021-08-10,8.1143,8.44,7.78,8.0,1240493,-0.1,-1.23
2021-08-11,8.0,8.0,6.29,6.55,5508936,-1.45,-18.13
2021-08-12,6.79,7.03,6.41,6.99,2496800,0.44,6.72
2021-08-13,7.1893,7.93,6.8,7.5,3680966,0.51,7.2961
2021-08-16,7.61,8.4,6.82,8.19,3650662,0.69,9.2
2021-08-17,7.95,8.08,7.4,7.84,4155812,-0.35,-4.27
2021-08-18,7.84,7.95,7.41,7.51,2071781,-0.33,-4.2092
2021-08-19,7.4,8.04,7.23,7.82,4382514,0.31,4.13
2021-08-20,7.76,8.71,7.53,8.31,3488959,0.49,6.27
2021-08-23,8.35,8.38,7.93,8.22,2198366,-0.09,-1.083
2021-08-24,8.35,8.4,7.96,8.18,2129997,-0.04,-0.49
2021-08-25,8.27,8.5,8.17,8.19,1165002,0.01,0.12
2021-08-26,8.2,8.679,8.19,8.59,1128650,0.4,4.88
2021-08-27,8.65,9.14,8.65,9.1,1247032,0.51,5.9371
2021-08-30,9.39,9.55,9.08,9.19,1135075,0.09,0.99
2021-08-31,9.3,9.85,9.27,9.43,1984604,0.24,2.61
2021-09-01,9.6,9.94,9.53,9.93,1462711,0.5,5.3
2021-09-02,10.0,10.29,9.9,10.14,2193937,0.21,2.11
2021-09-03,10.19,10.4,9.85,10.4,1610584,0.26,2.56
2021-09-07,10.56,10.7,9.1,9.34,2968177,-1.06,-10.19
2021-09-08,9.34,9.48,8.605,8.8,2512452,-0.54,-5.78
2021-09-09,9.4178,11.37,9.4178,10.87,8039008,2.07,23.52
2021-09-10,10.89,11.1999,10.21,10.31,2418399,-0.56,-5.1518
2021-09-13,10.61,10.8,9.92,10.35,1799877,0.04,0.388
2021-09-14,10.48,10.53,9.55,9.71,2207509,-0.64,-6.1836
2021-09-15,9.75,10.16,9.75,10.12,1205415,0.41,4.22
2021-09-16,10.27,10.6,10.13,10.32,1543985,0.2,1.98
2021-09-17,10.465,10.7,9.91,9.99,6841644,-0.33,-3.2
2021-09-20,9.4406,9.5,8.98,9.4,1871510,-0.59,-5.91
2021-09-21,9.56,9.97,9.3,9.88,1126978,0.48,5.1064
2021-09-22,10.01,10.29,9.92,9.95,906068,0.07,0.71
2021-09-23,10.07,10.09,9.5458,9.56,1317232,-0.39,-3.92
2021-09-24,9.5,9.6281,9.265,9.35,1035278,-0.21,-2.2
2021-09-27,9.34,9.5,9.11,9.21,1076766,-0.14,-1.4973
2021-09-28,8.01,8.39,6.53,6.63,17013394,-2.58,-28.01
2021-09-29,6.6882,6.91,6.0,6.03,8321352,-0.6,-9.05
2021-09-30,6.1,7.26,6.03,6.94,6790114,0.91,15.09
2021-10-01,6.95,7.0,6.39,6.46,2892832,-0.48,-6.92
2021-10-04,6.54,6.57,5.8,6.0,4080743,-0.46,-7.12
2021-10-05,6.13,6.97,6.04,6.39,5423059,0.39,6.5
2021-10-06,6.31,6.44,5.66,5.88,4665702,-0.51,-7.98
2021-10-07,5.96,6.51,5.95,6.46,2534750,0.58,9.86
2021-10-08,6.4,6.48,5.95,5.97,2421532,-0.49,-7.59
2021-10-11,5.9814,6.16,5.75,5.78,1948411,-0.19,-3.18
2021-10-12,5.78,6.225,5.5,6.2,2678125,0.42,7.2664
2021-10-13,6.1436,6.23,6.01,6.11,1201250,-0.09,-1.45
2021-10-14,6.4117,6.55,5.92,5.94,2341788,-0.17,-2.78
2021-10-15,5.9,6.03,5.68,5.71,1982467,-0.23,-3.87
2021-10-18,5.75,5.86,5.62,5.65,1635823,-0.06,-1.05
2021-10-19,5.67,5.81,5.575,5.69,1815125,0.04,0.71
2021-10-20,5.65,5.74,5.54,5.57,2134505,-0.12,-2.109
2021-10-21,5.61,5.85,5.42,5.85,2702444,0.28,5.03
