日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2019-06-28,38.5,41.4223,38.08,38.78,4256955,0.19,0.49
2019-07-01,39.88,41.81,39.64,40.97,3452094,2.19,5.65
2019-07-02,40.56,41.72,40.01,41.61,5924551,0.64,1.56
2019-07-03,41.5,41.93,40.65,40.95,946117,-0.66,-1.59
2019-07-05,41.07,41.43,39.76,40.48,4086193,-0.47,-1.15
2019-07-08,40.2,40.55,39.82,39.98,2528284,-0.5,-1.24
2019-07-09,40.01,41.24,38.75,40.3,2064334,0.32,0.8
2019-07-10,40.21,40.4,39.84,40.0,1004144,-0.3,-0.74
2019-07-11,39.9,41.86,39.9,41.4,1540712,1.4,3.5
2019-07-12,41.93,44.11,41.47,43.04,1158719,1.64,3.96
2019-07-15,43.4,44.25,43.05,44.14,1927856,1.1,2.56
2019-07-16,44.05,44.2745,43.27,43.94,1556061,-0.2,-0.45
2019-07-17,44.26,44.3872,43.68,43.96,1213686,0.02,0.05
2019-07-18,43.96,45.29,43.76,45.09,2087077,1.13,2.57
2019-07-19,45.12,45.52,44.68,45.2,2652877,0.11,0.24
2019-07-22,45.27,46.38,44.5,44.78,1765689,-0.42,-0.93
2019-07-23,45.05,45.24,44.39,45.06,1098376,0.28,0.63
2019-07-24,45.26,46.42,44.51,46.22,1044470,1.16,2.57
2019-07-25,46.02,46.84,45.52,46.67,700647,0.45,0.97
2019-07-26,47.11,47.81,46.62,47.47,777403,0.8,1.71
2019-07-29,47.47,47.885,46.73,46.97,1339197,-0.5,-1.05
2019-07-30,46.62,47.47,46.285,46.73,770882,-0.24,-0.51
2019-07-31,47.2,47.59,46.32,46.75,855939,0.02,0.04
2019-08-01,46.75,47.99,46.65,46.88,676456,0.13,0.28
2019-08-02,46.67,47.85,46.31,47.5,549591,0.62,1.32
2019-08-05,46.9,47.11,46.39,46.73,1158409,-0.77,-1.62
2019-08-06,46.82,47.885,46.1,47.76,403313,1.03,2.2
2019-08-07,47.59,48.49,46.87,47.83,1235613,0.07,0.15
2019-08-08,47.83,48.12,46.68,47.01,1379853,-0.82,-1.71
2019-08-09,46.88,47.22,44.58,45.01,1627800,-2.0,-4.25
2019-08-12,44.68,44.7,43.03,43.58,1299227,-1.43,-3.18
2019-08-13,43.68,48.45,43.68,45.53,2856985,1.95,4.47
2019-08-14,44.88,45.665,44.02,45.42,2276556,-0.11,-0.24
2019-08-15,45.62,45.62,43.87,44.06,1537901,-1.36,-2.99
2019-08-16,43.81,44.49,43.11,43.3,1283558,-0.76,-1.72
2019-08-19,43.57,44.74,43.24,44.56,731116,1.26,2.91
2019-08-20,44.44,47.0,44.0,46.65,664766,2.09,4.69
2019-08-21,46.88,48.74,46.67,48.66,986193,2.01,4.31
2019-08-22,48.7,49.06,47.8,48.29,461725,-0.37,-0.76
2019-08-23,48.1,48.3,46.93,47.07,782159,-1.22,-2.53
2019-08-26,47.33,47.51,46.5,47.24,519761,0.17,0.36
2019-08-27,47.61,48.315,47.01,47.07,888812,-0.17,-0.36
2019-08-28,47.09,48.4,46.815,48.17,278878,1.1,2.34
2019-08-29,48.54,48.94,47.91,48.28,407608,0.11,0.23
2019-08-30,48.46,49.37,48.4565,48.85,483510,0.57,1.18
2019-09-03,48.76,48.85,47.13,47.95,1164771,-0.9,-1.84
2019-09-04,48.12,48.74,45.44,45.81,601248,-2.14,-4.46
2019-09-05,46.59,47.93,46.27,47.53,883811,1.72,3.75
2019-09-06,47.56,48.28,46.985,47.92,745844,0.39,0.82
2019-09-09,48.16,49.96,48.02,48.61,724813,0.69,1.44
2019-09-10,48.01,48.44,45.51,45.97,1204255,-2.64,-5.43
2019-09-11,45.95,46.75,45.54,45.74,449788,-0.23,-0.5
2019-09-12,45.79,46.21,45.07,45.78,674651,0.04,0.09
2019-09-13,45.67,45.98,44.14,44.79,918741,-0.99,-2.16
2019-09-16,44.56,45.01,44.04,44.32,587036,-0.47,-1.05
2019-09-17,43.92,44.39,43.08,43.2,1012134,-1.12,-2.53
2019-09-18,43.19,43.54,41.36,42.13,1314577,-1.07,-2.48
2019-09-19,42.18,44.18,41.88,44.12,1325999,1.99,4.72
2019-09-20,44.14,45.37,43.745,44.9,1691951,0.78,1.77
2019-09-23,45.01,45.33,42.8,43.01,871376,-1.89,-4.21
2019-09-24,43.18,43.2,41.55,42.45,1113688,-0.56,-1.3
2019-09-25,42.44,43.93,42.1301,43.63,835954,1.18,2.78
2019-09-26,43.63,44.25,42.77,43.42,405416,-0.21,-0.48
2019-09-27,43.4,43.69,41.62,43.0,963861,-0.42,-0.97
2019-09-30,43.06,43.6,41.53,41.73,1105544,-1.27,-2.95
2019-10-01,42.03,42.775,41.435,41.75,660738,0.02,0.05
2019-10-02,41.36,42.2199,40.73,41.85,600926,0.1,0.24
2019-10-03,41.81,42.15,39.34,40.35,3410659,-1.5,-3.58
2019-10-04,40.68,40.8,38.96,40.19,1054178,-0.16,-0.4
2019-10-07,40.1,41.59,39.76,40.23,814702,0.04,0.1
2019-10-08,39.99,40.42,39.58,39.92,1175580,-0.31,-0.77
2019-10-09,40.06,40.92,39.31,39.7,496116,-0.22,-0.55
2019-10-10,39.69,40.14,38.55,38.8,564852,-0.9,-2.27
2019-10-11,39.01,39.07,36.19,36.4,3583181,-2.4,-6.19
2019-10-14,36.4,36.98,35.83,36.04,3111138,-0.36,-0.99
2019-10-15,36.13,36.85,34.955,36.29,2542863,0.25,0.69
2019-10-16,36.08,38.25,35.63,37.8,2468974,1.51,4.16
2019-10-17,38.02,38.6,37.66,38.07,1480846,0.27,0.71
2019-10-18,37.78,38.5,37.14,37.72,1800182,-0.35,-0.92
2019-10-21,37.83,39.41,37.71,39.25,1311013,1.53,4.06
2019-10-22,39.1,39.3,37.77,37.86,2006162,-1.39,-3.54
2019-10-23,37.9,38.53,37.11,38.16,970896,0.3,0.79
2019-10-24,38.42,38.62,37.82,38.5,709782,0.34,0.89
2019-10-25,38.36,39.175,37.75,38.17,897428,-0.33,-0.86
2019-10-28,38.17,38.785,37.36,37.54,1075420,-0.63,-1.65
2019-10-29,37.47,37.98,36.84,37.94,1097934,0.4,1.07
2019-10-30,38.41,38.62,37.29,38.41,700004,0.47,1.24
2019-10-31,38.44,38.6,37.54,38.15,689317,-0.26,-0.68
2019-11-01,38.39,39.31,38.03,38.64,678621,0.49,1.28
2019-11-04,38.74,39.08,38.14,38.7,713517,0.06,0.16
2019-11-05,38.7,39.3,38.28,39.2,913506,0.5,1.29
2019-11-06,38.96,38.96,37.85,38.2,1155710,-1.0,-2.55
2019-11-07,38.13,38.42,37.75,38.11,1161156,-0.09,-0.24
