日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2022-10-31,11.3,12.2,8.63,10.88,160468,-1.47,-11.9
2022-11-01,9.2,9.5067,8.2,8.48,128053,-2.4,-22.06
2022-11-02,8.36,9.66,7.55,8.44,62900,-0.04,-0.4717
2022-11-03,8.37,9.5,7.12,7.82,71568,-0.62,-7.35
2022-11-04,7.17,8.25,5.9767,6.53,53163,-1.29,-16.4962
2022-11-07,6.5301,6.845,5.33,5.87,18962,-0.66,-10.11
2022-11-08,5.87,6.94,5.87,6.2,23871,0.33,5.62
2022-11-09,6.16,6.2,5.21,5.21,20518,-0.99,-15.97
2022-11-10,5.6,6.72,5.6,6.07,23003,0.86,16.51
2022-11-11,5.99,6.38,5.3259,5.6661,8168,-0.404,-6.66
2022-11-14,5.49,5.78,5.24,5.33,6051,-0.336,-5.93
2022-11-15,5.535,5.86,4.7,4.84,46852,-0.49,-9.1932
2022-11-16,5.04,5.5,4.7001,4.81,51453,-0.03,-0.62
2022-11-17,4.85,5.2,4.125,4.2,30737,-0.61,-12.68
2022-11-18,4.22,4.24,3.9,3.93,41997,-0.27,-6.43
2022-11-21,6.28,6.5,4.91,5.25,12065133,1.32,33.59
2022-11-22,4.83,5.5,4.61,5.44,465727,0.19,3.62
2022-11-23,5.13,5.5,4.95,5.48,210749,0.04,0.74
2022-11-25,5.31,5.622,5.19,5.28,42199,-0.2,-3.65
2022-11-28,5.12,5.27,4.7601,5.18,42090,-0.1,-1.8939
2022-11-29,4.7024,4.985,4.16,4.69,28003,-0.49,-9.4595
2022-11-30,4.69,4.69,4.03,4.26,22304,-0.43,-9.17
2022-12-01,4.43,5.25,4.31,4.9,60817,0.64,15.0235
2022-12-02,4.8,4.8,4.35,4.72,5881,-0.18,-3.67
2022-12-05,4.73,4.73,4.32,4.65,8853,-0.07,-1.4831
2022-12-06,4.47,4.75,4.1736,4.27,25350,-0.38,-8.17
2022-12-07,4.3,4.55,4.12,4.25,12554,-0.02,-0.47
2022-12-08,4.25,4.4,4.002,4.4,10305,0.15,3.53
2022-12-09,4.31,4.6,4.0023,4.43,23207,0.03,0.68
2022-12-12,4.34,4.4899,4.18,4.33,11775,-0.1,-2.26
