日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-11-23,8.1,8.2083,5.63,6.01,118962,-2.085,-25.76
2020-11-24,6.19,6.4774,5.75,5.93,120918,-0.08,-1.33
2020-11-25,6.29,6.29,5.62,5.62,99445,-0.31,-5.23
2020-11-27,6.13,6.13,5.7208,5.84,101239,0.22,3.91
2020-11-30,6.18,6.18,5.73,5.86,118341,0.02,0.34
2020-12-01,6.0,6.0,5.75,5.75,106133,-0.11,-1.88
2020-12-02,5.91,6.426,5.91,6.34,259455,0.59,10.26
2020-12-03,6.11,6.35,5.8,5.92,126034,-0.42,-6.62
2020-12-04,6.01,6.22,5.93,6.2,48069,0.28,4.73
2020-12-07,6.25,6.4,5.84,5.95,230905,-0.25,-4.03
2020-12-08,5.85,6.0,5.69,5.9,92559,-0.05,-0.84
2020-12-09,5.92,5.92,5.76,5.845,60576,-0.055,-0.93
2020-12-10,5.86,5.91,5.84,5.85,16643,0.005,0.09
2020-12-11,5.83,6.12,5.55,5.6934,105290,-0.1566,-2.6769
2020-12-14,5.7,5.7138,5.16,5.16,170934,-0.533,-9.36
2020-12-15,5.22,5.29,4.8995,4.9999,90848,-0.16,-3.1
2020-12-16,5.0,5.08,4.94,4.94,232027,-0.06,-1.2
2020-12-17,4.94,4.995,4.82,4.82,200233,-0.12,-2.43
2020-12-18,4.94,4.94,4.72,4.72,144416,-0.1,-2.07
2020-12-21,4.9,5.0881,4.8,4.87,273801,0.15,3.18
2020-12-22,5.39,5.39,5.05,5.18,205854,0.31,6.37
2020-12-23,5.35,6.02,5.2201,5.89,434906,0.71,13.71
2020-12-24,6.11,10.82,5.985,8.3,5264035,2.41,40.92
2020-12-28,7.78,8.23,7.1,7.24,803224,-1.06,-12.77
2020-12-29,7.08,7.08,6.25,6.28,304338,-0.96,-13.26
2020-12-30,6.27,6.2999,5.75,5.75,264683,-0.53,-8.44
2020-12-31,5.95,6.71,5.85,6.36,319045,0.61,10.61
2021-01-04,6.32,6.67,6.32,6.59,189479,0.23,3.62
2021-01-05,6.6,6.89,6.6,6.8,258746,0.21,3.1866
2021-01-06,6.83,6.98,6.75,6.79,140348,-0.01,-0.15
2021-01-07,6.97,6.97,6.35,6.71,209923,-0.08,-1.18
2021-01-08,6.76,7.07,6.76,6.9739,69886,0.264,3.93
2021-01-11,7.0,7.13,6.9,6.91,54045,-0.064,-0.92
2021-01-12,6.84,7.19,6.7,6.89,89626,-0.02,-0.29
2021-01-13,6.9,6.99,6.21,6.85,504965,-0.04,-0.5806
2021-01-14,6.83,7.43,6.74,6.92,245471,0.07,1.02
2021-01-15,6.86,7.0,6.558,6.98,95284,0.06,0.8671
2021-01-19,6.97,7.1799,6.97,7.0,98139,0.02,0.2865
2021-01-20,7.03,7.08,6.97,7.0,75159,0.0,0.0
2021-01-21,7.08,7.2,7.08,7.2,102780,0.2,2.86
2021-01-22,7.09,7.36,7.09,7.17,63360,-0.03,-0.4167
2021-01-25,7.28,7.6,7.2401,7.49,112506,0.32,4.46
2021-01-26,7.6,8.49,7.5,7.6,253251,0.11,1.47
2021-01-27,7.71,7.8,7.5478,7.69,138745,0.09,1.18
2021-01-28,7.79,7.8,7.13,7.18,28449,-0.51,-6.63
2021-01-29,7.18,7.4876,7.17,7.28,55472,0.1,1.39
2021-02-01,7.3,7.3896,7.28,7.35,78911,0.07,0.9615
2021-02-02,7.39,7.55,7.37,7.54,89992,0.19,2.585
2021-02-03,7.84,7.84,7.41,7.56,24653,0.02,0.2653
2021-02-04,7.59,7.945,7.46,7.91,32495,0.35,4.63
2021-02-05,8.02,8.02,7.69,7.93,25723,0.02,0.25
2021-02-08,8.19,8.43,8.0,8.38,41344,0.45,5.6747
2021-02-09,8.48,9.22,8.25,8.71,71607,0.33,3.9379
2021-02-10,8.53,8.59,8.08,8.56,49160,-0.15,-1.72
