日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2022-01-21,9.75,9.75,9.75,9.75,1025,0.0,0.0
2022-01-24,10.0,10.0,9.95,9.95,4700,0.2,2.0513
2022-01-25,9.78,9.78,9.71,9.74,125446,-0.21,-2.1106
2022-01-26,9.75,9.75,9.75,9.75,207149,0.01,0.1027
2022-01-27,9.75,9.75,9.75,9.75,6,0.0,0.0
2022-01-28,9.75,9.75,9.75,9.75,122,0.0,0.0
2022-01-31,9.75,9.76,9.75,9.75,57452,0.0,0.0
2022-02-01,9.75,9.77,9.75,9.77,242687,0.02,0.2051
2022-02-02,9.7646,9.78,9.755,9.77,19315,0.0,0.0
2022-02-03,9.78,9.79,9.78,9.79,44601,0.02,0.2047
2022-02-04,9.79,9.79,9.78,9.78,25201,-0.01,-0.1021
2022-02-07,9.78,9.78,9.78,9.78,248401,0.0,0.0
2022-02-09,9.8,9.8,9.8,9.8,1144,0.02,0.2045
2022-02-10,9.78,9.78,9.78,9.78,169645,-0.02,-0.2
2022-02-11,9.79,9.79,9.77,9.77,14251,-0.01,-0.1022
2022-02-14,9.78,9.78,9.78,9.78,60704,0.01,0.1
2022-02-15,9.79,9.79,9.79,9.79,417285,0.01,0.1
2022-02-16,9.79,9.79,9.79,9.79,79816,0.0,0.0
2022-02-17,9.8,9.8,9.8,9.8,2349,0.01,0.1021
2022-02-18,9.79,9.79,9.78,9.79,228433,-0.01,-0.102
2022-02-22,9.795,9.795,9.795,9.795,70000,0.005,0.0511
2022-02-25,9.79,9.79,9.79,9.79,1000,-0.005,-0.051
2022-02-28,9.8,9.8,9.8,9.8,5300,0.01,0.1021
2022-03-03,9.82,9.84,9.82,9.84,30334,0.04,0.4082
2022-03-04,9.84,9.84,9.83,9.83,277,-0.01,-0.1016
2022-03-07,9.84,9.84,9.84,9.84,100512,0.01,0.1017
2022-03-08,9.76,9.84,9.76,9.84,2032,0.0,0.0
2022-03-10,9.85,9.85,9.85,9.85,2002,0.01,0.1
2022-03-11,9.83,9.85,9.8,9.835,139341,-0.015,-0.1523
