日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2008-08-12,12.1704,12.6385,12.1704,12.3577,98100,,
2008-08-13,12.4513,12.5168,11.9364,12.1704,553168,,
2008-08-14,11.4683,12.2828,11.4683,12.1704,295109,,
2008-08-15,12.1798,12.3577,12.1704,12.3577,144739,,
2008-08-18,12.3577,12.3577,12.1517,12.2172,269475,,
2008-08-19,12.2172,12.3109,11.9926,12.1423,686582,,
2008-08-20,12.0768,13.4062,11.3372,13.219,3865298,,
2008-08-21,12.0581,15.1194,11.9364,14.8666,4219436,,
2008-08-22,14.3143,15.8496,13.9585,14.099,1358922,,
2008-08-25,14.4079,14.4079,13.1721,13.6777,687754,,
2008-08-26,13.4343,13.8368,13.1066,13.3687,450850,,
2008-08-27,13.3875,13.3875,12.9194,13.1628,702157,,
2008-08-28,12.9943,13.0879,11.8708,12.4606,737811,,
2008-08-29,11.8147,12.367,11.8147,12.1611,719048,,
2008-09-02,11.8334,12.5636,11.8334,12.4045,596070,,
2008-09-03,12.3951,12.676,12.3015,12.4045,660371,,
2008-09-04,12.1892,12.5262,12.0206,12.4045,715715,,
2008-09-05,12.3109,12.6198,12.0862,12.1423,1371346,,
2008-09-08,12.0394,12.1611,11.824,11.9832,574555,,
2008-09-09,11.927,12.1892,11.7211,11.8708,655359,,
2008-09-10,11.7585,12.0581,10.1576,11.0938,2399098,,
2008-09-11,10.7755,11.2904,10.7755,11.0938,1414282,,
2008-09-12,10.5789,11.1687,10.3542,11.0751,520027,,
2008-09-15,10.6538,10.9721,10.4759,10.6444,1037260,,
2008-09-16,10.4104,10.5695,9.5678,10.2419,1248328,,
2008-09-17,10.1108,10.3449,9.7551,10.0921,1124895,,
2008-09-18,9.8393,10.7193,9.5285,10.3074,1137587,,
2008-09-19,10.6351,12.4045,9.8786,11.2623,626490,,
2008-09-22,11.3279,11.6087,10.3917,10.6351,657765,,
2008-09-23,10.7474,10.7568,10.0266,10.2419,671479,,
2008-09-24,10.4385,11.2249,9.8955,9.9985,740222,,
2008-09-25,10.2138,10.8504,10.0266,10.0266,920074,,
2008-09-26,10.2138,10.3636,9.8393,10.1108,1168500,,
2008-09-29,9.8019,10.2044,9.2308,9.4929,727625,,
2008-09-30,9.4087,10.3261,9.3057,9.7363,629280,,
2008-10-01,9.5866,10.1202,9.5772,9.961,248102,,
2008-10-02,9.9798,9.9891,9.2214,9.4087,461177,,
2008-10-03,9.5491,10.2419,9.0904,9.0997,342714,,
2008-10-06,8.7159,8.8938,7.8078,8.3976,515226,,
2008-10-07,8.1916,8.7065,7.8172,8.2572,278091,,
2008-10-08,8.1916,8.1916,6.9184,7.5082,849148,,
2008-10-09,7.3397,7.5082,6.9091,7.0214,250567,,
2008-10-10,6.3099,6.3099,5.5937,6.0478,516182,,
2008-10-13,5.898,6.9746,5.8343,6.2444,775966,,
2008-10-14,6.338,6.7302,5.7014,5.8512,1085815,,
2008-10-15,5.7201,5.8044,5.3082,5.3456,737884,,
2008-10-16,5.1771,5.4767,4.8869,5.018,1039477,,
2008-10-17,4.9618,5.6171,4.7371,5.4767,930432,,
2008-10-20,5.5235,6.3754,5.5141,6.2163,388179,,
2008-10-21,6.1601,7.115,6.0571,6.6095,684093,,
2008-10-22,6.7031,7.0401,6.2631,6.338,193739,,
2008-10-23,6.3848,6.4222,5.8044,6.132,224524,,
2008-10-24,5.6171,6.0478,5.4112,5.8699,241709,,
2008-10-27,5.7295,6.1039,5.6358,5.9448,206437,,
2008-10-28,6.0946,6.6188,5.781,6.5159,352409,,
2008-10-29,6.4691,6.6563,6.1039,6.572,226026,,
2008-10-30,6.6844,7.012,6.6563,6.9559,266586,,
2008-10-31,6.9371,6.9371,6.4241,6.7967,535192,,
2008-11-03,6.6844,7.7048,6.6844,7.3865,357897,,
2008-11-04,7.5831,7.5831,6.5814,6.6376,284762,,
2008-11-05,6.6656,7.3772,6.6656,6.7499,474732,,
2008-11-06,6.441,7.2742,6.3848,6.4597,287167,,
2008-11-07,6.6188,6.6188,5.8605,5.9916,392141,,
2008-11-10,5.898,6.4129,5.5235,6.0197,384595,,
2008-11-11,5.9448,6.2631,5.5703,5.5703,377561,,
2008-11-12,6.0665,6.0665,5.4486,5.6265,556746,,
2008-11-13,5.6827,6.001,5.4392,5.9729,337749,,
2008-11-14,5.8137,5.8137,5.5329,5.6078,93569,,
2008-11-17,5.692,5.9448,5.4392,5.5797,188182,,
2008-11-18,5.458,5.6452,5.4205,5.4954,95794,,
2008-11-19,5.3831,5.9073,5.3831,5.6078,316194,,
2008-11-20,5.4767,6.029,5.2895,5.3082,259421,,
2008-11-21,5.2707,5.2801,4.5873,4.5873,183541,,
2008-11-24,4.5873,5.5048,4.2128,4.812,396451,,
2008-11-25,4.915,5.149,4.6809,5.046,237302,,
2008-11-26,4.8682,5.2146,4.8214,4.8775,273260,,
2008-11-28,4.7652,5.1678,4.7652,4.9618,152534,,
2008-12-01,4.8214,5.2895,4.8214,5.0929,391238,,
2008-12-02,5.149,5.1575,4.8869,4.9805,626026,,
2008-12-03,4.8214,5.0273,4.5274,4.7558,276372,,
2008-12-04,4.6154,4.7558,4.1286,4.1848,171872,,
2008-12-05,4.1941,4.5218,3.8477,4.5124,261847,,
