日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2017-06-09,9.25,9.26,8.2,8.36,185659,-1.65,-16.45
2017-06-12,8.45,8.7,8.15,8.7,39225,0.35,4.13
2017-06-13,8.6,8.6,7.8,7.9,46519,-0.8,-9.2
2017-06-14,8.5,8.5,7.75,8.0,28403,0.1,1.27
2017-06-15,7.66,8.5,7.66,8.355,25593,0.36,4.44
2017-06-16,8.28,8.9,8.25,8.55,137723,0.2,2.33
2017-06-19,8.27,9.91,8.25,9.78,326960,1.23,14.39
2017-06-20,9.79,10.0,8.61,9.11,109612,-0.67,-6.85
2017-06-21,8.7,9.16,8.13,8.6,45192,-0.51,-5.6
2017-06-22,8.5,8.7,8.15,8.31,28436,-0.29,-3.37
2017-06-23,8.48,8.682,8.29,8.65,28978,0.34,4.09
2017-06-26,8.69,8.699,8.201,8.32,6442,-0.33,-3.82
2017-06-27,8.24,8.35,8.137,8.29,6300,-0.03,-0.36
2017-06-28,8.63,8.766,8.12,8.3,18686,0.01,0.12
2017-06-29,8.27,8.59,8.112,8.5,20125,0.2,2.41
2017-06-30,8.52,8.619,8.3,8.6,12634,0.1,1.18
2017-07-03,9.2,9.2,8.18,8.48,9580,-0.12,-1.4
2017-07-05,8.35,8.8,8.33,8.69,16900,0.21,2.48
2017-07-06,8.3,8.46,8.254,8.46,10906,-0.23,-2.65
2017-07-07,8.49,8.548,8.258,8.34,8951,-0.12,-1.42
2017-07-10,8.2,8.45,6.595,7.4,49716,-0.94,-11.27
2017-07-11,7.35,7.766,6.63,6.98,24228,-0.42,-5.68
2017-07-12,6.9,7.5,5.77,6.07,25956,-0.91,-13.04
2017-07-13,6.25,6.61,5.47,5.79,21972,-0.28,-4.61
2017-07-14,6.23,6.42,5.7,6.34,21310,0.55,9.5
2017-07-17,6.29,6.54,5.805,6.4,15294,0.06,0.95
2017-07-18,6.4,6.79,6.35,6.5,12184,0.1,1.56
2017-07-19,6.36,6.36,6.2,6.303,2859,-0.2,-3.03
2017-07-20,6.342,6.342,6.342,6.342,216,0.04,0.62
2017-07-21,5.96,6.13,5.9,6.018,3337,-0.32,-5.11
2017-07-24,6.07,6.5,6.07,6.49,7434,0.47,7.84
2017-07-25,6.5,6.5,6.3,6.319,6706,-0.17,-2.64
2017-07-26,6.35,6.42,6.3,6.4,5969,0.08,1.28
2017-07-27,6.21,6.393,6.0,6.0,7216,-0.4,-6.25
2017-07-28,5.98,6.131,5.892,6.1,2222,0.1,1.67
2017-07-31,6.15,6.173,5.7,5.72,12040,-0.38,-6.23
2017-08-01,5.8,5.85,5.4,5.81,11044,0.09,1.57
2017-08-02,5.75,5.75,4.99,5.3,13952,-0.51,-8.78
2017-08-03,5.5,5.88,5.5,5.5,2574,0.2,3.77
