日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2014-12-11,9.01,9.5,9.0,9.49,27050,,
2014-12-12,9.55,9.55,9.46,9.49,800,,
2014-12-15,9.51,9.52,9.48,9.52,1137,,
2014-12-16,9.55,9.55,9.55,9.55,150,,
2014-12-18,9.46,9.55,9.45,9.55,1520,,
2014-12-24,9.54,9.54,9.54,9.54,450,,
2015-01-27,9.56,9.56,9.56,9.56,100,,
2015-01-28,9.52,9.52,9.52,9.52,300,,
2015-01-30,9.47,9.52,9.47,9.48,3300,,
2015-02-02,9.48,9.5,9.48,9.5,2000,,
2015-02-03,9.5,9.5,9.5,9.5,31000,,
2015-02-11,9.49,9.52,9.49,9.5,6600,,
2015-02-20,9.5,9.5,9.5,9.5,1100,,
2015-02-24,9.48,9.5,9.48,9.5,19000,,
2015-02-25,9.5,9.5,9.499,9.499,2100,,
2015-03-02,9.48,9.49,9.48,9.49,2000,,
2015-03-03,9.49,9.53,9.49,9.53,1300,,
2015-03-05,9.53,9.53,9.53,9.53,200,,
2015-03-06,9.49,9.49,9.49,9.49,2000,,
2015-03-09,9.5,9.5,9.5,9.5,1010,,
2015-03-17,9.49,9.52,9.49,9.52,9176,,
2015-03-20,9.53,9.55,9.53,9.55,10400,,
2015-03-23,9.539,9.54,9.539,9.54,2500,,
2015-03-26,9.56,9.57,9.56,9.57,20400,,
2015-03-30,9.56,9.56,9.56,9.56,4300,,
2015-04-01,9.57,9.57,9.57,9.57,2800,,
2015-04-02,9.59,9.59,9.59,9.59,5000,,
2015-04-08,9.59,9.59,9.59,9.59,4400,,
2015-04-13,9.61,9.61,9.61,9.61,3205,,
2015-04-23,9.63,9.63,9.63,9.63,18200,,
2015-04-24,9.63,9.63,9.63,9.63,211,,
2015-04-30,9.65,9.65,9.649,9.649,8300,,
2015-05-01,9.64,9.65,9.64,9.65,6899,,
2015-05-04,9.64,9.64,9.64,9.64,1030,,
2015-05-05,9.64,9.64,9.64,9.64,6400,,
2015-05-06,9.64,9.641,9.64,9.64,5100,,
2015-05-07,9.59,9.59,9.59,9.59,103,,
2015-05-08,9.6,9.6,9.6,9.6,100,,
2015-05-26,9.6,9.6,9.6,9.6,1100,,
2015-05-27,9.6,9.62,9.6,9.62,22000,,
2015-05-28,9.62,9.62,9.62,9.62,6000,,
2015-06-01,9.62,9.62,9.62,9.62,100,,
2015-06-03,9.62,9.65,9.62,9.63,34827,,
2015-06-04,9.68,9.68,9.68,9.68,371,,
2015-06-05,9.63,9.63,9.63,9.63,300,,
2015-06-09,9.65,9.679,9.65,9.679,2100,,
2015-06-15,9.639,9.64,9.62,9.634,16477,,
2015-06-16,9.64,9.67,9.64,9.67,178700,,
2015-06-19,9.66,9.67,9.66,9.67,521,,
2015-06-22,9.66,9.66,9.66,9.66,24900,,
2015-06-23,9.65,9.67,9.65,9.67,2300,,
2015-06-24,9.64,9.64,9.64,9.64,400,,
2015-06-25,9.669,9.669,9.669,9.669,1460,,
2015-07-02,9.69,9.69,9.66,9.66,1543,,
2015-07-15,9.663,9.663,9.66,9.66,1004,,
2015-07-16,9.661,9.661,9.661,9.661,159,,
2015-07-20,9.66,9.66,9.65,9.66,7602,,
2015-07-24,9.663,9.663,9.663,9.663,120,,
2015-08-13,9.67,9.67,9.67,9.67,400,,
2015-08-18,9.66,9.66,9.66,9.66,500,,
2015-08-20,9.69,9.69,9.66,9.66,800,,
2015-08-24,9.66,9.66,9.66,9.66,201,,
2015-08-25,9.66,9.67,9.65,9.67,9102,,
2015-08-27,9.69,9.69,9.69,9.69,3800,,
2015-09-08,9.68,9.68,9.68,9.68,600,,
2015-09-10,9.66,9.66,9.66,9.66,2000,,
2015-09-11,9.67,9.67,9.66,9.66,2000,,
2015-09-18,9.67,9.69,9.67,9.69,27700,,
2015-09-24,9.68,9.68,9.65,9.65,3100,,
2015-09-25,9.679,9.7,9.679,9.7,2839,,
2015-09-28,9.65,9.65,9.65,9.65,214,,
2015-09-30,9.7,9.71,9.7,9.7,10500,,
