日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1997-10-07,200.0,213.75,186.25,191.25,2886300,0.0,0.0
1997-10-08,222.5,255.0,210.0,253.75,1754200,62.486,32.67
1997-10-09,287.5,315.0,282.5,315.0,1619100,61.1929,24.11
1997-10-10,297.5,302.5,283.75,297.5,504400,-17.5148,-5.56
1997-10-13,296.25,297.5,262.5,273.13,379000,-24.3972,-8.2
1997-10-14,266.25,267.5,247.5,260.0,360800,-13.1092,-4.8
1997-10-15,261.25,261.25,250.0,253.75,197800,-6.1865,-2.38
1997-10-16,250.0,251.25,240.0,243.75,162300,-9.9977,-3.94
1997-10-17,230.0,235.0,200.0,223.75,178600,-19.9864,-8.2
1997-10-20,227.5,251.25,227.5,250.0,144700,26.2062,11.71
1997-10-21,265.0,271.25,255.0,267.5,203700,17.5,7.0
1997-10-22,265.0,267.5,260.62,262.5,51500,-5.0023,-1.87
1997-10-23,245.0,248.75,235.0,237.5,126400,-24.9889,-9.52
1997-10-24,257.5,262.5,242.5,242.5,113100,5.011,2.11
1997-10-27,235.0,239.53,222.5,222.5,98800,-20.0068,-8.25
1997-10-28,208.75,258.75,208.75,258.75,208600,36.2842,16.31
1997-10-29,259.37,259.37,243.75,248.75,110800,-9.9873,-3.86
1997-10-30,237.5,246.25,228.75,236.25,148800,-12.4866,-5.02
1997-10-31,246.25,246.25,232.5,232.5,76800,-3.8045,-1.61
1997-11-03,252.5,260.0,241.25,257.5,57100,24.9944,10.75
1997-11-04,252.5,255.0,237.5,242.5,73900,-15.013,-5.83
1997-11-05,245.0,250.0,243.75,245.0,27500,2.4978,1.03
1997-11-06,241.25,241.25,235.0,235.0,7000,-9.9958,-4.08
1997-11-07,232.5,235.0,231.25,232.5,18300,-2.4909,-1.06
1997-11-10,242.5,245.0,237.5,242.5,40200,9.9976,4.3
1997-11-11,242.5,243.75,237.5,241.25,18700,-1.1879,-0.49
1997-11-12,233.75,242.03,233.75,233.75,94500,-7.503,-3.11
1997-11-13,237.5,242.5,228.75,238.44,19800,4.6065,1.97
1997-11-14,241.25,241.25,231.25,231.25,12200,-7.1029,-2.98
1997-11-17,236.25,237.5,235.0,235.0,19700,3.7008,1.6
1997-11-18,235.0,250.0,232.5,236.25,36100,1.2923,0.55
1997-11-19,235.0,236.25,233.75,233.75,6400,-2.5043,-1.06
1997-11-20,243.75,250.0,241.25,249.37,26100,15.5929,6.67
1997-11-21,255.0,255.0,243.75,244.37,51300,-4.9871,-2.0
1997-11-24,243.75,248.75,235.0,235.0,95200,-9.4098,-3.85
1997-11-25,240.0,257.5,238.75,247.18,26400,12.1957,5.19
1997-11-26,247.5,247.5,246.25,246.25,16500,-0.8897,-0.36
1997-11-28,252.5,261.25,252.5,259.68,35200,13.3978,5.44
1997-12-01,265.0,266.25,255.0,257.5,73500,-2.2075,-0.85
1997-12-02,256.25,258.75,255.93,255.93,41000,-1.5967,-0.62
1997-12-03,256.25,262.5,256.25,261.56,18200,5.7056,2.23
1997-12-04,261.87,261.87,260.0,260.31,16700,-1.3081,-0.5
1997-12-05,261.25,261.25,257.5,258.43,33700,-1.9004,-0.73
1997-12-08,258.75,261.25,258.12,260.0,37500,1.6021,0.62
1997-12-09,260.0,260.0,246.56,246.56,16900,-13.3873,-5.15
1997-12-10,246.25,248.75,245.0,245.0,10300,-1.6029,-0.65
1997-12-11,240.0,251.25,240.0,243.75,48000,-1.2003,-0.49
1997-12-12,255.0,275.0,255.0,273.75,157300,30.005,12.31
1997-12-15,265.0,265.0,252.5,252.5,24900,,
1997-12-16,250.0,262.5,250.0,257.18,35000,-16.5905,-6.06
1997-12-17,257.5,257.5,250.31,250.62,17700,-6.6108,-2.57
1997-12-18,250.0,252.5,242.5,243.12,35200,-7.4933,-2.99
1997-12-19,243.75,243.75,237.5,242.18,14500,-0.8994,-0.37
1997-12-22,241.25,255.0,241.25,250.0,66100,7.7989,3.22
1997-12-23,247.5,248.75,246.25,246.25,1800,-3.6992,-1.48
1997-12-24,251.25,251.25,248.75,248.75,2600,2.5116,1.02
1997-12-26,246.25,247.5,236.25,240.0,15800,-8.8078,-3.54
1997-12-29,236.25,242.5,235.0,242.5,9700,2.496,1.04
1997-12-30,238.75,242.5,238.75,240.0,5000,-2.4977,-1.03
1997-12-31,237.5,240.0,237.5,240.0,4700,0.0,0.0
1998-01-02,241.25,241.25,236.25,240.62,25100,0.6,0.25
1998-01-05,241.25,242.5,235.0,242.5,52000,1.9007,0.79
1998-01-06,242.5,242.5,240.0,240.0,38000,-2.4977,-1.03
1998-01-07,240.0,241.25,236.25,241.25,65900,1.2958,0.54
1998-01-08,240.0,246.25,238.75,245.0,17800,3.692,1.53
1998-01-09,243.75,245.0,243.75,244.37,35300,-1.2033,-0.49
1998-01-12,239.37,243.75,232.5,242.5,42700,-1.2921,-0.53
1998-01-13,242.5,243.75,240.0,242.18,48000,-0.291,-0.12
1998-01-14,242.5,242.5,237.5,237.5,6700,-4.6987,-1.94
1998-01-15,235.0,236.25,230.0,235.93,30800,-1.5914,-0.67
1998-01-16,236.25,260.0,236.25,258.43,48300,22.507,9.54
1998-01-20,262.5,271.25,262.5,268.75,85800,10.3862,4.02
1998-01-21,270.0,270.0,255.0,262.5,65900,-6.2897,-2.34
1998-01-22,265.62,270.0,265.62,266.25,31700,3.8054,1.45
1998-01-23,287.5,340.0,277.5,338.12,200200,71.7999,26.96
1998-01-26,377.5,383.75,346.25,363.12,376100,24.988,7.39
1998-01-27,367.5,370.0,343.75,346.25,106700,-16.8097,-4.63
1998-01-28,350.0,357.5,333.75,338.75,102600,-7.5139,-2.17
1998-01-29,340.0,342.5,330.0,338.12,127000,-0.7115,-0.21
1998-01-30,343.75,351.25,341.25,345.0,54300,6.8973,2.04
1998-02-02,350.0,361.25,350.0,355.62,27400,10.5923,3.07
1998-02-03,368.75,368.75,360.0,365.0,31000,9.3882,2.64
1998-02-04,375.0,400.0,375.0,400.0,93300,35.0032,9.59
1998-02-05,413.75,435.0,413.75,425.0,73500,25.0,6.25
1998-02-06,422.5,456.25,417.5,456.25,69700,31.2779,7.36
1998-02-09,486.25,500.0,475.0,495.0,94200,38.6947,8.48
1998-02-10,486.87,509.37,480.0,489.37,78200,-5.5931,-1.13
1998-02-11,470.0,470.0,380.0,380.0,176700,-109.3754,-22.35
1998-02-12,416.25,423.75,395.0,407.5,90100,27.5112,7.24
1998-02-13,392.5,417.5,371.25,417.5,163000,9.9841,2.45
1998-02-17,450.0,460.0,440.0,443.75,166900,26.2994,6.3
1998-02-18,452.5,470.0,451.25,470.0,115400,26.1851,5.9
1998-02-19,495.0,496.25,457.5,463.75,221300,-6.2034,-1.32
1998-02-20,475.0,513.75,460.0,502.5,166200,38.6824,8.34
1998-02-23,520.0,523.75,508.75,517.5,77400,15.024,2.99
1998-02-24,495.0,501.25,465.0,470.62,78900,-46.886,-9.06
1998-02-25,495.0,500.0,485.0,500.0,84900,29.4118,6.25
