日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1997-01-02,18.0,18.0,17.75,18.0,49800,,
1997-01-03,18.0,18.5,18.0,18.375,149300,,
1997-01-06,18.375,18.375,17.75,18.0,138200,,
1997-01-07,18.0,18.0,17.5,17.5,237900,,
1997-01-08,17.75,17.75,17.5,17.75,52500,,
1997-01-09,17.75,18.75,17.75,18.125,148100,,
1997-01-10,17.75,18.625,17.5,18.5,161700,,
1997-01-13,18.625,18.625,17.75,17.75,139200,,
1997-01-14,18.0,18.25,17.125,17.625,304100,,
1997-01-15,17.75,18.0,17.125,17.25,220500,,
1997-01-16,17.375,18.125,17.25,17.875,162200,,
1997-01-17,18.125,18.5,17.75,18.0,150500,,
1997-01-20,18.0,18.25,17.875,17.875,100400,,
1997-01-21,17.875,18.125,17.875,18.0,67700,,
1997-01-22,17.875,18.125,17.5,17.75,148700,,
1997-01-23,17.625,18.125,17.625,17.75,99400,,
1997-01-24,18.0,18.0,17.375,17.75,96500,,
1997-01-27,17.625,17.875,17.375,17.375,62100,,
1997-01-28,17.375,17.625,17.0,17.0,154700,,
1997-01-29,17.0,17.375,16.625,16.625,158400,,
1997-01-30,16.625,17.0,15.5,16.125,406900,,
1997-01-31,16.125,16.125,15.875,16.125,224400,,
1997-02-03,16.125,16.25,15.75,16.25,293900,,
1997-02-04,16.375,16.625,16.0,16.25,132000,,
1997-02-05,16.25,16.25,15.5,15.625,138900,,
1997-02-06,15.375,16.375,15.375,16.0,183900,,
1997-02-07,16.25,16.25,15.625,15.875,86200,,
1997-02-10,15.75,16.5,15.75,16.25,140100,,
1997-02-11,16.25,17.375,16.25,17.125,142300,,
1997-02-12,17.125,17.5,16.375,16.5,159100,,
1997-02-13,16.375,17.25,16.25,16.75,206200,,
1997-02-14,16.625,17.0,16.375,16.5,69300,,
1997-02-18,16.625,18.25,16.375,18.0,479300,,
1997-02-19,18.25,18.625,17.5,17.875,269800,,
1997-02-20,17.875,18.125,17.5,17.625,146200,,
1997-02-21,17.75,18.875,17.5,18.25,390200,,
1997-02-24,18.375,19.125,18.25,18.75,342800,,
1997-02-25,18.75,18.75,18.125,18.375,213300,,
1997-02-26,18.375,19.25,18.25,18.625,292100,,
1997-02-27,18.5,19.375,18.25,18.875,1050900,,
1997-02-28,19.375,20.75,18.625,19.375,1181300,,
1997-03-03,19.625,19.875,18.5,18.875,371800,,
1997-03-04,19.0,19.0,17.375,17.625,313100,,
1997-03-05,17.625,18.875,17.375,18.625,214600,,
1997-03-06,18.625,18.625,17.875,18.125,138500,,
1997-03-07,17.875,18.375,17.875,18.375,105400,,
1997-03-10,18.375,18.5,18.125,18.25,55200,,
1997-03-11,18.5,18.625,18.0,18.25,111000,,
1997-03-12,18.25,18.375,17.25,17.75,242200,,
1997-03-13,17.75,18.0,17.5,17.75,77500,,
1997-03-14,17.75,18.0,17.625,17.875,118900,,
1997-03-17,17.625,17.875,17.5,17.75,72700,,
1997-03-18,17.5,17.875,16.875,17.5,133100,,
1997-03-19,17.375,17.75,17.0,17.25,153000,,
1997-03-20,17.375,17.375,16.375,16.625,106000,,
1997-03-21,16.75,17.25,16.625,17.0,75100,,
1997-03-24,16.75,16.75,16.0,16.187,168700,,
1997-03-25,16.375,16.375,16.0,16.125,80600,,
1997-03-26,16.125,16.625,16.0,16.375,84200,,
1997-03-27,16.25,16.5,16.25,16.25,50000,,
1997-03-31,16.375,16.375,15.0,15.0,321300,,
1997-04-01,15.25,15.5,14.875,14.875,207900,,
1997-04-02,15.25,15.25,14.25,14.5,195000,,
1997-04-03,14.25,14.625,13.875,13.937,296900,,
1997-04-04,13.875,14.5,13.875,14.375,252700,,
1997-04-07,14.625,15.0,14.5,15.0,195700,,
1997-04-08,15.0,15.0,14.625,14.875,120200,,
1997-04-09,15.5,15.5,14.375,14.375,155400,,
1997-04-10,14.5,14.75,14.375,14.625,44000,,
1997-04-11,14.5,14.5,14.0,14.125,107400,,
1997-04-14,14.125,14.875,14.125,14.75,272000,,
1997-04-15,14.875,15.25,14.625,15.0,139100,,
1997-04-16,15.25,15.25,14.875,14.875,59600,,
1997-04-17,15.0,15.25,14.875,15.125,45200,,
1997-04-18,15.25,15.25,14.75,14.75,50900,,
1997-04-21,15.0,15.125,13.75,14.0,163900,,
1997-04-22,14.25,14.25,12.875,14.125,238300,,
1997-04-23,14.0,14.375,13.875,13.875,66300,,
1997-04-24,14.125,14.125,13.75,13.75,32600,,
1997-04-25,13.75,14.0,13.625,13.75,53700,,
1997-04-28,13.625,13.875,12.875,13.625,188300,,
1997-04-29,13.875,14.5,13.75,14.5,258200,,
1997-04-30,14.5,15.0,14.375,14.75,374600,,
1997-05-01,14.625,15.0,14.125,14.875,264300,,
1997-05-02,15.0,16.0,14.75,15.875,387800,,
1997-05-05,16.0,16.875,15.75,16.875,214300,,
1997-05-06,16.625,17.375,16.5,17.125,395100,,
1997-05-07,17.125,17.25,15.625,15.875,197800,,
1997-05-08,15.625,16.25,15.625,15.625,162600,,
1997-05-09,15.625,16.125,15.625,15.875,249400,,
1997-05-12,15.875,16.125,15.625,16.125,158300,,
1997-05-13,16.0,16.25,15.25,15.25,170500,,
1997-05-14,15.75,15.75,15.437,15.5,146500,,
1997-05-15,16.5,16.5,15.5,15.875,354100,,
1997-05-16,15.875,15.875,15.375,15.625,117800,,
1997-05-19,15.75,16.0,15.75,15.875,55800,,
1997-05-20,15.875,16.25,15.375,15.625,262900,,
1997-05-21,15.625,15.875,15.0,15.375,215100,,
1997-05-22,15.5,15.625,15.25,15.5,52300,,
1997-05-23,15.5,15.875,15.375,15.812,98800,,
1997-05-27,15.625,16.0,15.625,15.75,85400,,
1997-05-28,16.0,16.0,15.25,15.625,79900,,
1997-05-29,15.625,15.75,15.5,15.734,27400,,
1997-05-30,15.75,15.75,15.5,15.75,27400,,
1997-06-02,15.75,15.75,15.375,15.5,125600,,
1997-06-03,15.75,15.75,15.125,15.187,85400,,
1997-06-04,15.0,15.25,14.5,14.5,156900,,
1997-06-05,14.875,15.25,14.625,15.062,153700,,
1997-06-06,15.0,15.75,15.0,15.5,139600,,
1997-06-09,15.625,15.875,15.125,15.5,74000,,
1997-06-10,15.25,15.625,15.187,15.187,74600,,
1997-06-11,15.25,15.5,15.25,15.375,149800,,
1997-06-12,15.437,15.437,14.625,15.156,148500,,
1997-06-13,15.125,15.25,15.0,15.125,53000,,
1997-06-16,15.0,15.25,14.75,15.125,71000,,
1997-06-17,14.875,15.125,14.875,15.062,47800,,
1997-06-18,14.875,15.0,14.875,14.875,34900,,
1997-06-19,15.0,15.0,14.625,14.875,71300,,
1997-06-20,14.75,15.125,14.625,14.875,127100,,
1997-06-23,14.875,14.875,14.625,14.875,60300,,
1997-06-24,15.0,15.125,14.875,15.0,54800,,
1997-06-25,14.875,15.0,14.625,14.875,96200,,
1997-06-26,14.5,14.75,14.25,14.437,96600,,
1997-06-27,14.5,14.875,14.25,14.75,97900,,
1997-06-30,14.75,15.0,14.375,14.562,67200,,
1997-07-01,14.75,14.75,14.125,14.375,77500,,
1997-07-02,14.375,14.5,14.187,14.5,59500,,
1997-07-03,14.625,14.625,14.187,14.25,31800,,
1997-07-07,14.25,14.5,14.0,14.156,111000,,
1997-07-08,14.0,14.375,14.0,14.125,108700,,
1997-07-09,14.125,14.187,13.0,13.187,265200,,
1997-07-10,13.25,14.125,13.125,13.875,168200,,
1997-07-11,13.875,14.125,13.875,13.875,54700,,
1997-07-14,14.0,14.125,13.75,14.125,241300,,
1997-07-15,14.25,14.375,13.875,14.125,243900,,
1997-07-16,14.125,14.125,13.75,14.062,162600,,
1997-07-17,14.0,14.125,13.625,13.875,76700,,
1997-07-18,13.625,13.875,13.5,13.625,89100,,
1997-07-21,13.75,13.75,13.125,13.25,125700,,
1997-07-22,13.375,13.75,13.25,13.625,100200,,
1997-07-23,13.875,13.875,13.25,13.375,81900,,
1997-07-24,13.375,13.375,12.75,12.875,348700,,
1997-07-25,13.062,13.625,12.75,13.125,343400,,
1997-07-28,13.125,13.75,13.125,13.25,147300,,
1997-07-29,13.375,13.625,13.125,13.375,105900,,
1997-07-30,13.25,13.625,13.0,13.25,124400,,
1997-07-31,13.25,13.25,12.875,13.25,71000,,
1997-08-01,13.125,13.375,13.0,13.0,115000,,
1997-08-04,13.125,13.375,13.0,13.25,119100,,
1997-08-05,13.437,14.125,13.25,13.937,178200,,
1997-08-06,14.0,14.375,13.75,14.312,218500,,
1997-08-07,14.375,14.625,14.25,14.437,179400,,
1997-08-08,14.375,14.687,14.25,14.25,128300,,
1997-08-11,14.5,14.75,14.0,14.125,185800,,
1997-08-12,14.25,14.625,14.0,14.0,180500,,
1997-08-13,14.25,14.25,13.5,13.5,225600,,
1997-08-14,13.875,14.0,13.75,14.0,50200,,
1997-08-15,14.0,14.25,13.875,14.0,69300,,
1997-08-18,14.0,14.25,13.875,14.062,104400,,
1997-08-19,14.125,14.125,13.75,14.0,126600,,
1997-08-20,14.062,14.062,13.75,14.0,144200,,
1997-08-21,14.062,14.062,13.875,13.875,98300,,
1997-08-22,14.0,14.125,13.75,14.0,100900,,
1997-08-25,14.125,15.625,14.0,15.25,262400,,
1997-08-26,15.375,15.812,15.375,15.375,227500,,
1997-08-27,15.375,15.625,14.0,14.375,245500,,
1997-08-28,14.25,15.0,14.25,15.0,96200,,
1997-08-29,15.0,15.25,14.625,15.062,92100,,
1997-09-02,15.25,15.25,14.937,15.0,88900,,
1997-09-03,14.875,15.375,14.875,15.375,55200,,
1997-09-04,15.375,15.625,15.125,15.25,170700,,
1997-09-05,15.125,15.375,15.125,15.25,45600,,
