日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2019-10-17,5.61,6.18,5.61,6.05,827443,0.55,10.0
2019-10-18,5.89,6.25,5.8,6.14,397848,0.09,1.49
2019-10-21,6.22,6.4102,6.17,6.21,81121,0.07,1.14
2019-10-22,6.2,6.21,6.0,6.02,70650,-0.19,-3.06
2019-10-23,6.0,6.03,5.9222,5.99,17375,-0.03,-0.5
2019-10-24,6.004,6.04,5.94,5.97,29433,-0.02,-0.33
2019-10-25,5.95,5.96,5.63,5.66,84910,-0.31,-5.19
2019-10-28,5.99,6.05,5.94,5.99,116370,0.33,5.83
2019-10-29,6.09,6.12,5.92,6.0,55105,0.01,0.17
2019-10-30,5.88,5.93,5.8009,5.93,4587,-0.07,-1.17
2019-10-31,5.96,6.01,5.85,5.95,57155,0.02,0.34
2019-11-01,6.05,6.05,5.92,6.03,95986,0.08,1.34
2019-11-04,6.16,6.1645,6.0,6.0,28461,-0.03,-0.5
2019-11-05,6.14,6.33,6.12,6.24,30743,0.24,4.0
2019-11-06,6.39,6.46,6.26,6.38,11315,0.14,2.24
2019-11-07,6.35,6.53,6.35,6.52,4917,0.14,2.19
2019-11-08,6.32,6.35,6.29,6.31,24866,-0.21,-3.22
2019-11-11,6.47,6.75,6.43,6.55,85734,0.24,3.8
2019-11-12,6.58,6.7299,6.48,6.48,7881,-0.07,-1.07
2019-11-13,6.442,6.442,6.25,6.28,28386,-0.2,-3.09
2019-11-14,6.2,6.2,6.04,6.05,31846,-0.23,-3.66
2019-11-15,6.1,6.11,6.0,6.03,58138,-0.02,-0.33
2019-11-18,5.9,5.94,5.76,5.76,46299,-0.27,-4.48
2019-11-19,5.93,6.29,5.93,6.29,79902,0.53,9.2
2019-11-20,5.88,6.0,5.88,6.0,9774,-0.29,-4.61
2019-11-21,5.99,5.99,5.8,5.81,3314,-0.19,-3.17
2019-11-22,5.94,6.0174,5.92,5.96,12601,0.15,2.58
2019-11-25,5.86,6.0,5.86,5.96,25514,0.0,0.0
2019-11-26,6.11,6.42,6.11,6.25,27723,0.29,4.87
2019-11-27,6.3822,6.425,6.34,6.37,6346,0.12,1.92
2019-11-29,6.36,6.36,6.1719,6.285,17372,-0.085,-1.33
2019-12-02,6.31,6.33,6.1,6.15,48955,-0.135,-2.15
2019-12-03,6.11,6.2,6.05,6.2,8442,0.05,0.81
2019-12-04,6.23,6.23,6.1,6.15,31935,-0.05,-0.81
2019-12-05,6.4,6.49,6.24,6.27,148606,0.12,1.95
2019-12-06,6.288,6.288,6.2,6.2,2507,-0.07,-1.12
2019-12-09,6.1398,6.1404,6.01,6.01,18124,-0.19,-3.06
2019-12-10,6.03,6.36,6.03,6.14,7420,0.13,2.16
2019-12-11,6.271,6.2923,6.14,6.14,17295,0.0,0.0
2019-12-12,6.44,6.44,6.19,6.2,2577,0.06,0.98
