日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2017-10-04,24.68,24.75,24.64,24.75,299111,0.2,0.81
2017-10-05,24.79,24.9,24.75,24.9,97211,0.15,0.61
2017-10-06,24.85,24.85,24.76,24.77,69090,-0.13,-0.52
2017-10-09,24.77,24.83,24.7,24.82,26621,0.05,0.2
2017-10-10,24.8,24.9,24.8,24.9,104183,0.08,0.32
2017-10-11,24.9,24.95,24.82,24.95,117151,0.05,0.2
2017-10-12,25.1,25.1,24.97,25.02,50911,0.07,0.28
2017-10-13,25.05,25.08,25.02,25.03,40440,0.01,0.04
2017-10-16,25.0,25.05,24.95,25.0,18431,-0.03,-0.12
2017-10-17,25.05,25.1,24.9,25.02,41487,0.02,0.08
2017-10-18,24.88,25.1,24.88,24.92,37135,-0.1,-0.4
2017-10-19,25.03,25.05,24.97,25.0,39070,0.08,0.32
2017-10-20,25.09,25.09,24.75,24.81,58685,-0.19,-0.76
2017-10-23,24.87,24.99,24.87,24.99,17555,0.18,0.73
2017-10-24,25.02,25.05,24.87,24.99,17777,0.0,0.0
2017-10-25,24.95,25.01,24.94,25.0,41031,0.01,0.04
2017-10-26,24.99,25.04,24.91,24.98,18126,-0.02,-0.08
2017-10-27,25.0,25.06,25.0,25.0,21941,0.02,0.08
2017-10-30,25.1,25.1,25.0,25.1,4676,0.1,0.4
2017-10-31,25.25,25.3,25.1,25.3,23270,0.2,0.8
2017-11-01,25.37,25.37,25.25,25.3,11358,0.0,0.0
2017-11-02,25.26,25.34,25.25,25.32,4877,0.02,0.08
2017-11-03,25.38,25.39,25.3,25.38,2790,0.06,0.23
2017-11-06,25.4,25.67,25.35,25.5,29445,0.12,0.48
2017-11-07,25.49,25.5,25.45,25.45,10028,-0.05,-0.21
2017-11-08,25.41,25.41,25.19,25.29,30736,-0.16,-0.63
2017-11-09,25.26,25.26,25.21,25.24,13147,-0.06,-0.22
2017-11-10,25.26,25.41,25.25,25.3,28831,0.07,0.26
2017-11-13,25.31,25.5,25.25,25.48,10632,0.18,0.71
2017-11-14,25.5,25.56,25.35,25.54,13004,0.06,0.24
2017-11-15,25.58,25.7,25.54,25.65,3400,0.11,0.43
2017-11-16,25.65,25.75,25.65,25.75,6890,0.1,0.39
2017-11-17,25.75,25.75,25.65,25.67,3800,-0.08,-0.33
2017-11-20,25.72,25.72,25.46,25.57,3600,-0.1,-0.37
2017-11-21,25.67,25.75,25.48,25.74,9701,0.17,0.66
2017-11-22,25.76,25.76,25.65,25.7,3423,-0.04,-0.16
2017-11-24,25.75,25.76,25.75,25.76,1855,0.06,0.21
2017-11-27,25.65,25.69,25.5,25.52,5956,-0.24,-0.91
2017-11-28,25.51,25.79,25.5,25.61,6656,0.09,0.35
2017-11-29,25.71,25.75,25.58,25.73,3400,0.12,0.47
2017-11-30,25.75,25.78,25.53,25.56,12707,-0.17,-0.66
