日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-07-22,46.0,51.0,35.85,39.2,22417509,13.2,50.77
2020-07-23,41.48,43.25,39.25,39.88,5532998,0.68,1.73
2020-07-24,38.5,40.4,36.75,39.7,1272898,-0.18,-0.45
2020-07-27,39.82,42.5,39.5,40.29,1255895,0.59,1.49
2020-07-28,40.68,42.4,39.5,40.5,2372931,0.21,0.52
2020-07-29,40.0,41.0,40.0,40.3,545775,-0.2,-0.49
2020-07-30,39.8,41.47,38.99,41.28,586880,0.98,2.43
2020-07-31,42.4,42.8726,40.02,40.6,522904,-0.68,-1.65
2020-08-03,40.29,40.6633,37.65,38.13,1014020,-2.47,-6.08
2020-08-04,37.9,38.9902,37.845,38.89,666263,0.76,1.99
2020-08-05,38.97,40.25,38.5901,40.19,516300,1.3,3.34
2020-08-06,39.67,40.5,39.37,40.06,372167,-0.13,-0.32
2020-08-07,39.5,40.4,39.2031,40.24,698040,0.18,0.45
2020-08-10,40.2,40.2,39.21,39.42,291672,-0.82,-2.04
2020-08-11,39.85,39.85,38.6,39.2,412322,-0.22,-0.56
2020-08-12,39.13,39.69,38.65,39.06,264336,-0.14,-0.36
2020-08-13,38.94,39.55,38.0,38.0,258728,-1.06,-2.71
2020-08-14,38.11,38.255,35.5,35.78,766399,-2.22,-5.84
2020-08-17,36.65,38.9,35.8,38.33,592102,2.55,7.13
2020-08-18,39.32,40.4,39.01,39.7,638154,1.37,3.57
2020-08-19,40.23,40.23,37.27,38.54,446111,-1.16,-2.92
2020-08-20,38.3,39.04,37.12,38.83,337789,0.29,0.75
2020-08-21,38.41,40.4,38.21,40.13,491196,1.3,3.35
2020-08-24,40.5,40.96,37.55,39.15,590465,-0.98,-2.44
2020-08-25,39.24,39.24,37.57,38.54,477576,-0.61,-1.56
2020-08-26,38.51,39.78,38.46,39.33,403958,0.79,2.05
2020-08-27,39.39,39.515,37.72,37.8,649904,-1.53,-3.89
2020-08-28,38.16,38.3999,37.21,37.55,604536,-0.25,-0.66
2020-08-31,37.73,38.9,37.73,38.6,1101328,1.05,2.8
2020-09-01,39.5,41.22,37.85,41.18,2466163,2.58,6.68
2020-09-02,37.35,40.96,36.75,38.5,2212982,-2.68,-6.51
