日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2015-11-13,10.0,10.06,10.0,10.01,470721,10.04,0.0
2015-11-16,10.06,10.06,10.0,10.06,113733,0.05,0.5
2015-11-17,10.05,10.185,10.05,10.12,68114,0.06,0.6
2015-11-18,10.1,10.12,10.06,10.07,79863,-0.05,-0.49
2015-11-19,10.06,10.19,10.06,10.17,47168,0.1,0.99
2015-11-20,10.165,10.2,10.1,10.2,73560,0.03,0.29
2015-11-23,10.13,10.2,10.11,10.146,80085,-0.05,-0.53
2015-11-24,10.15,10.2,10.1,10.2,113953,0.05,0.53
2015-11-25,10.2,10.2,10.13,10.13,95363,-0.07,-0.69
2015-11-27,10.15,10.15,10.11,10.15,14101,0.02,0.2
2015-11-30,10.15,10.15,10.06,10.15,115220,0.0,0.0
2015-12-01,10.12,10.19,10.11,10.13,26037,-0.02,-0.2
2015-12-02,10.18,10.19,10.12,10.18,81757,0.05,0.49
2015-12-03,10.19,10.5,10.15,10.26,101642,0.08,0.79
2015-12-04,10.2,10.2,10.0,10.05,331617,-0.21,-2.05
2015-12-07,10.1,10.18,10.0,10.04,114078,-0.01,-0.1
2015-12-08,10.09,10.12,10.04,10.06,91315,0.02,0.2
2015-12-09,10.11,10.18,10.06,10.1,55236,0.04,0.4
2015-12-10,10.01,10.15,10.01,10.14,20368,0.04,0.4
2015-12-11,10.078,10.1,10.03,10.05,78385,-0.09,-0.89
2015-12-14,10.07,10.075,9.81,10.0,246772,-0.05,-0.5
2015-12-15,10.05,10.05,10.0,10.02,101536,0.02,0.2
2015-12-16,10.0,10.05,10.0,10.01,42550,-0.01,-0.1
2015-12-17,10.0,10.01,10.0,10.01,65222,0.0,0.0
2015-12-18,10.049,10.1,10.0,10.0,69941,-0.01,-0.1
2015-12-21,9.98,10.05,9.98,10.0,86601,0.0,0.0
2015-12-22,10.04,10.15,10.015,10.03,66491,0.03,0.3
2015-12-23,10.03,10.1,10.0,10.01,84432,-0.02,-0.2
2015-12-24,10.013,10.05,10.013,10.04,17550,0.03,0.3
2015-12-28,10.02,10.07,9.9,9.9,67042,-0.14,-1.39
2015-12-29,10.0,10.2,10.0,10.09,77358,0.19,1.92
2015-12-30,10.06,10.14,10.01,10.033,79021,-0.06,-0.57
2015-12-31,10.01,10.12,9.955,10.078,65918,0.05,0.45
2016-01-04,10.1,10.12,9.95,10.097,46333,0.02,0.19
2016-01-05,10.2,10.25,10.014,10.018,78036,-0.08,-0.78
2016-01-06,10.05,10.5,9.97,10.08,82249,0.06,0.62
2016-01-07,10.18,10.18,9.96,9.99,44194,-0.09,-0.89
2016-01-08,10.18,10.18,9.91,10.02,57482,0.03,0.3
2016-01-11,10.08,10.15,10.06,10.1,54034,0.08,0.8
2016-01-12,10.17,10.17,10.0,10.068,39947,-0.03,-0.31
2016-01-13,10.0,10.15,9.978,10.0,51783,-0.02,-0.18
2016-01-14,9.94,10.12,9.94,10.0,97669,0.0,0.0
2016-01-15,10.1,10.1,9.95,9.97,35057,-0.03,-0.3
2016-01-19,9.94,10.0,9.92,9.95,50563,-0.02,-0.2
2016-01-20,9.9,10.05,9.79,9.84,146554,-0.11,-1.11
2016-01-21,9.84,9.95,9.78,9.9,76162,0.06,0.61
2016-01-22,10.07,10.07,9.91,10.0,82761,0.1,1.01
2016-01-25,10.0,10.07,9.9,9.96,59797,-0.04,-0.4
2016-01-26,9.97,10.0,9.75,9.77,122874,-0.19,-1.91
2016-01-27,9.89,10.0,9.82,9.915,38916,0.14,1.48
2016-01-28,9.92,10.0,9.91,9.97,26356,0.06,0.56
2016-01-29,9.958,10.0,9.95,9.96,36008,-0.01,-0.1
2016-02-01,10.09,10.09,9.99,10.0,53536,0.04,0.4
2016-02-02,10.03,10.05,9.975,9.999,49686,0.0,-0.01
2016-02-03,9.98,10.08,9.98,10.0,80242,0.0,0.01
2016-02-04,10.01,10.1,10.0,10.01,43410,0.01,0.1
2016-02-05,10.1,10.15,10.0,10.05,95809,0.04,0.4
2016-02-08,10.04,10.15,10.0,10.02,119597,-0.03,-0.3
2016-02-09,10.1,10.14,9.99,10.04,30150,0.02,0.2
2016-02-10,10.13,10.13,9.94,9.94,63647,-0.05,-0.5
2016-02-11,9.95,9.993,9.84,9.85,124302,-0.09,-0.91
2016-02-12,9.97,9.97,9.84,9.9,68829,0.05,0.51
2016-02-16,9.869,10.1,9.85,9.97,71258,0.07,0.71
2016-02-17,9.977,10.03,9.976,10.03,72306,0.06,0.6
2016-02-18,9.97,10.08,9.86,10.02,53640,-0.01,-0.1
2016-02-19,10.01,10.09,9.95,10.08,99582,0.06,0.6
2016-02-22,10.04,10.09,9.98,10.01,42805,-0.07,-0.69
2016-02-23,10.04,10.05,10.0,10.05,34814,0.04,0.4
2016-02-24,10.0,10.05,10.0,10.05,19703,0.0,0.0
2016-02-25,10.05,10.09,10.0,10.0,87250,-0.05,-0.5
2016-02-26,10.0,10.05,9.97,10.0,37597,0.0,0.0
2016-02-29,10.0,10.0,9.95,10.0,100144,-0.01,-0.06
2016-03-01,10.0,10.09,9.94,10.03,90879,0.03,0.3
2016-03-02,10.05,10.05,9.95,9.98,96520,-0.05,-0.5
2016-03-03,10.02,10.02,9.92,10.01,81198,0.03,0.3
2016-03-04,9.983,10.03,9.983,10.0,61016,-0.01,-0.1
2016-03-07,10.011,10.03,9.987,10.0,41313,0.0,0.0
2016-03-08,10.03,10.09,10.0,10.01,44671,0.01,0.1
2016-03-09,10.0,10.08,9.96,9.99,165125,-0.02,-0.2
2016-03-10,10.008,10.05,9.95,9.95,64005,-0.04,-0.4
2016-03-11,9.97,10.01,9.95,10.0,74182,0.1,1.02
2016-03-14,10.0,10.02,9.96,9.96,60344,-0.04,-0.4
2016-03-15,9.97,10.0,9.96,9.99,66081,0.03,0.3
2016-03-16,9.972,10.05,9.972,10.05,53928,0.06,0.6
2016-03-17,10.035,10.05,10.03,10.05,43929,0.0,0.0
2016-03-18,10.08,10.08,10.04,10.05,79720,0.0,0.0
2016-03-21,10.05,10.08,10.04,10.08,57652,0.03,0.3
2016-03-22,10.07,10.08,10.02,10.05,189944,-0.03,-0.3
2016-03-23,10.03,10.07,10.02,10.05,47779,0.0,0.0
2016-03-24,10.08,10.08,10.01,10.04,138304,-0.01,-0.1
2016-03-28,10.03,10.08,10.03,10.08,104151,0.04,0.4
2016-03-29,10.08,10.08,10.04,10.08,116104,0.0,0.0
2016-03-30,10.06,10.08,10.04,10.08,162805,0.0,0.0
2016-03-31,10.05,10.14,10.04,10.04,350303,-0.04,-0.4
2016-04-01,10.11,10.121,10.068,10.09,55512,0.05,0.5
2016-04-04,10.09,10.14,10.09,10.14,59504,0.05,0.5
2016-04-05,10.14,10.14,10.05,10.06,47609,-0.08,-0.79
2016-04-06,10.05,10.05,10.04,10.04,76923,-0.02,-0.2
2016-04-07,10.06,10.14,10.04,10.11,68309,0.07,0.7
2016-04-08,10.086,10.11,10.068,10.07,33904,-0.04,-0.4
2016-04-11,10.09,10.14,10.06,10.09,49773,0.02,0.2
2016-04-12,10.07,10.12,10.06,10.1,24427,0.01,0.1
2016-04-13,10.06,10.14,10.06,10.14,84141,0.09,0.9
2016-04-14,10.15,10.18,10.11,10.14,78519,0.0,0.0
2016-04-15,10.18,10.23,10.15,10.15,53731,0.01,0.1
2016-04-18,10.15,10.209,10.08,10.1,94260,-0.05,-0.49
2016-04-19,10.13,10.15,10.08,10.11,61885,0.01,0.1
2016-04-20,10.14,10.23,10.121,10.15,84621,0.04,0.4
2016-04-21,10.15,10.23,10.13,10.22,63849,0.07,0.69
2016-04-22,10.2,10.2,10.13,10.15,9546,-0.07,-0.68
2016-04-25,10.19,10.19,10.06,10.06,122613,-0.09,-0.89
2016-04-26,10.07,10.11,10.05,10.11,134657,0.05,0.5
2016-04-27,10.099,10.18,10.091,10.13,57739,0.02,0.2
2016-04-28,10.16,10.17,10.04,10.1,124449,-0.03,-0.3
2016-04-29,10.13,10.2,10.073,10.1,155045,0.0,0.0
2016-05-02,10.22,10.3,10.171,10.21,130983,0.11,1.09
2016-05-03,10.24,10.24,10.11,10.17,68202,-0.04,-0.39
2016-05-04,10.199,10.199,10.11,10.12,115215,-0.05,-0.49
2016-05-05,10.12,10.17,10.12,10.14,47551,0.02,0.2
