日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1997-07-17,25.5738,26.6589,24.7746,26.3163,2733000,0.0,0.0
1997-07-18,25.5738,27.1722,25.2879,27.0004,496900,0.6842,2.6
1997-07-21,26.8296,27.058,26.2013,26.9438,230100,-0.054,-0.2
1997-07-22,26.8296,27.058,25.8021,26.9438,189100,0.0,0.0
1997-07-23,26.8296,26.8296,25.9729,26.2588,231400,-0.6844,-2.54
1997-07-24,26.2588,26.373,25.5738,26.0305,113200,-0.2285,-0.87
1997-07-25,25.9729,25.9729,25.688,25.9729,40400,-0.0547,-0.21
1997-07-28,25.9163,25.9163,25.1171,25.5163,125500,-0.4571,-1.76
1997-07-29,25.4021,25.9163,25.3455,25.8021,26600,0.2833,1.11
1997-07-30,25.6304,26.6013,25.6304,26.6013,57200,0.8048,3.12
1997-07-31,26.7721,28.1421,26.6013,27.2863,104900,0.6837,2.57
1997-08-01,27.6288,28.1421,27.6288,27.8572,59200,0.5649,2.07
1997-08-04,27.743,27.743,27.5147,27.743,18900,-0.1086,-0.39
1997-08-05,27.6288,27.6288,27.2863,27.2863,39900,-0.4578,-1.65
1997-08-06,27.2863,27.2863,26.4296,26.4296,62700,-0.8596,-3.15
1997-08-07,26.4871,26.4871,26.0305,26.2588,83600,-0.1745,-0.66
1997-08-08,26.2588,26.9438,26.2013,26.6579,65900,0.4017,1.53
1997-08-11,26.373,26.4871,25.688,26.3154,77800,-0.3466,-1.3
1997-08-12,26.9438,27.058,25.5163,25.5738,97100,-0.7394,-2.81
1997-08-13,25.5163,26.1446,25.3455,26.0305,129600,0.4578,1.79
1997-08-14,26.0305,26.1446,25.8588,26.0305,26100,0.0,0.0
1997-08-15,25.9163,26.8863,25.688,26.8296,23900,0.8042,3.09
1997-08-18,27.1146,27.1146,26.373,26.4871,34700,-0.3461,-1.29
1997-08-19,26.373,26.4296,25.688,25.9729,49800,-0.5111,-1.93
1997-08-20,25.8588,26.0305,25.8021,26.0305,74200,0.0545,0.21
1997-08-21,25.9729,26.0305,25.4596,25.4596,19500,-0.5674,-2.18
1997-08-22,25.3455,25.3455,25.003,25.003,11700,-0.4557,-1.79
1997-08-25,25.2313,26.1446,25.2313,25.688,109100,0.6851,2.74
1997-08-26,25.7446,27.4005,25.7446,27.2863,73500,1.5978,6.22
1997-08-27,27.4005,28.0855,27.343,27.4571,55600,0.1638,0.6
1997-08-28,27.343,27.4005,27.058,27.058,30300,-0.3925,-1.43
1997-08-29,26.9438,27.1722,26.8296,27.1722,23500,0.1083,0.4
1997-09-02,27.4005,27.9713,27.343,27.7996,7500,0.6303,2.32
1997-09-03,27.9713,30.2547,27.9713,29.798,50100,1.9988,7.19
1997-09-04,31.0539,31.0539,30.3113,30.3113,126600,0.5125,1.72
1997-09-05,30.3689,30.3689,30.1405,30.1972,5400,-0.1182,-0.39
1997-09-08,30.1405,30.2547,29.9122,29.9122,77800,-0.2838,-0.94
1997-09-09,29.9122,30.0264,29.8547,30.0264,124000,0.1196,0.4
1997-09-10,29.9688,30.8822,29.9688,30.8256,54100,0.7958,2.65
1997-09-11,30.8822,30.9964,30.8822,30.9964,24400,0.1726,0.56
1997-09-12,31.453,32.7089,31.453,32.7089,63400,1.7081,5.51
1997-09-15,32.5947,33.1089,32.5381,32.8806,14600,0.1733,0.53
1997-09-16,32.8806,33.4514,32.8806,33.2231,104100,0.3485,1.06
1997-09-17,33.3939,33.5081,33.2231,33.5081,31100,0.2824,0.85
1997-09-18,33.3373,33.3373,32.8806,33.2231,51400,-0.2814,-0.84
1997-09-19,32.9948,33.1656,32.7664,32.7664,28500,-0.4551,-1.37
1997-09-22,32.7664,32.7664,31.9672,31.9672,18600,-0.8029,-2.45
1997-09-23,31.9672,31.9672,31.6247,31.6247,36200,-0.3388,-1.06
1997-09-24,31.6247,31.7389,31.5672,31.5672,25400,-0.0633,-0.2
1997-09-25,31.5106,31.6247,31.453,31.6247,3000,0.0631,0.2
1997-09-26,31.5672,31.6247,31.5672,31.6247,8900,0.0,0.0
1997-09-29,31.6247,31.7389,31.5106,31.7389,63300,0.1107,0.35
1997-09-30,31.6814,32.0239,31.6814,31.9672,9500,0.2285,0.72
1997-10-01,32.1956,32.1956,31.9672,32.0239,4300,0.0543,0.17
1997-10-02,31.9672,32.0814,31.9672,32.0814,6100,0.064,0.2
1997-10-03,32.1956,32.4239,32.138,32.4239,51000,0.3369,1.05
1997-10-06,32.5381,32.5381,30.9964,31.1681,25000,-1.2514,-3.86
1997-10-07,31.1681,31.1681,30.8822,31.1681,14200,0.0,0.0
1997-10-08,31.1105,31.3389,31.1105,31.1681,9400,0.0,0.0
