日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2013-02-07,25.65,25.75,25.5,25.7,38550,,
2013-02-08,25.5,25.6,25.4,25.4,69133,,
2013-02-11,25.4,25.5,25.36,25.37,35108,,
2013-02-12,25.3,25.64,25.3,25.58,21000,,
2013-02-13,25.5,25.6,25.5,25.6,5600,,
2013-02-14,25.55,25.7,25.55,25.653,36353,,
2013-02-15,25.64,25.65,25.24,25.57,21400,,
2013-02-19,25.57,25.6,25.361,25.599,7045,,
2013-02-20,25.5,25.64,25.5,25.55,24085,,
2013-02-21,25.57,25.65,25.56,25.58,9195,,
2013-02-22,25.6,25.64,25.59,25.61,7400,,
2013-02-25,25.6,25.6,25.4,25.46,6728,,
2013-02-26,25.5,25.54,25.499,25.5,5412,,
2013-02-27,25.55,25.6,25.55,25.6,6140,,
2013-02-28,25.59,25.59,25.33,25.33,600,,
2013-03-01,25.56,25.56,25.56,25.56,750,,
2013-03-04,25.59,25.6,25.56,25.6,4471,,
2013-03-05,25.6,26.0,25.482,25.72,17154,,
2013-03-06,25.7,25.7,25.45,25.47,14582,,
2013-03-07,25.5,25.59,25.5,25.58,7668,,
2013-03-08,25.46,25.6,25.34,25.58,12878,,
2013-03-11,25.57,25.7,25.56,25.6,22118,,
2013-03-12,25.599,25.6,25.589,25.6,13000,,
2013-03-13,25.75,25.75,25.35,25.75,18700,,
2013-03-14,25.6,25.75,25.6,25.748,2243,,
2013-03-15,25.75,25.83,25.7,25.7,4800,,
2013-03-18,25.83,25.83,25.7,25.75,13518,,
2013-03-19,25.65,26.25,25.65,25.8,15228,,
2013-03-20,26.08,26.08,26.08,26.08,100,,
2013-03-21,25.59,26.0,25.59,25.66,11579,,
2013-03-22,25.751,25.9,25.751,25.9,2245,,
2013-03-26,25.849,25.9,25.82,25.82,830,,
2013-03-27,25.56,25.625,25.35,25.61,3100,,
2013-03-28,25.51,25.63,25.5,25.62,14910,,
2013-04-01,25.68,25.68,25.51,25.51,2900,,
2013-04-02,25.669,25.669,25.54,25.54,1300,,
2013-04-03,25.5,25.5,25.5,25.5,300,,
2013-04-04,25.59,25.59,25.57,25.577,1250,,
2013-04-05,25.51,25.589,25.29,25.43,1370,,
2013-04-08,25.372,25.379,25.31,25.32,4850,,
2013-04-09,25.45,25.55,25.45,25.55,2650,,
2013-04-10,25.572,25.58,25.404,25.472,10500,,
2013-04-11,25.418,25.5,25.418,25.5,7000,,
2013-04-12,25.5,25.5,25.31,25.45,5599,,
2013-04-15,25.5,25.5,25.35,25.45,8809,,
2013-04-16,25.6,25.6,25.59,25.6,6154,,
2013-04-17,25.4,25.6,25.4,25.55,10378,,
2013-04-18,25.549,25.549,25.45,25.459,3708,,
2013-04-19,25.56,25.56,25.35,25.4,19407,,
2013-04-22,25.5,25.5,25.45,25.48,3270,,
2013-04-23,25.53,25.53,25.42,25.49,7865,,
2013-04-24,25.5,25.68,25.41,25.68,15106,,
2013-04-25,25.69,25.69,25.51,25.65,5500,,
2013-04-26,25.64,25.69,25.6,25.6,5091,,
2013-04-29,25.65,25.65,25.6,25.64,2000,,
2013-04-30,25.69,25.69,25.649,25.65,979,,
2013-05-01,25.65,25.65,25.45,25.584,9040,,
2013-05-02,25.63,25.64,25.61,25.61,3430,,
2013-05-03,25.7,25.95,25.7,25.93,3623,,
2013-05-06,25.93,26.0,25.69,25.94,15530,,
2013-05-07,25.95,26.0,25.9,25.999,12704,,
