日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-08-11,10.62,14.33,10.61,13.4,8938063,3.37,33.6
2021-08-12,13.32,13.4,11.0,11.31,4761364,-2.09,-15.6
2021-08-13,11.67,11.67,9.41,9.5,4795603,-1.81,-16.0035
2021-08-16,10.02,10.0882,9.65,9.98,2725785,0.48,5.05
2021-08-17,11.5,11.5,8.9,9.29,3682280,-0.69,-6.91
2021-08-18,9.38,9.38,8.72,8.81,3390236,-0.48,-5.1668
2021-08-19,8.82,8.96,8.25,8.48,2277094,-0.33,-3.75
2021-08-20,8.55,10.4447,8.55,9.93,3269293,1.45,17.1
2021-08-23,10.05,10.41,9.96,10.3,1379935,0.37,3.7261
2021-08-24,10.46,10.92,10.25,10.9,1257072,0.6,5.83
2021-08-25,10.99,11.48,10.8,11.04,1262256,0.14,1.28
2021-08-26,11.28,11.57,10.83,11.48,954775,0.44,3.99
2021-08-27,11.69,13.3,11.6,12.78,3709642,1.3,11.324
2021-08-30,13.03,13.23,12.31,12.57,1485116,-0.21,-1.64
2021-08-31,12.52,12.72,12.25,12.71,1243508,0.14,1.11
2021-09-01,12.38,12.59,12.37,12.48,1257694,-0.23,-1.81
2021-09-02,12.65,12.7,11.32,11.93,2001031,-0.55,-4.41
2021-09-03,10.14,10.59,9.5,10.16,15591712,-1.77,-14.84
2021-09-07,10.34,10.39,9.52,9.57,8883821,-0.59,-5.81
2021-09-08,9.77,9.79,9.31,9.4,5914676,-0.17,-1.78
2021-09-09,9.5,9.72,9.3,9.32,4910435,-0.08,-0.85
2021-09-10,9.51,9.89,9.24,9.3,3907511,-0.02,-0.2146
2021-09-13,9.4,9.43,8.71,8.88,4332967,-0.42,-4.5161
2021-09-14,8.94,9.25,7.88,8.14,5309191,-0.74,-8.3333
2021-09-15,8.41,8.4199,7.83,8.21,5128892,0.07,0.86
2021-09-16,8.2,8.86,8.2,8.6,3661066,0.39,4.75
2021-09-17,8.76,9.61,8.71,9.26,19412775,0.66,7.67
2021-09-20,8.74,9.27,8.67,9.11,2352110,-0.15,-1.62
2021-09-21,9.23,9.71,8.9801,9.36,2470682,0.25,2.7442
2021-09-22,9.57,10.0,9.57,9.67,2197826,0.31,3.31
2021-09-23,10.47,11.105,10.3,10.57,11965009,0.9,9.31
2021-09-24,10.65,10.82,10.12,10.3,4122471,-0.27,-2.55
2021-09-27,10.36,10.45,9.89,10.06,2698717,-0.24,-2.3301
2021-09-28,10.0,10.11,9.56,9.95,3024260,-0.11,-1.09
2021-09-29,10.02,10.62,9.64,9.67,7637874,-0.28,-2.81
2021-09-30,9.95,10.191,9.93,10.06,2751938,0.39,4.03
2021-10-01,10.15,10.22,9.77,10.14,1861962,0.08,0.8
2021-10-04,10.06,10.115,9.01,9.07,3344078,-1.07,-10.55
2021-10-05,9.23,9.6,9.0701,9.2,2628624,0.13,1.43
2021-10-06,9.0,9.22,8.77,9.19,1716388,-0.01,-0.11
2021-10-07,9.25,9.32,9.1,9.13,1077237,-0.06,-0.65
2021-10-08,9.13,9.3,9.07,9.12,1216472,-0.01,-0.11
2021-10-11,9.17,9.32,8.99,9.03,907873,-0.09,-0.99
2021-10-12,9.06,9.27,9.0,9.2,824946,0.17,1.8826
2021-10-13,9.28,9.35,9.0,9.09,1220011,-0.11,-1.2
2021-10-14,9.15,9.41,9.13,9.34,2030002,0.25,2.75
2021-10-15,9.41,9.45,8.58,8.66,3837690,-0.68,-7.28
2021-10-18,8.7,8.92,8.64,8.65,2472928,-0.01,-0.12
2021-10-19,8.82,9.13,8.74,9.01,2251934,0.36,4.16
2021-10-20,9.1,9.29,8.97,9.09,1713179,0.08,0.8879
2021-10-21,9.1,9.1571,8.69,8.75,2177378,-0.34,-3.74
2021-10-22,8.76,9.0,8.72,8.99,1629277,0.24,2.74
2021-10-25,9.0,9.2796,8.85,9.16,2075382,0.17,1.89
2021-10-26,9.16,9.21,8.765,9.07,3485787,-0.09,-0.98
2021-10-27,9.0,9.13,8.78,8.8,1730173,-0.27,-2.98
2021-10-28,8.8,8.88,8.67,8.78,2228063,-0.02,-0.23
2021-10-29,8.88,8.9,8.67,8.68,2080697,-0.1,-1.14
2021-11-01,8.74,9.49,8.71,9.49,3365188,0.81,9.33
