日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-07-03,6.4425,6.4425,6.4425,6.4425,0,-0.0265,-0.41
1995-10-19,26.6624,26.9925,26.6624,26.9925,1600,20.3715,307.68
1995-10-20,26.8765,26.8765,26.8765,26.8765,800,-0.1161,-0.43
1995-10-23,26.8765,26.8765,26.8765,26.8765,0,0.0,0.0
1995-10-24,26.8765,26.8765,26.8765,26.8765,0,0.0,0.0
1995-10-25,26.8765,26.8765,26.8765,26.8765,0,0.0,0.0
1995-10-26,26.8765,26.8765,26.8765,26.8765,0,0.0,0.0
1995-10-27,26.8765,26.8765,26.8765,26.8765,0,0.0,0.0
1995-10-30,26.8765,26.8765,26.8765,26.8765,0,0.0,0.0
1995-10-31,26.8765,26.8765,26.8765,26.8765,0,0.0,0.0
1995-11-01,26.8765,26.8765,26.8765,26.8765,0,0.0,0.0
1995-11-02,26.6624,26.6624,26.6624,26.6624,1200,-0.215,-0.8
1995-11-03,26.6624,26.6624,26.6624,26.6624,0,0.0,0.0
1995-11-06,26.6624,26.6624,26.6624,26.6624,0,0.0,0.0
1995-11-07,26.6624,26.6624,26.6624,26.6624,0,0.0,0.0
1995-11-08,26.6624,26.6624,26.6624,26.6624,0,0.0,0.0
1995-11-09,26.8765,27.5547,26.8765,27.2156,5200,0.5519,2.07
1995-11-10,27.2156,27.2156,27.2156,27.2156,400,0.0,0.0
1995-11-13,27.2156,27.2156,27.2156,27.2156,0,0.0,0.0
1995-11-14,27.4387,28.1079,27.4387,28.1079,2400,0.8927,3.28
1995-11-15,28.1079,28.1079,27.6617,27.7688,8400,-0.3401,-1.21
1995-11-16,27.7688,28.331,27.7688,27.7688,10000,0.0,0.0
1995-11-17,27.7688,27.7688,27.7688,27.7688,0,0.0,0.0
1995-11-20,27.7688,27.7688,27.7688,27.7688,0,0.0,0.0
1995-11-21,27.7688,27.7688,27.7688,27.7688,0,0.0,0.0
1995-11-22,27.7688,27.7688,27.7688,27.7688,0,0.0,0.0
1995-11-24,27.6617,27.6617,26.8765,26.8765,12800,-0.8913,-3.21
1995-11-27,26.8765,26.9925,26.8765,26.9925,1200,0.1156,0.43
1995-11-28,27.3227,27.8848,27.3227,27.8848,16000,0.8934,3.31
1995-11-29,28.215,28.447,28.215,28.447,1600,0.5633,2.02
1995-11-30,28.447,28.7771,28.331,28.331,5600,-0.1166,-0.41
1995-12-01,28.5541,29.4464,28.5541,29.2233,4800,0.8924,3.15
1995-12-04,29.5535,30.3387,29.5535,30.1156,9600,0.8913,3.05
1995-12-05,30.3387,30.7848,30.3387,30.7848,6800,0.6686,2.22
1995-12-06,31.0079,31.0079,31.0079,31.0079,800,0.2217,0.72
1995-12-07,31.0079,31.0079,31.0079,31.0079,0,0.0,0.0
1995-12-08,31.0079,31.0079,31.0079,31.0079,0,0.0,0.0
1995-12-11,30.7848,30.7848,29.8925,29.8925,10000,-1.1163,-3.6
1995-12-12,29.5535,29.5535,29.5535,29.5535,400,-0.3378,-1.13
1995-12-13,29.5535,29.5535,29.5535,29.5535,0,0.0,0.0
1995-12-14,29.5535,29.5535,29.5535,29.5535,0,0.0,0.0
1995-12-15,29.4464,29.4464,29.4464,29.4464,800,-0.1064,-0.36
1995-12-18,29.2233,29.2233,28.1079,28.331,28000,-1.116,-3.79
1995-12-19,28.1079,28.1079,28.1079,28.1079,400,-0.2238,-0.79
1995-12-20,28.215,28.215,28.215,28.215,5600,0.1068,0.38
1995-12-21,28.447,28.447,28.447,28.447,1200,0.2314,0.82
1995-12-22,28.447,28.447,28.447,28.447,0,0.0,0.0
1995-12-26,28.447,28.447,28.447,28.447,12000,0.0,0.0
1995-12-27,28.447,28.447,28.447,28.447,1200,0.0,0.0
1995-12-28,28.215,28.215,28.215,28.215,400,-0.2333,-0.82
1995-12-29,28.447,29.0002,28.447,29.0002,12400,0.7844,2.78
1996-01-02,29.0002,29.0002,29.0002,29.0002,0,0.0,0.0
1996-01-03,29.0002,29.4464,28.5541,28.7771,14000,-0.2233,-0.77
1996-01-04,28.7771,28.7771,28.7771,28.7771,0,0.0,0.0
