日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2014-10-21,28.49,29.49,28.3,28.31,697668,,
2014-10-22,28.47,28.91,28.0,28.75,768836,,
2014-10-23,28.75,29.89,28.6,29.25,1270749,,
2014-10-24,29.11,30.09,29.11,29.75,1540721,,
2014-10-27,29.85,30.29,29.37,30.1,766723,,
2014-10-28,30.3,31.29,29.94,30.65,536173,,
2014-10-29,30.65,31.0,29.94,30.0,596335,,
2014-10-30,30.15,30.73,29.75,30.25,429676,,
2014-10-31,30.25,31.98,30.25,31.5,29854340,,
2014-11-03,30.61,31.89,30.38,31.15,9243881,-0.35,-1.11
2014-11-04,30.75,30.83,30.08,30.16,6483846,-0.99,-3.18
2014-11-05,30.67,31.0,30.0,30.18,3958253,0.02,0.07
2014-11-06,30.2,30.459,29.88,30.05,2991591,-0.13,-0.43
2014-11-07,29.49,30.39,29.01,29.76,9563298,-0.29,-0.97
2014-11-10,29.03,30.23,28.56,29.78,5114209,0.02,0.07
2014-11-11,29.42,30.73,29.06,30.04,4535899,0.26,0.87
2014-11-12,30.4,31.23,30.0,30.83,4852125,0.79,2.63
2014-11-13,30.74,31.3,30.03,30.41,2432710,-0.42,-1.36
2014-11-14,30.29,30.91,30.22,30.7,1481271,0.29,0.95
2014-11-17,30.7,31.42,30.55,31.05,2389024,0.35,1.14
2014-11-18,30.59,31.135,30.21,31.0,3007685,-0.05,-0.16
2014-11-19,30.72,31.14,30.59,30.97,3013016,-0.03,-0.1
2014-11-20,30.77,31.5,30.65,31.41,2157563,0.44,1.42
2014-11-21,31.65,32.5,31.45,32.3,4703593,0.89,2.83
2014-11-24,32.88,33.04,32.34,33.0,2402554,0.7,2.17
2014-11-25,32.97,33.11,32.58,32.85,1798681,-0.15,-0.45
2014-11-26,33.0,34.98,33.0,34.2,1583374,1.35,4.11
2014-11-28,33.94,35.38,33.88,35.2,425327,1.0,2.92
2014-12-01,35.01,35.18,34.76,34.9,1484316,-0.3,-0.85
2014-12-02,34.73,34.935,34.3,34.78,1788961,-0.12,-0.34
2014-12-03,34.51,34.65,34.25,34.31,1150905,-0.47,-1.35
2014-12-04,33.89,34.3,33.71,34.14,1352422,-0.17,-0.5
2014-12-05,34.24,34.48,34.0,34.1,762054,-0.04,-0.12
2014-12-08,34.1,34.34,34.0,34.19,956916,0.09,0.26
2014-12-09,33.2,34.24,33.2,33.75,988773,-0.44,-1.29
2014-12-10,33.87,33.98,33.4,33.47,1442594,-0.28,-0.83
2014-12-11,33.5,33.89,33.45,33.49,598964,0.02,0.06
2014-12-12,33.48,33.6,32.58,32.86,1175374,-0.63,-1.88
2014-12-15,32.91,33.37,32.74,32.88,969223,0.02,0.06
2014-12-16,32.52,33.33,32.5,32.89,1882724,0.01,0.03
2014-12-17,32.82,34.21,32.39,33.83,1027747,0.94,2.86
2014-12-18,34.0,34.47,33.42,34.11,880624,0.28,0.83
2014-12-19,34.11,34.57,33.58,33.98,1859998,-0.13,-0.38
2014-12-22,33.9,34.19,33.825,33.94,741316,-0.04,-0.12
2014-12-23,33.93,34.2,33.54,33.63,734840,-0.31,-0.91
2014-12-24,33.65,34.38,33.51,33.8,1505693,0.17,0.51
2014-12-26,33.94,34.0,33.55,33.73,460349,-0.07,-0.21
2014-12-29,33.57,34.05,32.74,33.91,474322,0.18,0.53
2014-12-30,33.8,34.29,33.681,33.88,383917,-0.03,-0.09
2014-12-31,33.87,34.17,33.64,33.77,329859,-0.11,-0.32
2015-01-02,33.81,34.09,33.13,33.42,813127,-0.35,-1.04
2015-01-05,33.05,33.6,33.05,33.54,732165,0.12,0.36
