日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-11-08,11.74,18.59,11.52,13.01,16776173,1.89,17.0
2021-11-09,14.08,14.5499,13.26,13.5,9802496,0.49,3.77
2021-11-10,13.565,14.01,12.9,13.15,4165144,-0.35,-2.59
2021-11-11,13.4,13.4,11.71,12.17,3534091,-0.98,-7.45
2021-11-12,12.28,13.54,12.25,13.11,2077217,0.94,7.72
2021-11-15,13.15,13.56,13.04,13.37,1183271,0.26,1.9832
2021-11-16,13.4,13.54,12.9,12.93,1629978,-0.44,-3.29
2021-11-17,12.87,13.15,12.36,12.76,1503367,-0.17,-1.3148
2021-11-18,12.69,13.33,12.59,13.01,1515183,0.25,1.96
2021-11-19,12.95,13.85,12.44,12.72,2326469,-0.29,-2.23
2021-11-22,12.72,12.99,10.78,11.04,2938652,-1.68,-13.21
2021-11-23,11.85,12.1,11.32,11.69,1745683,0.65,5.8877
2021-11-24,11.46,11.93,11.04,11.04,1165403,-0.65,-5.56
2021-11-26,10.97,11.67,10.7,11.64,614401,0.6,5.43
2021-11-29,11.55,12.22,11.0088,11.59,1904934,-0.05,-0.43
2021-11-30,11.53,11.69,11.0401,11.35,792957,-0.24,-2.07
2021-12-01,11.48,11.86,11.1447,11.5,1040668,0.15,1.32
2021-12-02,11.49,11.553,10.18,10.69,4180248,-0.81,-7.04
2021-12-03,10.61,10.67,9.75,10.14,2030386,-0.55,-5.14
2021-12-06,10.0,10.39,9.6,9.94,1987182,-0.2,-1.97
2021-12-07,10.01,10.8,10.01,10.51,1360244,0.57,5.73
2021-12-08,10.47,11.2999,10.36,10.67,1223123,0.16,1.52
2021-12-09,10.59,10.77,10.24,10.35,1016445,-0.32,-3.0
2021-12-10,10.29,10.79,9.45,9.54,1598261,-0.81,-7.83
2021-12-13,9.55,9.63,8.07,8.29,2781674,-1.25,-13.1027
2021-12-14,8.16,8.82,7.92,7.94,1876411,-0.35,-4.22
2021-12-15,7.94,8.08,7.26,7.89,2998024,-0.05,-0.63
2021-12-16,8.08,8.48,7.33,7.55,3016135,-0.34,-4.31
2021-12-17,7.615,8.24,7.34,8.01,6220631,0.46,6.09
2021-12-20,7.96,8.3,7.73,8.05,2108465,0.04,0.5
2021-12-21,8.1,8.24,7.41,7.95,3020972,-0.1,-1.24
2021-12-22,8.0,8.58,7.8,8.42,1355328,0.47,5.9119
2021-12-23,8.51,8.82,8.25,8.82,711308,0.4,4.75
2021-12-27,8.905,8.94,8.35,8.75,1191340,-0.07,-0.7937
2021-12-28,8.67,8.9689,8.5433,8.83,698614,0.08,0.91
2021-12-29,8.75,8.76,8.1403,8.39,1250671,-0.44,-4.98
2021-12-30,8.32,8.63,8.1,8.29,1198770,-0.1,-1.19
2021-12-31,8.31,8.46,7.82,7.89,1619811,-0.4,-4.83
2022-01-03,7.96,8.2,7.64,7.99,761360,0.1,1.2674
2022-01-04,7.95,7.9893,7.38,7.75,1773694,-0.24,-3.0
2022-01-05,7.66,7.7,6.7,6.86,3011600,-0.89,-11.48
2022-01-06,7.01,7.035,6.43,7.02,4273441,0.16,2.3324
2022-01-07,6.94,7.3497,6.73,6.76,1547695,-0.26,-3.7
2022-01-10,6.82,6.88,6.16,6.36,3721749,-0.4,-5.92
2022-01-11,6.69,7.3399,6.46,7.15,5410662,0.79,12.42
