日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2018-05-24,24.45,24.64,19.05,19.47,2021748,1.47,8.17
2018-05-25,19.21,19.95,18.541,19.41,363299,-0.06,-0.31
2018-05-29,19.45,19.9275,17.05,17.21,330813,-2.2,-11.33
2018-05-30,17.27,17.97,17.2,17.2,161969,-0.01,-0.06
2018-05-31,17.25,17.47,16.54,17.11,190404,-0.09,-0.52
2018-06-01,17.85,18.968,17.41,17.8,120304,0.69,4.03
2018-06-04,18.1,18.25,18.0,18.03,46827,0.23,1.29
2018-06-05,18.33,19.74,18.0,18.24,198751,0.21,1.16
2018-06-06,18.3,18.4547,17.74,18.0,94909,-0.24,-1.32
2018-06-07,17.74,18.0,17.25,17.36,124364,-0.64,-3.56
2018-06-08,17.39,19.82,17.29,17.37,133004,0.01,0.06
2018-06-11,17.67,17.81,17.5,17.77,38513,0.4,2.3
2018-06-12,17.9,18.5,17.86,18.21,96220,0.44,2.48
2018-06-13,18.32,19.1125,18.12,18.32,101003,0.11,0.6
2018-06-14,18.23,19.1,18.0655,18.8,102244,0.48,2.62
2018-06-15,18.9,19.07,17.78,18.29,120811,-0.51,-2.71
2018-06-18,18.3,18.3941,17.44,17.5,76964,-0.79,-4.32
2018-06-19,17.59,19.145,17.3336,19.0,85840,1.5,8.57
2018-06-20,19.2,20.35,18.6,20.35,130122,1.35,7.11
2018-06-21,20.5,21.0,18.5,19.25,139398,-1.1,-5.41
2018-06-22,19.41,19.821,18.7139,19.22,75271,-0.03,-0.16
2018-06-25,19.07,20.0,17.65,17.9,100433,-1.32,-6.87
2018-06-26,17.95,18.26,17.5,17.5,114140,-0.4,-2.23
2018-06-27,17.6,17.7299,16.611,16.97,99108,-0.53,-3.03
2018-06-28,16.71,17.48,16.7,16.73,114368,-0.24,-1.41
2018-06-29,16.74,17.65,16.711,17.35,45489,0.62,3.71
2018-07-02,17.39,17.39,16.73,16.92,27667,-0.43,-2.48
2018-07-03,16.9,17.175,16.67,16.71,21501,-0.21,-1.24
2018-07-05,16.89,17.406,16.7,16.77,32739,0.06,0.36
2018-07-06,16.71,17.095,16.71,16.71,63309,-0.06,-0.36
2018-07-09,16.75,17.3,16.72,17.05,41830,0.34,2.03
2018-07-10,17.05,17.15,16.905,16.98,33628,-0.07,-0.41
2018-07-11,16.9,17.7299,16.72,16.75,148893,-0.23,-1.35
2018-07-12,16.78,17.16,16.71,16.73,138673,-0.02,-0.12
2018-07-13,16.75,17.04,15.97,16.14,120089,-0.59,-3.53
2018-07-16,16.1,16.35,15.2552,15.85,90973,-0.29,-1.8
2018-07-17,15.88,15.93,15.375,15.45,57891,-0.4,-2.52
2018-07-18,15.41,15.88,15.37,15.46,45679,0.01,0.06
2018-07-19,15.43,16.0,15.34,15.63,50941,0.17,1.1
2018-07-20,15.6,15.9,15.35,15.85,16025,0.22,1.41
2018-07-23,15.84,16.03,15.5092,15.91,22591,0.06,0.38
2018-07-24,15.94,16.23,15.52,15.52,32616,-0.39,-2.45
2018-07-25,15.53,16.09,15.43,15.43,41087,-0.09,-0.58
2018-07-26,15.45,15.72,13.25,13.77,127176,-1.66,-10.76
2018-07-27,13.97,14.17,13.04,13.23,31034,-0.54,-3.92
2018-07-30,13.2,13.49,13.1,13.44,4820,0.21,1.59
2018-07-31,13.53,14.19,13.47,13.99,17260,0.55,4.09
2018-08-01,14.01,14.7,13.81,14.21,38623,0.22,1.57
2018-08-02,13.95,14.41,13.64,13.96,43514,-0.25,-1.76
2018-08-03,13.95,14.03,13.4582,13.66,12573,-0.3,-2.15
2018-08-06,13.41,14.0,13.29,13.88,59051,0.22,1.61
2018-08-07,13.93,14.05,13.4905,13.89,23511,0.01,0.07
2018-08-08,13.89,14.25,13.65,13.97,37850,0.08,0.58
2018-08-09,14.06,14.12,13.5,13.99,53191,0.02,0.14
2018-08-10,14.1,14.2,13.88,14.14,25335,0.15,1.07
2018-08-13,14.2375,14.69,13.47,14.68,97385,0.54,3.82
2018-08-14,14.61,16.05,14.28,15.63,108611,0.95,6.47
2018-08-15,15.5,16.1,15.39,16.09,46679,0.46,2.94
2018-08-16,16.18,17.38,16.18,16.36,172231,0.27,1.68
2018-08-17,16.4,17.1,15.69,15.94,226798,-0.42,-2.57
2018-08-20,15.86,17.3225,15.52,16.92,116952,0.98,6.15
2018-08-21,16.98,17.3,16.585,17.17,170274,0.25,1.48
2018-08-22,17.27,17.68,17.0,17.56,48897,0.39,2.27
2018-08-23,17.43,17.68,16.9217,17.05,122489,-0.51,-2.9
2018-08-24,17.01,17.82,16.91,17.46,87062,0.41,2.4
2018-08-27,17.53,18.42,16.91,18.36,89058,0.9,5.15
2018-08-28,18.47,19.0,18.37,19.0,136759,0.64,3.49
2018-08-29,19.48,21.59,19.0,21.5,71489,2.5,13.16
2018-08-30,21.5,22.0,20.2,21.69,115099,0.19,0.88
2018-08-31,21.52,22.12,20.56,22.04,103399,0.35,1.61
2018-09-04,22.0,25.71,22.0,23.89,170129,1.85,8.39
2018-09-05,24.0,24.89,23.92,24.34,108321,0.45,1.88
2018-09-06,24.03,26.5,23.95,26.26,106487,1.92,7.89
2018-09-07,26.45,28.4796,26.4,26.98,123905,0.72,2.74
2018-09-10,26.98,29.77,26.9,28.87,197071,1.89,7.01
2018-09-11,29.29,29.5,24.175,26.0,464804,-2.87,-9.94
2018-09-12,26.06,26.949,24.22,25.59,190311,-0.41,-1.58
2018-09-13,25.78,26.1,23.5,24.98,286486,-0.61,-2.38
2018-09-14,25.05,26.86,24.8275,26.48,154722,1.5,6.0
2018-09-17,27.85,28.64,26.62,27.99,187831,1.51,5.7
2018-09-18,27.73,28.75,25.74,27.58,212182,-0.41,-1.46
2018-09-19,27.58,31.41,27.02,29.33,338318,1.75,6.35
2018-09-20,29.29,32.88,29.29,30.93,224654,1.6,5.46
2018-09-21,30.93,31.219,28.41,29.77,1272422,-1.16,-3.75
2018-09-24,29.72,31.5575,29.03,29.12,158011,-0.65,-2.18
2018-09-25,29.14,29.99,27.935,29.09,170641,-0.03,-0.1
2018-09-26,29.11,30.25,26.56,26.56,91853,-2.53,-8.7
2018-09-27,27.65,28.4883,25.91,26.31,157322,-0.25,-0.94
2018-09-28,26.08,26.3,25.01,25.5,91363,-0.81,-3.08
2018-10-01,25.81,25.81,23.78,23.92,100764,-1.58,-6.2
2018-10-02,23.88,24.0,22.21,23.81,117302,-0.11,-0.46
2018-10-03,23.87,23.87,22.22,22.49,91904,-1.32,-5.54
2018-10-04,22.47,22.86,21.27,22.09,88646,-0.4,-1.78
2018-10-05,22.24,22.2425,20.375,21.24,79939,-0.85,-3.85
2018-10-08,21.11,21.36,20.08,20.43,84349,-0.81,-3.81
2018-10-09,20.42,20.93,19.77,20.12,87706,-0.31,-1.52
2018-10-10,20.21,21.08,18.03,19.15,91688,-0.97,-4.82
2018-10-11,19.01,19.99,18.11,18.92,80935,-0.23,-1.2
2018-10-12,19.3,20.085,18.3301,18.89,143722,-0.03,-0.16
2018-10-15,18.9,19.86,18.46,19.77,79639,0.88,4.66
2018-10-16,20.0,21.62,19.55,21.4,54115,1.63,8.24
2018-10-17,21.46,21.78,19.6,21.67,42186,0.27,1.26
2018-10-18,21.54,21.54,19.8,20.88,38310,-0.79,-3.65
2018-10-19,20.95,22.7579,20.23,22.29,47566,1.41,6.75
2018-10-22,22.4,23.6,21.47,22.83,43496,0.54,2.42
2018-10-23,22.41,22.41,20.7,20.86,64032,-1.97,-8.63
2018-10-24,20.86,21.35,18.59,19.11,77034,-1.75,-8.39
2018-10-25,19.28,20.3,19.1,20.06,27855,0.95,4.97
2018-10-26,19.69,20.54,19.33,20.43,23166,0.37,1.84
2018-10-29,20.73,20.73,18.77,19.06,28986,-1.37,-6.71
2018-10-30,18.98,19.23,18.52,18.89,22823,-0.17,-0.89
2018-10-31,19.14,19.405,18.51,19.04,27335,0.15,0.79
2018-11-01,19.68,20.76,18.86,20.13,29471,1.09,5.72
2018-11-02,20.31,21.47,19.58,21.3,22152,1.17,5.81
2018-11-05,21.44,21.46,19.67,20.58,59460,-0.72,-3.38
2018-11-06,20.73,20.75,19.66,20.02,20092,-0.56,-2.72
2018-11-07,20.22,21.36,20.21,21.34,13658,1.32,6.59
2018-11-08,21.38,21.43,20.99,21.13,21289,-0.21,-0.98
2018-11-09,21.06,21.23,19.82,19.94,10134,-1.19,-5.63
2018-11-12,19.85,19.85,17.6001,18.31,224229,-1.63,-8.17
2018-11-13,18.46,18.525,16.035,16.25,74946,-2.06,-11.25
2018-11-14,16.36,17.38,15.5305,17.09,101702,0.84,5.17
2018-11-15,16.98,19.7,16.31,18.15,62288,1.06,6.2
2018-11-16,18.18,18.6,16.85,17.47,34792,-0.68,-3.75
2018-11-19,17.53,17.53,15.75,16.27,42565,-1.2,-6.87
2018-11-20,16.18,18.22,16.18,16.34,44985,0.07,0.43
2018-11-21,16.49,20.55,16.49,20.29,145620,3.95,24.17
2018-11-23,19.91,22.39,19.91,21.13,30553,0.84,4.14
2018-11-26,21.29,23.07,20.59,21.62,66802,0.49,2.32
2018-11-27,21.49,21.49,19.27,19.33,31067,-2.29,-10.59
2018-11-28,19.36,21.6,17.7001,20.45,43442,1.12,5.79
2018-11-29,20.11,21.44,20.11,20.58,21960,0.13,0.64
2018-11-30,20.68,21.45,19.79,20.22,29067,-0.36,-1.75
2018-12-03,21.02,21.95,20.4,21.0,34210,0.78,3.86
2018-12-04,20.56,21.41,20.1402,20.8,32487,-0.2,-0.95
2018-12-06,19.5,19.64,17.07,19.36,142130,-1.44,-6.92
2018-12-07,19.79,22.0,18.5123,21.6,113799,2.24,11.57
2018-12-10,21.69,26.17,21.69,24.98,232500,3.38,15.65
2018-12-11,24.96,25.815,23.84,24.38,105278,-0.6,-2.4
2018-12-12,25.05,25.285,24.2,24.47,116373,0.09,0.37
2018-12-13,24.48,25.0,22.64,22.88,110072,-1.59,-6.5
2018-12-14,22.19,23.0,21.31,22.0,155644,-0.88,-3.85
2018-12-17,22.22,22.64,19.96,20.37,172335,-1.63,-7.41
2018-12-18,20.6,21.59,19.96,20.26,263492,-0.11,-0.54
2018-12-19,20.44,21.405,20.25,20.83,224203,0.57,2.81
2018-12-20,20.91,21.58,20.33,20.87,233976,0.04,0.19
2018-12-21,20.84,22.71,20.5,21.65,415430,0.78,3.74
