日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2013-01-29,9.8066,10.0201,9.6449,9.7031,890155,0.0,0.0
2013-01-30,9.7031,9.8196,9.5395,9.6385,348025,-0.065,-0.67
2013-01-31,9.6385,9.6967,9.3732,9.4638,50253,-0.1745,-1.81
2013-02-01,9.6967,9.8519,9.0563,9.7031,106801,0.2394,2.53
2013-02-04,9.7161,9.7678,9.6967,9.7031,33714,0.0,0.0
2013-02-05,9.7031,10.0266,9.6708,9.7031,5806,0.0,0.0
2013-02-06,9.1921,9.7031,9.1921,9.6837,13955,-0.0194,-0.2
2013-02-07,9.7355,9.7355,9.4121,9.5414,22750,-0.1424,-1.47
2013-02-08,9.3797,9.7678,9.3797,9.7355,27963,0.1937,2.03
2013-02-11,9.6967,9.7678,9.654,9.742,44253,0.0068,0.07
2013-02-12,10.0136,10.0136,9.6967,9.7484,20699,0.0068,0.07
2013-02-13,9.7744,9.7744,9.729,9.7679,19392,-0.0068,-0.07
2013-02-14,9.7471,9.7744,9.7471,9.7744,10468,0.0068,0.07
2013-02-15,9.7679,9.7744,9.5928,9.5928,18882,-0.1818,-1.86
2013-02-19,9.7549,9.8522,9.6706,9.7938,31990,0.2014,2.1
2013-02-20,9.9754,9.9754,9.6706,9.6706,12803,-0.1234,-1.26
2013-02-21,9.6836,9.716,9.5409,9.6641,9750,-0.0068,-0.07
2013-02-22,9.6641,9.7938,9.5668,9.7938,17039,0.1295,1.34
2013-02-25,9.5668,9.7938,9.5668,9.6641,5658,-0.1293,-1.32
2013-02-26,9.7225,9.9683,9.5992,9.6382,66157,-0.0261,-0.27
2013-02-27,9.5798,9.729,9.5668,9.6187,17691,-0.0193,-0.2
2013-02-28,9.729,9.7744,9.5668,9.7744,13660,0.1558,1.62
2013-03-01,9.6641,9.9041,9.6641,9.8911,9862,0.1163,1.19
2013-03-04,9.7809,9.9235,9.6641,9.6706,9702,-0.2206,-2.23
2013-03-05,9.8444,9.9689,9.7614,9.9235,80661,0.2534,2.62
2013-03-06,9.8911,9.9235,9.8003,9.8587,122114,-0.0645,-0.65
2013-03-07,9.956,9.9754,9.8587,9.9689,53718,0.1104,1.12
2013-03-08,9.9689,9.9884,9.956,9.9884,21173,0.0199,0.2
2013-03-11,10.0079,10.0079,9.8911,9.9689,8949,-0.019,-0.19
2013-03-12,10.0144,10.0144,9.9365,9.956,5645,-0.013,-0.13
2013-03-13,9.9755,10.0464,9.917,9.93,20582,-0.0519,-0.52
2013-03-14,9.8584,10.0405,9.8584,10.0405,15236,0.1102,1.11
2013-03-15,9.982,10.0145,9.917,9.917,16597,-0.1235,-1.23
2013-03-18,9.917,9.9332,9.8519,9.917,9269,0.0,0.0
2013-03-19,9.943,10.0145,9.917,9.956,6111,0.0387,0.39
2013-03-20,10.0145,10.0145,9.8649,9.9755,14315,0.0199,0.2
2013-03-21,9.9235,10.1055,9.8454,9.9176,26406,-0.0589,-0.59
2013-03-22,10.0275,10.0275,9.917,9.9365,4848,0.0198,0.2
2013-03-25,10.008,10.021,9.8851,10.021,2800,0.0845,0.85
2013-03-26,9.995,9.995,9.8129,9.917,4300,-0.1042,-1.04
2013-03-27,10.0015,10.0015,9.7089,9.7544,8285,-0.1626,-1.64
2013-03-28,9.7739,10.2941,9.7414,10.0925,37174,0.3385,3.47
2013-04-01,10.1511,10.2941,9.8975,10.2681,31653,0.1756,1.74
2013-04-02,10.2356,10.3722,10.1446,10.3071,25875,0.039,0.38
2013-04-03,10.3917,10.5347,10.2421,10.2421,157112,-0.0649,-0.63
2013-04-04,10.3136,10.3982,10.1446,10.3071,3384,0.0645,0.63
2013-04-05,10.1608,10.9054,10.1446,10.5217,21796,0.2144,2.08
2013-04-08,10.4346,10.5022,10.2486,10.4632,3874,-0.0589,-0.56
2013-04-09,10.4365,10.7721,10.3396,10.4047,15710,-0.0586,-0.56
2013-04-10,10.5673,10.8534,10.5673,10.8144,57181,0.4099,3.94
2013-04-11,10.7949,11.0927,10.7949,10.8794,34363,0.0649,0.6
2013-04-12,10.9249,11.3866,10.9249,11.055,21090,0.1752,1.61
2013-04-15,11.1135,12.1858,11.1135,11.3606,80085,0.3051,2.76
2013-04-16,11.8613,11.8613,11.3931,11.4647,53240,0.1045,0.92
