日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2014-06-25,20.5706,20.6036,20.5129,20.5129,357639,-0.0576,-0.28
2014-06-26,20.5706,20.5871,20.5294,20.5706,254089,0.0574,0.28
2014-06-27,20.6992,20.6992,20.6162,20.6826,203799,-0.0166,-0.08
2014-06-30,20.6992,20.6992,20.5747,20.5747,132845,-0.1075,-0.52
2014-07-01,20.583,20.6992,20.5747,20.6826,153431,0.107,0.52
2014-07-02,20.6826,20.7075,20.5581,20.6992,186519,0.0165,0.08
2014-07-03,20.7075,20.7075,19.1395,20.6577,46157,-0.0414,-0.2
2014-07-07,20.7158,20.7738,20.6992,20.7738,263140,0.1157,0.56
2014-07-08,20.7738,20.8153,20.7573,20.7821,109995,0.0083,0.04
2014-07-09,20.7821,20.807,20.7407,20.807,173293,0.0249,0.12
2014-07-10,20.7987,20.8236,20.7407,20.7655,84527,-0.0416,-0.2
2014-07-11,20.7738,20.7821,20.7324,20.7573,104124,-0.0083,-0.04
2014-07-14,20.7821,20.7987,20.7241,20.7241,78965,-0.0332,-0.16
2014-07-15,20.749,20.749,20.6826,20.7241,66977,0.0,0.0
2014-07-16,20.7655,20.7655,20.6909,20.7241,186030,0.0,0.0
2014-07-17,20.7241,20.7738,20.6411,20.6909,94038,-0.0332,-0.16
2014-07-18,20.7241,20.7324,20.6162,20.6494,459328,-0.0414,-0.2
2014-07-21,20.666,20.6909,20.666,20.6743,23557,0.0248,0.12
2014-07-22,20.6909,20.6909,20.6079,20.6162,175924,-0.0579,-0.28
2014-07-23,20.6287,20.666,20.5996,20.6328,114070,0.0165,0.08
2014-07-24,20.5996,20.6494,20.5913,20.6245,83228,-0.0083,-0.04
2014-07-25,20.6328,20.6494,20.5996,20.6162,44724,-0.0082,-0.04
2014-07-28,20.6577,20.6577,20.5747,20.6411,60189,0.0247,0.12
2014-07-29,20.6162,20.7158,20.6162,20.7158,68848,0.0743,0.36
2014-07-30,20.7715,20.7715,20.6796,20.713,61933,-0.0021,-0.01
2014-07-31,20.6963,20.6963,20.3873,20.5125,108764,-0.2009,-0.97
2014-08-01,20.5627,20.6044,20.3204,20.571,56916,0.0595,0.29
2014-08-04,20.5877,20.6044,20.3204,20.4541,69995,-0.1173,-0.57
2014-08-05,20.4624,20.5301,20.3956,20.4875,94509,,
2014-08-06,20.5209,20.5459,20.429,20.5376,112698,0.0492,0.24
2014-08-07,20.5627,20.6211,20.5459,20.6036,55300,0.0657,0.32
2014-08-08,20.6128,20.6712,20.571,20.6595,57816,0.0556,0.27
2014-08-11,20.7464,20.7506,20.6286,20.6871,24845,0.0289,0.14
2014-08-12,20.6879,20.738,20.6295,20.718,56987,0.031,0.15
2014-08-13,20.7464,20.7882,20.713,20.7715,26011,0.0539,0.26
2014-08-14,20.7965,20.7965,20.7297,20.7673,28930,-0.0042,-0.02
2014-08-15,20.7339,20.7715,20.6879,20.738,17999,-0.0291,-0.14
2014-08-18,20.7965,20.8383,20.7464,20.8007,30342,0.0622,0.3
2014-08-19,20.7965,20.8533,20.7798,20.8216,51826,0.0208,0.1
2014-08-20,20.8633,20.8633,20.7965,20.8299,36972,0.0333,0.16
2014-08-21,20.8466,20.8633,20.8049,20.8633,52942,,
2014-08-22,20.8717,20.8984,20.8383,20.8383,38776,-0.025,-0.12
2014-08-25,20.8633,20.9377,20.855,20.88,53529,0.0417,0.2
2014-08-26,20.9385,20.9385,20.8633,20.8884,44612,0.0084,0.04
2014-08-27,20.9134,20.9468,20.8901,20.9134,69599,0.0251,0.12
2014-08-28,21.0283,21.0536,20.9359,21.0098,84517,0.0962,0.46
2014-08-29,21.062,21.0872,21.0368,21.0822,24222,0.0714,0.34
2014-09-02,21.0872,21.0872,20.919,20.919,38229,-0.1623,-0.77
2014-09-03,21.0199,21.0199,20.9359,20.9602,37282,0.0418,0.2
2014-09-04,20.9695,20.9695,20.8097,20.8341,34020,-0.1258,-0.6
2014-09-05,20.7929,20.9695,20.7929,20.9106,30796,0.075,0.36
2014-09-08,20.9022,20.9602,20.7929,20.835,14197,-0.0753,-0.36
2014-09-09,20.8518,20.9602,20.8518,20.8762,15838,0.0417,0.2
2014-09-10,20.8518,20.8997,20.7341,20.8013,35528,0.0083,0.04
2014-09-11,20.6836,20.9274,20.6836,20.8181,29717,,
2014-09-12,20.8097,20.8854,20.6248,20.6836,44854,-0.1353,-0.65
2014-09-15,20.8097,20.8097,20.5827,20.6727,33845,-0.0103,-0.05
2014-09-16,20.6836,20.8013,20.5743,20.7013,43740,0.0269,0.13
2014-09-17,20.8097,20.9056,20.7164,20.7837,53249,0.0828,0.4
2014-09-18,20.9274,20.9274,20.7677,20.8425,28665,0.0582,0.28
2014-09-19,20.8434,20.8938,20.8013,20.8181,39230,-0.025,-0.12
2014-09-22,20.9106,20.9106,20.7257,20.7425,12868,-0.0749,-0.36
2014-09-23,20.7803,20.8518,20.5995,20.8013,34423,0.0601,0.29
2014-09-24,20.8097,20.8097,20.6248,20.8005,80301,0.0,0.0
2014-09-25,20.8013,20.8097,20.7534,20.8013,16228,0.0,0.0
2014-09-26,20.7425,20.9098,20.7425,20.877,35630,0.0749,0.36
2014-09-29,20.9165,20.9749,20.7726,20.9063,45789,0.0292,0.14
2014-09-30,20.8911,20.8911,20.8234,20.8776,28300,-0.0293,-0.14
2014-10-01,20.8657,20.9495,20.8319,20.9072,35568,0.0292,0.14
2014-10-02,20.8996,20.9419,20.8319,20.8911,24984,-0.0251,-0.12
2014-10-03,20.9588,20.9673,20.8234,20.8319,143868,,
